,word,freq
1,the,6200
2,i,3833
3,and,3167
4,to,2211
5,a,2124
6,you,2015
7,it,1637
8,was,1479
9,in,1350
10,said,1223
11,of,1131
12,we,1077
13,he,913
14,on,790
15,that,741
16,do,730
17,they,719
18,not,667
19,were,655
20,with,617
21,me,608
22,there,570
23,had,555
24,have,526
25,all,520
26,but,506
27,at,500
28,she,483
29,is,480
30,be,459
31,out,454
32,up,448
33,for,406
34,go,400
35,my,384
36,very,381
37,no,379
38,went,375
39,would,365
40,down,355
41,are,347
42,one,324
43,did,317
44,arms,314
45,what,311
46,will,310
47,then,308
48,her,306
49,them,304
50,farewell,303
51,could,292
52,his,287
53,when,284
54,catherine,281
55,see,273
56,back,272
57,get,268
58,if,265
59,him,254
60,came,250
61,so,247
62,from,232
63,looked,232
64,as,231
65,know,222
66,like,222
67,right,221
68,come,213
69,now,211
70,about,208
71,over,202
72,good,198
73,where,198
74,want,195
75,some,190
76,been,185
77,how,183
78,yes,181
79,this,181
80,road,172
81,can,166
82,any,164
83,two,164
84,your,163
85,an,161
86,little,160
87,here,157
88,asked,153
89,too,153
90,time,151
91,going,151
92,other,148
93,by,148
94,us,144
95,darling,143
96,off,141
97,room,141
98,think,139
99,into,139
100,bed,139
101,away,136
102,saw,134
103,put,133
104,much,129
105,long,128
106,take,126
107,through,118
108,war,116
109,night,116
110,who,115
111,just,113
112,let,113
113,after,113
114,along,113
115,wo,112
116,got,112
117,never,111
118,again,108
119,side,107
120,while,106
121,rain,106
122,fine,104
123,way,103
124,took,102
125,only,101
126,should,100
127,doctor,99
128,tell,99
129,or,99
130,more,97
131,anything,96
132,door,96
133,sat,96
134,rinaldi,95
135,their,95
136,under,91
137,dark,91
138,drink,89
139,many,89
140,outside,88
141,say,88
142,priest,88
143,something,87
144,ca,86
145,man,86
146,thought,85
147,nothing,84
148,across,83
149,oh,82
150,miss,82
151,am,82
152,better,81
153,big,81
154,piani,80
155,started,79
156,front,78
157,hospital,77
158,because,77
159,another,77
160,must,76
161,make,76
162,love,75
163,our,75
164,three,74
165,always,74
166,place,74
167,tenente,74
168,really,74
169,head,74
170,well,74
171,before,73
172,major,73
173,around,73
174,people,73
175,please,72
176,bonello,71
177,why,71
178,felt,71
179,feel,71
180,first,71
181,knew,70
182,water,69
183,does,68
184,things,68
185,hand,67
186,lovely,67
187,girl,66
188,ing,65
189,river,65
190,sleep,64
191,walked,64
192,held,64
193,gone,64
194,window,64
195,lake,63
196,town,63
197,heard,63
198,coming,63
199,still,62
200,wine,62
201,left,62
202,made,62
203,thing,62
204,trees,62
205,stopped,61
206,talk,61
207,boy,60
208,old,60
209,car,60
210,face,60
211,baby,59
212,tired,59
213,light,59
214,glass,59
215,aymo,58
216,turned,58
217,bad,58
218,looking,58
219,look,58
220,men,57
221,die,56
222,stood,56
223,italian,56
224,mountains,56
225,brought,55
226,nurse,55
227,give,55
228,wet,55
229,hall,54
230,believe,54
231,girls,54
232,bridge,54
233,than,54
234,maybe,52
235,cars,52
236,stay,52
237,leave,52
238,ahead,51
239,toward,51
240,papers,51
241,wanted,51
242,table,51
243,both,50
244,watched,50
245,line,49
246,lay,48
247,open,48
248,ever,48
249,day,48
250,sometimes,48
251,hotel,47
252,hard,47
253,until,47
254,smiled,47
255,street,47
256,afraid,46
257,morning,46
258,great,46
259,nice,46
260,stop,45
261,has,45
262,cut,44
263,wish,44
264,against,44
265,bottle,44
266,pulled,44
267,beside,43
268,barkley,43
269,might,43
270,every,43
271,country,43
272,house,43
273,eat,42
274,english,42
