,word,freq
1,the,4621
2,of,3059
3,and,1948
4,to,1859
5,in,1467
6,a,971
7,for,858
8,is,657
9,be,603
10,that,503
11,as,480
12,this,440
13,by,438
14,on,425
15,are,416
16,or,400
17,with,376
18,it,324
19,which,265
20,at,253
21,from,249
22,will,244
23,an,227
24,was,223
25,have,223
26,not,208
27,other,200
28,state,196
29,such,195
30,year,183
31,states,180
32,may,179
33,their,178
34,he,169
35,all,169
36,our,164
37,these,156
38,united,155
39,has,153
40,new,150
41,its,150
42,his,149
43,any,149
44,we,145
45,been,130
46,were,126
47,more,126
48,one,125
49,development,125
50,would,120
51,but,119
52,can,119
53,they,119
54,made,118
55,than,117
56,government,115
57,business,115
58,should,113
59,if,113
60,years,106
61,time,104
62,must,102
63,under,101
64,fiscal,100
65,shall,99
66,there,98
67,i,97
68,general,94
69,tax,90
70,also,89
71,service,88
72,program,87
73,you,86
74,use,86
75,many,86
76,act,85
77,so,83
78,department,81
79,during,80
80,about,77
81,who,77
82,each,77
83,rhode,76
84,only,73
85,property,72
86,no,71
87,two,71
88,island,70
89,when,68
90,some,68
91,small,67
92,national,66
93,into,65
94,board,64
95,them,63
96,first,62
97,those,62
98,both,62
99,through,60
100,out,58
101,what,58
102,local,58
103,american,56
104,period,56
105,research,56
106,per,56
107,secretary,55
108,million,55
109,your,55
110,over,55
111,services,55
112,most,55
113,now,54
114,income,54
115,shelter,53
116,day,53
117,military,53
118,medical,52
119,public,52
120,make,52
121,upon,52
122,available,52
123,peace,51
124,great,51
125,do,51
126,world,51
127,same,51
128,provide,51
129,section,51
130,interest,51
131,federal,51
132,production,51
133,brown,49
134,had,49
135,president,48
136,where,48
137,stations,46
138,corps,46
139,between,46
140,report,46
141,necessary,46
142,within,46
143,policy,45
144,projects,45
145,work,45
146,important,45
147,assistance,45
148,du,44
149,because,44
150,own,44
151,industrial,44
152,administration,44
153,agreement,43
154,total,43
155,after,43
156,planning,43
157,amount,43
158,several,42
159,being,42
160,before,42
161,present,42
