,word,freq
1,the,4758
2,of,2412
3,and,2178
4,a,1858
5,to,1836
6,in,1543
7,is,971
8,for,857
9,with,624
10,it,605
11,on,537
12,are,532
13,that,526
14,be,524
15,as,496
16,or,461
17,this,441
18,you,434
19,have,376
20,at,353
21,by,346
22,from,296
23,one,286
24,your,279
25,can,276
26,will,269
27,was,265
28,his,258
29,which,253
30,an,243
31,has,235
32,not,223
33,but,221
34,they,217
35,all,214
36,he,196
37,more,194
38,if,181
39,when,164
40,its,160
41,we,159
42,than,159
43,their,157
44,i,154
45,new,149
46,there,147
47,may,143
48,these,141
49,other,141
50,time,133
51,them,127
52,first,126
53,only,126
54,many,125
55,do,125
56,most,124
57,so,121
58,two,118
59,been,115
60,also,110
61,into,108
62,some,108
63,what,108
64,were,106
65,no,105
66,who,104
67,up,103
68,good,103
69,about,102
70,use,100
71,used,100
72,such,94
73,any,92
74,make,91
75,feed,89
76,then,88
77,each,88
78,out,87
79,work,87
80,our,87
81,had,86
82,must,84
83,water,84
84,would,83
85,long,83
86,much,82
87,because,81
88,years,80
89,over,80
90,through,78
91,well,78
92,where,77
93,way,77
94,now,75
95,even,74
96,just,74
97,after,74
98,should,73
99,made,72
100,how,72
101,like,70
102,per,69
103,those,69
104,clay,68
105,before,68
106,same,68
107,right,67
108,place,66
109,area,65
110,very,64
111,side,60
112,design,59
113,could,59
114,too,58
115,few,57
116,number,56
117,small,56
118,another,56
119,head,54
120,best,54
121,af,53
122,cut,53
123,year,53
124,every,53
125,hanover,52
126,large,52
127,under,52
128,house,51
129,three,51
130,day,51
131,great,51
132,does,50
133,high,50
134,cost,49
135,people,49
136,less,49
137,him,49
138,available,48
139,little,48
140,bridge,47
141,set,47
142,still,47
143,better,47
144,pool,46
145,site,46
146,need,46
147,since,46
148,down,46
149,see,45
150,class,44
151,areas,44
152,get,44
153,off,44
154,my,44
155,program,44
156,possible,44
157,between,43
158,development,43
159,pieces,42
160,around,42
161,take,42
162,piece,42
163,both,42
164,four,42
165,back,42
166,however,41
167,several,41
168,find,41
169,here,41
170,american,40
171,important,40
172,national,40
173,sure,40
174,position,40
175,left,39
176,until,39
177,car,38
178,being,38
179,world,38
180,days,38
181,while,38
182,mold,37
183,top,37
184,boat,37
185,old,37
186,home,36
187,today,36
188,own,36
189,life,36
190,junior,36
191,either,36
192,aircraft,35
193,level,35
194,system,35
195,job,35
196,different,35
197,done,35
198,men,34
199,sign,34
200,interest,34
201,keep,34
202,enough,34
203,during,34
204,feet,34
205,show,34
206,size,34
207,equipment,34
208,often,34
209,costs,33
210,plan,33
211,end,33
212,found,33
213,put,33
214,light,33
215,course,33
216,company,32
217,materials,32
218,cooling,32
219,sides,32
220,marketing,31
221,interior,31
222,vacation,31
223,air,31
224,daily,31
225,early,31
226,frame,31
