,word,freq
1,the,12537
2,of,7452
3,and,4282
4,in,4097
5,to,3949
6,a,3463
7,is,2412
8,that,1710
9,for,1567
10,be,1363
11,as,1290
12,by,1217
13,with,1158
14,it,1146
15,was,1115
16,this,993
17,are,993
18,on,952
19,af,908
20,or,906
21,which,835
22,from,792
23,not,783
24,an,740
25,at,739
26,were,633
27,have,551
28,we,526
29,one,518
30,but,501
31,his,454
32,has,430
33,these,421
34,there,413
35,been,409
36,they,407
37,more,395
38,he,387
39,their,368
40,can,367
41,all,362
42,will,340
43,only,336
44,may,336
45,than,335
46,if,332
47,had,331
48,would,321
49,such,316
50,when,312
51,some,311
52,its,300
53,other,293
54,no,276
55,two,250
56,each,244
57,first,243
58,also,227
59,so,226
60,into,223
61,about,217
62,who,214
63,any,214
64,time,209
65,must,203
66,used,201
67,most,198
68,between,192
69,i,185
70,system,185
71,should,178
72,what,177
73,number,173
74,then,172
75,state,168
76,made,164
77,many,161
78,out,160
79,could,159
80,even,157
81,very,154
82,same,153
83,much,150
84,them,149
85,since,149
86,both,148
87,however,147
88,new,147
89,through,145
90,because,143
91,those,143
92,our,142
93,do,137
94,up,134
95,her,132
96,over,132
97,might,128
98,social,127
99,use,127
100,where,126
101,after,126
102,information,126
103,well,124
104,now,124
105,being,122
106,during,121
107,group,120
108,work,118
109,thus,118
110,surface,118
111,upon,117
112,point,117
113,found,117
114,under,117
115,general,114
116,rate,114
117,three,114
118,possible,114
119,data,113
120,before,112
121,form,111
122,did,111
123,less,111
124,school,109
125,small,107
126,different,105
127,given,103
128,order,103
129,example,102
130,area,102
131,while,101
132,high,101
133,values,99
134,part,99
135,him,98
136,does,98
137,line,97
138,federal,96
139,great,96
140,certain,96
141,another,94
142,type,92
143,law,91
144,study,91
145,large,91
146,people,90
147,process,90
148,second,90
149,way,90
150,rather,90
151,make,90
152,against,89
153,like,89
154,present,89
155,per,88
156,years,88
157,case,88
158,own,87
159,temperature,87
160,results,87
161,public,86
162,here,86
163,within,86
164,areas,85
165,few,85
166,although,85
167,fact,84
168,still,84
169,states,83
170,reaction,83
171,various,83
172,problem,82
173,important,82
174,costs,81
175,children,81
176,function,81
177,stress,80
178,conditions,80
179,us,79
180,interest,79
181,lines,77
182,anode,77
183,level,77
184,systems,76
185,section,76
186,value,76
187,see,76
188,therefore,76
189,individual,75
190,major,75
191,increase,75
192,policy,74
193,t,74
194,life,74
195,c,74
196,man,73
197,how,73
198,itself,73
199,evidence,73
200,following,73
201,several,73
202,available,73
203,index,72
204,analysis,72
205,local,72
206,until,71
207,without,71
208,end,71
209,material,71
210,set,71
211,world,70
212,either,70
213,though,70
214,often,70
215,court,69
216,government,69
217,cells,69
218,space,69
219,course,69
220,seems,69
221,cost,68
222,education,68
223,period,68
224,just,68
225,required,68
226,pressure,68
227,she,67
228,long,67
229,effect,67
230,above,67
231,sense,66
232,stage,66
233,activity,66
234,words,66
235,figure,66
236,low,66
237,later,65
238,normal,65
239,power,65
240,population,64
241,place,64
242,force,64
243,means,64
244,total,64
245,shown,64
246,little,63
247,volume,63
248,theory,63
249,change,63
250,aj,63
251,program,62
252,common,62
253,least,62
254,light,62
255,problems,62
256,similar,62
257,methods,62
258,table,62
259,basis,62
260,say,61
261,always,61
262,water,61
263,cases,61
264,child,60
265,industry,60
266,forms,60
267,too,60
268,hands,60
269,method,60
270,platform,59
271,further,59
272,action,59
273,among,59
274,every,59
275,hand,59
276,age,59
277,radiation,59
278,become,59
279,word,58
280,points,58
281,free,58
282,range,58
283,members,57
284,sections,57
285,question,57
286,quite,57
287,types,57
288,result,57
289,list,56
290,society,56
291,development,56
292,described,56
293,cannot,56
294,give,56
295,training,55
296,image,55
297,experience,55
298,show,55
299,enough,55
300,distribution,55
301,whole,55
302,basic,54
303,single,54
304,necessary,54
305,probably,54
306,specific,54
307,far,54
308,national,54
309,rates,54
310,again,54
311,likely,54
312,greater,54
313,dictionary,53
314,growth,53
315,yet,53
316,class,53
317,usually,53
318,test,53
319,early,53
320,changes,53
321,schools,52
322,seen,52
323,cell,52
324,increased,52
325,amount,52
326,times,52
327,length,52
328,business,51
329,let,51
330,difference,51
331,elements,50
332,act,50
333,control,50
334,find,50
335,four,50
336,field,50
337,last,49
338,provide,49
339,plane,49
340,behavior,49
341,developed,49
342,p,49
343,lower,49
344,obtained,49
345,men,48
346,subjects,48
347,particular,48
348,come,48
349,appear,48
350,showed,48
351,procedure,48
352,effects,48
353,taken,48
354,energy,48
355,larger,48
356,sample,48
357,poems,47
358,service,47
359,clear,47
360,support,47
361,groups,47
362,whether,47
363,toward,47
364,addition,47
365,size,47
366,direction,47
367,short,47
368,expected,47
369,treatment,46
370,left,46
371,defense,46
372,right,46
373,others,46
374,related,46
375,simple,46
376,actual,46
377,q,46
378,good,46
379,differences,46
380,due,46
381,wage,45
382,price,45
383,elections,45
384,matter,45
385,statement,45
386,past,45
387,paper,45
388,known,45
389,higher,45
390,me,44
391,seem,44
392,nothing,44
393,trial,44
394,next,44
395,best,44
396,terms,44
397,mean,44
398,became,44
399,direct,44
400,mass,44
401,off,44
402,text,43
403,philosophy,43
404,religion,43
405,meaning,43
406,company,43
407,need,43
408,year,43
409,inches,43
410,take,43
411,strong,43
412,increases,43
413,subject,43
414,latter,43
415,gas,43
416,along,43
417,using,43
418,programs,42
419,economic,42
420,shall,42
421,you,42
422,true,42
423,workers,42
424,appears,42
425,based,42
426,somewhat,42
427,extent,42
428,dominant,41
429,daily,41
430,view,41
431,influence,41
432,properties,41
433,studies,41
434,particularly,41
435,techniques,41
436,measured,41
437,already,41
438,complete,41
439,union,40
440,operating,40
441,issue,40
442,war,40
443,operator,40
444,completion,40
445,almost,40
446,importance,40
447,sometimes,40
448,special,40
449,directly,40
450,considered,40
451,follows,40
452,center,40
453,put,40
454,relatively,40
455,b,40
456,failure,39
457,american,39
458,five,39
459,something,39
460,united,39
461,curve,39
462,complex,39
463,generally,39
464,position,39
465,determined,39
466,column,39
467,average,39
468,measurements,39
469,brown,38
470,artery,38
471,plant,38
472,my,38
473,day,38
474,numbers,38
475,classes,38
476,having,38
477,unit,38
478,shear,38
479,whose,38
480,parts,38
481,figures,38
482,below,38
483,applied,38
484,third,38
485,back,38
486,additional,38
487,phase,38
488,knife,37
489,corporation,37
490,labor,37
491,staining,37
492,units,37
493,onset,37
494,never,37
495,human,37
496,name,37
497,oxygen,37
498,respect,37
499,discussion,37
500,side,37
501,entire,37
502,difficult,37
503,maximum,37
504,indicated,37
505,century,36
506,things,36
507,political,36
508,students,36
509,binomial,36
510,clearly,36
511,situation,36
512,cent,36
513,degree,36
514,better,36
515,called,36
516,gain,36
517,angle,36
518,assumed,36
519,community,35
520,language,35
521,tone,35
522,international,35
523,patient,35
524,said,35
525,written,35
526,family,35
527,factors,35
528,away,35
529,themselves,35
530,effective,35
531,finally,35
532,indeed,35
533,experiment,35
534,factor,35
535,nature,35
536,structure,35
537,questionnaire,34
538,address,34
539,capital,34
540,stages,34
541,modern,34
542,thyroid,34
543,longer,34
544,know,34
545,once,34
546,go,34
547,obviously,34
548,success,34
549,particles,34
550,perhaps,34
