,word,freq
1,the,2370
2,of,1340
3,and,1161
4,a,930
5,in,728
6,to,726
7,is,513
8,that,348
9,for,300
10,with,284
11,as,276
12,it,269
13,he,239
14,his,231
15,was,227
16,by,207
17,on,197
18,at,196
19,are,195
20,has,195
21,this,184
22,an,171
23,but,170
24,not,156
25,be,154
26,from,143
27,all,143
28,who,130
29,one,125
30,have,124
31,which,124
32,more,107
33,or,100
34,they,98
35,its,96
36,there,95
37,her,90
38,new,90
39,were,87
40,than,80
41,so,76
42,about,75
43,music,74
44,had,71
45,been,70
46,first,69
47,only,69
48,their,68
49,no,64
50,will,61
51,when,60
52,some,59
53,other,58
54,man,58
55,up,57
56,most,57
57,out,56
58,what,56
59,well,53
60,she,52
61,i,49
62,if,48
63,would,48
64,may,47
65,them,45
66,can,45
67,we,45
68,into,45
69,good,44
70,american,44
71,time,44
72,program,43
73,great,43
74,too,42
75,many,42
76,jazz,40
77,like,40
78,do,40
79,two,40
80,could,40
81,him,40
82,last,39
83,musical,37
84,life,37
85,much,37
86,you,37
87,such,36
88,after,36
89,just,36
90,night,36
91,way,35
92,work,35
93,these,35
94,made,35
95,also,35
96,little,34
97,even,34
98,own,34
99,years,33
100,how,33
101,audience,32
102,old,32
103,then,32
104,world,32
105,does,32
106,being,31
107,make,30
108,very,30
109,york,30
110,fine,30
111,any,30
112,himself,30
113,miss,29
114,through,29
115,where,29
116,here,28
117,war,27
118,both,27
119,now,27
120,negro,27
121,book,26
122,quite,26
123,each,26
124,might,26
125,before,26
126,those,26
127,performance,26
128,while,25
129,show,25
130,people,25
131,long,25
132,big,25
133,dance,24
134,course,24
135,season,24
136,over,23
137,stage,23
138,still,23
139,place,23
140,did,23
141,style,23
142,never,22
143,every,22
144,often,22
145,almost,22
146,sense,22
147,keys,21
148,says,21
149,between,21
150,though,21
151,however,21
152,us,21
153,white,21
154,playing,21
155,west,20
156,part,20
157,seems,20
158,get,20
159,really,20
160,called,20
161,best,20
162,singing,20
163,orchestra,20
164,under,19
165,three,19
166,given,19
167,songs,19
168,must,19
169,since,19
170,off,19
171,london,19
172,perhaps,19
173,back,19
174,again,19
175,opera,19
176,song,19
177,company,18
178,because,18
179,although,18
180,least,18
181,evening,18
182,say,18
183,should,18
184,better,18
185,high,18
186,played,18
187,radio,17
188,art,17
189,year,17
190,away,17
191,come,17
192,young,17
193,john,17
194,same,17
195,few,17
196,half,17
197,strong,17
198,color,17
199,de,17
200,whose,17
201,number,17
202,gave,17
203,something,17
204,hall,17
205,french,16
206,far,16
207,less,16
208,sound,16
209,cast,16
210,always,16
211,matter,16
212,human,16
213,among,16
214,set,16
215,once,16
216,word,16
217,another,16
218,cholesterol,15
219,universe,15
220,newport,15
221,death,15
222,food,15
223,british,15
224,men,15
225,works,15
226,others,15
227,role,15
228,second,15
229,special,15
230,without,15
231,character,15
232,fact,15
233,seem,15
234,see,15
235,ballet,15
236,point,15
237,play,15
238,heart,15
239,rather,14
240,plays,14
241,ever,14
242,group,14
243,around,14
244,leadership,14
245,right,14
246,itself,14
247,sang,14
248,brought,14
249,down,14
250,came,14
251,seemed,14
252,russian,14
253,film,14
254,left,14
255,know,14
256,become,14
257,comedie,14
258,give,14
259,times,14
260,production,14
261,festival,14
262,along,14
263,sometimes,14
264,fats,13
265,sloan,13
266,stations,13
267,public,13
268,home,13
269,clear,13
270,picture,13
271,piano,13
272,act,13
273,field,13
274,movement,13
275,band,13
276,enough,13
277,put,13
278,english,13
279,already,13
