,word,freq
1,the,723
2,of,329
3,to,306
4,and,294
5,a,236
6,was,200
7,he,191
8,in,164
9,it,158
10,had,143
11,that,131
12,his,102
13,for,100
14,i,98
15,you,96
16,not,95
17,on,90
18,but,89
19,her,82
20,would,80
21,be,80
22,with,73
23,as,72
24,they,67
25,all,66
26,no,62
27,this,61
28,have,61
29,were,59
30,she,59
31,him,58
32,at,55
33,is,50
34,could,49
35,them,47
36,from,46
37,we,45
38,said,45
39,there,44
40,their,41
41,what,41
42,been,40
43,one,39
44,did,38
45,by,37
46,out,36
47,time,34
48,an,33
49,which,33
50,up,33
51,my,32
52,or,31
53,if,29
54,when,28
55,now,27
56,mercer,26
57,helva,26
58,ekstrohm,26
59,so,26
60,do,26
61,are,26
62,know,25
63,like,25
64,long,25
65,hal,23
66,people,23
67,other,22
68,into,22
69,me,21
70,more,21
71,ship,20
72,some,20
73,only,20
74,mike,20
75,any,19
76,back,19
77,jack,18
78,about,18
79,your,18
80,man,18
81,then,18
82,will,17
83,own,17
84,first,17
85,himself,17
86,years,16
87,can,16
88,make,16
89,through,16
90,never,16
91,how,16
92,over,16
93,head,15
94,these,15
95,course,15
96,well,15
97,take,15
98,see,15
99,where,15
100,mind,15
101,made,15
102,earth,15
103,ryan,14
104,its,14
105,good,14
106,way,14
107,too,14
108,much,14
109,without,14
110,though,13
111,after,13
112,nothing,13
113,than,13
114,get,13
115,who,13
116,little,13
117,light,13
118,before,13
119,felt,13
120,each,13
121,going,13
122,just,13
123,might,12
124,such,12
125,even,12
126,very,12
127,still,12
128,being,12
129,almost,12
130,again,12
131,thought,12
132,most,12
133,last,12
134,few,12
135,lady,11
136,shell,11
137,hesperus,11
138,here,11
139,got,11
140,yet,11
141,asked,11
142,among,11
143,turned,11
144,between,11
145,down,11
146,many,11
147,knew,11
148,central,10
149,angels,10
150,bodies,10
151,gabriel,10
152,two,10
153,because,10
154,happy,10
155,off,10
156,half,10
157,work,10
158,planet,10
159,night,10
160,went,10
161,ever,10
162,brain,9
163,found,9
164,tell,9
165,eyes,9
166,thing,9
167,less,9
168,voice,9
169,has,9
170,lay,9
171,enough,9
172,new,9
173,spoke,9
174,jubal,9
175,think,9
176,mars,9
177,captain,8
178,nogol,8
179,place,8
180,kind,8
181,lost,8
182,longer,8
183,around,8
184,must,8
185,something,8
186,angel,8
187,day,8
188,while,8
189,help,8
190,once,8
191,came,8
192,outside,8
193,look,8
194,oh,8
195,saw,8
196,words,8
197,why,8
198,face,8
199,pain,7
200,da,7
201,maybe,7
202,power,7
203,siddo,7
204,space,7
205,give,7
206,hands,7
207,problem,7
208,gapt,7
209,smiled,7
210,macneff,7
211,live,7
212,however,7
213,dead,7
214,away,7
215,same,7
216,part,7
217,called,7
218,am,7
219,until,7
220,yes,7
221,those,7
222,another,7
223,looked,7
224,took,7
225,water,7
226,come,7
227,digby,7
228,body,6
229,bunk,6
230,big,6
231,ground,6
232,ask,6
233,meant,6
234,skiff,6
235,small,6
236,anything,6
237,nursery,6
238,treaty,6
239,us,6
240,instead,6
241,matter,6
242,personnel,6
243,months,6
244,our,6
245,perhaps,6
246,expedition,6
247,die,6
248,believe,6
249,already,6
250,several,6
251,since,6
252,gone,6
253,want,6
254,tried,6
255,short,6
256,later,6
257,right,6
258,lonely,6
259,beautiful,6
260,mean,6
261,toward,6
262,side,6
263,read,6
264,sure,6
265,ago,6
266,need,6
267,known,6
268,world,6
269,concept,6
270,word,6
271,taught,6
272,growing,6
273,three,6
274,brother,6
275,closer,6
276,dromozoa,5
277,happiness,5
278,drug,5
279,nice,5
280,sound,5
281,curious,5
282,scout,5
283,shells,5
284,control,5
285,happen,5
286,feet,5
287,sight,5
288,fusion,5
289,strange,5
290,wrong,5
291,center,5
292,sense,5
293,earthmen,5
294,sleep,5
295,needed,5
296,frozen,5
297,mary,5
298,speech,5
299,used,5
300,given,5
301,therefore,5
302,above,5
303,men,5
304,under,5
305,suspicion,5
306,field,5
307,fact,5
308,system,5
309,go,5
310,simply,5
311,secret,5
312,america,5
313,discovered,5
314,human,5
315,turn,5
316,always,5
317,old,5
318,others,5
319,grow,5
320,okay,5
321,life,5
322,real,5
323,agreed,5
324,warm,5
325,left,5
326,normal,5
327,stood,5
328,forced,5
329,during,5
330,god,5
331,foster,5
332,grok,5
333,shayol,4
334,none,4
335,beside,4
336,needle,4
337,cabin,4
338,sing,4
339,herself,4
