,word,freq
1,the,62125
2,of,32202
3,and,27890
4,to,26119
5,a,23097
6,in,20248
7,that,12014
8,is,9489
9,for,9207
10,was,8369
11,it,8175
12,he,7758
13,i,7691
14,as,7377
15,with,7030
16,on,6831
17,his,5745
18,be,5143
19,by,5130
20,at,4838
21,not,4521
22,are,4426
23,had,4407
24,but,4334
25,you,4318
26,from,4219
27,she,4206
28,this,4075
29,her,4007
30,or,3956
31,have,3795
32,an,3674
33,they,3655
34,we,3195
35,one,3157
36,were,3048
37,their,2735
38,all,2655
39,said,2588
40,would,2556
41,who,2405
42,which,2321
43,has,2320
44,when,2288
45,more,2285
46,what,2243
47,there,2218
48,do,2199
49,about,2191
50,if,2169
51,been,2106
52,out,2005
53,so,2000
54,my,1946
55,can,1930
56,will,1843
57,up,1827
58,no,1826
59,him,1824
60,its,1690
61,than,1690
62,other,1657
63,could,1654
64,into,1650
65,them,1604
66,some,1599
67,only,1584
68,me,1515
69,like,1505
70,did,1414
71,new,1409
72,these,1383
73,time,1377
74,then,1315
75,most,1296
76,two,1293
77,even,1268
78,such,1260
79,also,1247
80,first,1222
81,over,1207
82,now,1155
83,our,1152
84,after,1137
85,just,1116
86,people,1086
87,how,1071
88,years,1046
89,your,1038
90,because,1031
91,any,1016
92,many,994
93,through,967
94,those,964
95,where,947
96,may,939
97,between,924
98,back,910
99,way,902
100,work,893
101,well,864
102,see,857
103,women,844
104,know,839
105,before,835
106,much,828
107,made,825
108,get,822
109,life,819
110,both,806
111,down,802
112,man,796
113,should,790
114,too,786
115,world,783
116,us,782
117,own,752
118,very,752
119,make,746
120,good,744
121,here,733
122,while,726
123,does,724
124,state,702
125,still,690
126,never,682
127,must,669
128,each,665
129,being,656
130,says,655
131,another,655
132,might,639
133,right,639
134,long,634
135,used,628
136,year,624
137,american,616
138,little,613
139,off,607
140,since,603
141,day,601
142,come,599
143,go,599
144,last,598
145,use,594
146,against,593
147,same,591
148,think,586
149,three,584
150,however,568
151,take,562
152,old,556
153,going,556
154,public,553
155,men,552
156,say,552
157,thought,538
158,under,537
159,during,534
160,house,533
161,around,532
162,white,526
163,got,525
164,part,520
165,states,520
166,though,519
167,president,514
168,every,512
169,war,512
170,always,511
171,want,511
172,without,509
173,few,505
174,something,496
175,black,495
176,found,490
177,percent,486
178,why,481
179,system,478
180,came,474
181,need,473
182,woman,472
183,formula,462
184,left,460
185,home,459
186,family,457
187,less,455
188,place,453
189,among,450
190,again,448
191,government,445
192,called,436
193,great,434
194,look,430
195,asked,430
196,mother,427
197,bush,427
198,himself,424
199,away,423
200,often,422
201,important,422
202,young,420
203,end,419
204,second,417
205,took,417
206,general,416
207,high,416
208,told,414
209,early,413
210,once,413
211,father,412
212,political,412
213,social,409
214,although,408
215,small,406
216,within,405
217,room,404
218,looked,404
219,united,404
220,went,404
221,national,402
222,set,402
223,enough,401
224,yet,400
225,number,398
226,city,396
227,children,395
228,power,393
229,later,392
230,point,392
231,next,389
232,put,388
233,money,386
234,different,385
235,let,384
236,until,380
237,given,377
238,hand,377
239,fact,375
240,night,369
241,water,364
242,four,362
243,course,360
244,eyes,360
245,case,360
246,toward,359
247,best,358
248,almost,357
249,school,356
250,find,355
251,large,353
252,face,353
253,times,352
254,country,351
255,things,351
256,least,351
257,show,351
258,john,350
259,art,349
260,nothing,348
261,program,348
262,rather,347
263,several,347
264,example,346
265,major,345
266,better,340
267,past,339
268,give,337
269,ever,335
270,far,335
271,head,334
272,along,334
273,help,333
274,behind,332
275,kind,331
276,really,331
277,side,327
278,control,325
279,death,324
280,real,322
281,saw,321
282,law,321
283,economic,320
284,clinton,316
285,big,315
286,days,314
287,business,312
288,name,311
289,turned,311
290,book,309
291,others,309
292,human,306
293,research,306
294,knew,304
295,tell,304
296,began,304
297,company,302
298,love,301
299,sense,298
300,become,293
301,thing,293
302,wanted,293
303,god,292
304,door,291
305,across,291
306,problem,290
307,today,287
308,form,287
309,seen,286
310,anything,286
311,possible,285
312,means,284
313,seemed,284
314,already,284
315,whether,284
316,front,280
317,together,280
318,change,280
319,open,279
320,local,278
321,am,277
322,group,277
323,having,276
324,perhaps,275
325,known,275
326,street,275
327,felt,273
328,act,272
329,information,272
330,office,270
331,history,270
332,support,270
333,bill,270
334,itself,267
335,ca,266
336,york,266
337,play,264
338,whose,264
339,sure,264
340,mind,263
341,programs,263
342,question,262
343,story,261
344,probably,261
345,half,261
346,model,259
347,america,259
348,keep,258
349,done,257
350,development,256
351,hard,256
352,using,256
353,became,256
354,data,254
355,thus,254
356,line,254
357,including,254
358,role,253
359,certain,251
360,words,251
361,making,250
362,order,249
363,provide,248
364,society,248
365,policy,248
366,taken,248
367,person,247
368,ago,247
369,education,247
370,moment,245
371,five,244
372,believe,244
373,interest,243
374,study,243
375,matter,243
376,whole,242
377,either,242
378,south,242
379,area,242
380,call,242
381,students,241
382,experience,241
383,problems,239
384,million,238
385,heard,238
386,body,237
387,mean,236
388,working,236
389,community,236
390,close,236
391,according,235
392,lot,235
393,light,234
394,looking,234
395,town,232
396,evidence,232
397,doing,232
398,word,231
399,level,231
400,late,231
401,training,230
402,quite,229
403,music,228
404,common,228
405,able,228
406,special,228
407,job,228
408,someone,227
409,university,227
410,soon,226
411,seems,225
412,class,225
413,lost,225
414,process,224
415,table,223
416,living,223
417,party,223
418,members,222
419,themselves,221
420,feel,220
421,court,220
422,car,218
423,six,218
424,child,217
425,view,217
426,held,216
427,top,216
428,countries,216
429,issue,216
430,washington,216
431,result,214
432,age,214
433,makes,214
434,labor,214
435,military,214
436,read,213
437,talk,213
438,present,213
439,foreign,213
440,especially,213
441,turn,212
442,federal,212
443,clear,211
444,months,211
445,free,211
446,wife,210
447,everything,210
448,individual,210
449,following,209
450,hands,208
451,finally,208
452,above,208
453,reason,207
454,figure,207
455,idea,206
456,gave,206
457,period,206
458,language,206
459,herself,204
460,leave,204
461,health,204
462,church,203
463,nature,203
464,attention,203
465,brought,203
466,voice,203
467,game,202
468,century,202
469,food,201
470,moral,201
471,coming,201
472,future,201
473,position,201
474,poor,201
475,week,201
476,care,200
477,cut,199
478,tax,198
479,live,198
480,maybe,197
481,air,197
482,started,196
483,based,196
484,areas,196
485,service,196
486,boy,195
487,modern,195
488,simply,194
489,legal,194
490,instead,194
491,true,193
492,upon,193
493,full,192
494,sometimes,192
495,further,192
496,issues,192
497,college,192
498,hair,191
499,near,191
500,center,191
501,needed,191
502,yes,190
503,dead,190
504,natural,190
505,report,190
506,press,190
507,english,189
508,else,189
509,worked,189
