,word,freq
1,and,6366
2,the,4899
3,i,3616
4,a,2972
5,to,2917
6,it,2496
7,was,2069
8,he,1829
9,of,1652
10,you,1466
11,in,1450
12,that,1197
13,but,1035
14,so,961
15,we,952
16,on,875
17,for,851
18,all,840
19,up,833
20,they,820
21,out,803
22,me,745
23,him,703
24,do,689
25,there,640
26,says,637
27,got,613
28,then,593
29,no,580
30,would,563
31,his,553
32,she,543
33,as,543
34,with,534
35,had,527
36,them,512
37,could,501
38,said,485
39,see,474
40,down,467
41,what,461
42,did,449
43,when,430
44,about,420
45,my,413
46,well,408
47,if,406
48,at,404
49,by,401
50,come,397
51,one,374
52,jim,368
53,be,365
54,her,349
55,get,332
56,or,318
57,time,310
58,is,302
59,right,296
60,went,294
61,off,284
62,over,284
63,ai,276
64,just,273
65,war,273
66,go,272
67,good,271
68,old,263
69,way,262
70,like,259
71,around,259
72,de,252
73,this,251
74,know,248
75,now,246
76,en,234
77,tom,234
78,along,230
79,because,222
80,done,221
81,back,217
82,man,215
83,ever,210
84,why,206
85,little,203
86,your,199
87,some,198
88,how,197
89,never,194
90,here,191
91,say,190
92,more,190
93,two,187
94,again,187
95,too,186
96,have,181
97,away,180
98,tell,178
99,nothing,177
100,going,177
101,made,175
102,take,171
103,took,169
104,make,166
105,from,166
106,us,162
107,not,162
108,before,161
109,pretty,161
110,any,159
111,king,158
112,nigger,155
113,let,153
114,their,153
115,duke,150
116,where,149
117,want,148
118,long,147
119,an,146
120,thing,144
121,told,144
122,set,142
123,river,141
124,after,141
125,give,138
126,into,137
127,think,136
128,put,136
129,most,135
130,kind,135
131,been,135
132,can,133
133,till,133
134,people,128
135,night,124
136,look,123
137,every,119
138,reckon,119
139,only,116
140,things,116
141,head,115
142,raft,114
143,other,113
144,which,113
145,enough,110
146,town,109
147,place,109
148,our,104
149,another,103
150,day,103
151,three,102
152,soon,101
153,very,98
154,last,98
155,much,97
156,ca,96
157,everybody,95
158,first,94
159,always,94
160,minute,94
161,big,94
162,knowed,93
163,better,93
164,such,92
165,hear,92
166,run,92
167,wanted,92
168,something,92
169,looked,88
170,next,88
171,dat,87
172,gone,87
173,huck,87
174,than,86
175,chapter,86
176,keep,85
177,anything,85
178,through,83
179,trouble,83
180,yes,81
181,heard,81
182,under,81
183,dey,80
184,money,80
185,house,80
186,still,79
187,mile,78
188,mind,76
189,door,76
190,miss,76
191,side,75
192,reckoned,75
193,nobody,74
194,laid,74
195,found,74
196,oh,73
197,hands,72
198,bed,72
199,dead,72
200,mighty,71
201,begun,71
202,anybody,71
203,men,70
204,water,70
205,hand,70
206,hai,69
207,everything,69
208,talk,69
209,who,69
210,dark,69
211,maybe,68
212,thought,67
213,must,67
214,these,67
215,myself,66
216,woods,66
217,might,65
218,canoe,64
219,comes,64
220,work,64
221,half,64
222,same,63
223,wo,63
224,home,62
225,nor,61
226,pap,61
227,left,60
228,are,60
229,mary,60
230,yet,59
231,body,59
232,use,58
233,find,58
234,behind,58
235,dollars,58
236,o,57
237,lay,57
238,lot,57
239,young,57
240,aunt,57
241,has,56
242,started,55
243,will,54
244,towards,54
245,being,54
246,looking,53
247,foot,53
248,judged,52
249,saying,52
250,sawyer,52
251,while,51
252,somebody,51
253,poor,51
254,struck,50
255,coming,50
256,help,50
257,show,50
258,sally,50
259,does,49
260,light,49
261,fetch,49
262,boy,49
263,git,49
264,morning,48
265,easy,48
266,whole,48
267,niggers,47
268,kept,47
269,mean,47
270,widow,47
271,many,47
272,sometimes,47
273,rest,47
274,uncle,47
275,getting,47
276,er,46
277,both,46
278,glad,46
279,world,46
280,seen,46
281,times,46
282,room,46
283,jane,46
284,anyway,45
285,piece,45
286,himself,44
287,name,44
288,feel,43
289,without,43
290,bank,43
291,doctor,43
292,white,43
293,island,42
294,turn,42
295,own,42
296,eyes,42
297,course,42
298,four,42
299,ten,42
300,buck,42
301,days,41
302,ready,41
303,try,41
304,new,41
305,used,41
306,bad,41
307,chance,40
308,stay,40
309,ben,40
310,gwyne,40
311,stood,40
312,start,40
313,free,40
314,stand,40
315,sight,40
316,best,40
317,turned,40
318,middle,39
319,open,39
