,word,freq
1,the,3329
2,to,2808
3,and,2801
4,of,2570
5,a,1595
6,in,1389
7,was,1337
8,her,1204
9,had,1186
10,she,1146
11,i,1124
12,it,1038
13,he,961
14,be,950
15,not,934
16,that,882
17,as,809
18,for,707
19,but,664
20,his,659
21,with,654
22,you,628
23,have,589
24,at,533
25,all,530
26,anne,497
27,been,496
28,s,485
29,him,467
30,could,451
31,very,434
32,they,433
33,were,426
34,by,418
35,which,416
36,is,398
37,on,396
38,so,359
39,no,356
40,would,355
41,captain,303
42,from,295
43,their,293
44,mrs,291
45,elliot,289
46,there,286
47,or,274
48,more,273
49,them,270
50,mr,256
51,this,250
52,an,245
53,than,243
54,one,238
55,when,228
56,must,228
57,my,223
58,being,220
59,only,219
60,wentworth,218
61,lady,216
62,such,211
63,do,210
64,much,205
65,if,202
66,any,199
67,what,197
68,who,190
69,me,188
70,should,188
71,good,187
72,little,176
73,said,173
74,will,167
75,might,166
76,charles,166
77,well,163
78,own,163
79,did,162
80,herself,159
81,now,158
82,we,155
83,never,155
84,time,152
85,think,149
86,sir,149
87,russell,148
88,are,146
89,other,143
90,walter,141
91,nothing,139
92,mary,138
93,am,137
94,some,136
95,man,134
96,again,132
97,great,130
98,musgrove,130
99,too,128
100,know,127
101,miss,125
102,how,125
103,your,124
104,see,123
105,most,123
106,soon,122
107,father,117
108,though,117
109,before,116
110,two,114
111,first,113
112,quite,112
113,louisa,111
114,always,110
115,without,108
116,can,107
117,every,102
118,bath,101
119,has,100
120,into,98
121,about,97
122,made,96
123,after,96
124,out,95
125,long,95
126,himself,95
127,house,94
128,seemed,93
129,say,93
130,having,92
131,up,91
132,thought,90
133,however,89
134,elizabeth,89
135,go,88
136,make,88
137,last,88
138,better,87
139,may,87
140,place,87
141,many,85
142,young,84
143,same,84
144,over,84
145,home,83
146,friend,83
147,found,83
148,room,82
149,sister,82
150,like,81
151,felt,80
152,family,80
153,give,79
154,ever,78
155,way,78
156,away,78
157,day,77
158,uppercross,77
159,harville,75
160,feelings,75
161,come,75
162,henrietta,74
163,done,74
164,still,74
165,sure,73
166,kellynch,73
167,upon,72
168,those,72
169,its,72
170,moment,71
171,even,71
172,enough,71
173,benwick,70
174,then,70
175,admiral,69
176,off,69
177,back,69
178,while,69
179,smith,68
180,came,68
181,lyme,67
182,woman,67
183,clay,66
184,another,66
185,just,66
186,heard,65
187,going,65
188,our,65
189,present,65
190,something,64
191,happy,64
192,mind,64
193,here,63
194,indeed,63
195,party,62
196,few,62
197,knew,61
198,down,61
199,acquaintance,61
200,half,60
201,rather,60
202,almost,60
203,morning,59
204,wish,58
205,croft,58
206,yet,58
207,seen,58
208,years,58
209,shall,57
210,perhaps,57
211,once,57
212,oh,56
213,look,56
214,dear,56
215,evening,55
216,poor,55
217,between,55
218,others,54
219,together,54
220,hope,53
221,till,52
222,ought,52
223,these,52
224,where,51
225,saw,51
226,take,51
227,gone,51
228,anything,49
229,known,49
230,life,49
231,character,49
232,yes,48
233,us,48
234,certainly,48
235,believe,48
236,left,48
237,cried,47
238,short,47
239,side,47
240,old,47
241,leave,46
242,looking,45
243,deal,45
244,possible,45
245,near,45
246,since,45
247,wife,45
248,feel,44
249,under,44
250,best,44
251,each,43
252,manner,43
253,perfectly,43
254,everything,43
255,right,43
256,really,43
257,interest,43
258,heart,42
259,love,42
260,course,42
261,looked,42
262,cannot,42
263,part,42
264,whole,42
265,next,42
266,least,42
267,does,42
268,mother,42
269,musgroves,41
270,sort,41
271,spirits,41
272,name,41
273,thing,41
274,three,41
275,hardly,40
276,both,40
277,idea,40
278,passed,40
279,nor,40
280,hear,39
281,among,39
282,pleasure,39
283,people,39
284,hayter,38
285,agreeable,38
286,feeling,37
287,account,37
288,company,37
289,visit,37
290,seeing,37
291,themselves,37
292,get,36
293,ill,36
294,either,36
295,world,36
296,afterwards,36
297,walk,35
298,whom,35
299,head,35
300,children,35
301,wallis,34
302,general,34
303,change,34
304,through,34
305,husband,34
306,received,34
307,country,34
308,letter,33
309,tell,33
310,determined,33
311,began,33
312,glad,33
313,wanted,33
314,manners,33
315,coming,33
316,brother,33
317,eyes,33
318,consequence,33
319,given,33
320,brought,33
321,fine,33
322,hour,33
323,happiness,32
324,whether,32
325,towards,32
326,men,32
327,gentleman,32
328,set,32
329,far,32
330,talked,32
331,word,32
332,object,32
333,person,32
334,end,32
335,myself,31
336,answer,31
337,want,31
338,spoke,31
339,replied,31
340,put,31
341,state,31
342,shepherd,31
343,conversation,30
344,full,30
345,went,30
346,able,30
347,obliged,30
348,often,30
349,less,30
350,called,30
351,friends,30
352,camden,29
353,understand,29
354,talk,29
355,hours,29
356,point,29
357,gave,29
358,immediately,29
359,fortune,29
360,strong,29
361,dalrymple,28
362,cousin,28
363,return,28
364,bad,28
365,former,28
366,walked,28
367,use,28
368,wished,28
369,doing,28
370,thinking,28
371,therefore,28
372,pretty,28
373,hall,28
374,acquainted,27
375,attention,27
376,returned,27
377,let,27
378,against,27
379,subject,27
380,else,27
381,met,27
382,marriage,27
383,sensible,27
384,situation,27
385,year,27
386,high,27
387,street,26
388,minutes,26
389,ladies,26
390,week,26
391,carriage,26
392,told,26
393,asked,26
394,speak,26
395,because,26
396,taken,26
397,doubt,26
398,used,26
399,longer,26
400,different,26
401,early,26
402,marry,26
403,considered,26
404,new,26
405,beginning,26
406,child,25
407,forward,25
408,nature,25
409,stay,25
410,past,25
411,saying,25
412,circumstances,25
413,assure,25
414,business,25
415,regard,25
416,case,25
417,neither,25
418,attachment,25
419,night,24
420,morrow,24
421,things,24
422,opinion,24
423,engagement,24
424,eye,24
425,crofts,24
426,talking,24
427,meet,24
428,likely,24
429,days,24
430,true,24
431,degree,24
432,taste,24
433,added,24
434,worse,24
435,suppose,24
436,worth,24
437,taking,24
438,appearance,24
439,married,24
440,chapter,24
441,colonel,23
442,door,23
443,frederick,23
444,sight,23
445,mean,23
446,find,23
447,surprise,23
448,beyond,23
449,hand,23
450,making,23
451,satisfied,23
452,words,23
453,daughter,23
454,cottage,22
455,ready,22
456,care,22
457,advantage,22
458,living,22
459,knowledge,22
460,decided,22
461,question,22
462,within,22
463,equal,22
464,face,22
465,real,22
466,excellent,22
467,women,22
468,four,22
469,settled,22
470,usual,22
471,meeting,21
472,bear,21
473,alone,21
474,natural,21
475,sea,21
476,particularly,21
477,comfort,21
478,believed,21
479,anybody,21
480,means,21
481,spoken,21
482,kind,21
483,got,21
484,reason,21
485,match,21
486,open,21
487,walking,21
488,speaking,21
489,twenty,21
490,help,21
491,matter,21
492,whose,21
493,turned,21
494,concert,20
495,appeared,20
496,why,20
497,pleased,20
498,call,20
499,air,20
500,sorry,20
501,need,20
502,already,20
503,understood,20
504,pain,20
505,lived,20
506,health,20
507,rest,20
508,none,20
509,understanding,20
510,influence,20
511,hands,20
512,wonder,19
513,cousins,19
514,voice,19
515,dinner,19
516,supposed,19
517,notice,19
518,style,19
519,engaged,19
520,self,19
521,sometimes,19
522,large,19
523,nobody,19
524,value,19
525,giving,19
526,conduct,19
527,delighted,19
528,handsome,19
529,took,19
530,harvilles,18
531,finding,18
532,also,18
533,probably,18
534,window,18
535,hoped,18
536,fellow,18
537,imagine,18
538,disposed,18
539,circumstance,18
540,suffering,18
541,tone,18
542,anxious,18
543,serious,18
544,small,18
545,money,18
546,expected,18
547,rooms,18
548,drawing,18
549,everybody,18
550,generally,18
551,terms,18
552,lost,18
553,view,17
554,completely,17
555,waiting,17
556,turn,17
557,curiosity,17
558,months,17
559,warm,17
560,entirely,17
561,sisters,17
562,sense,17
563,hearing,17
564,kept,17
565,proper,17
566,pride,17
567,observed,17
568,favour,17
569,second,17
570,son,17
571,respect,17
572,nurse,16
573,meaning,16
574,late,16
575,seem,16
576,listened,16
577,perfect,16
578,farther,16
579,reached,16
580,common,16
581,caught,16
582,times,16
583,particular,16
584,description,16
585,drew,16
586,vain,16
587,meant,16
588,ago,16
589,loved,16
590,extremely,16
591,history,16
592,countenance,15
593,buildings,15
594,exactly,15
595,impossible,15
596,low,15
597,aware,15
598,round,15
599,knowing,15
600,quiet,15
601,allowed,15
602,nearly,15
603,remember,15
604,continued,15
605,smallest,15
606,answered,15
607,proof,15
608,afraid,15
609,profession,15
610,attending,15
611,behind,15
612,trying,15
613,staying,15
614,agreed,15
615,remain,15
616,fact,15
617,claims,15
618,period,15
619,instead,15
620,town,15
621,table,15
622,liked,15
623,distress,15
624,highly,15
625,kindness,15
626,youth,15
627,seat,15
628,followed,15
629,cobb,14
630,instantly,14
631,glance,14
632,breakfast,14
633,sat,14
634,sit,14
635,yesterday,14
636,yourself,14
637,sent,14
638,ashamed,14
639,agitation,14
640,comfortable,14
641,introduced,14
642,necessary,14
643,easy,14
644,besides,14
645,trouble,14
646,truth,14
647,keep,14
648,getting,14
649,turning,14
650,friendship,14
651,persuaded,14
652,live,14
653,struck,14
654,difference,14
655,justice,14
656,property,14
657,boy,14
658,future,14
659,evil,14
660,fully,14
661,consciousness,14
662,london,14
663,neighbourhood,14
664,honour,14
665,girls,14
666,looks,14
667,improved,14
668,regret,13
669,inn,13
670,moments,13
671,interesting,13
672,smile,13
673,tried,13
674,dine,13
675,calling,13
676,dare,13
677,strength,13
678,play,13
679,listen,13
680,occupied,13
681,pleasant,13
682,invitation,13
683,opportunity,13
684,admitted,13
685,share,13
686,along,13
687,become,13
688,cold,13
689,forget,13
690,greater,13
691,extraordinary,13
692,yours,13
693,tenant,13
