,word,freq
1,the,3780
2,and,1706
3,a,1432
4,of,1327
5,to,1322
6,he,1283
7,was,919
8,in,892
9,his,846
10,i,652
11,it,637
12,had,592
13,that,533
14,on,469
15,her,468
16,you,446
17,with,420
18,him,415
19,she,377
20,for,358
21,at,342
22,as,338
23,but,316
24,they,305
25,said,288
26,out,273
27,from,270
28,were,251
29,this,239
30,up,227
31,me,210
32,not,203
33,would,194
34,there,192
35,all,191
36,my,189
37,be,188
38,one,183
39,into,180
40,when,173
41,no,173
42,man,166
43,back,166
44,an,165
45,their,162
46,by,156
47,them,156
48,down,154
49,could,154
50,what,149
51,like,141
52,if,139
53,then,137
54,so,136
55,have,133
56,been,131
57,time,129
58,now,127
59,about,124
60,over,123
61,we,119
62,or,119
63,only,105
64,is,102
65,which,102
66,get,101
67,do,99
68,eyes,98
69,just,96
70,who,95
71,before,90
72,did,90
73,two,88
74,off,87
75,even,84
76,more,84
77,men,83
78,got,81
79,see,81
80,right,80
81,through,80
82,came,79
83,made,77
84,again,76
85,go,75
86,himself,75
87,face,74
88,come,73
89,long,72
90,away,71
91,head,71
92,around,71
93,its,70
94,too,70
95,your,69
96,here,69
97,little,69
98,saw,68
99,after,67
100,door,67
101,never,66
102,hand,66
103,still,66
104,way,65
105,against,65
106,took,65
107,looked,62
108,thought,62
109,other,61
110,house,61
111,water,60
112,than,60
113,went,60
114,first,59
115,might,59
116,where,58
117,know,58
118,any,58
119,some,57
120,how,56
121,big,55
122,much,55
123,something,54
124,knew,54
125,turned,53
126,are,53
127,girl,53
128,side,52
129,will,51
130,while,50
131,make,50
132,behind,50
133,going,50
134,feet,49
135,toward,49
136,well,49
137,can,48
138,hands,48
139,us,47
140,left,47
141,across,46
142,old,46
143,told,46
144,think,45
145,our,44
146,let,44
147,without,43
148,own,43
149,once,43
150,want,43
151,voice,42
152,boy,42
153,very,41
154,last,41
155,seemed,40
156,look,40
157,heard,40
158,dark,40
159,take,40
160,under,40
161,few,40
162,began,39
163,place,39
164,three,39
165,good,39
166,front,39
167,day,39
168,nothing,39
169,open,38
170,inside,38
171,hair,38
172,started,38
173,almost,37
174,car,36
175,small,36
176,tell,36
177,mind,36
178,stood,36
179,until,36
180,reached,36
181,woman,36
182,found,36
183,matsuo,35
184,hall,35
185,fire,35
186,enough,35
187,maybe,34
188,horses,34
189,these,34
190,say,34
191,asked,34
192,felt,34
193,night,34
194,marine,33
195,jess,33
196,another,33
197,valley,33
198,black,33
199,ran,33
200,seen,33
201,room,33
202,both,33
203,moment,32
204,new,32
205,years,32
206,curt,31
207,gun,31
208,those,31
209,body,31
210,far,31
211,anything,31
212,rifle,31
213,work,31
214,hard,31
215,shot,30
216,better,30
217,why,30
218,ever,30
219,brannon,29
220,street,29
221,though,29
222,ground,29
223,moved,29
224,life,29
225,each,29
226,ramey,28
227,mike,28
228,town,28
229,brought,28
230,sure,28
231,walked,28
232,give,28
233,along,28
234,most,28
235,because,28
236,thing,28
237,morgan,28
238,wagon,27
239,white,27
240,morning,27
241,held,27
242,must,27
243,minutes,27
244,bottle,26
245,later,26
246,light,26
247,dead,26
248,every,26
249,tilghman,25
250,greg,25
251,miss,25
252,barton,25
253,home,25
254,turn,25
255,above,25
256,yet,25
257,line,25
258,blue,25
259,dropped,25
260,put,25
261,wife,25
262,next,24
263,end,24
264,air,24
265,followed,24
266,arm,24
267,many,24
268,young,24
269,people,24
270,caught,24
271,sound,23
272,such,23
273,hit,23
274,jack,23
275,floor,23
276,gone,23
277,tom,23
278,lord,23
279,gave,23
280,mouth,23
281,hear,23
282,sat,23
283,dan,23
284,penny,22
285,near,22
286,also,22
287,soon,22
288,horse,22
289,called,22
290,words,22
291,throat,22
292,wall,22
293,suddenly,22
294,help,22
295,running,22
296,days,22
297,several,22
298,red,22
299,lips,22
300,stay,22
301,always,21
302,road,21
303,else,21
304,war,21
305,close,21
306,trees,21
307,passed,21
308,part,21
309,looking,21
310,sun,21
311,thinking,21
312,keith,20
313,russ,20
314,pat,20
315,second,20
316,probably,20
317,past,20
318,upon,20
319,chance,20
320,others,20
321,shoulder,20
322,high,20
323,neck,20
324,wanted,20
325,death,20
326,half,20
327,watched,20
328,opened,19
329,truck,19
330,women,19
331,already,19
332,pulled,19
333,quite,19
334,corner,19
335,between,19
336,rear,19
337,forward,19
338,yes,19
339,clayton,19
340,feel,19
341,oh,19
342,mean,19
343,really,19
344,kind,19
345,being,19
346,langford,18
347,girls,18
348,name,18
349,things,18
350,great,18
351,blood,18
352,within,18
353,hell,18
354,same,18
355,riding,18
356,gray,18
357,steps,18
358,since,18
359,find,18
360,five,18
361,doing,18
362,leave,18
363,trouble,18
364,lalaurie,17
365,dive,17
366,cobb,17
367,window,17
368,joyce,17
369,pamela,17
370,straight,17
371,should,17
372,wilson,17
373,four,17
374,legs,17
375,kept,17
376,ride,17
377,swung,17
378,river,17
379,ago,17
380,shook,17
381,getting,17
382,bed,17
383,strong,17
384,stared,17
385,set,17
386,keep,17
387,six,17
388,billy,17
389,arms,17
390,drink,17
391,walk,17
392,stopped,17
393,nicolas,16
394,tree,16
395,jungle,16
396,office,16
397,sight,16
398,although,16
399,waiting,16
400,green,16
401,world,16
402,showed,16
403,hundred,16
404,land,16
405,tried,16
406,beneath,16
407,course,16
408,job,16
409,money,16
410,lifted,16
411,move,16
412,happened,16
413,country,16
414,ernie,15
415,dandy,15
416,enemy,15
417,mother,15
418,ten,15
419,sort,15
420,perhaps,15
421,show,15
422,has,15
423,matter,15
424,done,15
425,large,15
426,having,15
427,became,15
428,try,15
429,trying,15
430,talk,15
431,yards,15
432,father,15
433,cold,15
434,killed,15
435,together,15
436,either,15
437,use,15
438,nodded,15
439,lay,15
440,slowly,15
441,least,15
442,top,15
443,carried,15
444,waddell,14
445,benson,14
446,mary,14
447,drew,14
448,climbed,14
449,brown,14
450,wore,14
451,tall,14
452,pool,14
453,west,14
454,deep,14
455,hat,14
456,pistol,14
457,slightly,14
458,feeling,14
459,alone,14
460,someone,14
461,figure,14
462,saddle,14
463,meant,14
464,known,14
465,quickly,14
466,hung,14
467,ready,14
468,need,14
469,finally,14
470,miles,14
471,filled,14
472,kill,14
473,shoulders,14
474,care,14
475,rest,14
476,fast,14
477,grass,14
478,less,14
479,school,13
480,uncle,13
481,johnson,13
482,rod,13
483,store,13
