,word,freq
1,the,1027
2,and,529
3,a,523
4,of,518
5,to,465
6,in,360
7,was,276
8,that,252
9,i,239
10,it,210
11,he,195
12,for,158
13,had,149
14,you,148
15,his,145
16,as,133
17,with,133
18,on,130
19,is,121
20,at,107
21,but,101
22,they,98
23,said,88
24,were,84
25,not,84
26,she,81
27,my,81
28,an,80
29,be,79
30,one,77
31,this,76
32,by,73
33,or,69
34,her,68
35,all,62
36,when,62
37,which,62
38,from,61
39,have,56
40,me,56
41,would,56
42,so,56
43,their,53
44,up,51
45,we,50
46,them,49
47,who,49
48,him,48
49,what,46
50,out,44
51,are,44
52,time,44
53,there,42
54,if,42
55,even,39
56,been,39
57,your,38
58,then,37
59,more,37
60,do,36
61,like,36
62,no,36
63,about,36
64,into,35
65,such,35
66,only,33
67,could,33
68,our,32
69,did,30
70,other,29
71,after,29
72,things,28
73,now,28
74,way,28
75,over,27
76,has,26
77,two,26
78,very,25
79,how,25
80,little,25
81,get,25
82,than,25
83,arlene,24
84,just,24
85,mother,24
86,us,23
87,down,23
88,made,23
89,man,23
90,once,21
91,day,21
92,years,21
93,told,20
94,people,20
95,children,20
96,some,20
97,new,20
98,never,20
99,too,20
100,letch,19
101,say,19
102,much,19
103,any,19
104,asked,19
105,through,18
106,room,18
107,long,18
108,another,18
109,barco,18
110,these,18
111,moreland,17
112,funny,17
113,always,17
114,most,17
115,last,17
116,home,17
117,many,17
118,can,17
119,old,17
120,its,16
121,being,16
122,where,16
123,something,16
124,know,16
125,because,16
126,back,16
127,comedy,15
128,house,15
129,called,15
130,went,15
131,around,15
132,again,15
133,well,15
134,seemed,15
135,first,15
136,while,15
137,off,15
138,heart,14
139,think,14
140,done,14
141,welch,14
142,thought,14
143,every,14
144,english,13
145,general,13
146,going,13
147,work,13
148,also,13
149,make,13
150,will,13
151,those,13
152,thing,13
153,since,13
154,put,13
155,looked,13
156,see,13
157,why,13
158,right,12
159,world,12
160,set,12
161,head,12
162,found,12
163,good,12
164,case,12
165,life,12
166,own,12
167,came,12
168,less,12
169,seems,12
170,crombie,11
171,each,11
172,against,11
173,kind,11
174,few,11
175,night,11
176,sometimes,11
177,human,11
178,before,11
179,girl,11
180,viola,11
181,enough,11
182,got,11
183,tell,11
184,ago,10
185,part,10
186,whole,10
187,woman,10
188,couple,10
189,find,10
190,kitchen,10
191,wife,10
192,sat,10
193,perhaps,10
194,film,10
195,use,10
196,newspaper,10
197,go,10
198,eyes,10
199,great,10
200,ever,10
201,took,10
202,without,10
203,however,10
204,moment,10
205,having,10
206,horse,9
207,blatz,9
208,tools,9
209,look,9
210,must,9
211,person,9
212,sort,9
213,myself,9
214,place,9
215,small,9
216,both,9
217,become,9
218,left,9
219,four,9
220,knew,9
221,during,9
222,under,9
223,five,9
224,radish,8
225,humor,8
226,am,8
227,bit,8
228,stone,8
229,friend,8
230,workbench,8
231,public,8
232,mind,8
233,miss,8
234,read,8
235,live,8
236,least,8
237,oh,8
238,hear,8
239,stage,8
240,though,8
241,either,8
242,husband,8
243,phone,8
244,keep,8
245,order,8
246,school,8
247,far,8
248,whose,8
249,may,8
250,meeting,8
251,year,8
252,nice,8
253,certain,8
254,next,8
255,feet,8
256,almost,8
257,started,8
258,might,8
259,matter,8
260,upon,8
261,hand,8
262,dear,8
263,himself,8
264,gorboduc,7
265,believe,7
266,species,7
267,saw,7
268,dogs,7
269,still,7
270,turned,7
271,mouth,7
272,else,7
273,story,7
274,wrote,7
275,same,7
276,open,7
277,blanche,7
278,rather,7
279,became,7
280,catatonia,7
281,important,7
282,francesca,7
283,times,7
284,voice,7
285,herself,7
286,away,7
287,should,7
288,mean,7
289,power,7
290,light,7
291,brought,7
292,here,7
293,party,7
294,anyone,7
295,lot,7
296,wanted,7
297,nothing,7
298,felt,7
299,began,7
300,car,7
301,finally,7
302,picture,7
303,police,7
304,among,7
305,french,6
306,does,6
307,movie,6
308,ambiguity,6
309,remember,6
310,wall,6
311,cellar,6
312,pegboard,6
313,want,6
314,end,6
315,wonderful,6
316,really,6
317,understand,6
318,example,6
319,leaving,6
320,family,6
321,help,6
322,studio,6
323,itself,6
324,able,6
325,week,6
326,men,6
327,anything,6
328,let,6
329,successful,6
330,saying,6
331,second,6
332,attention,6
333,girls,6
334,high,6
335,received,6
336,doors,6
337,days,6
338,shoes,6
339,taken,6
340,soon,6
341,rest,6
342,given,6
343,nor,6
344,three,6
345,come,6
346,call,6
347,take,6
348,attempt,6
349,later,6
350,buddha,5
351,performance,5
352,de,5
353,used,5
354,smiling,5
355,burnside,5
356,ivory,5
357,sheep,5
358,whether,5
359,glass,5
360,drink,5
361,becomes,5
362,reference,5
363,modern,5
364,indefinite,5
365,politician,5
366,described,5
367,ambiguous,5
368,taking,5
369,probably,5
370,recently,5
371,behind,5
372,half,5
373,course,5
374,american,5
375,laughed,5
376,lovely,5
377,cannot,5
378,thousand,5
379,best,5
380,heard,5
381,name,5
382,figure,5
383,nation,5
384,white,5
385,major,5
386,need,5
387,kafka,5
388,teeth,5
389,television,5
390,yes,5
391,quite,5
392,doing,5
393,bought,5
394,bermuda,5
395,love,5
396,daughter,5
397,village,5
398,doctor,5
399,met,5
400,playing,5
401,gave,5
402,trying,5
403,stool,5
404,making,5
405,problem,5
406,different,5
407,dinner,5
408,explained,5
409,evening,5
410,society,5
411,names,5
412,effect,5
413,hair,5
414,late,5
415,host,5
416,telephone,5
417,until,5
418,fear,5
419,bitter,5
420,everything,5
421,hour,5
422,gone,5
423,state,5
424,indeed,5
425,ten,5
426,show,5
427,spirit,5
428,clearly,5
429,captain,5
430,true,5
431,caught,5
432,los,5
433,entered,5
434,women,5
435,trial,5
436,better,5
437,thus,5
438,hot,5
439,along,5
440,station,5
441,hollywood,5
442,mills,5
443,murder,5
444,yourselves,4
445,alicia,4
446,piece,4
447,neitzbohr,4
448,door,4
449,happy,4
450,lips,4
451,unusual,4
452,policeman,4
453,doubt,4
454,satire,4
455,problems,4
456,theatre,4
457,music,4
458,sure,4
459,hard,4
460,dress,4
461,anatomical,4
462,wide,4
463,advised,4
464,vaudeville,4
465,familiar,4
466,word,4
467,misplaced,4
468,replied,4
469,statement,4
470,face,4
471,news,4
472,agreed,4
473,unless,4
474,greatest,4
475,legs,4
476,top,4
477,box,4
478,send,4
479,idea,4
480,action,4
481,answered,4
482,busy,4
483,nobody,4
484,group,4
485,letter,4
486,build,4
487,items,4
488,workshop,4
489,turn,4
490,mad,4
491,sir,4
492,simply,4
493,actor,4
494,george,4
495,cabrini,4
496,lady,4
497,played,4
498,postponed,4
499,recall,4
500,yet,4
501,run,4
502,whenever,4
503,someone,4
504,buy,4
505,club,4
506,scene,4
507,young,4
508,tried,4
509,role,4
510,henry,4
511,court,4
512,science,4
513,months,4
514,dessert,4
515,thinking,4
516,care,4
517,smile,4
518,radio,4
519,others,4
520,fish,4
521,usually,4
522,grazie,4
523,company,4
524,feel,4
525,equally,4
526,known,4
527,seem,4
528,wearing,4
529,uniform,4
530,showed,4
531,exactly,4
532,play,4
533,paint,4
534,standing,4
535,breakfast,4
536,whom,4
537,rome,4
538,married,4
539,fran,4
540,start,4
541,instead,4
542,hung,4
543,hold,4
544,themselves,4
545,means,4
546,watched,4
547,area,4
548,fact,4
549,lines,4
550,social,4
551,together,4
552,discovered,4
553,political,4
554,neither,4
555,red,4
556,table,4
557,several,4
558,air,4
559,arrived,4
560,character,4
561,mystery,4
562,toward,4
563,between,4
564,bodies,4
565,throw,4
566,count,4
567,reached,4
568,everyone,4
569,city,4
570,office,4
571,personal,4
572,lead,4
573,angeles,4
574,refused,4
575,cut,4
576,kept,4
577,search,4
578,proceeded,4
579,close,4
580,question,4
581,minutes,4
582,seven,4
583,possess,3
584,quasimodo,3
585,haunting,3
586,fink,3
587,cup,3
588,piano,3
589,across,3
590,delivered,3
591,impossible,3
592,biting,3
593,lip,3
594,beginning,3
595,begin,3
596,move,3
597,exact,3
598,park,3
599,dead,3
600,quickly,3
601,plays,3
602,animals,3
603,window,3
604,worthy,3
605,forever,3
606,james,3
607,law,3
608,paris,3
609,foreigners,3
610,horror,3
611,trembling,3
612,future,3
613,fly,3
614,terms,3
615,peacocks,3
616,talking,3
617,highly,3
618,minor,3
619,beautiful,3
620,suppose,3
621,awfully,3
622,inquired,3
623,saleslady,3
624,department,3
625,lemon,3
626,literature,3
627,stomach,3
628,shot,3
629,complete,3
630,getting,3
631,saturday,3
632,comic,3
633,local,3
634,ad,3
635,slips,3
636,recent,3
637,sick,3
638,position,3
639,amusing,3
640,modifier,3
641,obscurity,3
642,classic,3
643,questions,3
644,writer,3
645,today,3
646,remarked,3
647,above,3
648,already,3
649,wait,3
650,protested,3
651,morning,3
652,further,3
653,pretty,3
654,line,3
655,wooden,3
656,touch,3
657,sober,3
658,drunk,3
659,job,3
660,cold,3
661,bad,3
662,crumb,3
663,sturdy,3
664,heavy,3
665,paneling,3
666,attach,3
667,hours,3
