,word,freq
1,the,6386
2,of,2861
3,and,2186
4,to,2144
5,a,2130
6,in,2020
7,for,969
8,that,829
9,is,733
10,was,717
11,on,691
12,he,642
13,at,636
14,with,567
15,be,526
16,as,517
17,by,504
18,it,478
19,his,428
20,said,406
21,will,389
22,from,353
23,are,330
24,this,320
25,an,311
26,has,301
27,but,283
28,had,281
29,who,268
30,they,267
31,have,265
32,not,257
33,were,252
34,would,246
35,which,245
36,new,241
37,their,231
38,one,213
39,been,212
40,there,189
41,more,183
42,all,181
43,i,179
44,its,178
45,last,177
46,two,174
47,or,174
48,when,169
49,up,168
50,other,164
51,out,162
52,first,158
53,state,153
54,after,151
55,about,147
56,president,142
57,year,142
58,than,138
59,home,132
60,also,129
61,her,121
62,no,120
63,over,119
64,into,115
65,some,113
66,only,111
67,made,107
68,we,107
69,if,103
70,time,103
71,years,102
72,three,101
73,house,97
74,them,96
75,what,95
76,week,94
77,can,94
78,any,94
79,him,93
80,before,93
81,may,93
82,city,93
83,under,91
84,could,87
85,now,87
86,school,87
87,four,82
88,most,81
89,so,81
90,against,78
91,she,77
92,day,76
93,committee,75
94,members,74
95,each,74
96,man,74
97,such,74
98,government,73
99,off,73
100,then,73
101,back,73
102,both,73
103,national,72
104,here,72
105,many,72
106,university,70
107,these,70
108,bill,69
109,high,68
110,get,68
111,american,67
112,since,67
113,work,67
114,those,66
115,kennedy,66
116,you,66
117,program,66
118,john,65
119,night,65
120,board,64
121,do,64
122,did,64
123,meeting,62
124,administration,62
125,even,61
126,per,61
127,should,61
128,county,61
129,states,60
130,during,60
131,our,60
132,where,59
133,united,58
134,public,58
135,tax,58
136,service,57
137,white,57
138,being,57
139,yesterday,56
140,people,56
141,through,56
142,club,55
143,today,55
144,because,55
145,while,55
146,court,55
147,monday,54
148,without,53
149,told,53
150,must,53
151,company,52
152,family,52
153,york,52
154,sales,52
155,federal,52
156,game,51
157,much,51
158,down,51
159,good,51
160,set,51
161,sunday,51
162,cent,51
163,car,50
164,take,50
165,dallas,49
166,just,49
167,system,49
168,however,49
169,miss,48
170,between,48
171,like,48
172,washington,48
173,texas,48
174,mantle,47
175,men,47
176,way,47
177,children,47
178,took,47
179,world,46
180,another,46
181,long,46
182,education,46
183,plan,46
184,jury,46
185,business,45
186,local,45
187,got,45
188,million,45
189,five,45
190,make,44
191,season,43
192,group,43
193,my,43
194,party,43
195,tuesday,43
196,held,43
197,chairman,43
198,general,43
199,well,43
200,palmer,42
201,play,42
202,months,42
203,how,42
204,big,42
205,special,42
206,go,42
207,came,41
208,young,41
209,own,41
210,next,41
211,election,41
212,friday,41
213,second,40
214,center,40
215,area,40
216,days,40
217,march,40
218,see,40
219,expected,40
220,hospital,40
221,police,40
222,law,40
223,case,39
224,several,39
225,left,39
226,asked,39
227,problem,39
228,among,39
229,judge,39
230,library,38
231,early,38
232,laos,38
233,never,38
234,called,38
235,college,38
236,still,38
237,schools,38
238,little,38
239,democratic,38
240,given,38
241,might,38
242,player,37
243,ball,37
244,same,37
245,foreign,37
246,along,37
247,league,37
248,third,37
249,later,37
250,went,37
251,too,37
252,session,37
253,james,37
254,announced,37
255,maris,36
256,international,36
257,ago,36
258,north,36
259,council,36
260,william,36
261,hit,35
262,member,35
263,union,35
264,record,35
265,past,35
266,very,35
267,run,35
268,wife,35
269,began,34
270,give,34
271,old,34
272,senate,34
273,director,34
274,top,34
275,association,34
276,total,33
277,saturday,33
278,open,33
279,labor,33
280,great,33
281,show,33
282,until,33
