,word,freq
1,the,14431
2,of,6609
3,and,6430
4,a,4736
5,to,4625
6,in,4172
7,that,3085
8,his,2530
9,it,2522
10,i,2127
11,he,1896
12,but,1818
13,s,1802
14,as,1741
15,is,1725
16,with,1722
17,was,1644
18,for,1617
19,all,1526
20,this,1394
21,at,1319
22,whale,1226
23,by,1204
24,not,1151
25,from,1088
26,him,1067
27,so,1065
28,on,1062
29,be,1045
30,one,921
31,you,894
32,there,869
33,now,785
34,had,779
35,have,768
36,or,713
37,were,684
38,they,667
39,which,648
40,like,647
41,me,633
42,then,630
43,their,620
44,some,618
45,what,618
46,when,606
47,are,598
48,an,596
49,my,589
50,no,586
51,upon,566
52,out,538
53,man,527
54,into,523
55,up,521
56,ship,518
57,ahab,511
58,more,508
59,if,481
60,them,474
61,ye,472
62,we,460
63,sea,455
64,old,450
65,would,432
66,other,416
67,been,415
68,over,409
69,these,403
70,will,391
71,though,384
72,down,378
73,only,376
74,its,376
75,such,370
76,who,363
77,yet,345
78,head,345
79,boat,336
80,time,334
81,long,333
82,her,332
83,captain,329
84,any,327
85,here,325
86,very,322
87,still,312
88,about,310
89,than,309
90,do,307
91,those,306
92,great,306
93,said,304
94,before,299
95,two,298
96,has,292
97,t,291
98,seemed,283
99,must,283
100,most,282
101,white,281
102,last,277
103,see,272
104,way,271
105,thou,271
106,after,270
107,whales,268
108,again,263
109,did,258
110,stubb,257
111,how,255
112,queequeg,252
113,little,249
114,your,249
115,round,247
116,while,246
117,three,245
118,sperm,244
119,men,244
120,say,244
121,may,240
122,can,236
123,first,235
124,through,233
125,every,232
126,well,230
127,us,228
128,being,225
129,much,223
130,where,220
131,off,220
132,good,216
133,could,216
134,same,214
135,hand,214
136,side,208
137,our,207
138,never,206
139,ever,206
140,himself,205
141,look,205
142,own,205
143,starbuck,198
144,deck,196
145,almost,195
146,go,194
147,even,191
148,water,190
149,thing,188
150,too,185
151,away,183
152,should,183
153,might,183
154,come,179
155,made,178
156,day,176
157,world,176
158,sir,175
159,life,174
160,pequod,173
161,chapter,173
162,fish,169
163,among,167
164,many,166
165,far,165
166,seen,165
167,back,164
168,line,158
169,let,158
170,nor,156
171,oh,156
172,without,156
173,eyes,156
174,aye,155
175,cried,155
176,know,152
177,sort,152
178,god,152
179,right,151
180,night,150
181,thought,150
182,part,149
183,once,149
184,boats,147
185,air,143
186,crew,140
187,don,139
188,whole,137
189,take,137
190,half,136
191,tell,135
192,against,134
193,thus,133
194,things,132
195,whaling,131
196,thee,131
197,hands,130
198,soon,130
199,came,130
200,mast,129
201,each,128
202,small,128
203,feet,127
204,both,124
205,something,123
206,full,123
207,till,122
208,think,122
209,between,120
210,under,120
211,she,120
212,why,119
213,just,117
214,place,116
215,saw,116
216,called,116
217,another,115
218,found,115
219,nothing,115
220,ll,114
221,towards,114
222,poor,114
223,thy,113
224,times,112
225,make,112
226,along,110
227,heard,110
228,body,110
229,flask,108
230,high,108
231,stand,107
232,sight,105
233,moment,105
234,voyage,103
235,sun,102
236,sail,102
237,end,100
238,new,99
239,hold,98
240,strange,98
241,went,97
242,shall,97
243,nantucket,96
244,years,96
245,leviathan,96
246,face,95
247,does,95
248,get,95
249,however,95
250,few,94
251,black,92
252,because,92
253,dead,92
254,whether,91
255,also,91
256,am,91
257,heart,91
258,stood,90
259,death,90
260,oil,90
261,leg,89
262,indeed,89
263,going,89
264,perhaps,89
265,arm,89
266,certain,89
267,eye,88
268,iron,87
269,matter,87
270,seems,87
271,seas,87
272,ships,87
273,sometimes,87
274,whose,87
275,true,87
276,heads,86
277,give,86
278,seem,85
279,jonah,85
280,cabin,84
281,wild,84
282,itself,84
283,dick,84
284,moby,84
285,hard,83
286,soul,83
287,standing,82
288,days,82
289,sailor,81
290,mind,81
291,harpooneer,81
292,ocean,81
293,present,80
294,young,80
295,always,80
296,tail,80
297,land,80
298,known,80
299,light,79
300,ere,79
301,mate,79
302,large,79
303,within,79
304,lay,78
305,length,78
306,instant,77
307,bildad,76
308,bed,76
309,harpoon,76
310,enough,76
311,beneath,76
312,fire,76
313,set,76
314,open,76
315,least,76
316,word,76
317,yes,75
318,pip,74
319,peleg,74
320,done,74
321,morning,74
322,board,74
323,d,74
324,four,74
325,put,73
326,living,73
327,vast,73
328,often,72
329,rather,72
330,whalemen,72
331,point,72
332,case,72
333,top,71
334,looking,70
335,wind,70
336,near,70
337,deep,70
338,waters,69
339,keep,69
340,general,69
341,cannot,69
342,myself,69
343,name,69
344,business,68
345,left,67
346,therefore,67
347,turned,66
348,having,66
349,best,66
350,lord,66
351,boy,65
352,fishery,65
353,work,65
354,since,65
355,lower,64
356,looked,64
357,reason,64
358,order,64
359,king,64
360,together,64
361,fast,63
362,better,63
363,mr,63
