,word,freq
1,and,627
2,the,579
3,i,533
4,to,446
5,you,391
6,of,354
7,that,289
8,a,267
9,not,257
10,is,253
11,in,225
12,d,215
13,my,209
14,it,198
15,caesar,190
16,me,188
17,he,177
18,for,176
19,him,166
20,this,166
21,will,163
22,brutus,161
23,his,157
24,bru,153
25,with,150
26,your,149
27,haue,148
28,be,147
29,but,141
30,so,139
31,as,133
32,what,129
33,shall,125
34,do,122
35,thou,115
36,all,109
37,are,109
38,cassi,107
39,then,107
40,by,100
41,we,95
42,our,93
43,no,93
44,cassius,85
45,if,84
46,did,82
47,on,82
48,antony,75
49,come,74
50,let,71
51,good,71
52,o,71
53,know,70
54,men,69
55,was,67
56,when,67
57,they,65
58,enter,64
59,vs,63
60,now,63
61,their,61
62,them,60
63,at,59
64,man,59
65,heere,59
66,am,57
67,thy,56
68,thee,55
69,there,54
70,from,49
71,well,48
72,ant,48
73,s,48
74,vpon,48
75,which,47
76,day,46
77,or,44
78,lord,44
79,would,44
80,why,43
81,night,42
82,should,42
83,yet,42
84,some,41
85,go,41
86,selfe,40
87,like,39
88,noble,39
89,caes,39
90,these,39
91,st,39
92,tell,38
93,cask,38
94,caesars,38
95,heare,38
96,rome,38
97,may,38
98,such,37
99,brut,37
100,see,37
101,say,37
102,must,36
103,how,35
104,were,35
105,hath,35
106,giue,35
107,stand,35
108,speake,35
109,one,34
110,loue,34
111,an,34
112,more,34
113,caska,33
114,where,33
115,who,32
116,vp,32
117,doth,30
118,too,30
119,death,29
120,feare,29
121,much,29
122,hand,29
123,luc,28
124,euery,28
125,most,28
126,out,28
127,had,27
128,any,27
129,looke,27
130,lucius,26
131,cinna,26
132,make,26
133,great,26
134,messala,25
135,friends,25
136,gods,25
137,time,25
138,art,25
139,blood,24
140,nor,24
141,octauius,23
142,heart,23
143,take,23
144,done,23
145,titinius,23
146,tis,23
147,beare,23
148,downe,23
149,sir,23
150,thinke,22
151,mine,22
152,friend,22
153,exeunt,22
154,till,22
155,hee,21
156,cas,21
157,wrong,20
158,marke,20
159,word,20
160,messa,19
161,forth,19
162,fire,19
163,thing,19
164,leaue,19
165,off,19
166,about,19
167,can,19
168,octa,18
169,stay,18
170,place,18
171,romans,18
172,world,18
173,true,18
174,could,18
175,againe,18
176,away,18
177,liue,18
178,l,17
179,euen,17
180,neuer,17
181,bid,17
182,peace,17
183,decius,17
184,finde,17
185,capitoll,17
186,made,17
187,things,17
188,euer,17
189,por,16
190,wee,16
191,thus,16
192,name,16
193,spirit,16
194,put,16
195,house,15
196,dead,15
197,cause,15
198,better,15
199,morrow,15
200,hands,15
201,shew,15
202,part,15
203,comes,15
204,many,15
205,lucillius,14
206,mark,14
207,honourable,14
208,dye,14
209,boy,14
210,vnto,14
211,doe,14
212,roman,14
213,hast,14
214,himselfe,14
215,eyes,14
216,once,14
217,set,14
218,way,14
219,follow,14
220,into,14
221,caius,13
222,within,13
223,metellus,13
224,sword,13
225,body,13
226,hold,13
227,might,13
228,other,13
229,therefore,13
230,face,13
231,portia,13
232,else,13
233,ile,13
234,fellow,13
235,answer,13
236,pindarus,12
237,mighty,12
238,cato,12
239,brother,12
240,first,12
241,exit,12
242,fell,12
243,backe,12
244,words,12
245,life,12
246,very,12
247,before,12
248,march,12
249,run,12
250,hearts,12
251,bad,12
252,best,12
253,home,12
254,hence,12
255,philippi,11
256,master,11
257,publius,11
258,ser,11
259,bring,11
260,trebonius,11
261,beares,11
262,send,11
263,meane,11
264,owne,11
265,crowne,11
266,selues,11
267,sicke,11
268,honor,11
269,cry,11
270,still,11
271,sooth,11
272,after,11
273,cicero,11
274,flye,11
275,fall,11
276,her,11
277,get,11
278,pardon,10
279,call,10
280,two,10
281,strong,10
282,while,10
283,full,10
284,farewell,10
285,sure,10
286,rest,10
287,meete,10
288,nothing,10
289,yours,10
290,vnder,10
291,generall,10
292,people,10
293,gentle,10
294,cass,10
295,ho,10
