,word,freq
1,the,133583
2,and,95442
3,of,71267
4,to,48057
5,a,33960
6,in,33580
7,i,30265
8,that,28798
9,he,25857
10,it,22303
11,his,21402
12,for,19527
13,was,18715
14,with,17599
15,not,17373
16,is,16435
17,you,16398
18,be,16115
19,as,14528
20,but,13944
21,all,13725
22,they,13104
23,him,13012
24,shall,11682
25,her,11552
26,my,10511
27,had,10317
28,them,10245
29,have,10116
30,s,9896
31,me,9469
32,said,9429
33,at,9174
34,she,9078
35,from,9076
36,unto,9010
37,this,8915
38,which,8775
39,on,8596
40,lord,8590
41,by,8512
42,their,7806
43,so,7791
44,will,7368
45,were,6871
46,are,6854
47,thou,6759
48,there,6380
49,when,6330
50,or,6325
51,one,6218
52,no,5846
53,what,5792
54,out,5771
55,man,5615
56,thy,5609
57,god,5287
58,if,5245
59,we,5134
60,your,5121
61,then,5091
62,up,5023
63,an,4897
64,thee,4807
65,do,4707
66,now,4677
67,ye,4674
68,upon,4587
69,who,4262
70,into,4098
71,more,4062
72,would,4046
73,very,4009
74,come,3642
75,could,3594
76,like,3468
77,before,3449
78,been,3410
79,any,3357
80,came,3337
81,day,3326
82,king,3149
83,did,3121
84,little,3065
85,know,3057
86,am,2987
87,than,2908
88,house,2900
89,good,2899
90,every,2892
91,see,2885
92,great,2859
93,these,2850
94,go,2841
95,down,2819
96,us,2804
97,people,2802
98,some,2756
99,son,2754
100,made,2744
101,say,2737
102,men,2726
103,after,2723
104,how,2716
105,our,2714
106,time,2707
107,let,2676
108,d,2596
109,about,2595
110,israel,2592
111,such,2560
112,over,2559
113,should,2550
114,may,2549
115,hath,2535
116,well,2509
117,only,2506
118,even,2480
119,other,2451
120,hand,2446
121,two,2374
122,mr,2356
123,must,2333
124,can,2327
125,father,2319
126,against,2317
127,much,2308
128,went,2307
129,t,2256
130,make,2255
131,children,2253
132,yet,2234
133,own,2221
134,o,2220
135,also,2186
136,again,2122
137,land,2081
138,old,2081
139,away,2027
140,things,1977
141,thing,1974
142,might,1963
143,first,1937
144,way,1917
145,because,1896
146,mrs,1857
147,where,1853
148,never,1838
149,give,1830
150,take,1803
151,nor,1801
152,here,1782
153,long,1765
154,saying,1746
155,though,1738
156,himself,1702
157,think,1693
158,earth,1682
159,shalt,1673
160,those,1668
161,ever,1656
162,has,1653
163,being,1652
164,saw,1636
165,therefore,1628
166,heard,1599
167,put,1592
168,many,1591
169,through,1589
170,place,1588
171,without,1581
172,off,1576
173,most,1523
174,heart,1500
175,head,1495
176,name,1493
177,too,1485
178,nothing,1469
179,behold,1468
180,life,1447
181,eyes,1428
182,whom,1424
183,among,1405
184,thus,1366
185,still,1355
186,thought,1353
187,sea,1351
188,last,1333
189,just,1332
190,done,1322
191,word,1303
192,its,1291
193,world,1285
194,face,1275
195,why,1272
196,days,1270
197,night,1270
198,same,1268
199,saith,1267
200,found,1263
201,voice,1258
202,another,1256
203,whale,1254
204,took,1242
205,hear,1235
206,brought,1231
207,hast,1230
208,three,1228
209,while,1222
210,mother,1213
211,forth,1195
212,sons,1191
213,miss,1190
214,look,1187
215,heaven,1185
216,set,1181
217,side,1166
218,round,1162
219,young,1158
220,tell,1153
221,right,1148
222,called,1138
223,under,1126
224,back,1123
225,love,1121
226,david,1110
227,neither,1109
228,cried,1107
229,pass,1090
230,seemed,1086
231,soon,1081
232,quite,1079
233,oh,1075
234,both,1072
235,words,1057
236,city,1052
237,sir,1050
238,thine,1047
239,left,1023
240,years,1023
241,mine,1020
242,till,1018
243,always,1013
244,hands,1006
245,speak,1003
246,bring,996
247,jesus,988
248,looked,984
249,high,982
250,death,981
251,herself,971
252,woman,966
253,together,964
254,far,946
255,sent,944
256,something,942
257,whole,938
258,seen,935
259,once,931
260,stood,930
261,sure,921
262,thereof,920
263,half,916
264,gave,914
265,soul,910
266,poor,907
267,end,896
268,fire,890
269,work,887
270,morning,877
271,better,874
272,indeed,873
273,according,867
274,emma,866
275,moses,864
276,captain,859
277,don,855
278,part,854
279,eat,849
280,given,848
281,jerusalem,821
282,whose,819
283,full,819
284,judah,817
285,water,816
286,cannot,816
287,evil,811
288,each,810
289,rather,809
290,enough,808
291,brother,807
292,answered,806
293,myself,795
294,going,794
295,light,793
296,new,791
297,white,788
298,told,782
299,themselves,778
300,offering,767
301,between,767
302,hundred,766
303,almost,764
304,mind,764
305,body,762
306,lady,761
307,began,761
308,door,757
309,thousand,755
310,moment,755
311,wife,755
312,rest,755
313,dead,751
314,friend,749
315,knew,748
316,spirit,746
317,ship,744
318,sight,741
319,get,739
320,law,736
321,blood,734
322,dear,732
323,having,728
324,turned,727
325,find,726
326,stand,724
327,room,721
328,keep,721
329,art,715
330,priest,710
331,gone,707
332,holy,692
333,none,686
334,elinor,685
335,fear,683
336,hope,681
337,home,681
338,ll,678
339,yes,676
340,however,673
341,really,670
342,few,664
343,gold,663
344,call,657
345,spake,656
346,believe,655
347,sword,647
348,peace,646
349,taken,645
350,perhaps,633
351,egypt,632
352,marianne,632
353,mouth,631
354,does,631
355,year,625
356,four,623
357,within,619
358,known,616
359,strong,612
360,feet,608
361,air,608
362,power,608
363,felt,606
364,sister,606
365,ahab,605
366,servant,605
367,present,604
368,near,603
369,whether,603
370,bear,603
371,cast,598
372,fathers,595
373,christ,594
374,asked,594
375,sort,592
376,best,590
377,turn,589
378,servants,584
379,looking,581
380,five,581
381,brethren,578
382,mean,573
383,daughter,572
384,small,569
385,open,569
386,happy,569
387,boy,566
388,next,565
389,seven,564
390,sat,563
391,sun,562
392,return,559
393,anne,556
394,hold,552
395,above,551
396,want,550
397,else,549
398,cut,548
399,child,548
400,live,548
401,turnbull,545
402,since,541
403,fell,539
404,m,532
405,truth,526
406,pray,526
407,glory,524
408,certain,523
409,sin,522
410,cities,521
411,syme,519
412,true,518
413,coming,517
414,least,516
415,lay,516
416,others,516
417,ground,515
418,leave,514
419,flesh,513
420,until,510
421,manner,509
422,passed,508
423,cause,507
424,harriet,506
425,walk,503
426,eye,502
427,matter,499
428,brown,498
429,alone,498
430,afraid,498
431,tree,497
432,evening,496
433,wish,495
434,got,493
435,fall,489
436,john,487
437,commanded,485
438,family,485
439,enter,484
440,less,484
441,friends,483
442,towards,482
443,replied,481
444,answer,480
445,ten,477
446,kind,476
447,behind,474
448,twenty,472
449,toward,468
450,die,468
451,drink,468
452,black,467
453,war,466
454,times,465
455,bread,459
456,second,459
457,hour,458
458,book,456
459,along,453
460,midst,450
461,haue,448
462,money,448
463,reason,446
464,silver,445
465,waters,443
466,joy,442
467,field,440
468,weston,440
469,priests,439
470,kept,439
471,saul,435
472,large,435
473,mighty,433
474,country,433
475,ask,433
476,red,431
477,help,431
478,living,429
479,macian,426
480,fine,426
481,feel,426
482,kings,425
483,remember,425
484,wicked,423
485,often,423
486,course,421
487,understand,420
488,garden,417
489,spoken,415
490,person,413
491,returned,413
492,pleasure,413
493,ready,411
494,sweet,408
495,nature,407
496,certainly,407
497,dark,406
498,green,405
499,dwell,404
500,strange,404
501,burnt,403
502,boat,403
503,altar,402
504,women,402
505,alice,401
506,short,400
507,able,399
508,nations,398
509,broken,397
510,send,397
511,written,396
512,faith,395
513,anything,394
514,table,394
515,master,393
516,bed,393
517,chief,391
518,surely,389
519,knightley,389
520,gods,386
521,ought,386
522,elton,385
523,wherefore,383
524,strength,383
525,laid,383
526,praise,381
527,jacob,380
528,ran,380
529,either,380
530,rose,379
531,itself,378
532,judgment,377
533,congregation,376
534,trees,375
535,gate,374
536,business,374
537,yea,371
538,wise,370
539,honour,369
540,meet,368
541,walked,367
542,received,365
543,six,365
544,glad,365
545,kingdom,364
546,suppose,362
547,works,360
548,suddenly,359
549,doubt,359
550,lost,359
551,ham,358
552,hair,356
553,beyond,356
554,wall,355
555,aaron,352
556,arm,351
557,blessed,351
558,opened,350
559,talk,348
560,seek,347
561,case,345
562,knowledge,345
563,mercy,343
564,hard,343
565,immediately,343
566,wood,342
567,seeing,342
568,chapter,342
569,wind,341
570,silence,341
571,point,341
572,deal,340
573,offer,339
574,save,338
575,deep,338
576,meat,337
577,month,337
578,sing,337
579,making,337
580,sit,337
581,seed,335
582,sound,333
583,cry,333
584,bad,333
585,fish,333
586,mount,332
587,fruit,332
588,tabernacle,331
589,fast,331
590,run,331
591,letter,331
592,spirits,331
593,read,330
594,free,329
595,enemies,327
596,past,327
597,top,326
598,gentleman,326
599,wine,325
600,judge,324
601,thoughts,324
602,river,323
603,third,323
604,become,322
605,daughters,322
606,solomon,321
607,shew,321
608,colonel,320
609,fight,320
610,husband,320
611,wilderness,319
612,destroy,319
613,fair,319
614,places,318
615,delivered,317
616,low,317
617,gathered,316
618,ve,315
619,stone,315
620,righteousness,314
621,continued,314
622,angel,314
623,please,314
624,used,313
625,woodhouse,313
626,anger,312
627,company,311
628,longer,311
629,wild,310
630,lest,310
631,party,310
632,seem,310
633,appeared,310
634,sense,310
635,forward,310
636,already,310
637,ways,310
638,darkness,309
639,sake,309
640,deliver,308
641,carried,308
642,mary,307
643,ill,307
644,hardly,307
645,close,305
646,comes,305
647,hosts,304
648,use,304
649,followed,304
650,jane,303
651,oil,302
652,covenant,302
653,common,302
654,born,302
655,died,302
656,possible,301
657,babylon,299
658,idea,299
659,sleep,298
660,vain,297
661,care,297
662,line,296
663,general,296
664,thyself,295
665,standing,295
666,number,294
667,battle,293
668,pretty,293
669,concerning,292
670,receive,292
671,except,292
672,susan,291
673,fellow,291
674,wait,291
675,silent,291
676,morrow,291
677,yourself,291
678,perfect,291
679,means,290
680,elliot,289
681,hill,289
682,spoke,289
683,princes,288
684,wisdom,287
685,doth,287
686,feelings,287
687,blue,287
688,sometimes,287
689,early,287
690,girl,286
691,wilt,285
692,rise,285
693,play,285
694,window,285
695,became,285
696,state,284
697,wonder,284
698,cometh,283
699,iron,283
700,grace,281
701,cold,281
702,iniquity,280
703,need,280
704,follow,279
705,pharaoh,278
706,beginning,278
707,length,277
708,heads,276
709,added,276
710,stay,276
711,wanted,276
712,visit,276
713,edward,274
714,serve,274
715,multitude,273
716,st,273
717,instant,273
718,south,273
719,town,273
720,change,273
721,pleased,272
722,offerings,271
723,whales,271
724,street,270
725,prophet,268
726,twelve,268
727,beautiful,268
728,wrong,267
729,subject,267
730,filled,266
731,lie,266
732,host,266
733,levites,265
734,doing,265
735,won,264
736,secret,264
737,watch,263
738,break,263
739,real,263
740,lived,263
741,held,262
742,philistines,261
743,abraham,261
744,song,261
745,foot,261
746,jews,260
747,question,260
748,thirty,260
749,comfort,260
750,mountains,259
751,east,259
752,hell,258
753,stubb,257
754,houses,257
755,seems,257
756,account,257
757,tribe,254
758,temple,254
759,louisa,254
760,bare,254
761,bow,254
762,taking,254
763,command,254
764,joseph,253
765,therein,253
766,righteous,253
767,queequeg,252
768,throne,252
769,ark,252
770,beast,252
771,kill,252
772,dashwood,252
773,ears,252
774,order,252
775,tongue,251
776,late,251
777,stones,250
778,north,249
779,grey,248
780,story,248
781,paul,247
782,disciples,247
783,prophets,247
784,smote,247
785,everything,247
786,smile,247
787,sitting,247
788,speaking,247
789,sacrifice,246
790,entered,246
791,believed,246
792,horses,246
793,sperm,245
794,wrath,245
795,departed,245
796,arms,245
797,talking,245
798,bright,244
799,lifted,244
800,sky,244
801,caught,244
802,trust,244
803,met,244
804,human,243
805,plain,243
806,understanding,243
807,perfectly,243
808,inheritance,242
809,stranger,242
810,dwelt,242
811,churchill,242
812,turning,241
813,fairfax,241
814,minutes,241
815,hat,240
816,rich,240
817,thence,239
818,built,238
819,trouble,238
820,lo,237
821,across,237
822,ma,237
823,desire,236
824,fifty,236
825,cloud,235
826,forty,235
827,greater,235
828,afterwards,235
829,loved,235
830,spread,234
831,thinking,234
832,happiness,234
833,caesar,233
834,show,233
835,lips,233
836,ear,231
837,buster,230
838,lucy,230
839,jennings,230
840,begat,229
841,yourselves,229
842,court,229
843,drew,229
844,struck,229
845,fact,228
846,walking,228
847,big,227
848,shut,227
849,whatever,227
850,frank,226
851,age,226
852,mad,225
853,stars,225
854,seat,225
855,service,225
856,led,224
857,form,224
858,mountain,223
859,around,223
860,worse,223
861,particular,223
862,talked,223
863,nobody,223
864,exactly,223
865,natural,223
866,inhabitants,222
867,grass,222
868,clear,222
869,offered,222
870,obliged,222
871,deck,221
872,rejoice,220
873,heavy,220
874,appear,220
875,different,220
876,hours,220
877,moreover,219
878,noise,219
879,opinion,219
880,joshua,218
881,wentworth,218
882,gather,218
883,sheep,218
884,presence,218
885,horse,218
886,faces,218
887,tried,218
888,giving,218
889,willoughby,217
890,beside,217
891,acquaintance,217
892,equal,217
893,forget,216
894,touch,216
895,try,216
896,taste,216
897,fancy,215
898,character,215
899,bound,214
900,says,214
901,farmer,214
902,sorry,214
903,cubits,213
904,fat,213
905,purpose,213
906,church,213
907,pay,213
908,fled,212
909,figure,212
910,charge,212
911,arose,212
912,ashamed,210
913,families,210
914,reign,209
915,hearts,209
916,shame,209
917,fallen,209
918,enemy,208
919,dr,208
920,youth,208
921,streets,207
922,clothes,207
923,destroyed,207
924,broad,207
925,delight,207
926,sudden,207
927,cross,207
928,road,207
929,feeling,207
930,slew,206
931,wherein,206
932,sought,206
933,happened,206
934,interest,206
935,moon,205
936,queen,205
937,carry,205
938,gates,205
939,slain,204
940,beasts,204
941,dream,204
942,clean,204
943,dare,204
944,meant,204
945,countenance,203
946,promise,203
947,dinner,203
948,woe,202
949,aside,202
950,beauty,202
951,re,201
952,write,201
953,consider,201
954,repeated,201
955,jordan,200
956,ships,200
957,aye,200
958,prince,200
959,attention,200
960,th,199
961,unclean,199
962,pain,199
963,ah,199
964,rain,199
965,starbuck,198
966,instead,198
967,object,198
968,satisfied,198
969,tis,198
970,pleasant,198
971,peter,197
972,stop,197
973,besides,197
974,thank,197
975,favour,197
976,ladies,197
977,looks,197
978,build,196
979,gentlemen,196
980,lion,195
981,heavens,195
982,bless,195
983,loud,194
984,prepared,194
985,mere,194
986,carriage,194
987,valley,193
988,witness,193
989,nay,193
990,throughout,193
991,chance,193
992,months,193
993,moved,192
994,vessels,191
995,golden,191
996,lamb,191
997,sins,191
998,arise,191
999,running,191
1000,ago,191
1001,nigh,190
1002,ere,190
1003,reigned,189
1004,worship,189
1005,speech,189
1006,entirely,189
1007,whosoever,188
1008,neck,188
1009,hid,188
1010,remain,188
1011,grave,188
1012,rising,188
1013,creature,188
1014,goes,188
1015,conversation,188
1016,alive,187
1017,devil,187
1018,breath,187
1019,fixed,186
1020,tears,186
1021,usual,186
1022,fields,185
1023,vs,184
1024,archer,184
1025,wide,184
1026,front,184
1027,minute,184
1028,remained,184
1029,raised,184
1030,several,184
1031,regard,184
1032,self,184
1033,sign,183
