,word,freq
1,the,69971
2,of,36412
3,and,28853
4,to,26158
5,a,23195
6,in,21337
7,that,10594
8,is,10109
9,was,9815
10,he,9548
11,for,9489
12,it,8760
13,with,7289
14,as,7253
15,his,6996
16,on,6741
17,be,6377
18,at,5372
19,by,5306
20,i,5164
21,this,5145
22,had,5133
23,not,4610
24,are,4394
25,but,4381
26,from,4370
27,or,4206
28,have,3942
29,an,3740
30,they,3620
31,which,3561
32,one,3292
33,you,3286
34,were,3284
35,her,3036
36,all,3001
37,she,2860
38,there,2728
39,would,2714
40,their,2669
41,we,2652
42,him,2619
43,been,2472
44,has,2437
45,when,2331
46,who,2252
47,will,2245
48,more,2215
49,if,2198
50,no,2139
51,out,2097
52,so,1985
53,said,1961
54,what,1908
55,up,1890
56,its,1858
57,about,1815
58,into,1791
59,than,1790
60,them,1788
61,can,1772
62,only,1748
63,other,1702
64,new,1635
65,some,1618
66,could,1601
67,time,1598
68,these,1573
69,two,1412
70,may,1402
71,then,1380
72,do,1363
73,first,1361
74,any,1344
75,my,1318
76,now,1314
77,such,1303
78,like,1292
79,our,1252
80,over,1236
81,man,1207
82,me,1181
83,even,1170
84,most,1159
85,made,1125
86,after,1069
87,also,1069
88,did,1044
89,many,1030
90,before,1016
91,must,1013
92,af,996
93,through,971
94,back,966
95,years,950
96,much,937
97,where,937
98,your,923
99,way,908
100,well,897
101,down,895
102,should,888
103,because,883
104,each,877
105,just,872
106,those,850
107,people,847
108,mr.,844
109,how,834
110,too,834
111,little,831
112,state,807
113,good,806
114,very,796
115,make,794
116,world,787
117,still,782
118,own,772
119,see,772
120,men,763
121,work,762
122,long,752
123,here,750
124,get,749
125,between,730
126,both,730
127,life,715
128,being,712
129,under,707
130,never,697
131,day,687
132,same,686
133,another,684
134,know,683
135,while,680
136,last,676
137,us,675
138,might,672
139,great,665
140,old,661
141,year,658
142,off,639
143,come,630
144,since,628
145,against,627
146,go,626
147,came,622
148,right,613
149,used,611
150,three,610
151,take,610
152,states,603
153,himself,603
154,few,601
155,use,591
156,house,591
157,during,585
158,without,583
159,again,577
160,place,570
