,word,freq
1,the,3780
2,and,1706
3,a,1432
4,of,1327
5,to,1322
6,he,1283
7,was,919
8,in,892
9,his,846
10,i,652
11,it,637
12,had,592
13,that,533
14,on,469
15,her,468
16,you,446
17,with,420
18,him,415
19,she,377
20,for,358
21,at,342
22,as,338
23,but,316
24,they,305
25,said,288
26,out,273
27,from,270
28,were,251
29,this,239
30,up,227
31,me,210
32,not,203
33,would,194
34,there,192
35,all,191
36,my,189
37,be,188
38,one,183
39,into,180
40,when,173
41,no,173
42,man,166
43,back,166
44,an,165
45,their,162
46,by,156
47,them,156
48,down,154
49,could,154
50,what,149
51,like,141
52,if,139
53,then,137
54,so,136
55,have,133
56,been,131
57,time,129
58,now,127
59,about,124
60,over,123
61,we,119
62,or,119
63,only,105
64,is,102
65,which,102
66,get,101
67,do,99
68,eyes,98
69,just,96
70,who,95
71,before,90
72,did,90
73,two,88
74,off,87
75,even,84
76,more,84
77,men,83
78,got,81
79,see,81
80,right,80
81,through,80
82,don't,79
83,came,79
84,made,77
85,again,76
86,go,75
87,himself,75
88,face,74
89,come,73
90,long,72
91,away,71
92,head,71
93,around,71
94,its,70
95,too,70
96,didn't,70
97,your,69
98,here,69
99,little,69
100,saw,68
101,after,67
102,door,67
103,never,66
104,hand,66
105,still,66
106,way,65
107,against,65
108,took,65
109,looked,62
110,thought,62
111,other,61
112,house,61
113,water,60
114,than,60
115,went,60
116,first,59
117,might,59
118,where,58
119,know,58
120,any,58
121,some,57
122,how,56
123,big,55
124,much,55
125,something,54
126,knew,54
127,turned,53
128,are,53
129,girl,53
130,side,52
131,will,51
132,while,50
133,make,50
134,behind,50
135,i'm,50
136,going,50
137,feet,49
138,toward,49
139,well,49
140,can,48
141,hands,48
142,us,47
143,left,47
144,across,46
145,old,46
146,told,46
147,think,45
148,our,44
149,let,44
150,without,43
151,own,43
152,once,43
153,want,43
154,voice,42
155,boy,42
156,very,41
157,last,41
158,seemed,40
159,look,40
160,heard,40
161,dark,40
162,take,40
163,under,40
164,few,40
165,began,39
166,place,39
167,three,39
168,good,39
169,front,39
170,day,39
171,nothing,39
172,open,38
173,inside,38
174,you're,38
175,hair,38
176,started,38
177,almost,37
178,car,36
179,small,36
180,tell,36
181,mind,36
182,stood,36
183,until,36
184,reached,36
185,woman,36
186,found,36
187,matsuo,35
188,hall,35
189,it's,35
190,i'll,35
191,fire,35
192,enough,35
193,maybe,34
194,horses,34
195,these,34
196,say,34
197,asked,34
198,felt,34
199,night,34
200,marine,33
201,jess,33
202,another,33
203,valley,33
204,black,33
205,ran,33
206,seen,33
207,room,33
208,both,33
209,that's,32
210,moment,32
211,new,32
212,years,32
213,curt,31
214,gun,31
215,those,31
216,body,31
217,far,31
218,anything,31
219,rifle,31
220,work,31
221,hard,31
222,shot,30
223,better,30
224,why,30
225,ever,30
226,brannon,29
227,street,29
228,though,29
229,ground,29
230,moved,29
231,life,29
232,each,29
233,ramey,28
234,mike,28
235,he's,28
236,town,28
237,brought,28
238,sure,28
239,walked,28
240,give,28
241,along,28
242,most,28
243,because,28
244,thing,28
245,morgan,28
246,wagon,27
247,white,27
248,morning,27
249,couldn't,27
250,held,27
251,must,27
252,minutes,27
253,bottle,26
254,later,26
255,light,26
256,dead,26
257,there's,26
258,every,26
259,tilghman,25
260,greg,25
261,miss,25
262,barton,25
263,home,25
264,turn,25
265,above,25
266,man's,25
267,yet,25
268,line,25
269,blue,25
270,dropped,25
271,put,25
272,wouldn't,25
273,wife,25
274,next,24
275,end,24
276,air,24
277,followed,24
278,arm,24
279,many,24
280,i've,24
281,young,24
282,people,24
283,caught,24
284,sound,23
285,such,23
286,hit,23
287,jack,23
288,floor,23
289,gone,23
290,tom,23
291,lord,23
292,gave,23
293,mouth,23
294,hear,23
295,sat,23
296,dan,23
297,penny,22
298,near,22
299,also,22
300,soon,22
301,horse,22
302,called,22
303,words,22
304,throat,22
305,wall,22
306,suddenly,22
307,can't,22
308,help,22
309,running,22
310,mr.,22
311,days,22
312,several,22
313,red,22
314,lips,22
315,stay,22
316,always,21
317,road,21
318,ain't,21
319,else,21
320,war,21
321,close,21
322,trees,21
323,passed,21
324,part,21
325,we'll,21
326,looking,21
327,sun,21
328,thinking,21
329,he'd,21
330,keith,20
331,russ,20
332,pat,20
333,let's,20
334,second,20
335,probably,20
336,past,20
337,upon,20
338,chance,20
339,others,20
340,shoulder,20
341,high,20
342,neck,20
343,wanted,20
344,death,20
345,half,20
346,watched,20
347,opened,19
348,truck,19
349,women,19
350,already,19
351,pulled,19
352,quite,19
353,corner,19
354,between,19
355,rear,19
356,forward,19
357,yes,19
358,clayton,19
359,feel,19
360,oh,19
361,mean,19
362,really,19
363,kind,19
364,being,19
365,langford,18
366,girls,18
367,name,18
368,things,18
369,great,18
370,blood,18
371,i'd,18
372,within,18
373,hell,18
374,same,18
375,riding,18
376,gray,18
377,steps,18
378,since,18
379,find,18
380,mrs.,18
381,five,18
382,doing,18
383,wasn't,18
384,leave,18
385,trouble,18
386,lalaurie,17
387,dive,17
388,cobb,17
389,window,17
390,joyce,17
391,pamela,17
392,straight,17
393,should,17
394,wilson,17
395,four,17
396,legs,17
397,kept,17
398,ride,17
399,swung,17
400,river,17
401,ago,17
402,shook,17
403,getting,17
404,bed,17
405,strong,17
406,stared,17
407,set,17
408,keep,17
409,six,17
410,billy,17
411,arms,17
412,drink,17
413,walk,17
414,stopped,17
415,nicolas,16
416,tree,16
417,jungle,16
418,office,16
419,sight,16
420,although,16
421,waiting,16
422,green,16
423,world,16
424,showed,16
425,hundred,16
426,land,16
427,tried,16
428,beneath,16
429,course,16
430,job,16
431,we're,16
432,money,16
433,lifted,16
434,move,16
435,happened,16
436,country,16
437,ernie,15
438,dandy,15
439,enemy,15
440,mother,15
441,ten,15
442,sort,15
443,perhaps,15
444,show,15
445,has,15
446,matter,15
447,done,15
448,large,15
449,having,15
450,became,15
451,try,15
452,trying,15
453,talk,15
454,won't,15
455,yards,15
456,father,15
457,cold,15
458,killed,15
459,together,15
460,either,15
461,use,15
462,nodded,15
463,lay,15
464,slowly,15
465,least,15
466,top,15
467,carried,15
468,waddell,14
469,benson,14
470,mary,14
471,jess's,14
472,drew,14
473,climbed,14
474,brown,14
475,wore,14
476,tall,14
477,pool,14
478,west,14
479,deep,14
480,hat,14
481,pistol,14
