,word,freq
1,the,10756
2,of,6382
3,and,4460
4,to,4164
5,a,3451
6,in,3409
7,that,1959
8,is,1816
9,he,1541
10,was,1470
11,his,1447
12,it,1372
13,for,1292
14,as,1261
15,with,1096
16,i,845
17,be,843
18,by,833
19,not,832
20,on,831
21,had,809
22,this,791
23,but,772
24,at,707
25,from,684
26,which,681
27,are,649
28,have,633
29,they,610
30,an,603
31,or,597
32,one,550
33,were,525
34,their,520
35,we,513
36,all,477
37,who,461
38,has,405
39,would,397
40,been,376
41,more,376
42,there,374
43,him,373
44,when,345
45,so,334
46,no,323
47,than,322
48,what,314
49,its,310
50,our,306
51,only,302
52,if,301
53,them,298
54,her,289
55,new,278
56,these,271
57,other,267
58,some,260
59,about,257
60,can,249
61,out,247
62,into,247
63,will,246
64,my,240
65,she,231
66,man,231
67,time,231
68,even,223
69,may,221
70,you,220
71,could,216
72,any,215
73,most,214
74,me,207
75,first,201
76,life,200
77,world,196
78,two,191
79,such,189
80,do,186
81,like,185
82,also,185
83,up,180
84,did,179
85,men,174
86,now,173
87,must,171
88,us,168
89,own,163
90,said,161
91,then,161
92,well,161
93,much,160
94,after,158
95,years,158
96,many,158
97,way,157
98,because,157
99,people,153
100,over,150
101,before,148
102,between,148
103,made,147
104,little,144
105,through,141
106,being,141
107,war,138
108,himself,135
109,great,135
110,never,134
111,very,128
112,those,128
113,without,126
114,both,120
115,work,119
116,still,115
117,too,115
118,where,114
119,american,114
120,might,113
121,how,113
122,long,111
123,upon,110
124,fact,110
125,another,109
126,make,109
127,good,107
128,human,107
129,history,107
130,mr.,105
131,should,105
132,old,105
133,day,103
134,while,102
135,form,100
136,against,100
137,know,99
138,down,98
139,however,98
140,social,98
141,came,96
142,during,95
143,order,94
144,see,94
145,states,94
146,does,93
147,general,93
148,experience,93
149,few,91
150,come,91
151,here,89
152,same,89
153,since,89
154,each,88
155,say,88
156,young,87
157,part,86
158,every,86
159,political,86
160,sense,85
161,nothing,85
162,rather,85
163,go,85
164,once,85
165,under,85
166,south,84
167,just,83
168,back,82
169,found,81
170,always,80
171,society,80
172,take,80
173,though,80
174,art,79
175,often,79
176,place,79
177,state,79
178,literature,78
179,almost,77
180,yet,77
181,public,76
182,become,75
183,mind,74
184,later,73
185,perhaps,73
186,present,73
187,course,73
188,southern,73
189,find,73
190,love,72
191,within,72
192,far,72
193,themselves,72
194,thought,71
195,ever,70
196,century,70
197,book,70
198,things,70
199,english,69
200,wrote,69
201,house,69
202,kind,68
203,less,68
204,last,67
205,private,67
206,let,67
207,itself,67
208,among,67
209,group,66
210,law,66
211,ideas,65
212,thus,65
213,community,64
214,three,63
215,free,63
216,although,63
217,called,63
218,moral,62
219,story,62
220,point,62
221,right,62
222,asked,62
223,power,62
224,important,62
225,end,61
226,took,61
227,death,61
228,others,61
229,having,61
230,whose,60
231,get,60
232,went,60
233,around,60
234,country,60
235,high,60
236,personal,60
237,change,59
238,days,59
239,look,59
240,writing,59
241,enough,59
242,nature,59
243,least,59
244,gave,58
245,york,58
246,put,58
247,united,58
248,am,58
249,family,57
250,told,57
251,true,57
252,president,57
253,early,56
254,until,56
255,give,56
256,use,56
257,knew,55
258,action,55
259,nations,55
260,home,55
261,england,55
262,several,55
263,think,55
264,mrs.,54
265,literary,54
266,your,54
267,began,54
268,help,54
269,became,54
270,felt,54
271,year,54
272,something,54
273,students,53
274,again,53
275,set,53
276,side,53
277,off,53
278,example,53
279,best,53
280,name,53
281,age,52
282,poetry,52
283,second,52
284,friend,52
285,cannot,52
286,along,52
287,whom,51
288,times,51
289,seem,51
290,evidence,51
291,whether,51
292,truth,51
293,reason,51
294,case,51
295,written,50
296,matter,50
297,small,50
298,whole,50
299,common,50
300,idea,50
301,toward,50
302,why,50
303,individual,50
304,used,49
305,modern,49
306,hearst,48
307,interest,48
308,period,48
309,next,48
310,left,48
311,certain,48
312,taken,48
313,known,48
314,seems,48
315,friends,48
316,jazz,47
317,word,47
318,better,47
319,means,47
320,given,47
321,government,47
322,north,47
323,possible,46
324,done,46
325,city,46
326,wanted,45
327,military,45
328,economic,45
329,line,45
330,thomas,45
331,national,45
332,words,45
333,question,45
334,washington,44
335,understanding,44
336,brought,44
337,father,44
338,night,44
339,party,44
340,past,44
341,thing,44
342,got,43
343,union,43
344,real,43
345,existence,43
346,mercer,42
347,character,42
348,face,42
349,hand,42
350,finally,42
351,special,42
352,america,42
353,situation,42
354,need,42
355,sent,41
356,play,41
357,europe,41
358,nor,41
359,french,41
360,lewis,40
361,alfred,40
362,science,40
363,letter,40
364,knowledge,40
365,eyes,40
366,ground,40
367,force,40
368,white,40
369,natural,40
370,mother,40
371,college,40
372,sort,40
373,business,40
374,problem,40
375,future,39
376,money,39
377,school,39
378,looked,39
379,anything,39
380,john,39
381,together,39
382,making,39
383,terms,39
384,position,39
385,believe,39
386,writers,39
387,write,39
388,wright,38
389,university,38
390,fear,38
391,development,38
392,religious,38
393,figure,38
394,quite,38
395,influence,38
396,across,38
397,revolution,38
398,large,38
399,living,38
400,nation,38
401,study,37
402,works,37
403,seemed,37
404,lost,37
405,seen,37
406,away,37
407,difficult,37
408,already,37
409,either,37
410,system,37
411,especially,37
412,god,36
413,office,36
414,beginning,36
415,values,36
416,six,36
417,william,36
418,moment,36
419,indeed,36
420,attention,36
421,body,36
422,number,36
423,ago,36
424,sir,36
425,really,36
426,effect,36
427,decision,36
428,problems,36
429,feeling,36
430,constitution,36
431,different,36
432,clear,36
433,morgan,35
434,detective,35
435,religion,35
436,read,35
437,shall,35
438,saw,35
439,full,35
440,land,35
441,light,35
442,further,35
443,control,35
444,concerned,35
445,town,35
