,word,freq
1,the,3961
2,of,1993
3,to,1583
4,and,1357
5,a,1163
6,in,1091
7,is,752
8,that,596
9,for,541
10,it,499
11,be,422
12,as,391
13,he,364
14,on,347
15,with,329
16,this,326
17,was,310
18,by,308
19,not,307
20,are,298
21,but,293
22,have,275
23,his,270
24,has,261
25,will,235
26,we,227
27,from,219
28,at,217
29,i,201
30,or,198
31,an,194
32,which,191
33,would,185
34,they,184
35,who,177
36,one,173
37,all,155
38,been,151
39,more,144
40,new,134
41,if,134
42,had,132
43,their,131
44,its,131
45,our,130
46,can,124
47,when,123
48,there,120
49,no,118
50,what,113
51,do,112
52,so,111
53,mr.,110
54,than,109
55,were,109
56,him,106
57,some,105
58,other,92
59,should,90
60,you,90
61,now,89
62,out,87
63,any,82
64,united,82
65,these,82
66,only,80
67,may,79
68,people,78
69,into,78
70,world,77
71,american,77
72,up,76
73,most,76
74,time,74
75,first,73
76,many,72
77,states,70
78,state,69
79,two,68
80,even,67
81,us,67
82,them,67
83,public,67
84,war,66
85,too,66
86,such,65
87,about,63
88,last,63
89,then,63
90,years,63
91,she,61
92,over,61
93,government,60
94,good,59
95,those,58
96,president,58
97,could,57
98,man,56
99,city,56
100,much,56
101,must,55
102,west,54
103,how,54
104,my,53
105,east,53
106,make,53
107,said,52
108,year,52
109,just,50
110,berlin,50
111,like,50
112,own,48
113,very,48
114,also,47
115,being,46
116,because,46
117,where,45
118,made,45
119,way,45
120,does,44
121,know,43
122,old,43
123,right,43
124,against,42
125,still,42
126,program,42
127,peace,41
128,soviet,41
129,far,41
130,school,41
131,see,40
132,take,40
133,little,40
134,nuclear,40
135,few,40
136,her,39
137,kennedy,39
138,might,39
139,men,39
140,great,39
141,after,38
142,national,38
143,another,38
144,life,37
145,get,37
146,since,37
147,khrushchev,37
148,political,37
149,day,37
150,editor,36
151,your,36
152,back,36
153,party,36
154,long,36
155,did,36
156,fact,36
157,come,36
158,between,36
159,me,35
160,well,35
161,general,35
162,children,34
163,each,34
164,never,34
165,down,34
166,under,34
167,before,34
168,toward,34
169,without,34
170,course,33
171,less,33
172,part,33
173,congress,33
174,yet,32
175,upon,32
176,washington,32
177,help,32
178,cannot,32
179,country,32
180,during,31
181,least,31
182,left,31
183,better,31
184,use,31
185,county,31
186,need,31
187,both,30
188,service,30
189,week,30
190,whether,30
191,power,30
192,enough,30
193,work,30
194,question,30
195,every,29
196,nations,29
197,communist,29
198,here,29
199,per,29
200,secretary,29
201,small,28
202,until,28
203,go,28
204,economic,28
205,house,28
206,next,28
207,think,27
208,off,27
209,free,27
210,put,27
211,same,27
212,seems,26
213,himself,26
214,days,26
215,high,26
216,while,26
217,john,26
218,almost,26
219,members,26
220,once,26
221,become,26
222,church,25
223,going,25
224,again,25
225,say,25
226,business,25
227,present,25
228,end,25
229,action,25
230,future,25
231,china,24
232,don't,24
233,hope,24
234,vote,24
235,germany,24
236,reason,24
237,recent,24
238,leaders,24
239,york,24
240,done,24
241,military,24
242,problems,24
243,however,24
244,law,24
245,budget,24
246,schools,24
247,death,23
248,young,23
249,department,23
250,let,23
251,says,23
252,why,23
253,policy,23
254,council,23
255,through,23
256,organization,23
257,themselves,22
258,matter,22
259,tests,22
260,million,22
261,editorial,22
262,point,22
263,itself,22
264,labor,22
265,support,22
266,best,22
267,u.s.,22
268,board,22
269,several,22
270,choice,22
271,tax,22
272,college,22
273,increase,22
274,podger,21
275,committee,21
276,hand,21
277,asked,21
278,case,21
279,whole,21
280,foreign,21
281,army,21
282,came,21
283,things,21
284,perhaps,21
285,russia,21
286,development,21
287,industrial,21
288,community,20
289,louis,20
290,st.,20
291,union,20
292,words,20
293,administration,20
294,give,20
295,around,20
296,area,20
297,crisis,20
298,english,19
299,am,19
300,called,19
301,book,19
302,4,19
303,dr.,19
