,word,freq
1,the,3792
2,and,1770
3,to,1508
4,of,1423
5,a,1339
6,he,1308
7,was,1091
8,in,971
9,his,795
10,had,728
11,it,607
12,that,572
13,i,511
14,with,483
15,on,450
16,she,425
17,for,414
18,her,413
19,at,397
20,him,382
21,as,322
22,not,314
23,they,313
24,but,297
25,would,291
26,you,282
27,be,256
28,were,240
29,from,235
30,out,225
31,there,219
32,all,209
33,said,194
34,when,192
35,up,191
36,what,186
37,one,184
38,this,176
39,by,173
40,or,173
41,them,172
42,about,171
43,have,169
44,could,168
45,their,166
46,no,162
47,an,160
48,been,157
49,like,151
50,is,151
51,into,148
52,me,137
53,so,135
54,my,131
55,now,130
56,down,129
57,if,128
58,which,124
59,did,123
60,then,119
61,we,118
62,man,112
63,who,112
64,back,104
65,time,103
66,over,102
67,do,95
68,came,91
69,some,90
70,where,89
71,how,89
72,before,85
73,get,84
74,more,84
75,old,82
76,little,82
77,only,80
78,went,79
79,know,78
80,two,76
81,thought,76
82,go,74
83,looked,73
84,men,73
85,never,72
86,around,71
87,again,70
88,here,70
89,himself,69
90,house,69
91,after,66
92,off,64
93,way,63
94,still,63
95,even,63
96,room,63
97,through,63
98,eyes,61
99,too,61
100,made,60
101,good,60
102,knew,59
103,just,59
104,see,59
105,come,58
106,saw,58
107,felt,58
108,face,58
109,church,56
110,will,56
111,long,56
112,first,55
113,must,55
114,away,55
115,any,55
116,seemed,55
117,its,55
118,own,55
119,well,54
120,head,54
121,night,53
122,day,53
123,big,52
124,are,52
125,home,52
126,got,51
127,hand,51
128,same,51
129,make,51
130,take,51
131,while,50
132,asked,50
133,much,50
134,new,49
135,another,49
136,always,49
137,told,48
138,once,48
139,other,48
140,door,47
141,these,47
142,than,47
143,going,46
144,life,45
145,something,45
146,years,44
147,our,44
148,very,44
149,might,44
150,look,44
151,took,44
152,right,44
153,place,43
154,white,43
155,think,43
156,turned,43
157,god,42
158,why,42
159,found,42
160,your,42
161,left,42
162,behind,42
163,people,41
164,stood,41
165,because,41
166,water,40
167,kate,40
168,put,39
169,every,39
170,though,39
171,can,39
172,should,38
173,say,38
174,john,37
175,heard,37
176,us,37
177,each,37
178,since,37
179,sat,37
180,winston,36
181,let,36
182,most,36
183,moment,36
184,road,35
185,tell,35
186,began,35
187,voice,35
188,days,35
189,those,35
190,boy,35
191,woman,34
192,want,34
193,enough,34
194,morning,33
195,across,33
196,nothing,33
197,doctor,33
198,hans,32
199,great,32
200,body,32
201,dark,32
202,miss,32
203,things,32
204,work,32
205,scotty,32
206,last,31
207,being,31
208,small,31
209,few,31
210,next,31
211,mind,31
212,front,31
213,yet,31
214,watson,30
215,done,30
216,thing,30
217,black,30
218,three,30
219,together,30
220,figure,30
221,hands,30
222,without,30
223,rector,29
224,hall,29
225,river,29
226,anything,29
227,many,29
228,ever,29
229,called,28
230,street,28
231,such,28
232,gone,28
233,both,28
234,open,28
235,almost,28
236,bed,28
237,find,27
238,seen,27
239,young,27
240,has,27
241,better,27
242,really,27
243,alex,26
244,window,26
245,part,26
246,tried,26
247,hair,26
248,suddenly,25
249,against,25
250,air,25
251,under,25
252,moved,25
253,war,25
254,give,25
255,until,25
256,hell,24
257,side,24
258,world,24
259,sure,24
260,stopped,24
261,hear,24
262,far,24
263,eileen,23
264,near,23
265,name,23
266,ran,23
267,whole,23
268,held,23
269,toward,23
270,am,22
271,city,22
272,arm,22
273,walked,22
274,getting,22
275,oh,22
276,care,22
277,brought,21
278,feet,21
279,coming,21
280,along,21
281,light,21
282,keep,21
283,end,21
284,girl,21
285,kitchen,21
286,children,21
287,looking,21
288,given,20
289,yes,20
290,gave,20
291,wanted,20
292,kid,20
293,joe,20
294,ten,20
295,herself,20
296,town,20
297,lay,20
298,table,20
299,past,19
300,already,19
301,inside,19
302,money,19
303,wilson,19
304,sweet,19
305,leave,19
306,four,19
307,dead,19
308,hold,19
309,high,19
310,everything,19
311,used,19
312,watched,19
313,perhaps,19
314,father,19
315,school,19
316,andrei,18
317,child,18
318,mary,18
319,adam,18
320,started,18
321,clothes,18
322,nose,18
323,wall,18
324,six,18
325,stevie,18
326,trying,18
327,corner,18
328,understand,18
329,standing,18
330,feeling,18
331,walk,18
332,word,18
333,feel,18
334,floor,18
335,sitting,18
336,times,18
337,words,18
338,steps,18
339,afternoon,18
340,son,18
341,rachel,18
342,ada,17
343,kay,17
344,linda,17
345,pa,17
346,ready,17
347,michelangelo,17
348,closed,17
349,rousseau,17
350,summer,17
351,cousin,17
352,top,17
353,death,17
354,women,17
355,bad,17
356,fire,17
357,trees,17
358,set,17
359,box,17
360,warren,17
361,eye,17
362,evening,17
363,soon,17
364,others,17
365,kind,17
366,living,17
367,sometimes,17
368,opened,17
369,alone,17
370,mouth,17
371,become,17
372,chair,17
373,course,17
374,bobby,16
375,styka,16
376,hen,16
377,eugene,16
378,thin,16
379,abel,16
380,early,16
381,snow,16
382,uncle,16
383,ground,16
384,arms,16
385,taken,16
386,making,16
387,love,16
388,waiting,16
389,coffee,16
390,heart,16
391,horse,16
392,passed,16
393,close,16
394,quite,16
395,ask,16
396,later,16
397,gray,16
398,wore,16
399,mission,15
400,juanita,15
401,cold,15
402,papa,15
403,doing,15
404,bank,15
405,hotel,15
406,sort,15
407,piece,15
408,matter,15
409,among,15
410,poor,15
411,beside,15
412,five,15
413,company,15
414,help,15
415,outside,15
416,write,15
417,above,15
418,lost,15
419,order,15
420,land,15
421,between,15
422,stairs,15
423,week,15
424,seeing,15
425,else,15
426,slowly,15
427,rather,15
428,lips,15
429,talk,15
430,kept,15
431,everyone,15
432,rest,15
433,ma,14
434,jessica,14
435,mark,14
436,claire,14
437,harold,14
438,officer,14
439,blue,14
440,carefully,14
441,state,14
442,whisky,14
443,drink,14
444,laughed,14
445,hundred,14
446,sound,14
447,remember,14
448,itself,14
449,during,14
450,visit,14
451,hung,14
452,sit,14
453,silent,14
454,half,14
455,full,14
456,howard,13
457,hino,13
458,lublin,13
459,argiento,13
460,dust,13
461,myself,13
462,de,13
463,news,13
464,music,13
465,maybe,13
466,ludie,13
467,below,13
468,hard,13
469,hot,13
470,surprised,13
471,audience,13
472,read,13
473,red,13
474,beyond,13
475,carried,13
476,gun,13
477,clean,13
478,sea,13
479,wait,13
480,mean,13
481,taking,13
482,happened,13
483,moving,13
484,filled,13
485,easy,13
486,fingers,13
487,quick,13
488,neck,13
489,paper,13
490,family,13
491,jack,12
492,car,12
493,mcfeeley,12
494,andrus,12
495,minutes,12
496,purdew,12
497,simms,12
498,ice,12
499,wrote,12
500,saying,12
501,boys,12
502,important,12
503,wet,12
504,run,12
505,however,12
506,nearly,12
507,fell,12
508,empty,12
509,army,12
510,nigger,12
511,idea,12
512,letters,12
513,walking,12
514,sent,12
515,caught,12
516,drew,12
517,girls,12
518,having,12
519,became,12
520,fear,12
521,flesh,12
522,sky,12
523,show,12
524,believe,12
525,train,12
526,point,12
527,group,12
528,valley,12
529,colonel,12
530,study,12
531,upstairs,12
532,trouble,12
533,foot,12
534,longer,12
535,different,12
536,often,12
537,thick,12
538,neither,12
539,best,12
540,talked,12
541,david,11
542,joel,11
543,apartment,11
544,camp,11
545,fat,11
546,remembered,11
547,supper,11
548,bedroom,11
549,letter,11
550,whose,11
551,fine,11
552,whether,11
553,call,11
554,ball,11
555,move,11
556,hawk,11
557,mother,11
558,dressed,11
559,finally,11
560,seem,11
561,married,11
562,business,11
563,hour,11
564,reason,11
565,secretary,11
566,wife,11
567,friends,11
568,streets,11
569,dinner,11
570,real,11
571,second,11
572,strange,11
573,stared,11
574,within,11
575,east,11
576,working,11
577,need,11
578,settled,11
579,afraid,11
580,questions,11
581,shook,11
582,legs,11
583,heavy,11
584,merely,11
585,except,11
586,answer,11
587,slept,11
588,rose,11
589,short,11
590,speak,11
591,pedersen,10
592,byron,10
593,majdanek,10
594,telephone,10
595,sight,10
596,reached,10
597,memory,10
598,pat,10
599,several,10
600,ago,10
601,south,10
602,guess,10
603,laura,10
604,performance,10
605,sleep,10
606,places,10
607,play,10
608,everybody,10
609,hill,10
610,dying,10
611,may,10
612,stop,10
613,pattern,10
614,colored,10
615,soldiers,10
616,york,10
617,country,10
618,trig,10
619,appear,10
620,lawrence,10
621,president,10
622,died,10
623,fact,10
624,hut,10
625,worked,10
626,stranger,10
627,stone,10
628,although,10
629,shoulder,10
630,lying,10
631,line,10
632,ahead,10
633,low,10
634,bring,10
635,led,10
636,tomorrow,10
637,bought,10
638,smiled,10
639,deep,10
640,case,10
641,desire,10
642,touch,10
643,crossed,10
644,edge,10
645,bottom,10
646,pain,10
647,hours,10
648,late,10
649,sharp,10
650,pretty,10
651,pastern,9
652,kayabashi,9
653,island,9
654,randolph,9
655,year,9
656,office,9
657,laugh,9
658,jew,9
659,mud,9
660,rain,9
661,instead,9
662,busy,9
663,instant,9
664,faces,9
665,village,9
666,listen,9
667,jesus,9
668,waited,9
669,hate,9
670,bastards,9
671,free,9
672,goddamn,9
673,wondered,9
674,die,9
675,proud,9
676,steeple,9
677,rolled,9
678,upon,9
679,cry,9
680,towards,9
681,glass,9
682,sir,9
683,person,9
684,thinking,9
685,darkness,9
686,fifty,9
687,rich,9
688,final,9
689,lived,9
690,dirty,9
691,square,9
692,public,9
693,learned,9
694,human,9
695,older,9
