,word,freq
1,the,4621
2,of,3059
3,and,1948
4,to,1859
5,in,1467
6,a,971
7,for,858
8,is,657
9,be,603
10,that,503
11,as,480
12,this,440
13,by,438
14,on,425
15,are,416
16,or,400
17,with,376
18,it,324
19,which,265
20,at,253
21,from,249
22,will,244
23,an,227
24,was,223
25,have,223
26,not,208
27,other,200
28,state,196
29,such,195
30,year,183
31,states,180
32,may,179
33,their,178
34,he,169
35,all,169
36,our,164
37,these,156
38,united,155
39,has,153
40,new,150
41,its,150
42,his,149
43,any,149
44,we,145
45,been,130
46,were,126
47,more,126
48,one,125
49,development,125
50,would,120
51,but,119
52,can,119
53,they,119
54,made,118
55,than,117
56,government,115
57,business,115
58,should,113
59,if,113
60,1,107
61,years,106
62,time,104
63,must,102
64,under,101
65,fiscal,100
66,shall,99
67,there,98
68,i,97
69,general,94
70,tax,90
71,also,89
72,service,88
73,program,87
74,you,86
75,2,86
76,use,86
77,many,86
78,act,85
79,so,83
80,department,81
81,during,80
82,about,77
83,who,77
84,each,77
85,rhode,76
86,only,73
87,property,72
88,no,71
89,two,71
90,island,70
91,when,68
92,some,68
93,small,67
94,1960,66
95,national,66
96,mr.,65
97,into,65
98,board,64
99,them,63
100,first,62
101,those,62
102,both,62
103,through,60
104,out,58
105,what,58
106,local,58
107,american,56
108,period,56
109,research,56
110,per,56
111,secretary,55
112,1961,55
113,million,55
114,your,55
115,over,55
116,services,55
117,most,55
118,now,54
119,income,54
120,shelter,53
121,day,53
122,military,53
123,medical,52
124,public,52
125,make,52
126,upon,52
127,available,52
128,peace,51
129,great,51
130,do,51
131,world,51
132,same,51
133,provide,51
134,section,51
135,interest,51
136,federal,51
137,production,51
138,brown,49
139,had,49
140,president,48
141,where,48
142,3,47
143,stations,46
144,corps,46
145,between,46
146,report,46
147,necessary,46
148,within,46
149,policy,45
150,projects,45
151,work,45
152,important,45
153,assistance,45
154,du,44
155,because,44
156,own,44
157,industrial,44
158,administration,44
159,agreement,43
160,total,43
