,word,freq
1,the,1027
2,and,529
3,a,523
4,of,518
5,to,465
6,in,360
7,was,276
8,that,252
9,i,239
10,it,210
11,he,195
12,for,158
13,had,149
14,you,148
15,his,145
16,as,133
17,with,133
18,on,130
19,is,121
20,at,107
21,but,101
22,they,98
23,said,88
24,were,84
25,not,84
26,she,81
27,my,81
28,an,80
29,be,79
30,one,77
31,this,76
32,by,73
33,or,69
34,her,68
35,all,62
36,when,62
37,which,62
38,from,61
39,have,56
40,me,56
41,would,56
42,so,56
43,their,53
44,up,51
45,we,50
46,them,49
47,who,49
48,him,48
49,what,46
50,out,44
51,are,44
52,time,44
53,there,42
54,if,42
55,even,39
56,been,39
57,your,38
58,then,37
59,more,37
60,mr.,36
61,do,36
62,like,36
63,no,36
64,about,36
65,into,35
66,such,35
67,only,33
68,could,33
69,our,32
70,did,30
71,other,29
72,after,29
73,things,28
74,now,28
75,way,28
76,over,27
77,has,26
78,two,26
79,very,25
80,how,25
81,little,25
82,get,25
83,than,25
84,arlene,24
85,just,24
86,mother,24
87,us,23
88,down,23
89,made,23
90,man,23
91,once,21
92,day,21
93,years,21
94,told,20
95,people,20
96,children,20
97,some,20
98,new,20
99,never,20
100,too,20
101,letch,19
102,say,19
103,much,19
104,any,19
105,asked,19
106,through,18
107,room,18
108,long,18
109,another,18
110,didn't,18
111,barco,18
112,these,18
113,moreland,17
114,funny,17
115,always,17
116,most,17
117,last,17
118,home,17
119,many,17
120,can,17
121,old,17
122,its,16
123,being,16
124,where,16
125,something,16
126,know,16
127,because,16
128,back,16
129,comedy,15
130,house,15
131,couldn't,15
132,called,15
133,went,15
134,around,15
135,again,15
136,well,15
137,seemed,15
138,first,15
139,while,15
140,off,15
141,heart,14
142,think,14
143,done,14
144,welch,14
145,thought,14
146,every,14
147,english,13
148,general,13
149,going,13
150,work,13
151,also,13
152,make,13
153,will,13
154,those,13
155,thing,13
156,since,13
157,put,13
158,looked,13
159,see,13
160,why,13
161,right,12
162,world,12
163,set,12
164,head,12
165,found,12
166,good,12
167,case,12
168,life,12
169,own,12
170,came,12
171,less,12
172,seems,12
173,crombie,11
174,each,11
175,against,11
176,kind,11
177,few,11
178,i'm,11
179,night,11
180,sometimes,11
181,human,11
182,before,11
183,girl,11
184,viola,11
185,enough,11
186,got,11
187,tell,11
188,ago,10
189,don't,10
190,part,10
191,whole,10
192,woman,10
193,couple,10
194,find,10
195,kitchen,10
196,wife,10
197,sat,10
198,perhaps,10
199,film,10
200,use,10
201,newspaper,10
202,go,10
203,eyes,10
204,great,10
205,ever,10
206,took,10
207,without,10
208,however,10
209,moment,10
210,having,10
211,horse,9
212,blatz,9
213,tools,9
214,look,9
215,must,9
216,it's,9
217,you're,9
218,person,9
219,sort,9
220,myself,9
221,place,9
222,small,9
223,both,9
224,become,9
225,left,9
226,four,9
227,knew,9
228,during,9
229,under,9
230,five,9
231,radish,8
232,humor,8
233,am,8
234,bit,8
235,stone,8
236,friend,8
237,workbench,8
238,public,8
239,mind,8
240,miss,8
241,read,8
242,live,8
243,least,8
244,oh,8
245,hear,8
246,stage,8
247,though,8
248,either,8
249,husband,8
250,phone,8
251,keep,8
252,order,8
253,school,8
254,far,8
255,whose,8
256,may,8
257,meeting,8
258,year,8
259,wasn't,8
260,nice,8
261,certain,8
262,next,8
263,feet,8
264,almost,8
265,started,8
266,might,8
267,matter,8
268,upon,8
269,hand,8
270,barco's,8
271,dear,8
272,himself,8
273,gorboduc,7
274,believe,7
275,species,7
276,saw,7
277,dogs,7
278,still,7
279,turned,7
280,mouth,7
281,else,7
282,story,7
283,wrote,7
284,same,7
285,open,7
286,blanche,7
287,rather,7
288,became,7
289,catatonia,7
290,important,7
291,francesca,7
292,times,7
293,voice,7
294,won't,7
295,can't,7
296,herself,7
297,away,7
298,should,7
299,mean,7
300,power,7
301,light,7
302,brought,7
303,here,7
304,party,7
305,anyone,7
306,lot,7
307,wanted,7
308,nothing,7
309,felt,7
310,began,7
311,car,7
312,finally,7
313,picture,7
314,police,7
315,among,7
316,french,6
317,does,6
318,movie,6
319,ambiguity,6
320,remember,6
321,wall,6
322,cellar,6
323,pegboard,6
324,want,6
325,end,6
326,wonderful,6
327,really,6
328,understand,6
329,example,6
330,leaving,6
331,family,6
332,help,6
333,studio,6
334,itself,6
335,able,6
336,week,6
337,men,6
338,anything,6
339,let,6
340,successful,6
341,saying,6
342,second,6
343,attention,6
344,girls,6
345,mrs.,6
346,high,6
347,received,6
348,doors,6
349,days,6
350,shoes,6
351,taken,6
352,soon,6
353,rest,6
354,given,6
355,nor,6
356,three,6
357,come,6
358,call,6
359,welch's,6
360,take,6
361,attempt,6
362,later,6
363,buddha,5
364,performance,5
365,de,5
366,used,5
367,smiling,5
368,burnside,5
369,ivory,5
370,sheep,5
371,whether,5
372,glass,5
373,drink,5
374,becomes,5
375,reference,5
376,modern,5
377,indefinite,5
378,politician,5
379,described,5
380,ambiguous,5
381,taking,5
382,that's,5
383,probably,5
384,recently,5
385,behind,5
386,half,5
387,course,5
388,american,5
389,laughed,5
390,lovely,5
391,cannot,5
392,thousand,5
393,best,5
394,heard,5
395,name,5
396,figure,5
397,nation,5
398,white,5
399,major,5
400,need,5
401,kafka,5
402,teeth,5
403,television,5
404,yes,5
405,wouldn't,5
406,quite,5
407,doing,5
408,bought,5
409,bermuda,5
410,love,5
411,daughter,5
412,village,5
413,doctor,5
414,met,5
415,playing,5
416,gave,5
417,trying,5
418,stool,5
419,making,5
420,problem,5
421,different,5
422,dinner,5
423,explained,5
424,evening,5
425,society,5
426,names,5
427,effect,5
428,hair,5
429,late,5
430,host,5
431,telephone,5
432,until,5
433,fear,5
434,bitter,5
435,everything,5
436,hour,5
437,gone,5
438,state,5
439,indeed,5
440,ten,5
441,show,5
442,spirit,5
443,clearly,5
444,captain,5
445,true,5
446,caught,5
447,los,5
448,entered,5
449,women,5
450,trial,5
451,better,5
452,they're,5
453,thus,5
454,hot,5
455,along,5
456,station,5
457,hollywood,5
458,mills,5
459,murder,5
460,yourselves,4
461,alicia,4
462,piece,4
463,neitzbohr,4
464,door,4
465,happy,4
466,lips,4
467,unusual,4
468,policeman,4
469,burnside's,4
470,doubt,4
471,satire,4
472,problems,4
473,theatre,4
474,music,4
475,i'll,4
476,sure,4
477,hard,4
478,isn't,4
479,you've,4
480,he's,4
481,dress,4
482,anatomical,4
483,wide,4
484,advised,4
485,vaudeville,4
486,familiar,4
487,word,4
488,misplaced,4
489,replied,4
490,statement,4
491,face,4
492,news,4
493,agreed,4
494,unless,4
495,greatest,4
496,legs,4
497,top,4
498,box,4
499,send,4
500,idea,4
501,action,4
502,answered,4
503,busy,4
504,nobody,4
505,group,4
506,letter,4
507,build,4
508,items,4
509,workshop,4
510,turn,4
511,mad,4
512,sir,4
513,simply,4
514,actor,4
515,george,4
516,cabrini,4
517,lady,4
518,played,4
519,postponed,4
520,recall,4
521,yet,4
522,run,4
523,whenever,4
524,someone,4
525,buy,4
526,club,4
527,scene,4
528,young,4
529,tried,4
530,role,4
531,henry,4
532,court,4
533,science,4
534,months,4
535,dessert,4
536,thinking,4
537,care,4
538,smile,4
539,radio,4
540,others,4
541,fish,4
542,usually,4
543,grazie,4
544,company,4
545,feel,4
546,equally,4
547,known,4
548,seem,4
549,wearing,4
550,uniform,4
551,showed,4
552,exactly,4
553,play,4
554,paint,4
555,standing,4
556,breakfast,4
557,whom,4
558,rome,4
559,married,4
560,fran,4
561,start,4
562,instead,4
563,hung,4
564,hold,4
565,themselves,4
566,means,4
567,watched,4
568,area,4
569,fact,4
570,lines,4
571,social,4
572,together,4
573,discovered,4
574,political,4
575,neither,4
576,red,4
577,table,4
578,several,4
579,air,4
580,arrived,4
581,character,4
582,mystery,4
583,toward,4
584,viola's,4
585,between,4
586,there's,4
587,'em,4
588,bodies,4
589,i've,4
590,throw,4
591,count,4
592,reached,4
593,everyone,4
594,city,4
595,office,4
596,personal,4
597,lead,4
598,angeles,4
599,refused,4
600,cut,4
601,kept,4
602,search,4
603,proceeded,4
604,close,4
605,question,4
606,minutes,4
607,seven,4
608,possess,3
609,quasimodo,3
610,haunting,3
611,fink,3
612,cup,3
613,piano,3
614,across,3
615,delivered,3
616,impossible,3
617,biting,3
618,lip,3
619,beginning,3
620,begin,3
621,move,3
622,exact,3
623,park,3
624,dead,3
625,quickly,3
626,plays,3
627,animals,3
628,window,3
629,worthy,3
630,forever,3
631,james,3
632,law,3
633,paris,3
634,non-fiction,3
635,foreigners,3
636,horror,3
637,trembling,3
638,future,3
639,fly,3
640,terms,3
641,peacocks,3
642,talking,3
643,highly,3
644,minor,3
645,beautiful,3
646,suppose,3
647,awfully,3
648,inquired,3
649,saleslady,3
650,department,3
651,lemon,3
652,literature,3
653,stomach,3
654,shot,3
655,complete,3
656,getting,3
657,saturday,3
658,comic,3
659,local,3
660,ad,3
661,slips,3
662,recent,3
663,sick,3
664,position,3
665,amusing,3
