,word,freq
1,the,12537
2,of,7452
3,and,4282
4,in,4097
5,to,3949
6,a,3463
7,is,2412
8,that,1710
9,for,1567
10,be,1363
11,as,1290
12,by,1217
13,with,1158
14,it,1146
15,was,1115
16,this,993
17,are,993
18,on,952
19,af,908
20,or,906
21,which,835
22,from,792
23,not,783
24,an,740
25,at,739
26,were,633
27,have,551
28,we,526
29,one,518
30,but,501
31,his,454
32,has,430
33,these,421
34,there,413
35,been,409
36,they,407
37,more,395
38,he,387
39,their,368
40,can,367
41,all,362
42,will,340
43,only,336
44,may,336
45,than,335
46,if,332
47,had,331
48,would,321
49,such,316
50,when,312
51,some,311
52,its,300
53,other,293
54,no,276
55,two,250
56,each,244
57,first,243
58,1,241
59,also,227
60,so,226
61,into,223
62,about,217
63,who,214
64,any,214
65,time,209
66,must,203
67,used,201
68,most,198
69,2,197
70,between,192
71,i,185
72,system,185
73,should,178
74,what,177
75,number,173
76,then,172
77,state,168
78,made,164
79,many,161
80,out,160
81,could,159
82,even,157
83,very,154
84,same,153
85,much,150
86,them,149
87,since,149
88,both,148
89,however,147
90,new,147
91,through,145
92,because,143
93,those,143
94,our,142
95,do,137
96,up,134
97,her,132
98,over,132
99,might,128
100,social,127
101,use,127
102,where,126
103,after,126
104,information,126
105,well,124
106,now,124
107,being,122
108,during,121
109,group,120
110,work,118
111,thus,118
112,surface,118
113,upon,117
114,point,117
115,found,117
116,under,117
117,3,116
118,general,114
119,rate,114
120,three,114
121,possible,114
122,data,113
123,before,112
124,form,111
125,did,111
126,less,111
127,school,109
128,small,107
129,different,105
130,given,103
131,order,103
132,example,102
133,area,102
134,while,101
135,high,101
136,values,99
137,part,99
138,him,98
139,does,98
140,line,97
141,federal,96
142,great,96
143,certain,96
144,another,94
145,type,92
146,law,91
147,study,91
148,large,91
149,people,90
150,process,90
151,second,90
152,way,90
153,rather,90
154,make,90
155,against,89
156,like,89
157,present,89
158,per,88
159,years,88
160,case,88
161,own,87
162,temperature,87
163,results,87
164,public,86
165,here,86
166,within,86
167,areas,85
168,few,85
169,although,85
170,fact,84
171,still,84
172,states,83
173,reaction,83
174,various,83
175,problem,82
176,important,82
177,costs,81
178,children,81
179,function,81
180,stress,80
181,conditions,80
182,us,79
183,interest,79
184,lines,77
185,anode,77
186,level,77
187,systems,76
188,section,76
189,value,76
190,see,76
191,therefore,76
192,individual,75
193,major,75
194,increase,75
195,policy,74
196,t,74
197,life,74
198,c,74
199,man,73
200,how,73
201,itself,73
202,evidence,73
203,following,73
204,several,73
205,available,73
206,index,72
207,4,72
208,analysis,72
209,local,72
210,until,71
211,without,71
212,end,71
213,material,71
214,set,71
215,world,70
216,either,70
217,though,70
218,often,70
219,court,69
220,government,69
221,cells,69
222,space,69
223,course,69
224,seems,69
225,cost,68
226,education,68
227,period,68
228,just,68
229,required,68
230,pressure,68
231,she,67
232,long,67
233,effect,67
234,above,67
235,sense,66
236,stage,66
237,activity,66
238,words,66
239,figure,66
240,low,66
241,later,65
242,normal,65
243,power,65
244,population,64
245,place,64
246,force,64
247,means,64
248,total,64
249,shown,64
250,little,63
251,volume,63
252,theory,63
253,change,63
254,aj,63
255,program,62
256,common,62
257,least,62
258,light,62
259,problems,62
260,similar,62
261,methods,62
262,table,62
263,basis,62
264,say,61
265,always,61
266,water,61
267,cases,61
268,child,60
269,industry,60
270,forms,60
271,too,60
272,hands,60
273,method,60
274,platform,59
275,further,59
276,action,59
277,among,59
278,every,59
279,hand,59
280,age,59
281,radiation,59
282,become,59
283,word,58
284,points,58
285,free,58
286,range,58
287,members,57
288,sections,57
289,question,57
290,quite,57
291,types,57
292,result,57
293,list,56
294,society,56
295,development,56
296,described,56
297,cannot,56
298,give,56
299,training,55
300,image,55
301,experience,55
302,show,55
303,enough,55
304,distribution,55
305,whole,55
306,basic,54
307,single,54
308,necessary,54
309,probably,54
310,specific,54
311,far,54
312,national,54
313,rates,54
314,again,54
315,likely,54
316,greater,54
317,dictionary,53
318,growth,53
319,yet,53
320,class,53
321,usually,53
322,test,53
323,early,53
324,changes,53
325,schools,52
326,seen,52
327,cell,52
328,increased,52
329,amount,52
330,times,52
331,length,52
332,business,51
333,let,51
334,difference,51
335,elements,50
336,act,50
337,control,50
338,find,50
339,four,50
340,field,50
341,last,49
342,5,49
343,provide,49
344,plane,49
345,behavior,49
346,developed,49
347,p,49
348,lower,49
349,obtained,49
350,men,48
351,subjects,48
352,particular,48
353,come,48
354,appear,48
355,showed,48
356,procedure,48
357,effects,48
358,taken,48
359,energy,48
360,larger,48
361,sample,48
362,poems,47
363,service,47
364,clear,47
365,support,47
366,groups,47
367,whether,47
368,toward,47
369,addition,47
370,size,47
371,direction,47
372,short,47
373,expected,47
374,treatment,46
375,left,46
376,defense,46
377,right,46
378,others,46
379,related,46
380,simple,46
381,actual,46
382,q,46
383,good,46
384,differences,46
385,due,46
386,1958,46
387,wage,45
388,price,45
389,elections,45
390,matter,45
391,statement,45
392,past,45
393,paper,45
394,known,45
395,higher,45
396,me,44
397,seem,44
398,nothing,44
399,trial,44
400,next,44
401,best,44
402,terms,44
403,mean,44
404,became,44
405,direct,44
406,mass,44
407,off,44
408,text,43
409,philosophy,43
410,religion,43
411,meaning,43
412,company,43
413,need,43
414,year,43
415,inches,43
416,take,43
417,strong,43
418,increases,43
419,subject,43
420,latter,43
421,gas,43
422,along,43
423,using,43
424,programs,42
425,economic,42
426,shall,42
427,you,42
428,true,42
429,workers,42
430,appears,42
431,based,42
432,somewhat,42
433,extent,42
434,dominant,41
435,fig.,41
436,daily,41
437,view,41
438,influence,41
439,properties,41
440,studies,41
441,particularly,41
442,techniques,41
443,measured,41
444,already,41
445,complete,41
446,union,40
447,operating,40
448,issue,40
449,war,40
450,operator,40
451,completion,40
452,almost,40
453,importance,40
454,sometimes,40
455,special,40
456,directly,40
457,considered,40
458,follows,40
459,center,40
460,put,40
461,relatively,40
462,b,40
463,failure,39
464,american,39
465,j.,39
466,five,39
467,something,39
468,united,39
469,curve,39
470,complex,39
471,6,39
472,generally,39
473,position,39
474,determined,39
475,column,39
476,average,39
477,measurements,39
478,brown,38
479,artery,38
480,plant,38
481,my,38
482,day,38
483,numbers,38
484,classes,38
485,having,38
486,unit,38
487,shear,38
488,whose,38
489,parts,38
490,figures,38
491,below,38
492,applied,38
493,third,38
494,back,38
495,additional,38
496,phase,38
497,10,38
498,knife,37
499,corporation,37
500,labor,37
501,staining,37
502,units,37
503,onset,37
504,never,37
505,human,37
506,name,37
507,oxygen,37
508,respect,37
509,discussion,37
510,side,37
511,entire,37
512,difficult,37
513,maximum,37
514,indicated,37
515,century,36
516,things,36
517,political,36
518,students,36
519,binomial,36
520,clearly,36
521,situation,36
522,cent,36
523,degree,36
524,better,36
525,called,36
526,gain,36
527,angle,36
528,assumed,36
529,community,35
530,language,35
531,tone,35
532,international,35
533,patient,35
534,said,35
535,written,35
536,family,35
537,factors,35
538,away,35
539,themselves,35
540,effective,35
541,finally,35
542,indeed,35
543,experiment,35
544,factor,35
545,nature,35
546,structure,35
547,questionnaire,34
548,address,34
549,capital,34
550,stages,34
551,modern,34
