,word,freq
1,the,6975
2,of,3696
3,and,2833
4,to,2581
5,a,2426
6,in,2196
7,is,1016
8,that,1005
9,was,961
10,for,941
11,as,759
12,it,748
13,with,715
14,he,683
15,on,636
16,by,591
17,be,570
18,his,526
19,or,506
20,from,489
21,at,487
22,are,482
23,this,482
24,had,463
25,not,420
26,they,400
27,an,396
28,have,396
29,but,391
30,one,361
31,were,349
32,her,315
33,she,310
34,their,310
35,which,277
36,i,265
37,who,261
38,when,250
39,you,242
40,all,242
41,been,235
42,more,231
43,has,226
44,there,226
45,if,208
46,its,198
47,no,191
48,than,189
49,would,188
50,them,183
51,so,183
52,some,183
53,will,178
54,time,178
55,we,177
56,out,171
57,may,170
58,can,170
59,up,169
60,him,167
61,about,166
62,into,163
63,new,162
64,what,162
65,first,161
66,most,161
67,these,157
68,only,148
69,other,145
70,could,142
71,many,137
72,people,137
73,two,132
74,then,125
75,even,123
76,after,121
77,any,120
78,over,119
79,such,116
80,do,115
81,made,112
82,school,111
83,where,111
84,years,110
85,before,104
86,now,102
87,another,99
88,also,99
89,through,97
90,must,96
91,our,96
92,used,95
93,good,93
94,still,92
95,few,91
96,did,91
97,world,90
98,man,90
99,like,89
100,said,89
101,men,87
102,work,86
103,way,86
104,great,85
105,little,82
106,how,81
107,american,81
108,too,80
109,own,80
110,those,79
111,well,79
112,both,79
113,should,78
114,life,76
115,each,76
116,much,76
117,long,73
118,high,73
119,make,72
120,college,71
121,during,71
122,however,71
123,down,70
124,because,70
125,place,70
126,once,69
127,see,69
128,very,69
129,often,69
130,use,69
131,fact,68
132,between,68
133,house,67
134,means,66
135,day,66
136,just,66
137,church,65
138,economic,64
139,three,64
140,while,64
141,course,64
142,under,63
143,always,63
144,never,63
145,called,63
146,get,61
147,old,60
148,back,60
149,far,60
150,home,59
151,state,59
152,come,59
153,your,59
154,take,59
155,against,58
156,my,58
157,early,58
158,white,58
159,same,58
160,me,58
161,came,57
162,off,57
163,here,57
164,cattle,56
165,days,56
166,since,56
167,go,54
168,north,53
169,being,53
170,upon,53
171,states,53
172,family,52
173,city,52
174,without,52
175,found,51
176,among,51
177,though,51
178,farm,50
179,year,50
180,trade,50
181,until,50
182,case,50
183,country,50
184,know,50
185,general,50
186,might,50
187,wine,49
188,children,49
189,united,48
190,river,48
191,teeth,48
192,wife,48
193,end,48
194,almost,48
195,better,46
196,every,46
197,become,46
198,company,46
199,does,46
200,south,45
201,red,45
202,water,45
203,important,45
204,right,45
205,power,44
206,war,44
207,john,44
208,around,43
209,half,43
210,again,43
211,became,43
212,part,43
213,social,42
214,along,42
215,find,42
216,feet,42
217,told,42
218,went,42
219,away,42
220,side,40
221,left,40
222,himself,40
223,less,40
224,name,40
225,money,39
226,national,39
227,today,39
228,matter,39
229,last,39
230,later,39
231,small,39
232,four,39
233,jewish,38
234,members,38
235,best,38
236,head,38
237,point,38
238,negroes,37
239,students,37
240,sometimes,37
241,per,36
242,form,36
243,yet,36
244,number,36
245,husband,36
246,usually,36
247,thought,36
248,local,35
249,others,35
250,given,35
251,toward,35
252,least,35
253,second,35
254,set,35
255,history,35
256,group,34
257,women,34
258,boy,34
259,kind,34
260,hudson,34
261,ever,34
262,why,34
263,miss,34
264,put,34
265,young,34
266,knew,34
267,need,33
268,sexual,33
269,different,33
270,turn,33
271,land,33
272,york,33
273,us,33
274,times,33
275,keep,33
276,mind,33
277,trial,32
278,whose,32
279,large,32
280,miles,32
281,seeds,32
282,wrote,32
283,taken,32
284,next,32
285,took,32
286,enough,32
287,began,32
288,department,32
289,girl,32
290,within,32
291,churches,31
292,schools,31
293,sense,31
294,job,31
295,asked,31
296,brought,31
297,common,31
298,want,31
299,film,31
300,field,31
301,seemed,31
302,say,31
303,experience,31
304,perhaps,31
305,says,31
306,making,31
307,certain,31
308,things,31
309,give,31
310,nothing,31
311,vocational,30
312,west,30
313,community,30
314,hundred,30
315,value,30
316,result,30
317,got,30
318,rather,30
319,hand,30
320,probably,30
321,example,30
322,congregation,29
323,christian,29
324,police,29
325,fort,29
326,cost,29
327,treatment,29
328,really,29
329,whether,29
330,having,29
331,open,29
332,waves,29
333,although,29
334,death,29
335,done,28
336,french,28
337,business,28
338,action,28
339,oil,28
340,view,28
341,true,28
342,possible,28
343,able,28
344,information,28
345,human,28
346,system,28
347,dartmouth,27
348,patent,27
349,cent,27
350,position,27
351,several,27
352,medical,27
353,material,27
354,parents,27
355,across,27
356,seen,27
357,help,27
358,actually,27
359,known,27
360,office,27
361,five,27
362,body,27
363,seems,27
364,ecumenical,26
365,palfrey,26
366,age,26
367,pressure,26
368,ago,26
369,look,26
370,close,26
371,ground,26
372,child,26
373,room,26
374,themselves,26
375,gave,26
376,woman,26
377,food,26
378,identity,26
379,change,26
380,words,26
381,folklore,25
382,boys,25
383,itself,25
384,interest,25
385,street,25
386,problem,25
387,freedom,25
388,free,25
389,labor,25
390,question,25
391,america,25
392,air,25
393,word,25
394,thing,25
395,whole,25
396,study,25
397,middle,25
398,person,25
399,education,25
400,seed,24
401,goods,24
402,held,24
403,religious,24
404,control,24
405,area,24
406,front,24
407,situation,24
408,near,24
409,served,24
410,physical,24
411,past,24
412,sea,24
413,fall,24
414,heard,24
415,night,24
416,above,24
417,light,24
418,washington,23
419,sex,23
420,personal,23
421,art,23
422,live,23
423,soon,23
424,kept,23
425,anything,23
426,cases,23
427,cannot,23
428,saw,23
429,major,23
430,thus,23
431,either,23
432,bring,23
433,foreign,23
434,wines,22
435,jones,22
436,slaves,22
437,via,22
438,protestant,22
439,jews,22
440,marriage,22
441,let,22
442,fogg,22
443,secretary,22
444,reading,22
445,testimony,22
446,health,22
447,student,22
448,post,22
449,president,22
450,likely,22
451,cause,22
452,minutes,22
453,full,22
454,immediately,22
455,something,22
456,girls,22
457,bridget,21
458,morse,21
459,soviet,21
460,tsunami,21
461,political,21
462,sitter,21
463,public,21
464,big,21
465,act,21
466,ball,21
467,hard,21
468,supply,21
469,months,21
470,met,21
471,various,21
472,face,21
473,already,21
474,ship,21
475,hold,21
476,charge,21
477,present,21
478,everything,21
479,program,21
480,henry,21
481,degree,21
482,higher,21
483,borden,20
484,chandler,20
485,courses,20
486,traders,20
487,century,20
488,mission,20
489,game,20
490,roman,20
491,rome,20
492,train,20
493,district,20
494,similar,20
495,run,20
496,think,20
497,class,20
498,law,20
499,real,20
500,earlier,20
501,tell,20
502,order,20
503,seem,20
504,longer,20
505,leave,20
506,taking,20
507,six,20
508,evidence,20
509,believe,20
510,significant,20
511,range,20
512,third,20
513,university,20
514,bay,19
515,policy,19
516,spirit,19
517,further,19
518,cut,19
519,private,19
520,love,19
521,plan,19
522,special,19
523,going,19
524,instead,19
525,winter,19
526,show,19
527,needs,19
528,ten,19
529,week,19
530,machine,19
531,am,19
532,pain,19
533,turned,19
534,military,19
535,father,19
536,beginning,19
537,level,19
538,mother,19
539,including,19
540,together,19
541,makes,19
542,basic,19
543,mobile,18
544,upton,18
545,fighting,18
546,center,18
547,worth,18
548,moved,18
549,needed,18
550,discovery,18
551,pay,18
552,society,18
553,moral,18
554,period,18
555,soldiers,18
556,conditions,18
557,move,18
558,beyond,18
559,comes,18
560,letters,18
561,cold,18
562,hot,18
563,problems,18
564,ideas,18
565,development,18
566,necessary,18
567,town,18
568,dream,18
569,william,18
570,decided,18
571,morning,18
572,getting,18
573,following,18
574,reported,18
575,force,18
576,story,18
577,basis,18
578,modern,18
579,process,18
580,developed,18
581,simply,18
582,quite,18
583,reason,18
584,happened,18
585,english,18
586,gone,18
587,lizzie,17
588,giffen,17
589,brooklyn,17
590,japanese,17
591,square,17
592,whom,17
593,dollars,17
594,paid,17
595,million,17
596,court,17
597,difference,17
598,effort,17
599,caused,17
600,building,17
601,outside,17
602,beautiful,17
603,main,17
604,merely,17
605,short,17
606,applied,17
607,concerned,17
608,purpose,17
609,sure,17
610,hour,17
611,eyes,17
612,remained,17
613,returned,17
614,complete,17
615,officer,17
616,followed,17
617,japan,17
618,else,17
619,particular,17
620,areas,17
621,expected,17
622,felt,17
623,style,17
624,alone,17
625,deal,17
626,black,17
627,especially,17
628,facts,17
629,diffusion,16
630,baseball,16
631,louisiana,16
632,battle,16
633,union,16
634,justice,16
635,friendly,16
636,press,16
637,terms,16
638,forward,16
639,device,16
640,east,16
641,believed,16
642,western,16
643,nature,16
644,therefore,16
645,generally,16
646,ones,16
647,return,16
648,finally,16
649,ready,16
650,top,16
651,cereal,16
652,lost,16
653,grains,16
654,homes,16
655,methods,16
656,type,16
657,nor,16
658,completely,16
659,direct,16
660,clear,16
661,moment,16
662,british,16
663,considered,16
664,stage,16
665,below,16
666,using,16
667,warning,16
668,throughout,16
669,mean,16
670,carried,16
671,army,16
672,central,16
673,named,16
674,communication,16
675,integration,15
676,piazza,15
677,selden,15
678,ulyate,15
679,regiment,15
680,negro,15
681,indian,15
