,word,freq
1,the,2817
2,to,1294
3,and,1282
4,a,1196
5,he,1076
6,of,913
7,was,828
8,in,695
9,it,653
10,i,583
11,his,565
12,that,526
13,had,520
14,on,441
15,you,416
16,for,378
17,she,350
18,with,336
19,at,331
20,him,330
21,her,311
22,as,302
23,but,266
24,be,234
25,there,232
26,have,222
27,not,219
28,up,217
29,out,214
30,said,204
31,would,189
32,no,187
33,from,181
34,if,174
35,one,172
36,this,172
37,all,165
38,they,165
39,back,158
40,were,157
41,when,154
42,been,152
43,what,146
44,could,145
45,into,143
46,like,139
47,or,139
48,then,136
49,about,133
50,an,132
51,so,126
52,is,120
53,them,120
54,by,117
55,my,117
56,me,116
57,now,114
58,over,108
59,man,107
60,do,102
61,get,99
62,just,95
63,who,94
64,we,94
65,two,89
66,know,86
67,down,83
68,time,83
69,go,83
70,got,82
71,some,82
72,off,81
73,door,80
74,see,79
75,more,79
76,here,79
77,went,77
78,around,76
79,too,76
80,still,73
81,right,72
82,before,72
83,where,71
84,car,70
85,your,70
86,any,69
87,even,67
88,going,66
89,room,65
90,knew,65
91,come,63
92,than,62
93,again,62
94,which,61
95,way,61
96,made,60
97,old,60
98,much,59
99,through,58
100,something,58
101,might,57
102,little,57
103,only,56
104,after,56
105,left,56
106,did,55
107,think,55
108,well,54
109,thought,54
110,want,53
111,take,53
112,told,53
113,himself,52
114,looked,52
115,are,52
116,why,52
117,office,51
118,came,51
119,other,51
120,turned,51
121,away,50
122,their,50
123,make,50
124,put,49
125,eyes,49
126,hand,48
127,took,48
128,how,48
129,face,47
130,say,46
131,road,45
132,can,45
133,asked,45
134,good,45
135,head,43
136,gun,43
137,another,43
138,same,43
139,found,42
140,never,42
141,while,42
142,anything,42
143,look,41
144,house,41
145,day,41
146,street,41
147,stood,41
148,long,41
149,because,41
150,tell,41
151,sure,41
152,men,40
153,first,40
154,toward,40
155,felt,40
156,side,39
157,moment,38
158,very,38
159,police,37
160,saw,37
161,enough,37
162,across,36
163,nothing,36
164,call,36
