,word,freq
1,the,6386
2,of,2861
3,and,2186
4,to,2144
5,a,2130
6,in,2020
7,for,969
8,that,829
9,is,733
10,was,717
11,on,691
12,he,642
13,at,636
14,with,567
15,be,526
16,as,517
17,by,504
18,it,478
19,his,428
20,said,406
21,will,389
22,from,353
23,are,330
24,this,320
25,an,311
26,has,301
27,but,283
28,had,281
29,who,268
30,they,267
31,have,265
32,not,257
33,mrs.,253
34,were,252
35,would,246
36,which,245
37,new,241
38,their,231
39,one,213
40,been,212
41,there,189
42,more,183
43,all,181
44,i,179
45,its,178
46,last,177
47,two,174
48,or,174
49,mr.,170
50,when,169
51,up,168
52,other,164
53,out,162
54,first,158
55,state,153
56,after,151
57,about,147
58,president,142
59,year,142
60,than,138
61,home,132
62,also,129
63,her,121
64,no,120
65,over,119
66,into,115
67,some,113
68,only,111
69,made,107
70,we,107
71,if,103
72,time,103
73,years,102
74,three,101
75,house,97
76,them,96
77,what,95
78,week,94
79,can,94
80,any,94
81,him,93
82,before,93
83,may,93
84,city,93
85,under,91
86,could,87
87,now,87
88,school,87
89,four,82
90,most,81
91,so,81
92,against,78
93,she,77
94,day,76
95,committee,75
96,members,74
97,each,74
98,man,74
99,such,74
100,government,73
101,off,73
102,then,73
103,back,73
104,both,73
105,national,72
106,here,72
107,many,72
108,university,70
109,these,70
110,bill,69
111,high,68
112,get,68
113,american,67
114,since,67
115,work,67
116,those,66
117,kennedy,66
118,you,66
119,program,66
120,john,65
121,night,65
122,board,64
123,do,64
124,did,64
125,meeting,62
126,administration,62
127,even,61
128,per,61
129,should,61
130,county,61
131,states,60
132,during,60
133,our,60
134,where,59
135,united,58
136,u.s.,58
137,public,58
138,tax,58
139,service,57
140,white,57
141,being,57
142,yesterday,56
143,people,56
144,through,56
145,club,55
146,today,55
147,because,55
148,while,55
149,court,55
150,monday,54
151,without,53
152,told,53
153,must,53
154,company,52
155,family,52
156,york,52
157,sales,52
158,federal,52
159,game,51
160,much,51
161,down,51
162,good,51
163,set,51
164,sunday,51
165,cent,51
166,car,50
167,take,50
168,dallas,49
169,just,49
170,system,49
171,however,49
172,miss,48
173,between,48
174,like,48
175,washington,48
176,texas,48
177,mantle,47
178,men,47
179,way,47
180,children,47
181,1,47
182,took,47
183,world,46
184,another,46
185,long,46
186,education,46
187,plan,46
188,jr.,46
189,jury,46
190,business,45
191,local,45
192,got,45
193,million,45
194,five,45
195,make,44
196,season,43
197,group,43
198,my,43
199,party,43
200,tuesday,43
201,held,43
202,chairman,43
203,general,43
204,well,43
205,palmer,42
206,play,42
207,months,42
208,how,42
209,st.,42
210,dr.,42
211,big,42
212,special,42
213,go,42
214,1961,42
215,j.,42
216,p.m.,41
217,came,41
218,young,41
219,own,41
220,next,41
221,election,41
222,friday,41
223,second,40
224,center,40
225,area,40
226,days,40
227,march,40
228,see,40
229,expected,40
230,hospital,40
231,police,40
232,law,40
233,s.,39
234,case,39
235,several,39
236,left,39
237,asked,39
238,w.,39
239,problem,39
240,among,39
241,judge,39
242,library,38
243,1960,38
244,early,38
245,laos,38
246,never,38
247,called,38
248,college,38
249,a.,38
250,still,38
251,schools,38
252,little,38
253,democratic,38
254,given,38
255,might,38
256,player,37
257,ball,37
258,same,37
259,foreign,37
260,along,37
261,10,37
262,league,37
263,third,37
264,later,37
265,went,37
266,too,37
267,session,37
268,james,37
269,announced,37
270,maris,36
271,international,36
272,ago,36
273,north,36
274,council,36
275,william,36
276,hit,35
277,member,35
278,union,35
279,record,35
