,word,freq
1,the,2370
2,of,1340
3,and,1161
4,a,930
5,in,728
6,to,726
7,is,513
8,that,348
9,for,300
10,with,284
11,as,276
12,it,269
13,he,239
14,his,231
15,was,227
16,by,207
17,on,197
18,at,196
19,are,195
20,has,195
21,this,184
22,an,171
23,but,170
24,not,156
25,be,154
26,from,143
27,all,143
28,who,130
29,one,125
30,have,124
31,which,124
32,more,107
33,mr.,105
34,or,100
35,they,98
36,its,96
37,there,95
38,her,90
39,new,90
40,were,87
41,than,80
42,so,76
43,about,75
44,music,74
45,had,71
46,been,70
47,first,69
48,only,69
49,their,68
50,no,64
51,will,61
52,when,60
53,some,59
54,other,58
55,man,58
56,up,57
57,most,57
58,out,56
59,what,56
60,well,53
61,she,52
62,i,49
63,if,48
64,would,48
65,may,47
66,them,45
67,can,45
68,we,45
69,into,45
70,good,44
71,american,44
72,time,44
73,program,43
74,great,43
75,too,42
76,many,42
77,jazz,40
78,like,40
79,do,40
80,two,40
81,could,40
82,him,40
83,last,39
84,musical,37
85,life,37
86,much,37
87,you,37
88,such,36
89,after,36
90,just,36
91,night,36
92,way,35
93,work,35
94,these,35
95,made,35
96,also,35
97,little,34
98,even,34
99,own,34
100,years,33
101,how,33
102,audience,32
103,old,32
104,then,32
105,world,32
106,does,32
107,being,31
108,make,30
109,very,30
110,york,30
111,fine,30
112,any,30
113,himself,30
114,miss,29
115,through,29
116,where,29
117,here,28
118,war,27
119,both,27
120,now,27
121,negro,27
122,book,26
123,quite,26
124,each,26
125,might,26
126,before,26
127,those,26
128,performance,26
129,while,25
130,show,25
131,people,25
132,long,25
133,big,25
134,dance,24
135,course,24
136,season,24
137,sept.,23
138,dr.,23
139,over,23
140,stage,23
141,still,23
142,place,23
143,did,23
144,style,23
145,never,22
146,every,22
147,often,22
148,almost,22
149,sense,22
150,keys,21
151,says,21
152,between,21
153,though,21
154,however,21
155,us,21
156,white,21
157,playing,21
158,west,20
159,part,20
160,seems,20
161,get,20
162,really,20
163,called,20
164,best,20
165,singing,20
166,orchestra,20
167,under,19
168,three,19
169,given,19
170,songs,19
171,must,19
172,since,19
173,off,19
174,london,19
175,perhaps,19
176,back,19
177,again,19
178,opera,19
179,song,19
180,company,18
181,because,18
182,although,18
183,least,18
184,evening,18
185,say,18
186,should,18
187,better,18
188,high,18
189,played,18
190,radio,17
191,art,17
192,year,17
193,away,17
194,come,17
195,young,17
196,john,17
197,same,17
198,few,17
199,half,17
200,strong,17
201,color,17
202,de,17
203,whose,17
204,number,17
205,gave,17
206,something,17
207,hall,17
208,french,16
209,far,16
210,less,16
211,sound,16
212,cast,16
213,always,16
214,matter,16
215,human,16
216,among,16
217,set,16
218,once,16
219,word,16
220,another,16
221,cholesterol,15
222,universe,15
223,newport,15
224,death,15
225,food,15
226,british,15
227,men,15
228,works,15
229,others,15
230,role,15
231,second,15
232,special,15
233,without,15
234,character,15
235,fact,15
236,seem,15
237,see,15
238,ballet,15
239,point,15
240,play,15
241,heart,15
242,u.s.,14
243,rather,14
244,plays,14
245,ever,14
246,group,14
247,around,14
248,leadership,14
249,right,14
250,itself,14
251,sang,14
252,brought,14
253,down,14
254,came,14
255,seemed,14
256,russian,14
257,film,14
258,left,14
259,know,14
260,become,14
261,comedie,14
262,give,14
263,times,14
264,production,14
265,festival,14
266,along,14
267,sometimes,14
268,fats,13
269,sloan,13
270,stations,13
271,public,13
272,home,13
273,clear,13
274,picture,13
275,piano,13
276,act,13
277,field,13
