,word,freq
1,the,2988
2,and,1905
3,to,1517
4,a,1383
5,of,1202
6,he,1068
7,was,999
8,i,951
9,in,930
10,she,728
11,it,717
12,had,695
13,her,680
14,that,612
15,his,603
16,you,558
17,with,473
18,for,441
19,at,431
20,but,387
21,on,375
22,him,340
23,said,331
24,as,302
25,be,292
26,not,273
27,have,264
28,would,247
29,all,242
30,they,237
31,there,235
32,out,223
33,were,214
34,up,212
35,from,209
36,could,195
37,me,194
38,so,192
39,like,189
40,this,187
41,one,182
42,been,179
43,my,177
44,what,171
45,if,170
46,about,165
47,or,165
48,no,163
49,when,163
50,an,159
51,is,158
52,then,143
53,them,142
54,into,137
55,back,128
56,just,128
57,did,127
58,down,127
59,do,121
60,their,119
61,your,116
62,only,114
63,by,114
64,now,112
65,we,109
66,thought,106
67,which,106
68,little,104
69,didn't,104
70,man,100
71,who,95
72,get,95
73,time,94
74,too,94
75,before,91
76,got,90
77,old,90
78,more,89
79,over,88
80,know,88
81,because,88
82,never,87
83,don't,86
84,even,86
85,way,84
86,go,82
87,went,82
88,come,80
89,can,79
90,see,78
91,are,78
92,i'm,77
93,how,77
94,eyes,76
95,came,75
96,some,73
97,here,73
98,well,72
99,looked,72
100,other,71
101,much,70
102,its,70
103,knew,69
104,good,69
105,after,69
106,any,68
107,something,68
108,around,68
109,long,67
110,take,66
111,than,65
112,felt,64
113,day,64
114,away,64
115,own,63
116,still,63
117,going,62
118,look,62
119,made,62
120,why,62
121,say,61
122,through,58
123,where,58
124,those,58
125,think,57
126,night,57
127,off,56
128,again,56
129,nothing,56
130,right,55
131,life,54
132,i'll,53
133,while,53
134,himself,53
135,first,53
136,always,53
137,wasn't,52
138,two,52
139,thing,52
140,being,51
141,young,51
142,make,51
143,seemed,51
144,very,51
145,might,51
146,put,50
147,left,50
148,people,50
149,will,49
150,mother,49
151,turned,48
152,room,48
153,took,48
154,told,47
155,home,47
156,let,47
157,saw,47
158,once,47
159,must,46
160,couldn't,46
161,next,46
162,new,46
163,head,46
164,asked,46
165,last,45
166,place,45
167,phil,44
168,wanted,44
169,face,44
170,anything,44
171,door,43
172,against,43
173,us,42
174,it's,41
175,morning,40
176,tell,40
177,enough,40
178,herself,40
179,john,39
180,mrs.,39
181,really,39
182,big,39
183,boy,39
184,that's,39
185,ever,37
186,want,37
187,stood,37
188,few,37
189,house,37
190,better,36
191,feel,36
192,love,36
193,course,36
194,looking,36
195,years,35
196,yes,35
197,cold,35
198,hand,35
199,water,34
200,kind,34
201,until,34
202,find,34
203,small,34
204,sure,34
205,son,34
206,wouldn't,34
207,woman,34
208,i'd,33
209,along,33
210,should,33
211,mr.,33
212,work,33
213,voice,33
214,days,32
215,great,32
216,you're,32
217,same,32
218,sat,32
219,gave,32
220,without,32
221,black,32
222,hands,31
223,everything,31
224,things,31
225,heard,31
226,though,31
227,these,31
228,called,31
229,lucy,30
230,most,30
231,hadn't,30
232,can't,30
233,hair,30
234,white,30
235,both,30
236,yet,30
237,found,29
238,another,29
239,done,29
240,every,29
241,give,29
242,else,29
243,men,29
244,church,29
245,mike,28
246,many,28
247,miss,28
248,god,28
249,our,28
250,keep,28
251,suddenly,28
252,cady,27
253,maybe,27
254,job,27
255,myself,27
256,walked,27
257,moment,27
258,i've,27
259,together,27
260,oh,27
261,father,27
262,talk,26
263,gone,26
264,world,26
265,has,26
266,clothes,26
267,girl,26
268,kept,26
269,each,26
270,johnnie,25
271,linda,25
272,mind,25
273,pale,25
274,she'd,25
275,beautiful,25
276,leave,25
277,stopped,25
278,baby,25
279,early,25
280,theresa,24
281,myra,24
282,alone,24
283,help,24
284,wrong,24
285,field,24
286,feeling,24
287,call,24
288,end,24
289,thinking,24
290,money,24
291,such,24
292,having,24
293,light,24
294,perhaps,24
295,cousin,23
296,wally,23
297,slowly,23
298,idea,23
299,family,23
300,whole,23
301,poor,23
302,bed,23
303,quite,23
304,isn't,23
305,trying,23
306,anne,23
307,sound,23
308,sun,23
309,began,23
310,toward,23
311,smiled,23
312,deegan,22
313,eddie,22
314,martin,22
315,bobbie,22
316,spencer,22
317,he'd,22
318,between,22
319,three,22
320,wish,22
321,tried,22
322,stay,22
323,started,22
324,maggie,22
325,women,22
326,stop,22
327,since,22
328,snake,21
329,george,21
330,weeks,21
331,business,21
332,he's,21
333,used,21
334,feet,21
335,already,21
336,high,21
337,children,21
338,watching,21
339,part,21
340,wife,21
341,freddy,20
342,susan,20
343,car,20
344,alexander,20
345,dark,20
346,owen,20
347,air,20
348,across,20
349,henrietta,20
350,am,20
351,sorry,20
352,nice,20
353,doing,20
354,sitting,20
355,body,20
356,table,20
357,taking,20
358,seen,20
359,nobody,20
360,pretty,20
361,happened,20
362,above,20
363,dolores,19
364,cathy,19
365,letter,19
366,college,19
367,later,19
368,probably,19
369,william,19
370,brought,19
371,fine,19
372,almost,19
373,full,19
374,half,19
375,turn,19
376,she's,19
377,blue,19
378,lived,19
379,coffee,19
380,care,19
381,street,19
382,shorts,18
383,tractor,18
384,ball,18
385,sam,18
386,real,18
387,standing,18
388,week,18
389,open,18
390,won't,18
391,saying,18
392,rest,18
393,pink,18
394,hear,18
395,matter,18
396,dead,18
397,given,18
398,richard,17
399,nadine,17
400,bright,17
401,heart,17
402,clear,17
403,breakfast,17
404,true,17
405,school,17
406,beside,17
407,couple,17
408,word,17
409,rather,17
410,talking,17
411,getting,17
412,under,17
413,need,17
414,outside,17
415,set,17
416,child,17
417,lot,17
418,side,17
419,making,17
420,front,17
421,willis,16
422,hanford,16
423,waited,16
424,rachel,16
425,chance,16
426,girls,16
427,sometimes,16
428,held,16
429,hours,16
430,loved,16
431,run,16
432,hard,16
433,everybody,16
434,picked,16
435,close,16
436,also,16
437,waiting,16
438,upon,16
439,remember,16
440,anniston,15
441,bad,15
442,seeing,15
443,move,15
444,age,15
445,club,15
446,hot,15
447,listening,15
448,far,15
449,please,15
450,you've,15
451,use,15
452,moved,15
453,caught,15
454,red,15
455,doctor,15
456,talked,15
457,instead,15
458,second,15
459,let's,15
460,eugenia,15
461,town,15
462,behind,15
463,past,15
464,evening,15
465,refrigerator,14
466,edythe,14
467,apartment,14
468,rock,14
469,quietly,14
470,soon,14
471,understand,14
472,believe,14
473,tommy,14
474,japanese,14
475,green,14
476,captain,14
477,yourself,14
478,year,14
479,doc,14
480,hope,14
481,strange,14
482,ought,14
483,ran,14
484,fell,14
485,american,14
486,dropped,14
487,words,14
488,times,14
489,company,14
490,stared,14
491,arms,14
492,heavy,14
493,yellow,14
494,name,14
495,jim,13
496,carla,13
497,late,13
498,hell,13
499,straight,13
500,boys,13
501,large,13
502,cromwell,13
503,realized,13
504,finally,13
505,swimming,13
506,wondered,13
507,book,13
508,hall,13
509,friends,13
510,beach,13
511,remembered,13
512,today,13
513,does,13
514,certain,13
515,someone,13
516,note,13
517,simply,13
518,coming,13
519,read,13
520,you'll,13
521,haven't,13
522,live,13
523,during,13
524,floor,13
525,laughed,13
526,york,13
527,office,13
528,opened,13
529,there's,13
530,lost,13
531,steps,13
532,color,13
533,city,13
534,rose,13
535,fingers,13
536,sounds,13
537,frankie,12
538,catcher,12
539,charlie,12
540,kill,12
541,somebody,12
542,ready,12
543,interest,12
544,guy,12
545,added,12
546,among,12
547,least,12
548,navy,12
549,short,12
550,gray,12
551,rain,12
552,class,12
553,walking,12
554,surprised,12
555,we'll,12
556,met,12
557,party,12
558,hour,12
559,best,12
560,spoke,12
561,handsome,12
562,wait,12
563,fire,12
564,anyway,12
565,meeting,12
566,shoes,12
567,war,12
568,brown,12
569,bit,12
570,bedroom,12
571,kitchen,12
572,sick,12
573,neck,12
574,afternoon,12
575,death,12
576,worry,12
577,watch,12
578,eye,12
579,doesn't,12
580,answer,12
581,ten,12
582,inside,12
583,less,12
584,hold,12
585,tiny,12
586,six,12
587,liked,12
588,vivian,11
589,lucille,11
590,pete,11
591,quint,11
592,colors,11
593,afraid,11
594,taken,11
595,crazy,11
596,shouted,11
597,ask,11
598,speak,11
599,seven,11
600,group,11
601,may,11
602,reason,11
603,tomorrow,11
604,turning,11
605,different,11
606,stick,11
607,imagine,11
608,others,11
609,able,11
610,smile,11
611,hardly,11
612,sent,11
613,meant,11
614,lay,11
615,lips,11
616,dressed,11
617,stayed,11
618,meet,11
619,wore,11
620,living,11
621,chris,11
622,tired,11
623,mouth,11
624,knowing,11
625,within,11
626,months,11
627,running,11
628,silent,11
629,anyone,11
630,thin,11
631,tongue,11
632,man's,11
633,except,11
634,dave,10
635,pitcher,10
636,manager,10
637,president,10
638,paris,10
639,what's,10
640,via,10
641,innocent,10
642,needed,10
643,wonder,10
644,five,10
645,drew,10
646,themselves,10
647,suppose,10
648,walk,10
649,actually,10
650,visit,10
651,four,10
652,trouble,10
653,mean,10
654,cry,10
655,ahead,10
656,drink,10
657,clean,10
658,passed,10
659,sea,10
660,till,10
661,wished,10
662,husband,10
663,stand,10
664,try,10
665,drank,10
666,promise,10
667,spring,10
668,line,10
669,drove,10
670,followed,10
671,married,10
672,teeth,10
673,forever,10
674,sort,10
675,somehow,10
676,government,10
677,strong,10
678,grandma,10
679,plenty,10
680,seem,10
681,ones,10
682,near,10
683,wide,10
684,warm,10
685,wet,10
686,leaned,10
687,case,10
688,sleep,10
689,either,10
690,fifteen,10
691,alive,10
692,walls,10
693,beyond,10
694,low,10
695,known,10
696,shouldn't,10
697,country,10
698,partlow,9
699,biwa,9
700,warren,9
701,elec,9
702,scared,9
703,ugly,9
704,decided,9
705,painting,9
706,shut,9
707,hate,9
708,ham,9
709,cool,9
710,ago,9
711,bench,9
712,anger,9
713,returned,9
714,guess,9
715,knife,9
716,paper,9
717,longer,9
718,game,9
719,luck,9
720,religion,9
721,minutes,9
722,we're,9
723,listen,9
724,jacket,9
725,regular,9
726,answered,9
727,possible,9
728,beard,9
729,dad,9
730,nodded,9
731,show,9
732,impossible,9
733,charlotte,9
734,person,9
