,word,freq
1,the,723
2,of,329
3,to,306
4,and,294
5,a,236
6,was,200
7,he,191
8,in,164
9,it,158
10,had,143
11,that,131
12,his,102
13,for,100
14,i,98
15,you,96
16,not,95
17,on,90
18,but,89
19,her,82
20,would,80
21,be,80
22,with,73
23,as,72
24,they,67
25,all,66
26,no,62
27,this,61
28,have,61
29,were,59
30,she,59
31,him,58
32,at,55
33,is,50
34,could,49
35,them,47
36,from,46
37,we,45
38,said,45
39,there,44
40,their,41
41,what,41
42,been,40
43,one,39
44,did,38
45,by,37
46,out,36
47,time,34
48,an,33
49,which,33
50,up,33
51,my,32
52,or,31
53,if,29
54,when,28
55,now,27
56,mercer,26
57,helva,26
58,ekstrohm,26
59,so,26
60,do,26
61,are,26
62,know,25
63,like,25
64,long,25
65,hal,23
66,people,23
67,other,22
68,into,22
69,b'dikkat,21
70,me,21
71,more,21
72,ship,20
73,some,20
74,only,20
75,mike,20
76,any,19
77,back,19
78,jack,18
79,about,18
80,your,18
81,man,18
82,then,18
83,will,17
84,own,17
85,first,17
86,himself,17
87,years,16
88,can,16
89,make,16
90,through,16
91,never,16
92,how,16
93,over,16
94,head,15
95,these,15
96,course,15
97,well,15
98,take,15
99,see,15
100,where,15
101,mind,15
102,made,15
103,earth,15
104,ryan,14
105,its,14
106,good,14
107,way,14
108,too,14
109,much,14
110,without,14
111,though,13
112,after,13
113,nothing,13
114,than,13
115,get,13
116,who,13
117,little,13
118,don't,13
119,light,13
120,before,13
121,felt,13
122,each,13
123,going,13
124,just,13
125,might,12
126,such,12
127,even,12
128,very,12
129,still,12
130,being,12
131,almost,12
132,i'm,12
133,again,12
134,thought,12
135,most,12
136,last,12
137,few,12
138,lady,11
139,shell,11
140,hesperus,11
141,here,11
142,got,11
143,yet,11
144,asked,11
145,among,11
146,turned,11
147,between,11
148,down,11
149,many,11
150,knew,11
151,central,10
152,angels,10
153,bodies,10
154,gabriel,10
155,two,10
156,because,10
157,happy,10
158,off,10
159,half,10
160,work,10
161,planet,10
162,night,10
163,went,10
164,ever,10
165,half-man,9
166,brain,9
167,found,9
168,tell,9
169,eyes,9
170,thing,9
171,less,9
172,voice,9
173,has,9
174,lay,9
175,enough,9
176,new,9
177,spoke,9
178,jubal,9
179,think,9
180,mars,9
181,helva's,8
182,captain,8
183,nogol,8
184,place,8
185,kind,8
186,lost,8
187,longer,8
188,around,8
189,must,8
190,couldn't,8
191,something,8
192,angel,8
193,day,8
194,while,8
195,help,8
196,once,8
197,came,8
198,outside,8
199,look,8
200,oh,8
201,saw,8
202,words,8
203,why,8
204,face,8
205,pain,7
206,da,7
207,maybe,7
208,power,7
209,siddo,7
210,space,7
211,give,7
212,hands,7
213,problem,7
214,gapt,7
215,smiled,7
216,macneff,7
217,live,7
218,however,7
219,dead,7
220,away,7
221,same,7
222,can't,7
223,part,7
224,called,7
225,am,7
226,until,7
227,yes,7
228,those,7
229,another,7
230,isn't,7
231,looked,7
232,there's,7
233,took,7
234,water,7
235,come,7
236,digby,7
237,body,6
238,bunk,6
239,big,6
240,ground,6
241,ask,6
242,meant,6
243,skiff,6
244,small,6
245,anything,6
246,nursery,6
247,treaty,6
248,us,6
249,instead,6
250,matter,6
251,personnel,6
252,months,6
253,our,6
254,perhaps,6
255,expedition,6
256,die,6
257,believe,6
258,already,6
259,several,6
260,since,6
261,gone,6
262,want,6
263,tried,6
264,short,6
265,later,6
266,right,6
267,lonely,6
268,beautiful,6
269,mean,6
270,toward,6
271,side,6
272,read,6
273,sure,6
274,ago,6
275,need,6
276,known,6
277,world,6
278,concept,6
279,word,6
280,taught,6
281,growing,6
282,three,6
283,brother,6
284,closer,6
285,dromozoa,5
286,happiness,5
287,drug,5
288,nice,5
289,sound,5
290,curious,5
291,scout,5
292,shells,5
293,control,5
294,happen,5
295,feet,5
296,sight,5
297,fusion,5
298,strange,5
299,wrong,5
300,center,5
301,sense,5
302,earthmen,5
303,sleep,5
304,needed,5
305,frozen,5
306,mary,5
307,speech,5
308,used,5
309,given,5
310,therefore,5
311,above,5
312,men,5
313,under,5
314,suspicion,5
315,didn't,5
316,field,5
317,fact,5
318,system,5
319,go,5
320,simply,5
321,secret,5
322,america,5
323,discovered,5
324,human,5
325,turn,5
326,i've,5
327,always,5
328,old,5
329,others,5
330,grow,5
331,okay,5
332,life,5
333,i'll,5
334,real,5
335,agreed,5
336,warm,5
337,it's,5
