,word,freq
0,the,62125
1,of,32202
2,and,27890
3,to,26119
4,a,23109
5,in,20248
6,that,12014
7,is,9489
8,for,9207
9,'s,8944
10,was,8369
11,it,8175
12,he,7758
13,i,7733
14,as,7377
15,with,7030
16,on,6832
17,his,5745
18,be,5143
19,by,5130
20,at,4838
21,not,4521
22,are,4426
23,had,4407
24,but,4334
25,you,4318
26,from,4219
27,she,4206
28,this,4075
29,her,4007
30,or,3956
31,have,3795
32,an,3674
33,they,3655
34,we,3196
35,one,3157
36,were,3048
37,n't,2977
38,their,2735
39,all,2655
40,said,2588
41,would,2556
42,who,2405
43,which,2321
44,has,2320
45,when,2288
46,more,2288
47,what,2243
48,there,2218
49,do,2199
50,about,2191
51,if,2170
52,been,2106
53,out,2005
54,so,2000
55,my,1946
56,can,1930
57,will,1843
58,up,1827
59,no,1826
60,him,1824
61,its,1690
62,than,1690
63,other,1657
64,could,1654
65,into,1650
66,them,1604
67,some,1599
68,only,1584
69,me,1515
70,like,1505
71,did,1414
72,new,1409
73,these,1383
74,time,1377
75,then,1315
76,most,1296
77,two,1293
78,even,1268
79,such,1260
80,also,1247
81,first,1222
82,over,1207
83,now,1155
84,our,1152
85,after,1137
86,just,1116
87,people,1086
88,how,1071
89,years,1046
90,your,1038
91,because,1031
92,any,1016
93,many,994
94,through,967
95,those,964
96,where,947
97,may,939
98,between,924
99,back,910
100,way,902
101,work,893
102,well,864
103,see,857
104,women,844
105,know,839
106,before,835
107,much,828
108,made,825
109,get,822
110,life,819
111,both,806
112,down,802
113,man,796
114,should,790
115,too,786
116,world,783
117,us,782
118,own,752
119,very,752
120,make,746
121,good,744
122,here,733
123,while,726
124,does,724
125,'d,708
126,state,702
127,still,690
128,never,682
129,must,669
130,each,665
131,being,656
132,says,655
133,another,655
134,might,639
135,right,639
136,long,634
137,used,628
138,year,624
139,american,616
140,little,613
141,off,607
142,since,603
143,day,601
144,come,599
145,go,599
146,last,598
147,use,594
148,against,593
149,same,591
150,think,586
151,three,584
152,however,568
153,take,562
154,old,556
155,going,556
156,public,553
157,men,552
158,say,552
159,'re,551
160,thought,538
161,under,537
162,during,534
163,house,533
164,around,532
165,white,526
166,got,525
167,part,520
168,states,520
169,though,519
170,president,514
171,every,512
172,war,512
173,always,511
174,want,511
175,'m,509
176,without,509
177,few,505
178,mr.,502
179,something,496
180,black,495
181,found,490
182,percent,486
183,why,481
184,system,478
185,came,474
186,need,473
187,woman,472
188,'ll,469
189,formula,462
190,left,460
191,home,459
192,family,457
193,less,455
194,place,453
195,1,450
196,among,450
197,again,448
198,government,445
199,'ve,437
200,called,436
201,u.s.,436
202,great,434
203,look,430
204,asked,430
205,mother,427
206,bush,427
207,himself,424
208,away,423
209,often,422
210,important,422
211,young,420
212,end,419
213,second,417
214,took,417
215,general,416
216,high,416
217,told,414
218,early,413
219,once,413
220,father,412
221,political,412
222,social,409
223,although,408
224,small,406
225,within,405
226,room,404
227,looked,404
228,united,404
229,went,404
230,national,402
231,set,402
232,enough,401
233,yet,400
234,number,398
235,city,396
236,children,395
237,power,393
238,later,392
239,point,392
240,next,389
241,put,388
242,money,386
243,different,385
244,let,384
245,until,380
246,given,377
247,hand,377
248,fact,375
249,night,369
250,water,364
251,four,362
252,course,360
253,eyes,360
254,case,360
255,toward,359
256,best,358
257,almost,357
258,school,356
259,find,355
260,large,353
261,face,353
262,times,352
263,country,351
264,things,351
265,least,351
266,show,351
267,john,350
268,art,349
269,nothing,348
270,program,348
271,rather,347
272,several,347
273,example,346
274,major,345
275,better,340
276,2,339
277,past,339
278,give,337
279,ever,335
280,far,335
281,head,334
282,along,334
283,help,333
284,behind,332
285,kind,331
286,really,331
287,side,327
288,control,325
289,death,324
290,real,322
291,saw,321
292,law,321
293,economic,320
294,clinton,316
295,big,315
296,days,314
297,business,312
298,name,311
299,turned,311
300,book,309
301,others,309
302,human,306
303,research,306
304,knew,304
305,tell,304
306,began,304
307,company,302
308,love,301
309,sense,298
310,become,293
311,thing,293
312,wanted,293
313,god,292
314,door,291
315,across,291
316,problem,290
317,today,287
318,form,287
319,seen,286
320,anything,286
321,possible,285
322,means,284
323,seemed,284
324,already,284
325,whether,284
326,front,280
327,together,280
328,change,280
329,open,279
330,local,278
331,am,277
332,group,277
333,having,276
334,perhaps,275
335,known,275
336,street,275
337,felt,273
338,act,272
339,information,272
340,office,270
341,history,270
342,support,270
343,bill,270
344,itself,267
345,ca,266
346,york,266
347,play,264
348,whose,264
349,sure,264
350,mind,263
351,programs,263
352,question,262
353,story,261
354,probably,261
355,half,261
356,model,259
357,america,259
358,keep,258
359,done,257
360,development,256
361,hard,256
362,using,256
363,became,256
364,data,254
365,thus,254
366,line,254
367,including,254
368,role,253
369,certain,251
370,words,251
371,making,250
372,order,249
373,provide,248
374,society,248
375,policy,248
376,taken,248
377,person,247
378,ago,247
379,education,247
380,moment,245
381,five,244
382,believe,244
383,interest,243
384,study,243
385,matter,243
386,whole,242
387,either,242
388,south,242
389,area,242
390,call,242
391,students,241
392,experience,241
393,problems,239
394,million,238
395,heard,238
396,body,237
397,mean,236
398,working,236
399,community,236
400,close,236
401,according,235
402,lot,235
403,light,234
404,looking,234
405,town,232
406,evidence,232
407,doing,232
408,word,231
409,level,231
410,late,231
411,training,230
412,quite,229
413,music,228
414,common,228
415,able,228
416,special,228
417,job,228
418,someone,227
419,university,227
420,soon,226
421,seems,225
422,class,225
423,lost,225
424,process,224
425,table,223
426,living,223
427,party,223
428,members,222
429,themselves,221
430,feel,220
431,court,220
432,car,218
433,six,218
434,child,217
435,view,217
436,held,216
437,top,216
438,countries,216
439,issue,216
440,washington,216
441,result,214
442,age,214
443,makes,214
444,labor,214
445,military,214
446,read,213
447,talk,213
448,present,213
449,foreign,213
450,especially,213
451,turn,212
452,federal,212
453,clear,211
454,months,211
455,free,211
456,wife,210
457,3,210
