,word,freq
1,the,3346
2,and,1626
3,a,1277
4,of,1262
5,to,1257
6,his,742
7,in,659
8,he,602
9,you,417
10,him,399
11,that,363
12,with,359
13,i,347
14,for,332
15,as,287
16,by,287
17,it,286
18,was,285
19,not,265
20,on,247
21,had,231
22,said,214
23,is,209
24,at,207
25,but,206
26,be,200
27,they,195
28,from,181
29,one,175
30,when,173
31,an,171
32,them,167
33,her,161
34,have,161
35,their,160
36,who,157
37,which,154
38,all,148
39,my,147
40,me,139
41,lion,139
42,this,138
43,your,128
44,if,127
45,up,124
46,so,123
47,into,120
48,fox,117
49,man,113
50,are,111
51,were,110
52,would,109
53,will,107
54,do,106
55,ass,104
56,no,101
57,himself,99
58,out,98
59,upon,93
60,wolf,90
61,what,87
62,she,84
63,should,82
64,replied,81
65,these,79
66,time,74
67,fables,74
68,made,73
69,some,73
70,its,72
71,day,70
72,only,70
73,very,68
74,own,65
75,being,65
76,thus,65
77,great,64
78,could,64
79,down,63
80,while,61
81,saw,61
82,other,60
83,am,59
84,came,59
85,we,58
86,been,56
87,two,55
88,s,54
89,much,52
90,after,52
91,there,51
92,or,51
93,eagle,50
94,why,50
95,how,49
96,than,49
97,make,48
98,dog,48
99,found,47
100,about,47
101,life,46
102,more,45
103,having,45
104,aesop,45
105,can,44
106,long,44
107,well,44
108,before,43
109,sheep,42
110,men,42
111,see,42
112,now,42
113,saying,42
114,jupiter,41
115,mouse,41
116,off,40
117,friend,40
118,old,39
119,most,39
120,again,39
121,good,39
122,death,38
123,same,38
124,food,38
125,away,37
126,might,36
127,once,36
128,shall,36
129,horse,35
130,seeing,35
131,little,35
132,first,35
133,mother,35
134,water,35
135,yet,35
136,many,34
137,us,34
138,took,34
139,then,34
140,has,33
141,shepherd,33
142,went,33
143,master,33
144,fell,33
145,under,32
146,young,32
147,go,32
148,give,32
149,gave,31
150,such,31
151,without,30
152,bull,30
153,each,30
154,come,30
155,find,30
156,must,29
157,take,29
158,among,29
159,any,29
160,caught,29
161,last,29
162,through,28
163,let,28
164,over,28
165,monkey,27
166,crow,27
167,did,27
168,place,27
169,hare,27
170,forest,27
171,birds,27
172,tree,26
173,soon,26
174,together,26
175,goat,25
176,against,25
177,those,25
178,often,25
179,inquired,25
180,o,25
181,just,25
