,word,freq
1,the,3346
2,and,1626
3,a,1278
4,of,1262
5,to,1257
6,his,742
7,in,660
8,he,604
9,you,431
10,him,402
11,that,363
12,with,359
13,i,347
14,for,333
15,it,290
16,by,289
17,as,287
18,was,285
19,not,265
20,on,245
21,had,231
22,said,214
23,is,209
24,at,207
25,but,206
26,be,200
27,they,195
28,from,181
29,one,179
30,when,173
31,an,171
32,them,170
33,have,162
34,her,161
35,their,160
36,who,157
37,which,154
38,me,151
39,all,150
40,my,147
41,lion,143
42,this,138
43,your,128
44,if,127
45,up,124
46,so,123
47,into,120
48,fox,118
49,man,115
50,are,114
51,were,110
52,do,109
53,would,109
54,will,108
55,ass,106
56,himself,102
57,out,101
58,no,101
59,upon,93
60,wolf,93
61,what,87
62,she,86
63,should,82
64,replied,81
65,these,79
66,made,74
67,time,74
68,some,73
69,fables,73
70,its,72
71,day,70
72,only,70
73,very,68
74,own,65
75,being,65
76,thus,65
77,great,64
78,could,64
79,down,63
80,while,61
81,saw,61
82,other,61
83,am,60
84,came,59
85,we,58
86,two,57
87,been,56
88,much,52
89,after,52
90,eagle,51
91,there,51
92,or,51
93,tree,50
94,why,50
95,life,50
96,well,50
97,how,49
98,dog,49
99,than,49
100,make,48
101,more,47
102,found,47
103,about,47
104,can,46
105,long,46
106,having,45
107,aesop,45
108,men,44
109,before,43
110,saying,43
111,sheep,42
112,see,42
113,now,42
114,mouse,42
115,jupiter,41
116,death,41
117,off,40
118,friend,40
119,food,40
120,good,40
121,old,39
122,away,39
123,most,39
124,same,39
125,again,39
126,us,38
127,might,36
128,once,36
129,shall,36
130,shepherd,35
131,horse,35
132,seeing,35
133,little,35
134,first,35
135,mother,35
136,water,35
137,yet,35
138,many,34
139,took,34
140,then,34
141,has,33
142,went,33
143,bull,33
144,young,33
145,master,33
146,fell,33
147,under,32
148,go,32
149,give,32
150,gave,31
151,such,31
152,without,30
153,each,30
154,come,30
155,find,30
156,must,29
157,take,29
158,among,29
159,any,29
160,over,29
161,caught,29
162,last,29
163,through,28
164,place,28
165,together,28
166,hare,28
167,let,28
168,birds,28
169,monkey,27
170,goat,27
171,crow,27
172,did,27
173,forest,27
174,help,27
175,soon,26
176,king,26
177,beasts,26
178,cock,26
179,axe,25
180,against,25
181,those,25
