,word,freq
1,the,19238
2,and,16367
3,of,11815
4,that,6888
5,to,6454
6,they,4491
7,in,3695
8,unto,3643
9,i,3317
10,he,3178
11,it,3085
12,their,2807
13,nephi,2787
14,them,2651
15,for,2522
16,be,2512
17,shall,2489
18,alma,2294
19,his,2253
20,which,2217
21,not,2207
22,a,2146
23,were,2018
24,ye,2012
25,did,1990
26,have,1788
27,all,1784
28,had,1767
29,people,1761
30,my,1701
31,god,1681
32,came,1644
33,behold,1635
34,was,1581
35,lord,1575
36,pass,1525
37,with,1519
38,this,1436
39,is,1385
40,land,1250
41,yea,1248
42,now,1231
43,who,1206
44,by,1198
45,you,1179
46,should,1179
47,are,1172
48,him,1163
49,will,1118
50,upon,1079
51,3,1072
52,2,1071
53,as,1048
54,also,1044
55,we,1030
56,from,1006
57,but,991
58,things,913
59,1,900
60,mosiah,897
61,me,871
62,there,820
63,our,803
64,because,800
65,come,785
66,many,748
67,these,742
68,been,728
69,lamanites,698
70,up,694
71,your,693
72,even,689
73,into,683
74,great,682
75,words,664
76,therefore,663
77,said,650
78,if,648
79,do,633
80,when,632
81,would,612
82,forth,610
83,thou,599
84,helaman,594
85,out,590
86,among,581
87,against,557
88,father,557
89,brethren,548
90,men,534
91,according,525
92,us,523
93,hath,516
94,say,515
95,may,515
96,after,507
97,king,501
98,know,480
99,again,478
100,those,478
101,thus,478
102,no,474
103,thy,469
104,man,469
105,ether,469
106,might,463
107,one,452
108,or,439
109,before,436
110,on,420
111,wherefore,419
112,began,418
113,time,415
114,power,412
115,earth,397
116,at,397
117,down,394
118,christ,390
119,moroni,389
120,away,380
121,more,374
122,an,373
123,nephites,372
124,go,367
125,day,360
126,so,360
127,children,349
128,concerning,348
129,son,343
130,can,324
131,over,321
132,word,315
133,city,312
134,jacob,311
135,name,305
136,4,304
137,mormon,301
138,has,298
139,holy,297
140,thee,290
141,could,281
142,year,281
143,hearts,280
144,made,280
145,spirit,277
146,exceedingly,267
147,o,264
148,faith,263
149,about,262
150,being,261
151,saw,261
152,brought,257
153,wilderness,254
154,6,253
155,5,253
156,spoken,253
157,7,247
158,take,245
159,8,244
160,must,244
161,9,242
162,10,237
163,11,234
164,chapter,234
165,saying,233
166,12,233
167,manner,232
168,13,232
169,much,232
170,good,229
171,14,229
172,cast,228
173,church,227
174,every,227
175,own,226
176,having,226
177,then,224
178,15,224
179,death,221
180,save,217
181,16,216
182,themselves,215
183,cause,214
184,house,214
185,days,212
186,israel,212
187,17,211
188,give,210
189,called,209
190,commandments,209
191,18,206
192,done,206
193,repent,205
194,believe,204
195,until,201
196,given,200
197,am,199
198,19,199
199,went,199
200,together,197
201,hands,197
202,hand,197
203,commanded,192
204,20,190
205,jesus,188
206,saith,187
207,21,185
208,neither,185
209,law,183
210,face,183
211,whom,183
212,speak,182
213,fathers,182
214,insomuch,181
215,written,180
216,22,179
217,what,179
218,nevertheless,178
219,make,176
220,ammon,173
221,seed,173
222,world,171
223,bring,170
224,spake,170
225,destroy,167
226,brother,166
227,23,166
228,sons,166
229,voice,166
230,jerusalem,164
231,sins,162
232,heart,162
233,remember,161
234,end,161
235,24,160
236,wickedness,160
237,soul,160
238,fruit,159
239,other,157
240,off,157
241,reign,156
242,taken,156
243,see,155
244,keep,154
245,destruction,154
246,caused,153
247,25,152
248,slain,151
249,himself,151
250,kingdom,150
251,armies,150
252,any,149
253,sent,149
254,blood,149
255,thereof,149
256,zarahemla,148
257,how,147
258,mine,147
259,way,147
260,place,146
261,plates,146
262,become,145
263,part,144
264,nor,143
265,thing,143
266,life,143
267,first,143
268,judges,141
269,gentiles,141
270,26,141
271,heard,141
272,like,140
273,hast,140
274,blessed,139
275,work,138
276,joy,137
277,army,136
278,iniquity,135
279,battle,134
280,years,134
281,record,134
282,evil,133
283,war,132
284,than,131
285,works,131
286,27,130
287,took,130
288,beheld,130
289,doth,128
290,knowledge,128
291,cometh,127
292,let,125
293,except,125
294,destroyed,124
295,put,123
296,28,123
297,prophets,123
298,write,122
299,another,122
300,29,121
301,strength,119
302,peace,118
303,deliver,118
304,suffer,118
305,fire,118
306,judge,116
307,cry,116
308,both,116
309,such,116
310,heaven,116
311,last,115
312,sword,115
313,perish,115
314,dead,114
315,same,114
316,seen,114
317,through,114
318,fear,113
319,30,113
320,fall,112
321,righteous,111
322,lehi,111
323,known,110
324,stand,109
325,slay,108
326,led,107
327,true,107
328,shalt,105
329,receive,104
330,lands,104
331,two,103
332,hear,103
333,wicked,103
334,righteousness,103
335,vineyard,101
336,towards,101
337,gathered,101
338,covenant,100
339,forever,100
340,beloved,99
341,repentance,99
342,light,99
343,devil,99
344,ghost,98
345,chief,96
346,none,96
347,became,96
348,tree,96
349,31,96
350,show,96
351,yet,95
352,sea,95
353,received,94
354,knew,94
355,gave,92
356,souls,91
357,round,91
358,darkness,91
359,iniquities,91
360,old,91
361,art,91
362,angel,91
363,number,90
364,fallen,90
365,delivered,90
366,eyes,90
367,eternal,90
368,anger,89
369,desire,89
370,jared,89
371,salvation,88
372,look,88
373,32,88
374,wo,88
375,passed,87
376,space,87
377,lay,87
378,prepared,87
379,flesh,86
380,preach,86
381,multitude,86
382,never,86
383,return,86
384,three,86
385,baptized,85
386,hearken,85
387,mighty,85
388,yourselves,84
389,while,84
390,mercy,84
391,nations,84
392,enemies,83
393,secret,83
394,kept,83
395,33,83
396,coming,83
397,resurrection,81
398,saved,81
399,taught,81
400,strong,80
401,whosoever,79
402,priests,79
403,truth,79
404,fulfilled,79
405,her,79
406,waters,79
407,only,78
408,glory,78
409,body,78
410,records,78
411,afflictions,78
412,flocks,77
413,teach,77
414,cities,77
415,state,77
416,driven,77
417,filled,77
418,coriantumr,76
419,verily,76
420,34,76
421,night,76
422,abominations,76
423,daughters,76
424,jews,76
425,declare,76
426,book,76
427,lamb,75
428,some,75
429,lest,75
430,servant,75
431,moses,75
432,borders,75
433,under,74
434,little,74
435,whose,74
436,pray,74
437,set,74
438,gone,74
439,found,74
440,account,74
441,amulek,73
442,bondage,73
443,very,73
444,prison,73
445,servants,73
446,whatsoever,72
447,cut,72
448,left,72
449,whole,72
450,rejoice,72
451,fled,71
452,water,71
453,justice,70
454,built,70
455,high,70
456,hundred,69
457,angry,69
458,35,68
459,notwithstanding,67
460,mouth,67
461,prisoners,66
462,above,66
463,call,66
464,seek,66
465,possession,65
466,sin,65
467,sought,65
468,amalickiah,64
469,hosts,64
470,prophet,64
471,suppose,64
472,without,64
473,stood,64
474,long,63
475,pride,63
476,lifted,63
477,wars,63
478,desirous,63
479,why,63
480,flee,63
481,nothing,63
482,turn,62
483,generation,62
484,expedient,62
485,command,62
486,desired,62
487,bear,62
488,remnant,62
489,captivity,61
490,gold,61
491,scattered,61
492,appointed,60
493,deny,60
494,judgment,60
495,36,60
496,gather,60
497,full,60
498,few,59
499,hell,59
500,everlasting,59
501,enter,59
502,head,59
503,wisdom,59
504,inheritance,59
505,get,59
506,march,58
507,throughout,58
508,obtain,58
509,prosper,58
510,just,57
511,remainder,57
512,vain,57
513,love,57
514,arms,57
515,returned,57
516,beginning,57
517,dwell,57
518,limhi,56
519,humble,56
520,judged,56
521,she,56
522,wilt,56
523,carried,56
524,robbers,55
525,ended,55
526,twenty,55
527,weapons,55
528,thousand,55
529,preserve,55
530,angels,55
531,'s,55
532,marvelous,55
533,judgment-seat,55
534,second,54
535,suffered,54
536,disciples,54
537,contentions,54
538,feet,54
539,smite,54
540,presence,54
541,precious,54
542,laman,54
543,tell,53
544,labor,53
545,branches,53
546,wild,53
547,most,53
548,ways,53
549,laid,53
550,women,52
551,sorrow,52
552,right,52
553,back,52
554,37,52
555,silver,52
556,read,52
557,wives,51
558,meet,51
559,continually,51
560,redemption,51
561,aaron,50
562,hope,50
563,small,50
564,unbelief,50
565,fell,50
566,created,50
567,broken,49
568,gain,49
569,surely,49
570,east,48
571,build,48
572,manifest,48
573,lost,48
574,obtained,48
575,prepare,48
576,lamoni,47
577,whether,47
578,order,47
579,liberty,47
580,rest,47
581,ask,47
582,awful,47
583,authority,47
584,smitten,47
585,ground,47
586,merciful,47
587,four,47
588,noah,46
589,stead,46
590,miracles,46
591,died,46
592,means,46
593,walk,46
594,understand,46
595,myself,46
596,need,46
597,fine,46
598,riches,46
599,told,46
600,departed,46
601,joseph,46
602,northward,45
603,grant,45
604,numerous,45
605,where,45
606,establish,45
607,zion,45
608,worship,45
609,knoweth,45
610,38,45
611,still,45
612,needs,45
613,laban,45
614,believed,45
615,tents,45
616,testified,45
617,prophesy,45
618,nay,44
619,numbered,44
620,established,44
621,parts,44
622,wrath,44
623,contend,44
624,well,44
625,soon,44
626,raise,44
627,cried,44
628,river,44
629,near,44
630,teancum,43
631,food,43
632,whoso,43
633,judgments,43
634,hold,43
635,perhaps,43
636,somewhat,43
637,ishmael,43
638,amen,43
639,send,42
640,plan,42
641,swords,42
642,west,42
643,begat,42
644,morrow,42
645,die,42
646,wrought,42
647,bringeth,42
648,exceeding,42
649,sign,42
650,possess,42
651,thousands,42
652,stones,42
653,inhabitants,42
654,midst,42
655,commandment,42
656,epistle,41
657,serve,41
658,scriptures,41
659,always,41
660,harden,41
661,gospel,41
662,redeemer,41
663,lives,41
664,speaking,41
665,promise,41
666,valley,41
667,truly,41
668,thine,41
669,restored,40
670,39,40
671,wise,40
672,forward,40
673,kind,40
674,preserved,40
675,trust,39
676,natural,39
677,desires,39
678,witness,39
679,heavens,39
680,language,39
681,country,38
682,support,38
683,lead,38
684,foundation,38
685,free,38
686,curse,38
687,durst,38
688,chosen,38
689,depart,38
690,garments,38
691,pahoran,37
692,sidon,37
693,abinadi,37
694,thereby,37
695,perfect,37
696,thirty,37
697,heads,37
698,north,37
699,arm,37
700,its,37
701,prophecies,37
702,wine,37
703,brass,37
704,provisions,37
705,gideon,36
706,enos,36
707,dust,36
708,ever,36
709,spare,36
710,young,36
711,others,36
712,thought,36
713,bountiful,36
714,testimony,36
715,maintain,35
716,entered,35
717,south,35
718,eye,35
719,commit,35
720,murder,35
721,forty,35
722,lift,35
723,repented,35
724,places,35
725,ought,35
726,minister,35
727,rise,35
728,kings,35
729,cease,35
730,benjamin,34
731,contention,34
732,redeemed,34
733,hardened,34
734,loss,34
735,40,34
736,child,34
737,purpose,34
738,beasts,34
739,loins,34
740,stir,34
741,rock,34
742,prayed,34
743,large,34
744,prophecy,34
745,fought,33
746,omni,33
747,between,33
748,zoramites,33
749,seeing,33
750,remain,33
751,afflicted,33
