,word,freq
1,the,6248
2,i,2994
3,and,2885
4,of,2803
5,a,2662
6,to,2601
7,that,2136
8,in,1842
9,was,1813
10,it,1804
11,he,1753
12,you,1615
13,his,1356
14,is,1116
15,had,1012
16,have,951
17,with,886
18,my,862
19,for,790
20,at,771
21,holmes,731
22,not,723
23,which,706
24,this,692
25,as,691
26,we,681
27,but,658
28,me,606
29,s,552
30,there,537
31,be,527
32,no,526
33,on,523
34,from,502
35,said,496
36,him,469
37,one,435
38,an,420
39,so,413
40,your,412
41,upon,411
42,would,406
43,been,406
44,were,398
45,mr.,393
46,man,390
47,her,377
48,she,375
49,by,368
50,are,353
51,all,353
52,what,352
53,will,347
54,if,340
55,very,335
56,could,334
57,when,313
58,our,304
59,can,303
60,some,289
61,who,279
62,has,277
63,us,270
64,well,270
65,out,270
66,then,262
67,do,254
68,up,239
69,into,236
70,see,234
71,now,218
72,should,213
73,they,211
74,more,209
75,or,207
76,only,203
77,watson,196
78,down,195
79,am,191
80,room,186
81,must,184
82,come,183
83,them,182
84,here,174
85,t,173
86,did,172
87,before,168
88,any,168
89,may,165
90,over,162
91,last,162
92,face,161
93,two,161
94,time,160
95,back,157
96,know,156
97,about,154
98,came,154
99,nothing,153
100,door,152
101,sir,152
102,think,149
103,how,143
104,yes,136
105,own,132
106,house,132
107,other,130
108,these,128
109,little,128
110,where,127
111,case,123
112,most,122
113,tell,121
114,such,120
115,first,119
116,hand,116
117,way,116
118,found,116
119,friend,115
120,night,115
121,young,115
122,never,115
123,say,115
124,long,115
125,once,114
126,left,113
127,eyes,112
128,take,111
129,than,111
130,make,108
131,good,106
132,lestrade,102
133,old,102
134,window,102
135,again,101
136,lady,101
137,yet,101
138,saw,100
139,heard,100
140,go,97
141,let,97
142,after,97
143,three,97
144,morning,96
145,made,95
146,through,95
147,find,95
148,much,92
149,might,92
150,like,90
151,turned,89
152,knew,88
153,get,88
154,london,88
155,just,86
156,shall,85
157,few,84
158,done,84
159,don,83
160,dear,83
161,look,82
162,round,82
163,thought,80
164,why,80
165,every,80
166,since,80
167,street,79
168,head,79
169,got,79
170,give,78
171,until,78
172,great,77
173,road,77
174,woman,76
175,himself,76
176,hopkins,75
177,name,75
178,certainly,75
179,fellow,75
180,side,74
181,papers,74
182,right,74
183,table,73
184,seen,72
185,looked,72
186,day,72
187,their,72
188,end,72
189,away,71
190,still,71
191,put,70
192,matter,70
193,ll,70
194,cried,69
195,however,69
196,those,69
197,open,68
198,instant,68
199,hands,68
200,off,68
201,without,67
202,far,67
203,took,66
204,life,65
205,letter,64
206,taken,63
207,too,63
208,light,62
209,its,62
210,chair,62
211,paper,61
212,also,61
213,small,60
214,doubt,60
215,opened,60
216,between,60
217,sure,60
218,ever,60
219,sherlock,60
220,asked,59
221,something,59
222,clear,58
223,seemed,58
224,course,57
225,told,57
226,against,57
227,whole,57
228,enough,56
229,anything,56
230,crime,56
231,went,55
232,each,55
233,even,55
234,word,54
235,moment,54
236,hall,53
237,work,53
238,front,53
239,read,53
240,myself,53
241,same,52
242,dark,52
243,mind,52
244,dr.,51
245,passed,51
246,hour,51
247,behind,51
248,person,51
249,it.,50
250,being,50
251,lay,50
252,another,49
253,later,49
254,stood,49
255,place,49
256,years,49
257,thing,48
258,quite,48
259,gave,48
260,ask,48
261,help,48
262,police,48
263,under,48
264,whom,47
265,dead,47
266,exactly,47
267,already,47
268,second,47
269,men,47
270,point,46
271,really,46
272,indeed,46
273,best,46
274,black,46
275,held,45
276,always,45
277,both,45
278,professor,45
279,known,45
280,reason,44
281,husband,43
282,leave,43
283,save,43
284,attention,43
285,hear,43
286,several,43
287,across,43
288,feet,43
289,evening,43
290,death,43
291,next,42
292,order,42
293,gone,42
294,hardly,42
295,within,42
296,together,42
297,business,42
298,letters,41
299,understand,41
300,sat,41
301,does,41
302,lord,41
303,evidence,41
304,milverton,41
305,country,40
306,inspector,40
307,story,40
308,large,40
309,possible,40
310,entered,40
311,remarkable,40
312,half,39
313,many,39
314,late,38
315,account,38
316,among,38
317,suppose,38
318,interest,38
319,wife,37
320,because,37
321,certain,37
322,path,37
323,anyone,37
324,floor,37
325,adventure,37
326,fear,36
327,during,36
328,whose,36
329,either,36
330,remember,36
331,godfrey,36
332,bicycle,35
333,brought,35
334,doctor,35
335,want,35
336,examined,35
337,note,35
338,high,35
339,showed,35
340,fact,34
341,surely,34
342,mrs.,34
343,manner,34
344,having,34
345,led,34
346,grace,33
347,important,33
348,able,33
349,outside,33
350,excellent,33
351,suddenly,33
352,rather,33
353,days,33
354,study,33
355,o,33
356,therefore,33
357,bed,33
358,bring,33
359,duke,32
360,ran,32
361,going,32
362,bedroom,32
363,gentlemen,32
364,fell,32
365,gentleman,32
366,while,32
367,poor,32
368,lost,32
369,ten,32
370,peter,32
371,carruthers,31
372,sent,31
373,boy,31
374,ago,31
375,key,31
