,word,freq
1,to,5242
2,the,5204
3,and,4897
4,of,4293
5,i,3191
6,a,3128
7,it,2529
8,her,2489
9,was,2400
10,she,2364
11,not,2293
12,in,2189
13,you,1999
14,be,1976
15,that,1818
16,he,1811
17,had,1626
18,but,1441
19,as,1437
20,for,1347
21,have,1321
22,is,1243
23,with,1218
24,very,1212
25,his,1150
26,at,1033
27,so,974
28,emma,865
29,all,848
30,could,837
31,would,821
32,him,771
33,been,760
34,no,742
35,my,732
36,on,692
37,do,656
38,any,655
39,miss,602
40,were,601
41,me,583
42,will,573
43,must,571
44,by,571
45,which,556
46,there,551
47,from,546
48,they,541
49,what,536
50,this,526
51,harriet,506
52,or,494
53,such,489
54,much,486
55,if,485
56,said,484
57,more,469
58,an,463
59,one,458
60,are,455
61,weston,440
62,them,436
63,every,435
64,can,425
65,than,416
66,am,414
67,well,403
68,thing,399
69,knightley,389
70,elton,387
71,think,384
72,how,372
73,should,371
74,your,367
75,when,364
76,little,361
77,good,359
78,never,358
79,being,358
80,we,357
81,did,353
82,only,341
83,know,337
84,might,326
85,woodhouse,315
86,now,313
87,say,312
88,their,306
89,own,303
90,jane,301
91,who,295
92,quite,282
93,time,280
94,herself,279
95,great,265
96,some,265
97,nothing,256
98,too,254
99,has,252
100,before,250
101,about,249
102,most,249
103,fairfax,241
104,dear,241
105,always,238
106,man,236
107,thought,226
108,soon,224
109,churchill,223
110,may,222
111,see,222
112,other,221
113,shall,219
114,again,219
115,without,214
116,out,212
117,first,211
118,frank,208
119,father,207
120,sure,204
121,indeed,202
122,like,200
123,made,199
124,oh,193
125,ever,193
126,body,193
127,young,192
128,day,192
129,up,190
130,two,179
131,though,177
132,friend,177
133,better,173
134,come,172
135,then,171
136,just,169
137,into,163
138,after,161
139,hartfield,160
140,upon,159
141,give,159
142,here,156
143,way,156
144,really,153
145,make,152
146,bates,148
147,us,148
148,having,147
149,himself,146
150,rather,146
151,long,146
152,hope,143
153,done,142
154,seemed,141
155,over,139
156,many,138
157,away,138
158,poor,136
159,wish,136
160,while,133
161,go,132
162,even,132
163,woman,132
164,home,132
165,however,131
166,does,130
167,enough,129
168,mind,128
169,yes,125
170,highbury,125
171,happy,125
172,its,122
173,moment,121
174,look,121
175,heard,120
176,going,120
177,take,119
178,half,119
179,last,119
180,came,119
181,room,117
182,love,117
183,still,115
184,pleasure,115
185,another,114
186,felt,114
187,something,113
188,sort,112
189,morning,111
190,letter,109
191,yet,109
192,saw,108
193,few,106
194,myself,103
195,feelings,102
196,same,102
197,believe,102
198,till,102
199,certainly,101
200,hear,100
201,idea,100
202,perhaps,99
203,our,99
204,off,99
205,speak,99
206,doubt,98
207,party,97
208,subject,97
209,evening,97
210,ought,95
211,those,95
212,feel,95
213,people,95
214,house,95
215,word,94
216,place,93
217,found,92
218,right,92
219,deal,92
220,often,91
221,looked,91
222,john,90
223,let,90
224,randalls,90
225,want,90
226,present,90
227,smith,89
228,coming,89
229,almost,89
230,knew,88
231,where,88
232,visit,86
233,both,86
234,least,85
235,martin,85
236,old,85
237,best,85
238,possible,84
239,once,83
240,hour,83
241,friends,82
242,kind,82
243,world,82
244,cried,81
245,suppose,81
246,together,81
247,perry,80
248,else,80
249,life,80
250,gone,80
251,replied,79
252,told,79
253,tell,78
254,given,77
255,family,77
256,whole,76
257,wanted,76
258,obliged,76
259,happiness,76
260,lady,75
261,manner,75
262,find,75
263,seen,73
264,nobody,73
265,three,73
266,whom,73
267,between,73
268,ill,72
269,able,72
270,mother,72
271,opinion,71
272,part,71
273,hardly,71
274,down,70
275,side,70
276,immediately,70
277,far,70
278,short,70
279,looking,69
280,understand,69
281,carriage,69
282,isabella,69
283,pretty,68
284,wife,68
285,left,68
286,less,68
287,person,67
288,perfectly,67
289,back,67
290,get,67
291,extremely,66
292,towards,66
293,ready,66
294,sir,66
295,talked,66
296,heart,66
297,true,66
298,these,66
299,answer,65
300,general,65
301,since,65
302,afraid,65
303,comfort,65
304,began,64
305,either,64
306,marry,64
307,whether,64
308,put,64
309,nor,64
310,spirits,64
311,situation,64
312,under,63
313,set,63
314,acquaintance,63
315,next,63
316,therefore,62
317,daughter,62
318,things,62
319,cole,61
320,course,61
321,sorry,61
322,change,61
323,through,61
324,thinking,60
325,bad,60
326,known,60
327,talk,60
328,others,60
329,children,60
330,assure,59
331,superior,59
332,goddard,59
333,dare,59
334,attention,59
335,longer,59
336,mean,59
337,account,59
338,taken,58
339,leave,58
340,exactly,58
341,aunt,57
342,making,57
343,equal,57
344,years,57
345,state,56
346,degree,56
347,sense,56
348,return,56
349,yourself,56
350,feeling,56
351,walk,56
352,name,56
353,chapter,56
354,why,55
355,imagine,55
356,business,55
357,brother,55
358,passed,55
359,gave,54
360,cold,54
361,beyond,54
362,brought,54
363,hand,53
364,minutes,53
365,talking,53
366,because,53
367,manners,53
368,read,52
369,satisfied,52
370,walked,52
371,natural,52
372,bear,52
373,campbell,51
374,point,51
375,seeing,51
376,eyes,51
377,care,51
378,saying,51
379,directly,51
380,among,51
381,usual,51
382,agreeable,50
383,days,50
384,glad,50
385,rest,50
386,used,50
387,affection,50
388,words,49
389,appeared,49
390,wonder,49
391,donwell,49
392,dinner,49
393,taylor,49
394,remember,48
395,attachment,48
396,end,48
397,ah,48
398,society,48
399,wished,48
400,means,48
401,interest,47
402,pleased,47
403,voice,47
404,took,47
405,son,47
406,allow,47
407,door,47
408,girl,47
409,each,47
410,near,46
411,speaking,46
412,against,46
413,giving,46
414,full,46
415,likely,46
416,believed,46
417,went,46
418,married,46
419,particularly,46
420,dixon,45
421,air,45
422,ladies,45
423,already,45
424,walking,45
425,london,45
426,doing,45
427,smile,44
428,called,44
429,farther,44
430,respect,44
431,stay,44
432,strong,44
433,ask,43
434,meant,43
435,regard,43
436,hoped,43
437,character,43
438,spoke,42
439,different,42
440,proper,42
441,fine,42
442,need,42
443,call,42
444,conversation,42
445,five,42
446,real,42
447,reason,41
448,particular,41
449,nature,41
450,delightful,41
451,open,41
452,afterwards,41
453,night,41
454,impossible,41
455,pleasant,41
456,power,41
457,early,41
458,sitting,40
459,weather,40
460,consider,40
461,thank,40
462,expected,40
463,themselves,40
464,beginning,40
465,head,40
466,kindness,40
467,allowed,40
468,letters,39
469,wrong,39
470,object,39
471,round,39
472,whose,39
473,sometimes,39
474,creature,39
475,question,39
476,returned,39
477,help,39
478,meeting,39
479,thoughts,39
480,entirely,39
481,settled,39
482,health,39
483,fortune,39
484,fond,39
485,colonel,38
486,continued,38
487,use,38
488,asked,38
489,fancy,38
490,neither,38
491,child,38
492,engaged,38
493,bring,38
494,met,38
495,sit,38
496,handsome,38
497,added,37
498,seem,37
499,truth,37
500,convinced,37
501,surprize,37
502,sat,37
503,news,36
504,appear,36
505,gentleman,36
506,probably,36
507,meaning,36
508,determined,36
509,new,36
510,forward,36
511,enscombe,36
512,received,36
513,got,36
514,necessary,36
515,amiable,36
516,temper,36
517,taste,35
518,company,35
519,common,35
520,supposed,35
521,please,35
522,large,35
523,marriage,35
524,morrow,34
525,obliging,34
526,pain,34
527,circumstance,34
528,husband,34
529,perfect,34
530,excellent,34
531,comfortable,34
532,dancing,33
533,absolutely,33
534,wanting,33
535,acquainted,33
536,men,33
537,sent,33
538,papa,33
539,keep,33
540,evil,33
541,sister,33
542,engagement,32
543,charming,32
