,word,freq
1,to,4115
2,the,4105
3,of,3571
4,and,3489
5,her,2543
6,a,2092
7,i,2002
8,in,1979
9,was,1861
10,it,1757
11,she,1613
12,that,1383
13,not,1337
14,be,1299
15,for,1262
16,as,1221
17,you,1191
18,he,1115
19,his,1021
20,had,998
21,with,992
22,but,886
23,at,839
24,have,819
25,is,760
26,by,749
27,on,696
28,elinor,685
29,all,656
30,so,644
31,him,642
32,my,628
33,which,593
34,could,578
35,no,568
36,marianne,566
37,from,541
38,they,521
39,would,515
40,very,500
41,their,498
42,them,468
43,me,444
44,what,444
45,were,441
46,been,441
47,this,436
48,more,407
49,said,397
50,any,390
51,your,386
52,every,376
53,will,363
54,than,361
55,such,359
56,or,355
57,do,351
58,an,345
59,one,331
60,when,306
61,can,298
62,if,293
63,much,290
64,only,287
65,must,283
66,sister,282
67,own,272
68,who,269
69,edward,263
70,mother,259
71,herself,255
72,dashwood,252
73,did,247
74,there,242
75,well,240
76,time,239
77,now,238
78,am,236
79,should,236
80,how,236
81,jennings,235
82,are,234
83,know,232
84,willoughby,216
85,we,216
86,though,216
87,some,215
88,might,215
89,has,213
90,miss,210
91,think,210
92,after,203
93,before,201
94,never,189
95,nothing,189
96,too,188
97,lucy,186
98,thing,185
99,other,185
100,soon,181
101,good,177
102,colonel,176
103,may,175
104,without,175
105,see,173
106,ever,169
107,being,165
108,john,164
109,out,161
110,house,161
111,say,160
112,little,160
113,first,160
114,however,155
115,then,154
116,most,154
117,two,153
118,day,149
119,great,149
120,again,147
121,brandon,144
122,about,144
123,lady,142
124,make,140
125,made,138
126,sure,136
127,its,133
128,ferrars,130
129,shall,128
130,heart,127
131,give,126
132,even,125
133,always,124
134,man,121
135,sir,120
136,room,119
137,dear,118
138,thought,116
139,into,115
140,himself,114
141,saw,113
142,away,112
143,up,111
144,while,109
145,felt,106
146,long,104
147,myself,103
148,last,103
149,enough,103
150,young,103
151,middleton,102
152,same,102
153,replied,102
154,come,102
155,happy,100
156,indeed,100
157,mind,100
158,over,100
159,still,100
160,many,100
161,moment,99
162,go,98
163,upon,98
164,left,98
165,less,97
166,kind,95
167,both,93
168,world,93
169,quite,93
170,therefore,93
171,seemed,91
172,believe,91
173,where,91
174,tell,90
175,us,90
176,came,89
177,barton,89
178,hope,88
179,nor,88
180,cried,87
181,morning,87
182,perhaps,87
183,place,87
184,town,86
185,really,86
186,almost,85
187,present,84
188,till,83
189,like,83
190,family,83
191,brother,82
192,few,79
193,another,79
194,affection,79
195,heard,78
196,better,78
197,yet,78
198,palmer,77
199,down,77
200,love,77
201,letter,76
202,something,75
203,our,74
204,once,74
205,rather,74
206,way,74
207,together,73
208,wish,73
209,feelings,73
210,immediately,72
211,found,71
212,done,71
213,poor,71
214,gave,71
215,hear,70
216,oh,70
217,least,70
218,whom,70
219,told,69
220,spirits,69
221,person,69
222,home,69
223,just,68
224,look,68
225,subject,68
226,between,68
227,woman,68
228,far,68
229,pleasure,67
230,because,66
231,happiness,66
232,feel,66
233,whole,66
234,hardly,65
235,towards,65
236,against,65
237,these,64
238,behaviour,64
239,acquaintance,64
240,engagement,63
241,comfort,63
242,visit,62
243,friends,62
244,knew,62
245,three,62
246,opinion,62
247,speak,61
248,cottage,61
249,looked,61
250,since,61
251,here,61
252,certainly,61
253,yes,61
254,others,60
255,known,60
256,going,59
257,within,59
258,life,59
259,brought,58
260,each,58
261,having,58
262,leave,58
263,attention,58
264,off,57
265,short,57
266,seen,56
267,continued,56
268,does,56
269,eyes,56
270,side,56
271,half,56
272,manner,56
273,friend,55
274,find,55
275,end,55
276,suppose,55
277,general,55
278,people,54
279,given,54
280,situation,54
281,year,54
282,married,54
283,rest,54
284,wished,54
285,reason,53
286,longer,53
287,norland,53
288,passed,52
289,body,52
290,next,52
291,often,52
292,took,52
293,returned,52
294,park,52
295,n't,51
296,evening,51
297,voice,51
298,under,51
299,regard,50
300,ill,50
301,chapter,50
302,street,49
303,went,49
304,farther,49
305,why,49
306,possible,49
