,word,freq
1,the,64023
2,and,51696
3,of,34670
4,to,13580
5,that,12912
6,in,12667
7,he,10419
8,shall,9838
9,unto,8997
10,for,8971
11,i,8854
12,his,8473
13,a,8177
14,lord,7964
15,they,7376
16,be,7013
17,is,6989
18,him,6659
19,not,6596
20,them,6430
21,it,6129
22,with,6012
23,all,5620
24,thou,5474
25,thy,4600
26,was,4522
27,god,4472
28,which,4413
29,my,4368
30,me,4096
31,said,3999
32,but,3992
33,ye,3983
34,their,3942
35,have,3904
36,will,3836
37,thee,3827
38,from,3642
39,as,3520
40,are,2950
41,when,2834
42,this,2785
43,out,2775
44,were,2772
45,upon,2748
46,man,2735
47,by,2624
48,you,2617
49,israel,2575
50,king,2543
51,son,2392
52,up,2380
53,there,2299
54,hath,2264
55,then,2169
56,people,2143
57,came,2093
58,had,2026
59,house,2024
60,into,2015
61,on,2011
62,her,1995
63,come,1971
64,one,1969
65,we,1844
66,children,1821
67,before,1796
68,s,1790
69,your,1785
70,also,1769
71,day,1743
72,land,1718
73,an,1699
74,so,1689
75,men,1677
76,against,1667
77,shalt,1616
78,if,1595
79,at,1570
80,let,1511
81,go,1492
82,hand,1466
83,us,1451
84,saying,1445
85,made,1405
86,went,1400
87,no,1394
88,even,1393
89,do,1368
90,now,1356
91,behold,1326
92,saith,1262
93,therefore,1237
94,every,1236
95,these,1225
96,because,1209
97,after,1179
98,our,1171
99,things,1162
100,father,1127
101,down,1125
102,or,1122
103,sons,1094
104,hast,1070
105,o,1065
106,david,1064
107,say,1056
108,make,1056
109,may,1027
110,over,1008
111,did,1006
112,earth,987
113,what,985
114,jesus,983
115,she,982
116,who,968
117,great,962
118,name,958
119,thine,938
120,among,916
121,away,915
122,any,912
123,put,911
124,thereof,906
125,forth,888
126,give,880
127,neither,879
128,am,874
129,take,874
130,city,868
131,days,868
132,brought,863
133,moses,852
134,two,837
135,heart,833
136,pass,830
137,judah,816
138,jerusalem,814
139,according,797
140,should,783
141,know,763
142,whom,763
143,nor,755
144,took,750
145,thus,737
146,bring,725
147,offering,724
148,good,720
149,place,716
150,word,699
151,set,695
152,more,686
153,sent,685
154,yet,683
155,again,672
156,like,669
157,way,664
158,eat,655
159,mine,649
160,heard,641
161,called,634
162,about,632
163,time,623
164,evil,613
165,holy,611
166,egypt,611
167,see,597
168,own,596
169,hundred,590
170,spake,587
171,heaven,583
172,christ,571
173,done,565
174,brethren,564
175,many,556
176,hear,550
177,fire,549
178,fathers,548
179,saw,548
180,words,546
181,priest,544
182,how,543
183,thing,542
184,years,539
185,himself,527
186,law,523
187,thousand,520
188,speak,513
189,off,507
190,voice,505
191,spirit,505
192,eyes,502
193,cast,501
194,servant,498
195,given,498
196,art,494
197,answered,492
198,three,485
199,together,484
200,than,482
201,servants,480
202,ever,476
203,might,475
204,those,465
205,gave,465
206,other,464
207,through,463
208,seven,463
209,hands,462
210,soul,459
211,another,453
212,would,451
213,life,450
214,cities,448
215,blood,447
216,sin,447
217,first,445
218,commanded,443
219,side,442
220,peace,429
221,without,426
222,sword,424
223,mouth,423
224,saul,420
225,flesh,420
226,work,420
227,gold,417
228,high,416
229,face,416
230,themselves,409
231,wife,407
232,glory,402
233,brother,402
234,found,402
235,where,401
236,priests,400
237,fear,400
238,sea,400
239,water,396
240,under,392
241,old,381
242,altar,378
243,jacob,377
244,death,372
245,drink,369
246,year,369
247,burnt,366
248,until,366
249,congregation,364
250,dead,364
251,head,364
252,woman,364
253,midst,364
254,keep,362
255,bread,361
256,both,361
257,right,359
258,none,358
259,aaron,350
260,left,348
261,wherefore,348
262,toward,346
263,five,345
264,wicked,344
265,kingdom,342
266,kings,340
267,yea,340
268,stood,339
269,dwell,338
270,taken,338
271,nations,336
272,sight,333
273,same,332
274,been,331
275,tabernacle,328
276,cause,328
277,four,328
278,daughter,327
279,die,321
280,round,320
281,silver,320
282,cut,320
283,mother,320
284,whose,314
285,pray,313
286,love,311
287,end,307
288,night,307
289,righteousness,306
290,solomon,305
291,wilderness,304
292,blessed,302
293,young,300
294,hosts,299
295,deliver,296
296,babylon,294
297,judgment,294
298,twenty,294
299,covenant,292
300,being,291
301,field,291
302,delivered,290
303,meat,290
304,world,288
305,much,287
306,spoken,287
307,turned,287
308,waters,287
309,mighty,284
310,surely,284
311,chief,283
312,turn,283
313,cometh,282
314,why,282
315,told,282
316,seed,280
317,laid,279
318,iniquity,278
319,written,277
320,seen,277
321,mercy,276
322,gate,275
323,rest,275
324,stand,274
325,pharaoh,273
326,princes,273
327,power,272
328,light,272
329,enemies,269
330,gathered,267
331,levites,265
332,offerings,265
333,well,264
334,mount,263
335,return,263
336,destroy,261
337,full,260
338,very,257
339,jews,256
340,feet,256
341,strong,255
342,philistines,254
343,only,253
344,daughters,252
345,fall,252
346,joseph,250
347,abraham,250
348,month,250
349,whole,250
350,ten,249
351,such,249
352,faith,247
353,live,247
354,wise,247
355,praise,246
356,prophet,246
357,wilt,245
358,disciples,244
359,seek,244
360,gods,244
361,multitude,243
362,fell,243
363,little,242
364,strength,242
365,tribe,241
366,lay,241
367,concerning,241
368,lest,240
369,prophets,239
370,inheritance,239
371,righteous,238
372,works,237
373,truth,237
374,offer,236
375,can,235
376,wisdom,234
377,anger,234
378,send,234
379,though,233
380,save,233
381,some,232
382,between,232
383,wine,231
384,ark,230
385,smote,229
386,therein,229
387,shew,228
388,morning,227
389,dwelt,226
390,war,225
391,nothing,225
392,begat,225
393,above,223
394,known,222
395,sacrifice,218
396,joshua,217
397,tell,217
398,departed,216
399,places,215
400,thyself,215
401,bear,215
402,part,214
403,while,214
404,book,214
405,gone,213
406,cubits,213
407,long,212
408,walk,212
409,near,211
410,serve,209
411,fruit,208
412,doth,207
413,poor,205
414,ways,205
415,child,205
416,temple,204
417,angel,203
418,oil,202
419,inhabitants,202
420,six,202
421,died,201
422,tree,201
423,cried,199
424,wrath,198
425,jordan,197
426,certain,196
427,manner,196
428,slew,196
429,call,195
430,rejoice,194
431,unclean,194
432,having,193
433,afraid,193
434,sat,192
435,stone,192
436,ground,192
437,host,192
438,yourselves,191
439,judge,191
440,door,190
441,twelve,188
442,sheep,188
443,broken,186
444,within,186
445,hold,185
446,bare,185
447,third,185
448,cannot,184
449,returned,184
450,slain,183
451,women,182
452,whosoever,182
453,master,181
454,cry,181
455,beast,181
456,elders,179
457,wall,179
458,country,179
459,began,179
460,river,179
461,stones,178
462,number,178
463,mountains,178
464,second,178
465,commandment,177
466,ephraim,177
467,paul,176
468,throne,176
469,reigned,176
470,receive,176
471,body,175
472,kept,175
473,families,174
474,thirty,174
475,sins,173
476,arose,173
477,far,173
478,knowledge,172
479,commandments,171
480,whether,171
481,moreover,170
482,battle,170
483,grace,170
484,built,169
485,knew,169
486,till,169
487,reign,168
488,moab,168
489,destroyed,167
490,wherein,167
491,benjamin,166
492,could,166
493,joy,165
494,gather,165
495,peter,164
496,salvation,164
497,build,163
498,throughout,162
499,here,162
500,darkness,162
501,passed,161
502,understanding,160
503,received,160
504,sun,160
505,able,160
506,lo,159
507,filled,159
508,lifted,158
509,border,158
510,forty,158
511,born,158
512,fifty,157
513,trees,157
514,east,157
515,find,156
516,look,156
517,beasts,156
518,lie,155
519,vessels,154
520,back,154
521,zion,153
522,hearken,153
523,cattle,153
524,whatsoever,152
525,new,151
526,ears,151
527,heathen,150
528,jeremiah,149
529,arise,149
530,enter,149
531,desolate,148
532,remember,148
533,manasseh,147
534,living,147
535,fled,146
536,joab,145
537,honour,145
538,carried,145
539,times,145
540,nation,145
541,sake,145
542,thence,145
543,samuel,144
544,gates,144
545,counsel,143
546,believe,143
547,south,143
548,offered,143
549,looked,143
550,rise,142
551,verily,140
552,break,140
553,money,140
554,wood,140
555,captain,139
556,valley,139
557,john,138
558,burn,138
559,sanctuary,137
560,opened,137
561,sabbath,136
562,camp,136
563,houses,136
564,half,136
565,mountain,136
566,neighbour,135
567,witness,135
568,shewed,135
569,most,135
570,become,135
571,goeth,135
572,trust,134
573,clean,133
574,wives,133
575,heavens,133
576,service,132
577,north,132
578,statutes,132
579,beside,132
580,isaac,132
581,must,132
582,meet,132
583,answer,131
584,stranger,131
585,rose,131
586,hope,130
587,fat,130
588,incense,129
589,tongue,129
590,gentiles,129
591,hid,129
592,hezekiah,128
593,numbered,128
594,captivity,127
595,judgments,127
596,bless,127
597,wickedness,127
598,maketh,126
599,giveth,126
600,sought,126
601,appointed,126
602,brass,126
603,husband,126
604,help,126
605,depart,125
606,smite,125
607,kill,125
608,samaria,124
609,whither,124
610,open,124
611,family,123
612,chosen,123
613,feast,123
614,wind,123
615,court,122
616,didst,122
617,walked,122
618,ashamed,122
619,jonathan,121
620,pieces,121
621,ear,120
622,perish,120
623,seventh,120
624,rock,119
625,sing,119
626,captains,119
627,sinned,119
628,lips,119
629,asked,119
630,spoil,118
631,get,118
632,myself,118
633,assyria,118
634,generations,118
635,better,117
636,slay,117
637,eye,116
638,believed,116
639,seeing,116
640,sister,116
641,presence,116
642,beloved,115
643,suburbs,115
644,leave,115
645,mayest,114
646,chariots,113
647,tribes,113
648,sit,113
649,firstborn,113
650,fine,113
651,hearts,113
652,lot,113
653,vain,112
654,horses,111
655,flock,111
656,desire,111
657,trouble,110
658,enemy,110
659,wherewith,110
660,heads,110
661,prayer,109
662,ask,109
663,ghost,109
664,spread,109
665,gospel,108
666,absalom,108
667,teach,108
668,followed,108
669,worship,108
670,sweet,108
671,alone,108
672,dust,108
673,bullock,107
674,likewise,107
675,fight,107
676,lamb,107
677,cloud,107
678,entered,107
679,generation,107
680,woe,106
681,wait,106
682,present,106
683,possess,106
684,buried,106
685,became,106
686,beginning,106
687,prince,105
688,flee,105
689,covered,105
690,shut,105
691,eaten,105
692,jeroboam,104
693,lion,104
694,saved,104
695,linen,104
696,knoweth,104
697,bound,104
698,command,104
699,possession,104
700,lift,104
701,garments,103
702,corn,102
703,charge,102
704,morrow,102
705,oxen,102
706,rain,102
707,idols,101
708,utterly,101
709,clothes,101
710,gilead,101
711,prepared,101
712,still,101
713,curse,101
714,iron,101
715,image,101
716,shame,100
717,minister,100
718,nigh,100
719,wrought,100
720,esau,100
721,coming,100
722,ready,100
723,portion,100
724,bow,100
725,perfect,99
726,bones,99
727,anointed,98
728,plague,98
729,burned,98
730,riches,98
731,loved,98
732,sore,98
733,ram,98
734,egyptians,98
735,tent,98
736,pure,97
737,goats,97
738,ought,97
739,small,97
740,everlasting,97
741,names,97
742,saints,96
743,nevertheless,96
744,suffer,96
745,doeth,96
746,shekels,96
747,consumed,96
748,famine,96
749,liveth,96
750,declare,95
751,mind,95
752,thither,95
753,foot,95
754,hour,94
755,ahab,94
756,destruction,94
757,stead,94
758,angels,94
759,just,94
760,caused,94
761,threescore,93
762,remnant,92
763,committed,92
764,going,92
765,write,91
766,bed,91
767,ammon,91
768,understand,91
769,top,91
770,canaan,91
771,removed,91
772,prophesy,90
773,prison,90
774,carry,90
775,ass,90
776,sound,89
777,pillars,89
778,glad,89
779,labour,89
780,knowest,89
781,wash,89
782,breadth,89
783,noise,88
784,sick,88
785,increase,88
786,pit,88
787,reproach,88
788,alive,88
789,pharisees,87
790,hate,87
791,greatly,87
792,vanity,86
793,rod,86
794,ruler,86
795,never,86
796,company,86
797,edom,86
798,follow,86
799,early,86
800,garment,86
801,fourth,86
802,raised,85
803,last,85
804,fast,85
805,drew,85
806,daniel,84
807,jehoshaphat,84
808,poured,84
809,faithful,82
810,blind,82
811,trespass,82
812,army,82
813,sold,82
814,fulfilled,82
815,abide,82
816,hide,82
817,pitched,82
818,sleep,82
819,taught,81
820,atonement,81
821,prepare,81
822,true,81
823,feed,81
824,lambs,81
825,thought,81
826,rich,81
827,tenth,81
828,continually,81
829,hearkened,81
830,heed,80
831,strangers,80
832,matter,80
833,reward,80
834,flocks,80
835,abroad,80
836,eight,80
837,bringeth,79
838,sacrifices,79
839,remain,79
840,messengers,79
841,healed,79
842,vision,79
843,fallen,79
844,amen,78
845,rulers,78
846,sware,78
847,bowed,78
848,souls,78
849,church,77
850,skin,77
851,hill,77
852,rivers,77
853,ones,77
854,rams,77
855,length,77
856,greater,77
857,simon,76
858,forsaken,76
859,abominations,76
860,wings,76
861,testimony,76
862,passover,76
863,sign,76
864,abomination,76
865,strange,76
866,precious,76
867,draw,76
868,selah,75
869,syria,75
870,commit,75
871,villages,75
872,branches,75
873,white,75
874,affliction,75
875,plain,75
876,moved,75
877,taketh,74
878,eleazar,74
879,speaketh,74
880,except,74
881,reuben,74
882,dream,74
883,feared,74
884,behind,74
885,served,74
886,established,74
887,thanks,73
888,fool,73
889,table,73
890,brake,73
891,prey,73
892,shadow,73
893,amorites,73
894,hebron,73
895,faces,73
896,clothed,73
897,shouldest,73
898,galilee,72
899,cover,72
900,aside,72
901,gad,72
902,levi,72
903,dan,72
904,whence,72
905,cursed,72
906,whereof,72
907,ship,71
908,doors,71
909,lebanon,71
910,devour,71
911,run,71
912,reason,71
913,defiled,71
914,images,71
915,womb,71
916,stretched,71
917,wept,71
918,scattered,71
919,dry,71
920,read,70
921,sanctify,70
922,since,70
923,fury,70
924,worshipped,70
925,favour,70
926,indeed,70
927,appeared,70
928,cease,70
929,youth,70
930,sorrow,70
931,others,69
932,elijah,69
933,measure,69
934,burden,69
935,abode,69
936,obey,69
937,west,69
938,vineyard,69
939,divided,69
940,scribes,68
941,abundance,68
942,secret,68
943,cup,68
944,upright,68
945,grave,68
946,troubled,68
947,worthy,68
948,led,68
949,acts,67
950,consider,67
951,arm,67
952,beseech,67
953,killed,67
954,horns,67
955,hither,67
956,blessing,67
957,chaldeans,66
958,chambers,66
959,walls,66
960,crown,66
961,rent,66
962,thereon,66
963,kindled,66
964,golden,66
965,abimelech,66
966,bethel,66
967,afterward,66
968,comfort,66
969,tents,66
970,wast,66
971,rule,66
972,streets,65
973,think,65
974,loveth,65
975,few,65
976,prayed,65
977,soon,65
978,hills,65
979,cherubims,65
980,deep,65
981,howbeit,64
982,exalted,64
983,baal,64
984,jericho,64
985,waste,64
986,hair,64
987,ox,64
988,false,64
989,fought,64
990,parts,64
991,fail,64
992,chariot,64
993,shechem,64
994,asses,64
995,abner,63
996,balaam,63
997,smitten,63
998,daily,63
999,pour,63
1000,loins,63
1001,judged,63
1002,hurt,63
1003,zedekiah,62
1004,rather,62
1005,treasures,62
1006,wrote,62
1007,blemish,62
1008,coast,62
1009,redeemed,62
1010,vine,62
1011,pleased,62
1012,neck,62
1013,thousands,62
1014,speaking,62
1015,inherit,62
1016,height,62
1017,always,62
1018,sanctified,62
1019,dominion,62
1020,fifth,62
1021,grass,62
1022,apostles,61
1023,devil,61
1024,baptized,61
1025,preached,61
1026,syrians,61
1027,trumpet,61
1028,job,61
1029,watch,61
1030,oath,61
1031,order,61
1032,unleavened,61
1033,household,61
1034,pleasure,61
1035,ran,61
1036,abram,61
1037,harvest,61
1038,upward,61
1039,seventy,61
1040,mordecai,60
1041,nebuchadnezzar,60
1042,asa,60
1043,governor,60
1044,loud,60
1045,lead,60
1046,hated,60
1047,journey,60
1048,swear,60
1049,deal,60
1050,next,60
1051,despised,60
1052,burning,60
1053,damascus,60
1054,evening,60
1055,endureth,59
1056,jehu,59
1057,bashan,59
1058,free,59
1059,choose,59
1060,fields,59
1061,horsemen,59
1062,months,59
1063,raise,59
1064,gift,59
1065,yoke,59
1066,escape,59
1067,once,59
1068,captive,59
1069,lieth,59
1070,elisha,58
1071,forsake,58
1072,dwelleth,58
1073,flour,58
1074,seat,58
1075,habitation,58
1076,officers,58
1077,weight,58
1078,exceeding,58
1079,escaped,58
1080,lived,58
1081,esther,57
1082,kingdoms,57
1083,drive,57
1084,lying,57
1085,raiment,57
1086,named,57
1087,almighty,57
1088,dealt,57
1089,nakedness,57
1090,remembered,57
1091,violence,57
1092,thoughts,57
1093,pleasant,57
1094,pilate,56
1095,satan,56
1096,iniquities,56
1097,tables,56
1098,eateth,56
1099,redeem,56
1100,forgive,56
1101,honey,56
1102,buy,56
1103,consume,56
1104,season,56
1105,person,56
1106,edge,56
1107,persons,56
1108,slaughter,56
1109,immediately,55
1110,devils,55
1111,altars,55
1112,standing,55
1113,graven,55
1114,observe,55
1115,mingled,55
1116,wonders,55
1117,widow,55
1118,spoiled,55
1119,dost,55
1120,laban,55
1121,haste,55
1122,nay,55
1123,countries,55
1124,canaanites,55
1125,fowls,55
1126,food,55
1127,mary,54
1128,queen,54
1129,scribe,54
1130,hell,54
1131,sockets,54
1132,foundation,54
1133,afflicted,54
1134,beyond,54
1135,forget,54
1136,sepulchre,54
1137,seeth,54
1138,whoso,54
1139,savour,54
1140,appear,54
1141,haman,53
1142,josiah,53
1143,zadok,53
1144,promise,53
1145,judges,53
1146,friend,53
1147,devoured,53
1148,red,53
1149,gifts,53
1150,beheld,53
1151,remained,53
1152,fair,53
1153,noah,53
1154,countenance,53
1155,signs,53
1156,jehoiada,52
1157,foolish,52
1158,terrible,52
1159,ephod,52
1160,heareth,52
1161,chamber,52
1162,scarlet,52
1163,enquire,52
1164,held,52
1165,dwelling,52
1166,shed,52
1167,garden,52
1168,lies,51
1169,doctrine,51
1170,trumpets,51
1171,doings,51
1172,cedar,51
1173,talents,51
1174,transgression,51
1175,ends,51
1176,goodness,51
1177,remembrance,51
1178,coasts,51
1179,past,51
1180,instruments,51
1181,canst,51
1182,home,51
1183,guard,51
1184,ourselves,51
1185,moon,51
1186,delight,51
1187,wheat,51
1188,mourning,51
1189,charged,51
1190,afar,51
1191,risen,51
1192,tarry,51
1193,too,51
1194,each,51
1195,knowing,51
1196,stars,51
1197,preach,50
1198,confounded,50
1199,rehoboam,50
1200,prophesied,50
1201,glorified,50
1202,blue,50
1203,thrust,50
1204,stretch,50
1205,teeth,50
1206,former,50
1207,naphtali,50
1208,simeon,50
1209,suffered,50
1210,camels,50
1211,substance,50
1212,nine,50
1213,builded,50
1214,thorns,50
1215,desired,50
1216,itself,50
1217,decree,49
1218,azariah,49
1219,joash,49
1220,need,49
1221,clouds,49
1222,witnesses,49
1223,parable,49
1224,pride,49
1225,bind,49
1226,beauty,49
1227,staves,49
1228,assembly,49
1229,touched,49
1230,friends,49
1231,prosper,49
1232,weep,49
1233,increased,49
1234,speech,49
1235,driven,49
1236,wroth,49
1237,belly,49
1238,slept,49
1239,fill,49
1240,divide,49
1241,proud,48
1242,palace,48
1243,gibeah,48
1244,search,48
1245,sides,48
1246,purple,48
1247,transgressions,48
1248,song,48
1249,promised,48
1250,else,48
1251,damsel,48
1252,sworn,48
1253,kindness,48
1254,milk,48
1255,ishmael,48
1256,sinners,48
1257,tower,48
1258,sodom,48
1259,covering,48
1260,touch,48
1261,jesse,47
1262,eternal,47
1263,refuge,47
1264,gladness,47
1265,pestilence,47
1266,mischief,47
1267,rachel,47
1268,forward,47
1269,pillar,47
1270,naked,47
1271,sixth,47
1272,lions,46
1273,measured,46
1274,spear,46
1275,low,46
1276,weak,46
1277,desolation,46
1278,spirits,46
1279,rebuke,46
1280,vessel,46
1281,entering,46
1282,keepeth,46
1283,repent,46
1284,snare,46
1285,forgotten,46
1286,office,46
1287,interpretation,46
1288,sackcloth,46
1289,bands,46
1290,tidings,46
1291,goest,46
1292,lands,46
1293,conceived,46
1294,male,46
1295,multiply,46
1296,james,46
1297,synagogue,45
1298,believeth,45
1299,vineyards,45
1300,bullocks,45
1301,utter,45
1302,rejoiced,45
1303,glorious,45
1304,remove,45
1305,shepherd,45
1306,washed,45
1307,met,45
1308,zebulun,45
1309,profit,45
1310,towns,45
1311,mourn,45
1312,smoke,45
1313,hard,45
1314,handmaid,45
1315,shield,45
1316,cubit,45
1317,vengeance,45
1318,doest,45
1319,kind,45
1320,created,45
1321,herod,44
1322,repaired,44
1323,root,44
1324,weeping,44
1325,rings,44
1326,multiplied,44
1327,besought,44
1328,mercies,44
1329,issachar,44
1330,compassed,44
1331,angry,44
1332,bought,44
1333,wild,44
1334,establish,44
1335,judaea,43
1336,justified,43
1337,sitting,43
1338,balak,43
1339,fatherless,43
1340,holiness,43
1341,satisfied,43
1342,armies,43
1343,horse,43
1344,forasmuch,43
1345,following,43
1346,kid,43
1347,duke,43
1348,staff,43
1349,captives,43
1350,asher,43
1351,shekel,43
1352,borders,43
1353,ashes,43
1354,uncircumcised,43
1355,dark,43
1356,piece,43
1357,joined,43
1358,flood,43
1359,paths,42
1360,ahaz,42
1361,fools,42
1362,benaiah,42
1363,nathan,42
1364,seeketh,42
1365,straightway,42
1366,awake,42
1367,shimei,42
1368,forgiven,42
1369,provoke,42
1370,posts,42
1371,sitteth,42
1372,latter,42
1373,desert,42
1374,fruits,42
