,word,freq
1,the,439
2,and,348
3,of,146
4,in,141
5,i,130
6,a,128
7,to,111
8,my,83
9,with,66
10,his,57
11,he,56
12,is,52
13,little,45
14,they,44
15,on,44
16,not,43
17,thee,42
18,all,39
19,that,39
20,but,38
21,thou,35
22,like,35
23,her,34
24,their,34
25,me,34
26,can,32
27,for,32
28,from,32
29,thy,31
30,was,30
31,then,30
32,it,29
33,love,29
34,night,28
35,when,28
36,sweet,28
37,what,26
38,where,25
39,are,25
40,be,25
41,joy,25
42,weep,24
43,away,24
44,by,24
45,father,22
46,our,22
47,or,21
48,sleep,21
49,an,21
50,so,21
51,down,20
52,mother,19
53,day,19
54,shall,19
55,happy,19
56,who,18
57,no,18
58,does,18
59,child,18
60,never,17
61,if,17
62,have,17
63,we,17
64,every,17
65,human,16
66,see,16
67,infant,16
68,as,16
69,am,16
70,voice,16
71,green,16
72,hear,16
73,thel,16
74,why,15
75,nor,15
76,this,15
77,she,15
78,bright,15
79,till,15
80,lamb,15
81,cloud,15
82,its,14
83,weeping,14
84,head,14
85,upon,14
86,delight,14
87,how,14
88,while,14
89,o,13
90,holy,13
91,heard,12
92,tears,12
93,children,12
94,did,12
95,face,12
96,there,12
97,o'er,12
98,care,12
99,white,12
100,sit,12
101,heart,11
102,smiles,11
103,fear,11
104,your,11
105,him,11
106,come,11
107,light,11
108,oh,11
109,boy,11
110,god,11
111,birds,11
112,sun,11
113,sing,11
114,worm,10
115,heaven,10
116,lay,10
117,sorrow,10
118,earth,10
119,morning,10
120,tree,10
121,were,10
122,know,10
123,song,10
124,virgin,9
125,lyca,9
126,woe,9
127,pity,9
128,eyes,9
129,hand,9
130,deep,9
131,rose,9
132,came,9
133,you,9
134,flowers,9
135,angel,9
136,vales,9
137,round,9
138,more,9
139,play,9
140,arise,9
141,peace,9
142,tender,9
143,wept,9
144,merry,9
145,wild,9
146,another,8
147,go,8
148,bed,8
149,mercy,8
150,image,8
151,smile,8
152,over,8
153,silent,8
154,form,8
155,lost,8
156,do,8
157,them,8
158,pretty,8
159,golden,8
160,black,8
161,life,8
162,youth,8
163,among,8
164,spring,8
165,morn,8
166,said,8
167,ah,7
168,maid,7
169,garden,7
170,itself,7
171,grass,7
172,fly,7
173,merrily,7
174,now,7
175,small,7
176,doth,7
177,through,7
178,cold,7
179,dark,7
180,let,7
181,had,7
182,sleeping,7
183,cry,7
184,before,7
185,bore,7
186,mild,7
187,many,7
188,say,7
189,at,7
190,saw,7
191,songs,7
192,born,6
193,art,6
194,death,6
195,church,6
196,summer,6
197,trembling,6
198,vain,6
199,fled,6
200,both,6
201,tear,6
202,gone,6
203,gold,6
204,should,6
205,man,6
206,divine,6
207,air,6
208,led,6
209,shine,6
210,up,6
211,tom,6
212,could,6
213,near,6
214,seek,6
215,shade,6
216,free,6
217,these,6
218,live,6
219,tell,6
220,such,6
221,laugh,6
222,hair,6
223,old,6
224,seen,6
225,filled,6
226,made,6
227,may,6
228,book,6
229,gentle,5
230,fade,5
231,would,5
232,beauty,5
233,lily,5
234,eye,5
235,tiger,5
236,queen,5
237,thought,5
238,because,5
239,fears,5
240,desert,5
241,winter,5
242,land,5
243,thing,5
244,dread,5
245,ground,5
246,sigh,5
247,us,5
248,breast,5
249,year,5
250,lion,5
251,pitying,5
252,each,5
253,feet,5
254,flower,5
255,into,5
256,has,5
257,soft,5
258,pale,5
259,told,5
260,naked,5
261,mind,5
262,yet,5
263,out,5
264,bear,5
265,look,5
266,heat,5
267,name,5
268,dost,5
269,weary,5
270,time,5
271,soon,5
272,around,5
273,make,5
274,lambs,5
275,evening,5
276,laughing,5
277,pleasant,5
278,food,4
279,har,4
280,valley,4
281,mortal,4
282,sat,4
283,knew,4
284,helpless,4
285,one,4
286,find,4
287,youthful,4
288,humble,4
289,modest,4
290,went,4
291,dare,4
292,fire,4
293,maiden,4
294,drink,4
295,armed,4
296,weak,4
297,tired,4
298,parents,4
299,ways,4
300,clay,4
301,eternal,4
302,selfish,4
303,grief,4
304,dream,4
305,days,4
306,home,4
307,girl,4
308,bird,4
309,think,4
310,beside,4
311,wrath,4
312,new,4
313,poor,4
314,snow,4
315,two,4
316,dress,4
317,return,4
318,own,4
319,maker,4
320,once,4
321,lovely,4
322,ha,4
323,ever,4
324,dew,4
325,speak,4
326,rise,4
327,bosom,4
328,blossom,4
329,thus,4
330,men,4
331,gives,4
332,rising,4
333,feed,4
334,nest,4
335,under,4
336,welcome,4
337,skies,4
338,call,4
339,innocent,4
340,hears,4
341,tongue,4
342,sheep,4
343,pipe,4
344,valleys,4
345,blake,4
346,enter,3
347,none,3
348,worms,3
349,shining,3
350,springs,3
351,lowly,3
352,answerd,3
353,didst,3
354,take,3
355,terror,3
356,foe,3
357,mystery,3
358,spreads,3
359,cruelty,3
360,loves,3
361,blown,3
362,sunflower,3
363,burning,3
364,wings,3
365,done,3
366,wandered,3
367,seven,3
368,grave,3
369,thorns,3
370,only,3
371,meet,3
372,clod,3
373,bound,3
374,chain,3
375,blossoms,3
376,jealousy,3
377,given,3
378,shore,3
379,wilt,3
380,dewy,3
381,fallen,3
382,starry,3
383,ancient,3
384,destroy,3
385,give,3
386,infants,3
387,feel,3
388,worn,3
389,fades,3
390,well,3
391,voices,3
392,sky,3
393,mane,3
394,immortal,3
395,most,3
396,prey,3
397,tigers,3
398,any,3
399,keep,3
400,covered,3
401,door,3
402,hands,3
403,flow,3
404,high,3
405,grey,3
406,walking,3
407,thursday,3
408,too,3
409,dwell,3
410,must,3
411,clime,3
412,dear,3
413,pray,3
414,moan,3
415,moans,3
416,hover,3
417,crown,3
418,dreams,3
419,sought,3
420,dale,3
421,lonely,3
422,found,3
423,walk,3
424,warm,3
425,work,3
426,wind,3
427,clouds,3
428,river,3
429,back,3
430,very,3
431,sweeper,3
432,chimney,3
433,silver,3
434,tent,3
435,saying,3
436,vanish,3
437,will,3
438,grove,3
439,beams,3
440,began,3
441,kissed,3
442,underneath,3
443,bless,3
444,rejoice,3
445,gave,3
446,rest,3
447,ones,3
448,joys,3
449,echoing,3
450,follow,3
451,shepherd,3
452,water,3
453,hollow,3
454,again,3
455,piping,3
456,experience,3
457,innocence,3
458,ear,2
459,listning,2
460,therefore,2
461,ponder,2
462,oil,2
463,can'st,2
464,leaf,2
465,lillys,2
466,lives,2
467,great,2
468,use,2
469,warbling,2
470,nothing,2
471,pass,2
472,charge,2
473,bowd,2
474,thro,2
475,answered,2
476,throne,2
477,honey,2
478,milky,2
479,complain,2
480,breathing,2
481,watry,2
482,ask,2
483,pit,2
484,dead,2
485,roots,2
486,part,2
487,sexes,2
488,appear,2
489,fruits,2
490,hour,2
491,dismay,2
492,spend,2
493,kisses,2
494,sunny,2
495,age,2
496,place,2
497,burned,2
498,iron,2
499,stripped,2
500,reason,2
501,angry,2
502,poison,2
503,bands,2
504,fiend,2
505,dismal,2
506,foot,2
507,blasts,2
508,forged,2
509,weakness,2
510,marks,2
511,chartered,2
512,wish,2
513,shalt,2
514,gates,2
515,used,2
516,chapel,2
517,horn,2
518,thorn,2
519,forth,2
520,graves,2
521,desire,2
522,turned,2
523,watered,2
524,brain,2
525,furnace,2
526,aspire,2
527,distant,2
528,symmetry,2
529,fearful,2
530,frame,2
531,spears,2
532,thousand,2
533,hid,2
534,beguiled,2
535,breath,2
536,wing,2
537,some,2
538,secret,2
539,sick,2
540,priest,2
541,dance,2
542,clothed,2
543,heath,2
544,notes,2
545,palace,2
546,shriek,2
547,shadows,2
548,arm,2
549,stood,2
550,asleep,2
551,viewed,2
552,close,2
553,frowning,2
554,summers,2
555,fall,2
556,where'er,2
557,poverty,2
558,fed,2
559,misery,2
560,babes,2
561,bind,2
562,self,2
563,hell,2
564,builds,2
565,ease,2
566,please,2
567,seeketh,2
568,pebble,2
569,bones,2
570,heavy,2
571,grow,2
572,buds,2
573,cruel,2
574,despair,2
575,darkness,2
576,answer,2
577,break,2
578,watery,2
579,turn,2
580,renew,2
581,pole,2
582,might,2
583,ears,2
584,future,2
585,bard,2
586,canst,2
587,becomes,2
588,wiping,2
589,sorrows,2
590,beetle,2
591,set,2
592,way,2
593,guarded,2
594,befall,2
595,hills,2
596,besides,2
