,word,freq
1,the,3781
2,and,1710
3,a,1438
4,he,1338
5,of,1327
6,to,1325
7,was,937
8,in,897
9,his,846
10,i,779
11,it,675
12,had,606
13,that,566
14,you,519
15,on,469
16,her,468
17,with,420
18,him,415
19,she,390
20,for,359
21,at,343
22,as,338
23,n't,330
24,they,329
25,but,316
26,said,288
27,out,277
28,from,270
29,were,254
30,this,239
31,up,232
32,would,220
33,there,219
34,me,210
35,not,204
36,all,195
37,man,191
38,my,189
39,be,189
40,one,187
41,could,181
42,into,180
43,do,178
44,no,175
45,when,173
46,an,169
47,we,166
48,back,166
49,what,162
50,their,162
51,did,160
52,down,159
53,by,157
54,them,157
55,like,145
56,have,141
57,if,139
58,so,138
59,then,137
60,time,133
61,been,131
62,now,127
63,over,124
64,about,124
65,or,119
66,is,112
67,only,105
68,which,102
69,get,101
70,who,100
71,eyes,99
72,just,96
73,two,92
74,before,90
75,off,90
76,men,85
77,even,84
78,more,84
79,got,83
80,see,82
81,right,80
82,through,80
83,face,79
84,came,79
85,made,78
86,again,76
87,go,75
88,himself,75
89,away,74
90,come,73
91,long,72
92,head,71
93,too,71
94,around,71
95,its,70
96,here,70
97,your,69
98,hand,69
99,little,69
100,saw,68
101,after,67
102,door,67
103,never,66
104,still,66
105,way,65
106,against,65
107,took,65
108,let,64
109,other,62
110,looked,62
111,thought,62
112,house,62
113,how,61
114,water,61
115,where,60
116,than,60
117,went,60
118,first,59
119,might,59
120,know,58
121,any,58
122,are,57
123,some,57
124,big,56
125,girl,55
126,much,55
127,well,55
128,side,54
129,something,54
130,knew,54
131,turned,53
132,will,52
133,make,51
134,while,50
135,behind,50
136,going,50
137,can,49
138,feet,49
139,toward,49
140,old,48
141,hands,48
142,left,48
143,jess,47
144,us,47
145,across,46
146,told,46
147,once,45
148,think,45
149,our,44
150,without,43
151,own,43
152,boy,43
153,want,43
154,voice,42
155,three,42
156,half,42
157,day,42
158,dark,41
159,take,41
160,very,41
161,good,41
162,front,41
163,last,41
164,seemed,40
165,look,40
166,heard,40
167,under,40
168,few,40
169,curt,39
170,car,39
171,black,39
172,began,39
173,place,39
174,hair,39
175,nothing,39
176,open,38
177,inside,38
178,started,38
179,woman,38
180,marine,37
181,matsuo,37
182,small,37
183,mind,37
184,fire,37
185,almost,37
186,room,37
187,reached,37
188,night,37
189,tell,36
190,stood,36
191,until,36
192,found,36
193,hall,35
194,horses,35
195,enough,35
196,maybe,34
197,these,34
198,say,34
199,asked,34
200,felt,34
201,greg,33
202,gun,33
203,another,33
204,valley,33
205,ran,33
206,seen,33
207,far,33
208,new,33
209,both,33
210,mike,32
211,moment,32
212,ever,32
213,years,32
214,ramey,31
215,those,31
216,body,31
217,anything,31
218,rifle,31
219,work,31
220,hard,31
221,brannon,30
222,shot,30
223,better,30
224,why,30
225,town,30
226,tilghman,29
227,street,29
228,white,29
229,though,29
230,ground,29
231,moved,29
232,life,29
233,morning,29
234,give,29
235,each,29
236,morgan,29
237,barton,28
238,brought,28
239,blue,28
240,sure,28
241,light,28
242,must,28
243,walked,28
244,along,28
245,most,28
246,because,28
247,thing,28
248,wife,28
249,wagon,27
250,throat,27
251,lord,27
252,held,27
253,minutes,27
254,bottle,26
255,home,26
256,turn,26
257,later,26
258,jack,26
259,looking,26
260,dead,26
261,every,26
262,dan,26
263,penny,25
264,miss,25
265,above,25
266,end,25
267,high,25
268,yet,25
269,air,25
270,arm,25
271,many,25
272,line,25
273,five,25
274,dropped,25
275,put,25
276,next,24
277,followed,24
278,young,24
279,people,24
280,caught,24
281,keith,23
282,sound,23
283,such,23
284,hit,23
285,near,23
286,horse,23
287,floor,23
288,gone,23
289,part,23
290,tom,23
291,wall,23
292,gave,23
293,mouth,23
294,red,23
295,hear,23
296,sat,23
297,road,22
298,war,22
299,also,22
300,soon,22
301,called,22
302,words,22
303,clayton,22
304,suddenly,22
305,ca,22
306,help,22
307,running,22
308,mr,22
309,six,22
310,days,22
311,several,22
312,sun,22
313,lips,22
314,stay,22
315,pat,21
316,truck,21
317,always,21
318,ai,21
319,else,21
320,blood,21
321,close,21
322,trees,21
323,passed,21
324,gavin,21
325,hell,21
326,death,21
327,thinking,21
328,johnson,20
329,russ,20
330,women,20
331,name,20
332,should,20
333,four,20
334,second,20
335,probably,20
336,past,20
337,upon,20
338,chance,20
339,others,20
340,shoulder,20
341,neck,20
342,wanted,20
343,oh,20
344,watched,20
345,girls,19
346,opened,19
347,straight,19
348,already,19
349,pulled,19
350,quite,19
351,great,19
352,corner,19
353,between,19
354,rear,19
355,gray,19
356,father,19
357,forward,19
358,yes,19
359,feel,19
360,mean,19
361,really,19
362,kind,19
363,being,19
364,lalaurie,18
365,langford,18
366,cobb,18
367,pamela,18
368,things,18
369,wilson,18
370,legs,18
371,green,18
372,pool,18
373,within,18
374,same,18
