,word,freq
1,the,10758
2,of,6391
3,and,4474
4,to,4178
5,a,3454
6,in,3416
7,that,1968
8,is,1823
9,he,1557
10,was,1484
11,his,1447
12,it,1387
13,for,1293
14,as,1261
15,with,1096
16,not,887
17,i,872
18,be,845
19,by,836
20,on,832
21,had,818
22,this,791
23,but,772
24,at,707
25,from,684
26,which,681
27,are,651
28,have,636
29,they,613
30,an,604
31,or,598
32,one,581
33,were,525
34,we,520
35,their,520
36,all,482
37,who,462
38,would,407
39,has,406
40,there,383
41,been,376
42,more,376
43,him,373
44,when,345
45,so,342
46,no,329
47,than,322
48,what,315
49,its,310
50,our,306
51,only,302
52,can,301
53,if,301
54,them,298
55,her,289
56,new,279
57,these,271
58,other,269
59,man,265
60,some,260
61,about,257
62,out,248
63,will,248
64,into,247
65,time,241
66,my,240
67,she,231
68,you,227
69,could,223
70,even,223
71,may,221
72,any,215
73,do,215
74,most,214
75,world,211
76,me,207
77,life,206
78,first,205
79,did,203
80,two,197
81,such,189
82,up,188
83,like,187
84,also,185
85,men,179
86,well,177
87,now,173
88,must,171
89,us,168
90,own,163
91,much,162
92,said,161
93,then,161
94,years,161
95,after,160
96,many,159
97,way,158
98,people,158
99,because,157
100,over,151
101,made,148
102,before,148
103,between,148
104,being,144
105,little,144
106,war,142
107,through,141
108,great,137
109,himself,135
110,never,135
111,very,128
112,those,128
113,without,126
114,n't,125
115,work,121
116,long,121
117,both,120
118,american,119
119,still,115
120,where,115
121,too,115
122,might,113
123,how,113
124,day,112
125,make,111
126,another,110
127,history,110
128,upon,110
129,old,110
130,fact,110
131,good,109
132,human,108
133,mr,105
134,should,105
135,while,102
136,know,101
137,social,101
138,form,100
139,against,100
140,down,99
141,however,98
142,does,97
143,general,96
144,came,96
145,during,95
146,states,95
147,order,94
148,see,94
149,experience,93
150,few,91
151,come,91
152,here,89
153,place,89
154,same,89
155,say,89
156,since,89
157,young,88
158,each,88
159,political,88
160,south,88
161,state,88
162,part,87
163,sense,86
164,every,86
165,go,86
166,century,86
167,once,86
168,nothing,85
169,rather,85
170,under,85
171,back,84
172,just,83
173,society,82
174,found,82
175,public,81
176,art,81
177,always,80
178,take,80
179,though,80
180,present,79
181,often,79
182,literature,78
183,almost,77
184,yet,77
185,mind,76
186,three,75
187,become,75
188,later,73
189,perhaps,73
190,course,73
191,southern,73
192,find,73
193,love,72
194,ever,72
195,within,72
196,far,72
197,themselves,72
198,thought,71
199,book,71
200,house,71
201,english,70
202,things,70
203,last,69
204,let,69
205,wrote,69
206,called,69
207,kind,68
208,less,68
209,private,67
210,free,67
211,itself,67
212,among,67
213,group,66
214,law,66
215,power,66
216,high,66
217,ideas,65
218,thus,65
219,community,64
220,important,64
221,president,64
222,story,63
223,right,63
224,although,63
225,moral,62
226,end,62
227,self,62
228,point,62
229,death,62
230,asked,62
231,took,61
232,writing,61
233,others,61
234,around,61
235,having,61
236,year,61
237,personal,61
238,nature,61
239,whose,60
240,york,60
241,get,60
242,went,60
243,country,60
244,name,60
245,change,59
246,days,59
247,look,59
248,enough,59
249,least,59
250,gave,58
251,put,58
252,united,58
253,am,58
254,poetry,57
255,family,57
256,told,57
257,true,57
258,best,57
259,literary,56
260,early,56
261,until,56
262,give,56
263,think,56
264,use,56
265,hearst,55
266,knew,55
267,help,55
268,side,55
269,action,55
270,off,55
271,nations,55
272,home,55
273,england,55
274,several,55
275,mrs,54
276,age,54
277,students,54
278,father,54
279,your,54
280,began,54
281,set,54
282,became,54
283,felt,54
284,something,54
285,known,54
286,individual,54
287,second,53
288,again,53
289,example,53
290,case,53
291,friend,52
292,along,52
293,whom,51
294,jazz,51
295,times,51
296,small,51
297,seem,51
298,evidence,51
299,common,51
300,whether,51
301,truth,51
302,reason,51
303,written,50
304,matter,50
305,whole,50
306,idea,50
307,thomas,50
308,toward,50
309,why,50
310,used,49
311,four,49
312,city,49
313,modern,49
314,given,49
315,left,49
316,mercer,48
317,science,48
318,interest,48
319,period,48
320,next,48
321,word,48
322,mother,48
323,certain,48
324,line,48
325,taken,48
326,seems,48
327,friends,48
328,nation,48
329,better,47
330,economic,47
331,means,47
332,government,47
333,north,47
334,washington,46
335,military,46
336,possible,46
337,done,46
338,night,46
339,america,46
340,lewis,45
341,union,45
342,wanted,45
343,hand,45
344,white,45
345,party,45
346,national,45
347,words,45
348,question,45
349,french,45
350,understanding,44
351,brought,44
352,past,44
353,thing,44
354,wright,43
355,alfred,43
356,got,43
357,character,43
358,face,43
359,real,43
360,existence,43
361,money,42
362,play,42
363,europe,42
364,john,42
365,finally,42
366,special,42
367,situation,42
368,need,42
369,god,41
370,letter,41
371,school,41
372,sent,41
373,force,41
374,college,41
375,nor,41
376,business,41
377,problem,41
378,morgan,40
379,university,40
380,future,40
381,knowledge,40
382,six,40
383,eyes,40
384,ground,40
385,today,40
386,making,40
387,natural,40
388,believe,40
389,sort,40
390,writers,40
391,town,40
392,fear,39
393,religious,39
394,looked,39
395,figure,39
396,anything,39
397,together,39
398,terms,39
399,revolution,39
400,light,39
401,position,39
402,half,39
403,large,39
404,living,39
405,write,39
406,development,38
407,fiction,38
408,children,38
409,earth,38
410,quite,38
411,influence,38
412,across,38
413,control,38
414,detective,37
415,study,37
416,works,37
417,values,37
418,seemed,37
419,lost,37
420,seen,37
421,away,37
422,full,37
423,five,37
424,moment,37
425,difficult,37
426,already,37
427,either,37
428,system,37
429,body,37
430,effect,37
431,problems,37
432,feeling,37
433,especially,37
434,liberal,37
435,pike,36
436,office,36
437,read,36
438,beginning,36
439,william,36
440,indeed,36
441,attention,36
442,number,36
443,ago,36
444,sir,36
445,really,36
446,decision,36
447,constitution,36
448,different,36
449,clear,36
450,gorton,35
451,religion,35
452,child,35
453,shall,35
454,king,35
455,saw,35
456,land,35
457,short,35
458,act,35
459,further,35
460,western,35
461,wife,35
462,concerned,35
463,theory,34
464,going,34
465,open,34
466,movement,34
467,responsibility,34
468,above,34
469,longer,34
470,call,34
471,simply,34
472,view,34
473,steele,33
474,edward,33
475,sex,33
476,value,33
477,france,33
478,jewish,33
479,poet,33
480,eye,33
481,son,33
482,result,33
483,field,33
484,command,33
485,recent,33
486,probably,33
487,usually,33
488,woodruff,32
489,mama,32
490,miriam,32
491,peace,32
492,return,32
493,bang,32
494,music,32
495,simple,32
496,single,32
497,water,32
498,twenty,32
499,london,32
500,beyond,32
501,following,32
502,therefore,32
503,tradition,32
504,jensen,31
505,freedom,31
506,intellectual,31
507,adams,31
508,received,31
509,leave,31
510,moved,31
511,room,31
512,speak,31
513,reality,31
514,historical,31
515,concept,31
516,able,31
517,spirit,31
518,show,31
519,myself,31
520,except,31
521,patchen,30
522,tragedy,30
523,reading,30
524,major,30
525,want,30
526,stories,30
527,de,30
528,says,30
529,boy,30
530,poems,30
531,move,30
532,report,30
533,stand,30
534,basic,30
535,saxon,30
536,negro,30
537,hope,30
538,learned,30
539,trevelyan,29
540,gross,29
541,camp,29
542,women,29
543,physical,29
544,faulkner,29
545,army,29
546,obviously,29
547,quality,29
548,worked,29
549,necessary,29
550,nineteenth,29
551,principle,29
552,rest,29
553,else,29
554,deal,29
555,democratic,29
556,held,29
557,chief,29
558,carl,28
559,plato,28
560,morning,28
561,march,28
562,purpose,28
563,earlier,28
564,attack,28
565,looking,28
566,shakespeare,28
567,merely,28
568,turn,28
569,defense,28
570,job,28
571,answer,28
572,questions,28
573,ideal,28
574,forces,28
575,turned,28
576,process,28
577,outside,28
578,third,28
579,subject,28
580,neither,28
581,strong,28
582,progress,28
583,baker,27
584,campaign,27
