,word,freq
1,the,3965
2,of,1996
3,to,1588
4,and,1360
5,a,1165
6,in,1095
7,is,759
8,that,597
9,for,542
10,it,516
11,be,423
12,as,391
13,he,375
14,on,348
15,not,339
16,with,329
17,this,326
18,was,312
19,by,310
20,are,303
21,but,293
22,have,275
23,his,270
24,has,267
25,will,235
26,we,235
27,from,219
28,at,217
29,i,208
30,or,198
31,an,194
32,they,191
33,which,191
34,would,190
35,one,180
36,who,177
37,all,160
38,can,156
39,been,151
40,more,144
41,do,138
42,new,134
43,if,134
44,had,132
45,their,132
46,its,131
47,our,130
48,there,124
49,when,123
50,no,123
51,so,116
52,what,116
53,mr,110
54,than,110
55,were,109
56,him,106
57,some,105
58,you,96
59,should,93
60,out,93
61,other,93
62,n't,90
63,now,90
64,american,85
65,people,83
66,any,82
67,united,82
68,these,82
69,world,80
70,only,80
71,up,79
72,may,79
73,into,78
74,time,76
75,most,76
76,first,75
77,many,73
78,state,73
79,two,72
80,states,70
81,even,68
82,public,68
83,too,67
84,us,67
85,them,67
86,war,66
87,over,65
88,such,65
89,she,63
90,president,63
91,about,63
92,last,63
93,then,63
94,years,63
95,city,62
96,government,62
97,man,60
98,could,59
99,year,59
100,good,59
101,those,58
102,west,56
103,much,56
104,how,55
105,must,55
106,old,55
107,like,55
108,east,54
109,berlin,54
110,does,54
111,my,53
112,make,53
113,said,52
114,just,50
115,kennedy,50
116,party,49
117,own,48
118,very,48
119,being,47
120,also,47
121,khrushchev,46
122,because,46
123,made,46
124,where,45
125,soviet,45
126,way,45
127,know,44
128,right,44
129,against,43
130,peace,42
131,still,42
132,program,42
133,school,42
134,take,41
135,far,41
136,did,41
137,well,41
138,see,40
139,little,40
140,nuclear,40
141,few,40
142,long,40
143,editor,39
144,her,39
145,might,39
146,men,39
147,great,39
148,day,39
149,life,38
150,service,38
151,after,38
152,national,38
153,another,38
154,get,37
155,since,37
156,down,37
157,communist,37
158,political,37
159,your,36
160,me,36
161,back,36
162,fact,36
163,come,36
164,between,36
165,general,36
166,country,35
167,children,34
168,each,34
169,never,34
170,less,34
171,under,34
172,before,34
173,washington,34
174,part,34
175,toward,34
176,without,34
177,course,33
178,week,33
179,congress,33
180,nations,32
181,yet,32
182,upon,32
183,help,32
184,during,31
185,least,31
186,off,31
187,power,31
188,left,31
189,better,31
190,work,31
191,$,31
192,use,31
193,county,31
194,need,31
195,both,30
196,whether,30
197,secretary,30
