,word,freq
1,the,3794
2,and,1772
3,to,1510
4,of,1427
5,he,1352
6,a,1342
7,was,1102
8,in,972
9,his,795
10,had,742
11,it,631
12,that,597
13,i,582
14,with,483
15,on,451
16,she,442
17,for,414
18,her,413
19,at,397
20,him,382
21,they,332
22,as,322
23,not,318
24,you,307
25,would,300
26,but,297
27,be,256
28,were,242
29,from,235
30,there,228
31,out,226
32,n't,220
33,all,212
34,said,194
35,what,193
36,could,192
37,when,192
38,up,191
39,one,190
40,did,177
41,this,176
42,by,174
43,or,173
44,them,172
45,have,171
46,about,171
47,their,166
48,no,163
49,an,160
50,do,160
51,been,157
52,like,156
53,is,154
54,into,148
55,me,137
56,so,136
57,we,134
58,my,131
59,down,130
60,now,130
61,if,128
62,man,124
63,which,124
64,then,119
65,who,116
66,over,104
67,back,104
68,time,103
69,how,91
70,came,91
71,some,90
72,where,89
73,before,85
74,get,84
75,old,84
76,more,84
77,little,83
78,only,80
79,two,80
80,went,79
81,know,78
82,thought,76
83,men,74
84,go,74
85,looked,73
86,never,72
87,around,71
88,again,70
89,house,70
90,here,70
91,himself,69
92,after,67
93,room,65
94,still,64
95,off,64
96,way,63
97,even,63
98,through,63
99,made,62
100,well,62
101,good,62
102,eyes,61
103,too,61
104,knew,59
105,just,59
106,see,59
107,saw,59
108,come,58
109,felt,58
110,face,58
111,first,57
112,must,57
113,head,57
114,long,57
115,church,56
116,will,56
117,day,56
118,away,55
119,any,55
120,night,55
121,seemed,55
122,its,55
123,own,55
124,hand,53
125,big,52
126,are,52
127,home,52
128,got,51
129,same,51
130,make,51
131,take,51
132,while,50
133,another,50
134,asked,50
135,much,50
136,new,49
137,other,49
138,always,49
139,told,48
140,once,48
141,god,47
142,going,47
143,life,47
144,white,47
145,door,47
146,these,47
147,than,47
148,something,45
149,years,44
150,our,44
151,very,44
152,kate,44
153,might,44
154,look,44
155,took,44
156,right,44
157,water,43
158,place,43
159,think,43
160,turned,43
161,can,43
162,doctor,43
163,john,42
