,word,freq
1,the,4621
2,of,3070
3,and,1949
4,to,1864
5,in,1475
6,a,972
7,for,858
8,is,657
9,be,603
10,that,503
11,as,480
12,this,440
13,by,439
14,on,427
15,are,416
16,or,400
17,with,376
18,it,326
19,which,265
20,at,253
21,from,249
22,will,244
23,state,240
24,an,227
25,was,223
26,have,223
27,not,220
28,other,200
29,year,195
30,such,195
31,states,185
32,may,179
33,their,178
34,all,172
35,he,169
36,our,164
37,these,156
38,united,155
39,has,153
40,new,150
41,its,150
42,his,149
43,any,149
44,we,145
45,one,143
46,can,131
47,1,130
48,been,130
49,were,126
50,more,126
51,development,125
52,government,125
53,would,120
54,but,119
55,they,119
56,made,119
57,than,117
58,business,115
59,should,113
60,if,113
61,time,109
62,$,109
63,years,106
64,must,102
65,under,101
66,fiscal,100
67,shall,99
68,2,99
69,there,98
70,i,97
71,general,94
72,tax,91
73,also,89
74,service,88
75,program,88
76,department,88
77,you,86
78,use,86
79,many,86
80,act,85
81,so,84
82,during,80
83,two,78
84,about,77
85,who,77
86,each,77
87,island,76
88,rhode,76
89,no,75
90,only,73
91,property,72
92,1960,71
93,when,68
94,some,68
95,small,68
96,national,66
97,mr,65
98,into,65
99,first,65
100,out,65
101,board,64
102,them,63
103,those,62
104,both,62
105,local,61
106,day,61
107,through,61
108,brown,58
109,american,58
110,over,58
111,what,58
112,world,57
113,military,57
114,1961,56
115,period,56
116,research,56
117,per,56
118,secretary,55
119,million,55
120,your,55
121,3,55
122,services,55
123,most,55
124,now,54
125,public,54
126,long,54
127,income,54
128,shelter,53
129,medical,53
130,president,53
131,do,53
132,great,52
133,make,52
134,federal,52
135,upon,52
136,available,52
137,peace,51
138,same,51
139,provide,51
140,section,51
141,interest,51
142,production,51
143,had,49
144,well,48
145,where,48
146,4,48
147,stations,46
148,corps,46
149,between,46
150,report,46
151,policy,46
152,necessary,46
153,within,46
154,projects,45
155,work,45
156,present,45
157,important,45
158,assistance,45
159,pont,44
160,du,44
161,because,44
162,own,44
163,industrial,44
164,administration,44
165,men,43
166,agreement,43
167,total,43
168,after,43
169,country,43
170,planning,43
171,up,43
172,amount,43
173,part,43
174,college,42
175,several,42
176,being,42
177,before,42
178,cost,42
179,system,42
180,5,42
181,b,41
182,information,41
183,motors,40
184,forces,40
185,used,40
186,take,40
187,foreign,40
188,division,40
189,problems,39
190,vehicles,38
191,could,38
192,above,38
193,purposes,38
194,basis,38
195,large,38
196,equipment,38
197,management,38
198,faculty,37
199,allotment,37
200,officer,37
201,however,37
202,help,37
203,student,36
204,control,36
205,1959,36
206,since,36
207,countries,36
208,term,36
209,sales,36
210,activities,36
211,programs,36
212,operation,36
213,action,35
214,high,35
215,commission,35
216,plan,35
217,number,35
218,provided,35
219,range,35
220,aid,35
221,required,35
222,machine,34
223,problem,34
224,congress,34
225,court,33
226,defense,33
227,increase,33
228,payment,33
229,members,33
230,need,33
231,interference,33
232,support,33
233,pay,33
234,funds,33
235,york,33
236,economic,33
237,skywave,32
238,file,32
239,protection,32
240,june,32
241,see,32
242,claim,32
243,respect,32
244,america,32
245,people,32
246,even,32
247,india,32
248,developed,32
249,three,32
250,facilities,32
251,market,32
252,sharpe,31
253,return,31
254,pathology,31
255,less,31
256,set,31
257,30,31
258,personal,31
259,form,31
260,plant,31
261,petitioner,30
262,towns,30
263,home,30
264,place,30
265,industry,30
266,possible,30
267,6,30
268,financial,30
269,addition,30
270,further,30
271,payments,30
272,carleton,29
273,determine,29
274,due,29
275,special,29
276,increased,29
277,miles,29
278,times,29
279,my,29
280,rayburn,29
281,c,29
282,personnel,29
283,particular,29
284,much,29
285,areas,29
286,proposed,29
287,washington,29
288,office,29
289,forest,28
290,water,28
291,another,28
292,district,28
293,case,28
294,conditions,28
295,resources,28
296,how,28
297,products,28
298,commerce,28
299,hearing,27
300,pursuant,27
301,data,27
302,title,27
303,throughout,27
304,15,27
305,result,27
306,level,27
307,nation,27
308,sba,27
309,international,27
310,basic,27
311,class,26
312,foundation,26
313,value,26
314,good,26
315,agencies,26
316,way,26
317,him,26
318,end,26
319,costs,26
320,obtained,26
321,until,26
322,land,26
323,employees,26
324,requirements,26
325,cities,26
326,opportunity,26
327,students,25
328,hours,25
329,armed,25
330,stock,25
331,central,25
332,means,25
333,providence,25
334,governments,25
335,below,25
336,paid,25
337,share,25
338,future,25
339,credit,25
340,loan,25
341,loans,25
342,making,25
343,established,25
344,including,25
345,billion,24
346,item,24
347,1962,24
348,company,24
349,additional,24
350,sam,24
351,us,24
352,training,24
353,major,24
354,substantial,24
355,while,24
356,10,24
357,rate,24
358,purchase,24
359,include,24
360,purpose,24
361,principal,24
362,25,24
363,current,24
364,governor,23
365,7,23
366,sets,23
367,today,23
368,week,23
369,expenditures,23
370,very,23
371,association,23
372,construction,23
373,authorized,23
374,given,23
375,individual,23
376,administrative,23
377,field,23
378,af,22
379,air,22
380,8,22
381,nations,22
382,line,22
383,hundred,22
384,study,22
385,law,22
386,july,22
387,maintenance,22
388,date,22
389,greater,22
390,every,22
391,here,22
392,point,22
393,therefore,22
394,plans,22
395,others,22
396,bank,22
397,owned,22
398,pool,22
399,policies,22
400,growth,22
401,against,21
402,held,21
403,treasury,21
404,university,21
405,full,21
406,town,21
407,uniform,21
408,cars,21
409,last,21
410,close,21
411,least,21
412,subject,21
413,like,21
414,give,21
415,effective,21
416,responsibility,21
417,process,21
418,progress,21
419,best,21
420,application,21
421,agency,21
422,percent,21
423,type,21
424,financing,21
425,various,21
426,staff,21
427,operations,21
428,short,21
429,radio,20
430,provisions,20
431,calendar,20
432,freedom,20
433,export,20
434,estimated,20
435,shown,20
436,standards,20
437,april,20
438,boats,20
439,later,20
440,based,20
441,studies,20
442,order,20
443,whether,20
444,month,20
445,among,20
446,50,20
447,systems,20
448,whole,20
449,without,20
450,few,20
451,toward,20
452,claims,20
453,operating,20
454,needed,20
455,organizations,20
456,trade,20
457,community,20
458,technical,20
459,director,20
460,machines,19
461,acres,19
462,9,19
463,article,19
464,serve,19
465,early,19
466,method,19
467,abroad,19
468,assessors,19
469,entitled,19
470,fund,19
471,roads,19
472,average,19
473,john,19
474,security,19
475,representatives,19
476,better,19
477,speaker,19
478,extent,19
479,still,19
480,domestic,19
481,otherwise,19
482,themselves,19
483,certain,19
484,concerns,19
485,types,19
486,rico,18
487,puerto,18
488,collection,18
489,right,18
490,jr,18
491,electronic,18
492,received,18
493,institute,18
494,standard,18
495,31,18
496,annual,18
497,recent,18
498,war,18
499,prior,18
500,allowances,18
501,matter,18
502,am,18
503,said,18
504,found,18
505,months,18
506,budget,18
507,cuba,18
508,effort,18
509,force,18
510,following,18
511,self,18
512,power,18
513,attention,18
514,determined,18
515,operate,18
516,area,18
517,interested,18
518,location,18
519,did,18
520,position,18
521,house,18
522,designed,18
523,appeal,17
524,adjusted,17
525,rehabilitation,17
526,award,17
527,temperature,17
528,frequencies,17
529,radiation,17
530,sec,17
531,justice,17
532,minimum,17
533,import,17
534,question,17
535,outside,17
536,assignment,17
537,approximately,17
538,importance,17
539,person,17
540,fire,17
541,history,17
542,then,17
543,light,17
544,social,17
545,efforts,17
546,thus,17
547,review,17
548,nor,17
549,authority,17
550,capital,17
551,procurement,17
552,complete,17
553,sale,17
554,require,17
555,firms,17
556,agricultural,17
557,regional,17
558,publications,17
559,meet,17
560,essential,17
561,run,17
562,concrete,16
563,percentage,16
564,stockholders,16
565,precision,16
566,pressure,16
567,compared,16
568,women,16
569,alaska,16
570,base,16
571,published,16
572,100,16
573,aircraft,16
574,december,16
575,provision,16
576,came,16
577,september,16
578,beginning,16
579,affairs,16
580,e,16
581,political,16
582,clear,16
583,hand,16
584,prepared,16
585,promote,16
586,half,16
587,maximum,16
588,either,16
589,does,16
590,inventory,16
591,methods,16
592,request,16
593,institutions,16
594,needs,16
595,directed,16
596,gross,15
597,daytime,15
598,basement,15
599,extension,15
600,blockade,15
601,recommendation,15
602,notte,15
603,active,15
604,corporation,15
605,organization,15
606,existing,15
607,station,15
608,higher,15
609,1958,15
610,fact,15
611,itself,15
612,expenses,15
613,six,15
614,motor,15
615,think,15
616,life,15
617,man,15
618,difficult,15
619,already,15
620,view,15
621,completed,15
622,reasons,15
623,education,15
624,course,15
625,assessment,15
626,objectives,15
627,filing,15
628,effect,15
629,commodities,15
630,record,15
631,direct,15
632,city,15
633,materials,15
634,uses,15
635,objective,15
636,situation,15
637,economy,15
638,club,14
639,rupees,14
640,blocks,14
641,roof,14
642,shares,14
643,capita,14
644,filed,14
645,planned,14
646,naval,14
647,quality,14
648,ground,14
649,notes,14
650,account,14
651,committee,14
652,electronics,14
653,building,14
654,opinion,14
655,movable,14
656,whose,14
657,probably,14
658,except,14
659,automobiles,14
660,officers,14
661,vehicle,14
662,institution,14
663,considered,14
664,nine,14
665,continued,14
666,example,14
667,go,14
668,adequate,14
669,free,14
670,open,14
671,d,14
672,practices,14
673,rates,14
674,investment,14
675,source,14
676,carry,14
677,participation,14
678,reasonable,14
679,located,14
680,expansion,14
681,particularly,14
682,product,14
683,continuing,14
684,sound,14
685,interests,14
686,sources,14
687,provides,14
688,nighttime,13
689,components,13
690,wildlife,13
691,helium,13
692,agreed,13
693,army,13
694,subsection,13
695,laboratory,13
696,scientific,13
697,cause,13
698,january,13
699,delaware,13
700,money,13
701,unless,13
702,departments,13
703,understanding,13
704,wall,13
705,four,13
706,five,13
707,similar,13
708,included,13
709,too,13
710,actual,13
711,member,13
712,keep,13
713,known,13
714,almost,13
715,manufacturing,13
716,transition,13
717,next,13
718,yet,13
719,although,13
720,approach,13
721,project,13
722,might,13
723,different,13
724,sense,13
725,common,13
726,little,13
727,encourage,13
728,past,13
729,manufacturers,13
730,substantially,13
731,private,13
732,machinery,13
733,forests,13
734,contract,13
735,wide,13
736,textile,12
737,deduct,12
738,channels,12
739,104,12
740,trails,12
741,advisory,12
742,gear,12
743,trial,12
744,family,12
745,fallout,12
746,unadjusted,12
747,built,12
748,vapor,12
749,teaching,12
750,issue,12
751,engineering,12
752,low,12
753,again,12
754,independence,12
755,fully,12
756,values,12
757,hawaii,12
758,find,12
759,conference,12
760,feet,12
761,excluding,12
762,units,12
763,thereof,12
764,revenue,12
765,covered,12
766,11,12
767,far,12
768,allowed,12
769,determination,12
770,taxes,12
771,consider,12
772,become,12
773,strength,12
774,me,12
775,related,12
776,taken,12
777,involved,12
778,exceed,12
779,recently,12
780,tool,12
781,cases,12
782,results,12
783,leadership,12
784,population,12
785,serious,12
786,come,12
787,cooperation,12
788,fields,12
789,beyond,12
790,second,12
791,reports,12
792,appropriate,12
793,never,12
794,approved,12
795,establish,12
796,developing,12
797,space,12
798,lines,12
799,items,12
800,capacity,12
801,competitive,12
802,processes,12
803,developments,12
804,groups,12
805,educational,12
806,know,12
807,offices,12
808,changes,12
809,campus,11
810,chapter,11
811,reserve,11
812,growing,11
813,expected,11
814,islands,11
815,virgin,11
816,page,11
817,though,11
818,partnership,11
819,denied,11
820,attorney,11
821,granted,11
822,missile,11
823,electrical,11
824,metal,11
825,energy,11
826,surface,11
