,word,freq
1,the,4763
2,of,2420
3,and,2183
4,a,1861
5,to,1845
6,in,1552
7,is,978
8,for,860
9,it,648
10,with,624
11,on,543
12,are,536
13,that,531
14,be,527
15,as,496
16,you,479
17,or,461
18,this,441
19,have,378
20,at,353
21,by,348
22,one,312
23,can,299
24,from,296
25,your,281
26,will,269
27,was,267
28,his,258
29,which,253
30,not,246
31,an,243
32,has,236
33,they,233
34,all,222
35,but,221
36,he,200
37,more,194
38,if,181
39,do,172
40,we,166
41,when,164
42,its,160
43,i,160
44,than,160
45,there,159
46,their,157
47,new,153
48,time,146
49,may,143
50,other,142
51,these,141
52,no,134
53,first,129
54,two,128
55,them,127
56,only,126
57,many,125
58,most,124
59,so,122
60,up,119
61,been,115
62,also,110
63,what,109
64,into,108
65,some,108
66,$,106
67,were,106
68,good,104
69,who,104
70,long,103
71,about,102
72,use,101
73,used,100
74,out,97
75,such,94
76,make,93
77,any,92
78,n't,92
79,feed,91
80,work,91
81,over,89
82,then,88
83,each,88
84,water,88
85,our,88
86,well,86
87,had,86
88,would,85
89,must,84
90,much,82
91,years,81
92,because,81
93,way,80
94,through,79
95,where,77
96,made,77
97,now,76
98,per,75
99,like,75
100,should,74
101,even,74
102,just,74
103,after,74
104,how,72
105,1,69
106,right,69
107,those,69
108,clay,68
109,2,68
110,before,68
111,same,68
112,place,66
113,area,66
114,3,65
115,high,65
116,side,64
117,very,64
118,hanover,63
119,year,62
120,three,61
121,could,61
122,design,60
123,too,59
124,small,58
125,day,58
126,set,58
127,does,58
128,few,57
129,number,56
130,another,56
131,best,56
132,house,55
133,under,55
134,head,54
135,af,54
136,cut,54
137,large,53
138,every,53
139,pool,51
140,great,51
141,cost,50
142,less,50
143,people,49
144,better,49
145,him,49
146,available,48
147,down,48
148,little,48
149,bridge,47
150,site,47
151,still,47
152,today,46
153,need,46
154,back,46
155,since,46
156,here,46
157,class,45
158,off,45
159,my,45
160,four,45
161,see,45
162,top,44
163,around,44
164,areas,44
165,get,44
166,program,44
167,possible,44
168,world,43
169,between,43
170,development,43
171,old,43
172,pieces,42
173,take,42
174,piece,42
175,both,42
176,american,41
177,however,41
178,position,41
179,several,41
180,find,41
181,important,40
182,national,40
183,sure,40
184,left,40
185,home,39
186,being,39
187,level,39
188,until,39
189,while,39
190,company,38
191,car,38
192,job,38
193,days,38
194,light,38
195,life,38
196,mold,37
197,boat,37
198,own,37
199,half,37
200,size,37
201,junior,37
202,different,36
203,either,36
204,prokofieff,35
205,men,35
206,aircraft,35
207,system,35
208,done,35
209,five,35
210,management,34
211,sign,34
212,end,34
213,interest,34
214,found,34
215,cooling,34
216,keep,34
217,enough,34
218,during,34
219,feet,34
220,show,34
221,equipment,34
222,10,34
223,often,34
224,costs,33
225,plan,33
226,materials,33
227,plant,33
228,put,33
229,part,33
230,course,33
231,air,32
232,inch,32
233,sides,32
234,wide,32
235,weight,32
236,marketing,31
237,interior,31
238,vacation,31
239,shooting,31
240,drill,31
241,center,31
242,technical,31
243,50,31
244,daily,31
245,state,31
246,early,31
247,fine,31
248,frame,31
249,4,31
250,never,31
251,art,30
252,field,30
253,juniors,30
254,full,30
255,city,30
256,rather,30
257,become,30
258,come,30
259,bar,30
260,type,30
261,group,30
262,body,30
263,heat,29
264,oil,29
265,volume,29
266,name,29
267,problems,29
268,problem,29
269,1/2,29
270,present,29
271,add,29
272,she,29
273,without,29
274,5,29
275,start,29
276,again,29
277,building,29
278,individual,29
279,complete,29
280,12,29
281,last,29
282,greater,29
283,line,28
284,signs,28
285,together,28
286,standard,28
287,example,28
288,provide,28
289,point,28
290,build,28
291,once,28
292,almost,28
293,did,28
294,schools,27
295,panels,27
296,insurance,27
297,later,27
298,york,27
299,music,27
300,makes,27
301,second,27
302,color,27
303,six,27
304,using,27
305,press,27
306,working,27
307,want,27
308,drug,26
309,usually,26
310,bottom,26
311,above,26
312,family,26
313,public,26
314,country,26
315,general,26
316,means,26
317,inches,26
318,along,26
319,sales,25
320,engineer,25
321,locking,25
322,order,25
323,given,25
324,run,25
325,forces,25
326,bars,25
327,far,25
328,training,25
329,lumber,24
330,park,24
331,hot,24
332,service,24
333,recreation,24
334,help,24
335,next,24
336,model,24
337,speed,24
338,engine,24
339,war,24
340,give,24
341,green,24
342,look,24
343,needed,24
344,america,24
345,floor,23
346,visit,23
347,form,23
348,formula,23
349,action,23
350,fig,23
351,plastic,23
352,7,23
353,rate,23
354,product,23
355,dog,23
356,hand,23
357,engineering,23
358,built,23
359,range,23
360,university,23
361,states,23
362,larger,23
363,6,23
364,big,23
365,against,23
366,power,23
367,know,23
368,force,23
369,builder,23
370,man,23
371,us,23
372,ago,23
373,always,23
374,things,23
375,chemical,22
376,research,22
377,medical,22
378,wall,22
379,shown,22
380,proper,22
381,models,22
382,industry,22
383,simple,22
384,result,22
385,turn,22
386,surface,22
387,quality,22
388,might,22
389,go,22
390,glass,22
391,easy,22
392,following,22
393,others,22
394,let,22
395,unit,21
396,p,21
397,competition,21
398,whole,21
399,major,21
400,total,21
401,pressure,21
402,nuclear,21
403,change,21
404,spring,21
405,open,21
406,special,21
407,thus,21
408,push,21
409,hands,21
410,mr,21
411,plastics,20
412,milligrams,20
413,oersted,20
414,techniques,20
415,inside,20
416,market,20
417,pattern,20
418,close,20
419,subject,20
420,handling,20
