,word,freq
1,the,1028
2,and,529
3,a,525
4,of,519
5,to,466
6,in,362
7,was,284
8,i,260
9,that,258
10,it,223
11,he,201
12,you,162
13,for,158
14,had,152
15,his,145
16,as,133
17,with,133
18,on,131
19,is,125
20,at,107
21,they,104
22,but,101
23,not,89
24,said,88
25,were,84
26,n't,83
27,she,81
28,my,81
29,an,81
30,one,79
31,be,79
32,this,76
33,by,76
34,or,69
35,her,68
36,all,64
37,when,62
38,which,62
39,so,62
40,would,61
41,from,61
42,have,56
43,me,56
44,up,54
45,we,53
46,their,53
47,who,50
48,them,49
49,could,48
50,what,48
51,him,48
52,did,48
53,there,47
54,do,46
55,time,45
56,out,44
57,are,44
58,if,42
59,even,39
60,been,39
61,your,38
62,then,37
63,more,37
64,mr,36
65,like,36
66,no,36
67,about,36
68,into,35
69,such,35
70,only,33
71,our,32
72,over,31
73,other,29
74,after,29
75,things,28
76,two,28
77,now,28
78,way,28
79,has,27
80,mother,27
81,barco,26
82,arlene,25
83,very,25
84,how,25
85,little,25
86,get,25
87,than,25
88,man,25
89,just,24
90,down,24
91,made,24
92,us,23
93,can,22
94,letch,21
95,once,21
96,new,21
97,day,21
98,years,21
99,too,21
100,non,20
101,told,20
102,people,20
103,children,20
104,much,20
105,room,20
106,some,20
107,never,20
108,welch,20
109,say,19
110,any,19
111,old,19
112,asked,19
113,through,18
114,long,18
115,another,18
116,these,18
117,moreland,17
118,funny,17
119,always,17
120,most,17
121,last,17
122,home,17
123,many,17
124,called,17
125,well,17
126,off,17
127,its,16
128,being,16
129,where,16
130,something,16
131,know,16
132,because,16
133,back,16
134,general,15
135,make,15
136,comedy,15
137,house,15
138,viola,15
139,went,15
140,around,15
141,again,15
142,seemed,15
143,first,15
144,while,15
145,english,14
146,heart,14
147,think,14
148,done,14
149,world,14
150,thought,14
151,every,14
152,going,13
153,work,13
154,also,13
155,will,13
156,those,13
157,thing,13
158,head,13
159,since,13
160,put,13
161,looked,13
162,see,13
163,why,13
164,crombie,12
165,right,12
166,set,12
167,girl,12
168,found,12
169,good,12
170,case,12
171,life,12
172,own,12
173,came,12
174,five,12
175,less,12
