,word,freq
1,the,12540
2,of,7459
3,and,4287
4,in,4109
5,to,3959
6,a,3471
7,is,2412
8,that,1714
9,for,1567
10,be,1363
11,as,1290
12,by,1227
13,with,1158
14,it,1149
15,was,1116
16,are,996
17,this,993
18,on,956
19,af,916
20,or,907
21,not,843
22,which,835
23,from,793
24,an,740
25,at,739
26,were,633
27,have,551
28,one,547
29,we,527
30,but,501
31,his,454
32,has,431
33,can,423
34,these,421
35,there,414
36,been,409
37,they,408
38,more,402
39,all,393
40,he,389
41,their,368
42,will,342
43,only,336
44,may,336
45,than,336
46,if,332
47,had,331
48,would,322
49,such,316
50,when,312
51,some,311
52,its,300
53,other,294
54,no,287
55,1,284
56,two,269
57,2,253
58,first,245
59,each,244
60,so,231
61,also,227
62,into,223
63,time,223
64,who,217
65,about,217
66,any,214
67,must,203
68,used,202
69,most,198
70,i,192
71,between,192
72,system,186
73,what,180
74,should,179
75,state,178
76,number,173
77,then,172
78,out,171
79,made,168
80,many,162
81,could,159
82,even,157
83,3,157
84,over,156
85,very,154
86,same,153
87,much,151
88,them,149
89,since,149
90,both,148
91,however,147
92,up,147
93,new,147
94,through,145
95,because,143
96,those,143
97,our,142
98,do,141
99,well,140
100,social,138
101,surface,138
102,her,132
103,three,132
104,use,130
105,after,128
106,might,128
107,information,128
108,where,126
109,group,125
110,now,124
111,form,123
112,being,123
113,under,121
114,high,121
115,during,121
116,work,119
117,point,119
118,thus,118
119,upon,117
120,found,117
121,school,116
122,general,116
123,rate,116
124,data,115
125,possible,114
126,before,112
127,did,112
128,less,112
129,c,110
130,small,108
131,order,106
132,different,105
133,area,103
134,given,103
135,type,103
136,example,102
137,part,102
138,like,102
139,line,101
140,values,101
141,while,101
142,federal,100
143,does,100
144,him,98
145,4,97
146,public,96
147,great,96
148,certain,96
149,large,95
150,law,94
151,another,94
152,5,94
153,temperature,94
154,second,93
155,class,92
156,way,92
157,people,91
158,study,91
159,make,91
160,present,91
161,process,90
162,long,90
163,rather,90
164,years,90
165,case,90
166,against,89
167,per,88
168,own,87
169,results,87
170,children,86
171,here,86
172,within,86
173,areas,85
174,few,85
175,although,85
176,states,84
177,fact,84
178,reaction,84
179,still,84
180,level,84
181,problem,83
182,various,83
183,interest,82
184,important,82
185,cost,81
186,costs,81
187,stress,81
188,function,81
189,stage,80
190,conditions,80
191,low,80
192,man,79
193,us,79
194,value,78
195,policy,77
196,individual,77
197,lines,77
198,major,77
199,end,77
200,section,77
201,anode,77
202,systems,76
203,see,76
204,therefore,76
205,t,75
206,increase,75
207,0,75
208,how,74
209,life,74
210,following,74
211,government,73
212,itself,73
213,evidence,73
214,free,73
215,several,73
216,material,73
217,available,73
218,court,72
219,index,72
220,world,72
221,analysis,72
222,local,72
223,child,71
224,until,71
225,without,71
226,set,71
227,cells,70
228,either,70
229,space,70
230,though,70
231,often,70
232,industry,69
233,course,69
234,seems,69
235,education,68
236,she,68
237,period,68
238,just,68
239,required,68
240,above,68
241,pressure,68
242,sense,67
243,effect,67
244,activity,66
245,place,66
246,words,66
247,total,66
248,figure,66
249,later,65
250,plane,65
251,force,65
252,normal,65
253,means,65
254,power,65
255,population,64
256,light,64
257,single,64
258,volume,64
259,hand,64
260,water,64
261,shown,64
262,common,63
263,little,63
264,theory,63
265,change,63
266,aj,63
267,program,62
268,say,62
269,least,62
270,problems,62
271,cell,62
272,similar,62
273,lower,62
274,methods,62
275,table,62
276,basis,62
277,radiation,62
278,platform,61
279,always,61
280,age,61
281,cases,61
282,forms,60
283,too,60
284,every,60
285,hands,60
286,method,60
287,word,59
288,points,59
289,further,59
290,action,59
291,among,59
292,range,59
293,become,59
294,question,58
295,6,58
296,members,57
297,sections,57
298,day,57
299,quite,57
300,types,57
301,four,57
302,result,57
303,list,56
304,society,56
305,image,56
306,development,56
307,far,56
308,described,56
309,distribution,56
310,whole,56
311,length,56
312,give,56
313,text,55
314,dictionary,55
315,training,55
316,experience,55
317,specific,55
318,show,55
319,rates,55
320,enough,55
321,wage,54
322,yet,54
323,basic,54
324,necessary,54
325,probably,54
326,national,54
327,test,54
328,short,54
329,again,54
330,likely,54
331,greater,54
332,price,53
333,let,53
334,growth,53
335,usually,53
336,early,53
337,changes,53
338,schools,52
339,control,52
340,seen,52
341,increased,52
342,field,52
343,amount,52
344,times,52
345,business,51
346,brown,51
347,five,51
348,developed,51
349,p,51
350,difference,51
351,10,51
352,men,50
353,elements,50
354,act,50
355,clear,50
356,find,50
357,year,50
358,last,50
359,war,49
360,subjects,49
361,provide,49
362,behavior,49
363,third,49
364,effects,49
365,energy,49
366,obtained,49
367,known,49
368,hardy,48
369,patient,48
370,particular,48
371,come,48
372,appear,48
373,simple,48
374,showed,48
375,procedure,48
376,taken,48
377,good,48
378,off,48
379,larger,48
380,sample,48
381,poems,47
382,service,47
383,support,47
384,left,47
385,defense,47
386,groups,47
387,right,47
388,whether,47
389,toward,47
390,addition,47
391,size,47
392,direction,47
393,expected,47
394,treatment,46
395,f,46
396,others,46
397,related,46
398,actual,46
399,direct,46
400,q,46
401,7,46
402,differences,46
403,due,46
404,higher,46
405,1958,46
406,elections,45
407,company,45
408,nothing,45
409,you,45
410,trial,45
411,next,45
412,matter,45
413,statement,45
414,mean,45
415,past,45
416,paper,45
417,latter,45
418,mass,45
419,8,45
420,b,45
421,me,44
422,seem,44
423,inches,44
424,best,44
425,terms,44
426,subject,44
427,became,44
428,gas,44
429,philosophy,43
430,religion,43
431,meaning,43
432,artery,43
433,need,43
