,word,freq
1,the,6977
2,of,3706
3,and,2841
4,to,2588
5,a,2428
6,in,2204
7,is,1019
8,that,1018
9,was,967
10,for,941
11,it,768
12,as,760
13,with,715
14,he,694
15,on,638
16,by,595
17,be,571
18,his,526
19,or,507
20,at,489
21,from,489
22,are,485
23,this,482
24,had,463
25,not,444
26,they,404
27,have,398
28,one,396
29,an,396
30,but,391
31,were,351
32,her,315
33,she,313
34,their,310
35,i,285
36,which,277
37,who,262
38,you,252
39,all,251
40,when,250
41,been,235
42,there,233
43,more,231
44,has,227
45,time,208
46,if,208
47,its,198
48,no,193
49,can,193
50,would,193
51,so,189
52,than,189
53,them,183
54,some,183
55,out,181
56,we,180
57,will,178
58,up,176
59,may,170
60,him,167
61,about,166
62,what,164
63,into,163
64,new,163
65,first,163
66,most,161
67,these,157
68,only,148
69,could,148
70,do,146
71,other,146
72,two,142
73,people,139
74,many,137
75,over,126
76,then,125
77,even,123
78,after,121
79,any,120
80,such,116
81,school,115
82,made,115
83,where,112
84,years,110
85,did,107
86,man,105
87,before,104
88,now,103
89,world,101
90,another,100
91,also,99
92,through,97
93,must,96
94,our,96
95,like,96
96,good,96
97,n't,96
98,used,95
99,well,93
100,still,92
101,few,91
102,said,89
103,work,88
104,men,88
105,american,88
106,way,87
107,great,85
108,long,84
109,life,83
110,how,82
111,little,82
112,too,80
113,own,80
114,those,79
115,both,79
116,should,78
117,much,77
118,high,77
119,each,76
120,college,74
121,old,74
122,down,73
123,three,73
124,make,73
125,day,72
126,during,71
127,however,71
128,because,70
129,place,70
130,once,69
131,see,69
132,very,69
133,often,69
134,use,69
135,called,69
136,church,68
137,fact,68
138,between,68
139,house,67
140,means,66
141,economic,66
142,just,66
143,while,64
144,course,64
145,under,63
146,always,63
147,never,63
148,year,62
149,state,62
150,get,61
151,home,61
152,far,61
153,part,61
154,back,60
155,white,60
156,off,59
157,come,59
158,your,59
159,take,59
160,against,58
161,my,58
162,early,58
163,same,58
164,me,58
165,came,57
166,days,57
167,here,57
168,cattle,56
169,since,56
170,being,55
171,city,55
172,family,54
173,go,54
174,children,53
175,north,53
176,upon,53
177,states,53
178,wife,53
179,half,52
180,without,52
181,farm,51
182,found,51
183,trade,51
184,among,51
185,country,51
186,general,51
187,though,51
188,wine,50
189,until,50
190,case,50
191,company,50
192,know,50
193,might,50
194,does,50
195,river,49
196,hudson,49
197,united,48
198,teeth,48
199,end,48
200,almost,48
201,$,47
202,red,47
203,water,47
204,mr,47
205,better,46
206,every,46
207,become,46
208,five,46
209,south,45
210,war,45
211,important,45
212,right,45
213,power,44
214,john,44
215,dr,44
216,four,44
217,social,43
218,around,43
219,again,43
220,became,43
221,along,42
222,find,42
223,side,42
224,feet,42
225,told,42
226,went,42
227,away,42
228,less,42
229,middle,42
230,money,41
231,today,41
232,small,41
233,jewish,40
234,mrs,40
235,ever,40
236,best,40
237,left,40
238,himself,40
