,word,freq
1,the,2818
2,to,1295
3,and,1283
4,a,1200
5,he,1115
6,of,914
7,was,860
8,i,734
9,it,722
10,in,697
11,his,565
12,that,559
13,had,547
14,you,478
15,on,442
16,she,385
17,for,378
18,n't,375
19,with,336
20,at,331
21,him,330
22,her,311
23,as,303
24,but,266
25,there,251
26,be,234
27,have,229
28,would,221
29,up,220
30,out,220
31,not,219
32,said,204
33,they,197
34,no,190
35,do,185
36,from,181
37,could,179
38,one,178
39,if,174
40,this,172
41,all,165
42,were,160
43,back,158
44,what,154
45,when,154
46,been,152
47,into,143
48,like,142
49,or,139
50,then,136
51,we,136
52,about,135
53,is,134
54,an,133
55,did,132
56,so,129
57,them,120
58,by,118
59,my,117
60,me,116
61,man,114
62,now,114
63,over,109
64,who,102
65,get,99
66,two,97
67,just,95
68,know,86
69,down,85
70,time,83
71,got,83
72,go,83
73,off,82
74,some,82
75,door,81
76,here,81
77,more,80
78,see,79
79,went,77
80,too,77
81,around,76
82,right,76
83,where,75
84,still,74
85,before,72
86,car,71
87,your,70
88,any,69
89,even,67
90,going,67
91,room,66
92,knew,65
93,way,65
94,mr,63
95,come,63
96,than,63
97,again,62
98,which,61
99,old,61
100,made,60
101,left,60
102,much,59
103,through,58
104,something,58
105,hand,57
106,might,57
107,little,57
108,after,57
109,only,56
110,are,56
111,think,55
112,well,54
113,thought,54
114,want,53
115,take,53
116,told,53
117,himself,52
118,looked,52
119,other,52
120,turned,52
121,why,52
122,office,51
123,came,51
124,away,50
125,their,50
126,make,50
127,put,49
128,how,49
129,good,49
130,eyes,49
131,took,48
132,face,48
133,mrs,46
134,road,46
135,say,46
136,day,45
137,can,45
138,asked,45
139,sure,45
140,gun,44
141,another,44
142,head,43
143,found,43
144,first,43
145,same,43
146,long,42
147,never,42
148,while,42
149,anything,42
150,look,41
151,men,41
152,house,41
153,street,41
154,stood,41
155,because,41
156,tell,41
157,toward,40
158,felt,40
159,side,39
160,roberts,38
161,moment,38
162,let,38
163,very,38
164,enough,38
165,nothing,37
166,call,37
167,police,37
168,saw,37
169,across,36
170,woman,36
171,front,36
172,three,36
173,once,36
174,behind,35
175,big,35
176,poet,34
177,night,34
178,last,34
179,open,34
180,money,34
181,people,34
182,andy,33
183,later,33
184,mind,33
185,work,33
186,place,33
187,wanted,33
188,seemed,33
189,us,33
190,next,32
191,five,32
192,must,32
193,light,31
194,against,31
195,find,31
196,thing,31
197,walked,31
198,until,31
199,window,31
200,alec,30
201,almost,30
202,new,30
203,should,30
204,without,30
205,also,30
206,nick,29
207,stanley,29
208,shayne,29
209,small,29
210,better,29
211,under,29
212,home,29
213,gone,29
214,those,29
215,both,27
216,station,27
217,leave,27
218,sound,27
219,heard,27
220,ca,27
221,always,27
222,felix,26
223,tim,26
224,floor,26
225,remember,26
226,trouble,26
227,between,26
228,yet,26
229,looking,26
230,minutes,26
231,course,26
232,years,26
233,things,26
234,own,26
