,word,freq
1,the,6390
2,of,2864
3,and,2190
4,to,2154
5,a,2138
6,in,2031
7,for,972
8,that,843
9,is,740
10,was,720
11,on,693
12,he,658
13,at,637
14,with,567
15,be,526
16,as,517
17,by,507
18,it,505
19,his,428
20,said,406
21,will,390
22,from,353
23,are,334
24,this,320
25,an,311
26,has,302
27,but,283
28,had,283
29,they,278
30,not,272
31,who,268
32,have,265
33,mrs,256
34,were,253
35,would,249
36,which,245
37,new,242
38,their,231
39,one,225
40,i,218
41,$,217
42,been,212
43,all,194
44,there,191
45,two,191
46,more,184
47,year,181
48,last,179
49,its,178
50,or,174
51,up,172
52,mr,170
53,when,169
54,out,168
55,other,165
56,president,163
57,first,163
58,state,161
59,after,151
60,about,147
61,than,139
62,home,138
63,we,132
64,also,129
65,no,129
66,over,125
67,her,121
68,three,119
69,time,115
70,into,115
71,some,113
72,only,111
73,can,109
74,made,107
75,years,104
76,if,103
77,week,102
78,house,100
79,city,100
80,what,96
81,them,96
82,any,94
83,n't,93
84,school,93
85,him,93
86,before,93
87,under,93
88,may,93
89,could,91
90,four,90
91,so,88
92,now,87
93,you,83
94,most,83
95,do,82
96,off,80
97,she,79
98,government,79
99,day,79
100,1,79
101,did,79
102,kennedy,78
103,against,78
104,man,78
105,committee,77
106,high,75
107,members,75
108,university,74
109,each,74
110,back,74
111,such,74
112,national,73
113,here,73
114,then,73
115,both,73
116,american,72
117,many,72
118,get,71
119,bill,71
120,tax,70
121,these,70
122,board,68
123,work,68
124,night,68
125,since,67
126,administration,67
127,those,66
128,john,66
129,program,66
130,county,66
131,old,64
132,states,63
133,should,63
134,even,62
135,per,62
136,meeting,62
137,today,61
138,club,60
139,during,60
140,our,60
141,where,59
142,public,59
143,game,58
144,company,58
145,united,58
146,white,58
147,court,58
148,world,57
149,service,57
150,yesterday,57
151,people,57
152,down,57
153,being,57
154,monday,57
155,through,57
156,long,56
157,family,55
158,because,55
159,while,55
160,sunday,55
161,york,54
162,children,54
163,mantle,53
164,without,53
165,dallas,53
166,told,53
167,sales,53
168,must,53
169,set,53
170,miss,52
171,much,52
172,good,52
173,cent,52
174,federal,52
175,well,52
176,car,51
177,men,51
178,system,51
179,five,51
180,texas,51
181,2,51
182,take,51
183,like,50
184,washington,50
185,just,49
186,however,49
187,palmer,48
188,way,48
189,between,48
190,season,47
191,another,47
192,education,47
193,jr,47
194,took,47
195,jury,47
196,go,46
197,run,46
198,plan,46
199,million,46
200,general,46
201,law,46
202,second,45
203,business,45
204,league,45
205,local,45
206,got,45
207,10,45
208,3,45
209,player,44
210,group,44
211,1961,44
212,make,44
213,party,44
214,tuesday,44
215,chairman,44
216,months,43
217,how,43
218,st,43
219,big,43
220,my,43
221,special,43
222,left,43
223,5,43
224,held,43
225,election,43
226,friday,43
227,play,42
228,1960,42
229,dr,42
230,hit,41
231,center,41
232,came,41
233,area,41
234,young,41
235,own,41
236,democratic,41
237,see,41
238,hospital,41
239,next,41
240,maris,40
241,ball,40
242,case,40
243,called,40
244,days,40
245,march,40
246,expected,40
247,council,40
248,police,40
249,month,39
250,early,39
251,foreign,39
252,third,39
253,still,39
254,several,39
255,asked,39
256,problem,39
257,among,39
258,judge,39
259,place,39
260,library,38
261,laos,38
262,never,38
263,college,38
264,schools,38
265,little,38
266,does,38
267,given,38
268,4,38
269,might,38
270,same,37
271,international,37
272,union,37
273,north,37
274,along,37
275,secretary,37
276,later,37
277,went,37
278,too,37
279,session,37
280,james,37
281,announced,37
282,far,36
283,ago,36
284,record,36
285,team,36
286,senate,36
287,top,36
288,wife,36
289,william,36
290,member,35
291,labor,35
292,country,35
293,church,35
294,saturday,35
295,past,35
296,aid,35
297,very,35
298,association,35
299,end,35
300,began,34
301,anti,34
302,open,34
303,show,34
304,field,34
305,firm,34
306,right,34
307,ever,34
308,give,34
309,director,34
310,department,34
311,total,33
312,great,33
313,until,33
314,communist,33
315,eight,33
316,annual,33
317,pay,33
318,added,33
319,fire,33
320,major,33
321,interest,33
322,received,33
323,equipment,32
324,come,32
325,again,32
326,part,32
327,use,32
328,district,32
329,laws,32
330,number,32
331,congo,31
332,industry,31
333,me,31
334,central,31
335,military,31
336,20,31
337,need,31
338,help,31
339,issue,31
340,present,31
341,money,31
342,result,31
343,best,31
344,baseball,30
345,runs,30
346,street,30
347,women,30
348,war,30
349,around,30
350,few,30
351,full,30
352,7,30
353,six,30
354,taken,30
355,8,30
356,found,30
357,late,29
358,start,29
359,hotel,29
360,know,29
361,soviet,29
362,small,29
363,12,29
364,series,29
365,better,29
366,6,29
367,bonds,29
368,together,29
369,funds,29
370,possible,29
371,khrushchev,28
372,countries,28
373,leader,28
374,republican,28
375,higher,28
376,east,28
377,meet,28
378,staff,28
379,reported,28
380,former,28
381,put,28
382,every,28
383,road,28
384,says,28
385,vote,28
386,robert,28
387,son,28
388,office,28
389,political,28
390,stock,27
391,think,27
392,richard,27
393,conference,27
394,town,27
395,west,27
396,enough,27
397,report,27
398,paid,27
399,making,27
400,act,27
401,georgia,27
402,market,26
403,point,26
404,half,26
405,weeks,26
406,needed,26
407,project,26
408,fund,26
409,earlier,26
410,head,26
411,daughter,26
412,future,26
413,mayor,26
414,chicago,25
415,yankees,25
416,portland,25
417,away,25
418,single,25
419,course,25
420,minutes,25
421,nations,25
422,used,25
423,army,25
424,large,25
425,students,25
426,including,25
427,almost,25
428,persons,25
429,18,25
430,increase,25
431,attorney,25
432,fact,25
433,won,25
434,collection,24
435,british,24
436,games,24
437,control,24
438,organization,24
439,room,24
440,able,24
441,community,24
442,junior,24
443,decided,24
444,hughes,24
445,real,24
446,support,24
447,done,24
448,100,24
449,governor,24
450,provide,24
451,catholic,23
452,yards,23
453,farm,23
454,dinner,23
455,smith,23
456,trust,23
457,15,23
458,leaders,23
459,victory,23
460,air,23
461,line,23
462,policy,23
463,11,23
464,statement,23
465,say,23
466,defense,23
467,hours,23
468,effort,23
469,final,23
470,jones,23
471,george,23
472,toward,23
473,become,23
474,according,23
475,wednesday,23
476,13,23
477,upon,23
478,libraries,22
479,bob,22
480,manager,22
481,whose,22
482,private,22
483,income,22
484,traffic,22
485,hand,22
486,headquarters,22
487,1959,22
488,efforts,22
489,once,22
490,gave,22
491,hour,22
492,going,22
493,nine,22
494,25,22
495,social,22
496,matter,22
497,tomorrow,22
498,frank,22
499,although,22
500,san,22
501,question,22
502,charles,22
503,order,22
504,action,22
505,plans,22
506,30,22
507,services,22
508,legislature,22
509,golf,21
510,coach,21
511,avenue,21
512,round,21
513,premier,21
514,thomas,21
515,green,21
516,life,21
517,times,21
518,period,21
519,south,21
520,within,21
521,individual,21
522,student,21
523,nation,21
524,billion,21
525,building,21
526,rather,21
527,trial,21
528,football,21
529,boy,21
530,22,21
531,april,21
532,chief,21
533,seven,21
534,thursday,21
535,himself,21
536,congress,21
537,resolution,21
538,relations,21
539,face,21
540,brought,21
541,race,21
542,belgians,20
543,machinery,20
544,mother,20
545,playing,20
546,front,20
547,played,20
548,look,20
549,started,20
550,drive,20
551,rule,20
552,care,20
553,involved,20
554,others,20
555,island,20
556,history,20
557,attack,20
558,kind,20
559,fine,20
560,probably,20
561,rules,20
562,1958,20
563,wanted,20
564,force,20
565,blue,20
566,became,20
567,term,20
568,recent,20
569,grand,20
570,shares,19
571,kowalski,19
572,music,19
573,award,19
574,book,19
575,society,19
576,officers,19
577,power,19
578,stand,19
579,cut,19
580,14,19
581,9,19
582,themselves,19
583,problems,19
584,development,19
585,return,19
586,coming,19
587,led,19
588,certain,19
589,price,19
590,research,19
591,afternoon,19
