,word,freq
1,the,2375
2,of,1342
3,and,1163
4,a,932
5,to,731
6,in,731
7,is,516
8,that,352
9,for,300
10,with,284
11,it,279
12,as,276
13,he,241
14,his,231
15,was,228
16,by,209
17,on,199
18,are,196
19,at,196
20,has,195
21,this,184
22,an,171
23,but,170
24,not,163
25,be,155
26,all,149
27,from,143
28,one,136
29,who,131
30,have,125
31,which,124
32,more,107
33,mr,105
34,or,100
35,they,99
36,its,96
37,there,96
38,new,91
39,her,90
40,were,89
41,than,80
42,so,77
43,about,75
44,music,75
45,had,71
46,been,70
47,first,70
48,no,70
49,only,69
50,their,68
51,will,61
52,up,61
53,when,60
54,out,59
55,well,59
56,man,59
57,some,59
58,other,58
59,what,58
60,most,57
61,she,56
62,i,52
63,can,52
64,would,49
65,if,48
66,may,47
67,good,45
68,them,45
69,do,45
70,time,45
71,we,45
72,into,45
73,american,44
74,two,44
75,program,43
76,too,43
77,many,43
78,great,43
79,like,42
80,jazz,40
81,could,40
82,him,40
83,night,40
84,last,39
85,you,39
86,does,39
87,life,38
88,musical,37
89,much,37
90,way,37
91,old,36
92,such,36
93,after,36
94,just,36
95,work,36
96,made,36
97,little,35
98,these,35
99,world,35
100,also,35
101,even,34
102,own,34
103,years,33
104,how,33
105,negro,33
106,audience,32
107,then,32
108,n't,32
109,where,32
110,york,31
111,being,31
112,long,31
113,make,30
114,very,30
115,fine,30
116,any,30
117,himself,30
118,miss,29
119,through,29
120,over,29
121,war,28
122,here,28
123,did,28
124,quite,27
125,both,27
126,now,27
127,book,26
128,each,26
129,show,26
130,might,26
131,dance,26
132,before,26
133,those,26
134,performance,26
135,while,25
136,people,25
137,big,25
138,season,25
139,keys,24
140,stage,24
141,course,24
142,style,24
143,sept,23
144,dr,23
145,still,23
146,place,23
147,year,22
148,never,22
149,every,22
150,often,22
151,almost,22
152,sense,22
153,off,22
154,london,22
155,high,22
156,playing,22
157,orchestra,22
158,west,21
159,says,21
160,between,21
161,though,21
162,however,21
163,called,21
164,us,21
165,best,21
166,white,21
167,three,20
168,part,20
169,seems,20
170,half,20
171,get,20
172,really,20
173,singing,20
174,under,19
175,given,19
176,songs,19
177,must,19
178,evening,19
179,since,19
180,perhaps,19
181,back,19
182,again,19
183,better,19
184,opera,19
185,song,19
186,sloan,18
187,french,18
188,radio,18
189,company,18
190,because,18
191,although,18
192,come,18
193,john,18
194,least,18
195,century,18
196,de,18
197,say,18
198,should,18
199,played,18
200,art,17
201,away,17
202,less,17
203,young,17
204,same,17
205,few,17
206,strong,17
207,color,17
208,whose,17
209,number,17
210,set,17
211,once,17
212,word,17
213,gave,17
214,play,17
215,something,17
216,hall,17
217,cholesterol,16
218,far,16
219,newport,16
220,death,16
221,day,16
222,sound,16
223,cast,16
224,always,16
225,matter,16
226,human,16
227,comedie,16
228,among,16
229,see,16
230,another,16
231,heart,16
232,universe,15
233,love,15
234,city,15
235,food,15
236,british,15
237,men,15
238,works,15
239,others,15
240,role,15
241,second,15
242,special,15
243,without,15
244,character,15
245,film,15
