,word,freq
1,the,2990
2,and,1918
3,to,1522
4,a,1395
5,of,1204
6,i,1141
7,he,1114
8,was,1051
9,in,935
10,she,777
11,it,764
12,had,725
13,her,680
14,that,652
15,you,627
16,his,606
17,n't,482
18,with,473
19,for,441
20,at,431
21,but,387
22,on,376
23,him,340
24,said,331
25,as,302
26,be,293
27,would,281
28,not,280
29,have,277
30,they,251
31,there,248
32,all,244
33,could,242
34,did,231
35,out,225
36,were,223
37,up,221
38,from,209
39,do,208
40,me,194
41,so,193
42,like,192
43,one,192
44,this,187
45,what,182
46,is,181
47,been,179
48,my,177
49,if,170
50,about,165
51,or,165
52,no,164
53,when,163
54,an,161
55,then,143
56,them,143
57,we,140
58,into,137
59,back,129
60,down,128
61,just,128
62,by,119
63,their,119
64,your,116
65,only,114
66,now,112
67,man,111
68,thought,106
69,which,106
70,little,105
71,who,99
72,too,96
73,time,95
74,get,95
75,old,93
76,got,91
77,before,91
78,more,89
79,over,89
80,know,88
81,because,88
82,never,87
83,even,86
84,can,85
85,way,84
86,are,83
87,go,82
88,went,82
89,how,80
90,come,80
91,well,79
92,see,78
93,eyes,76
94,good,76
95,came,75
96,here,74
97,some,73
98,looked,72
99,other,72
100,much,70
101,long,70
102,its,70
103,after,70
104,day,69
105,knew,69
106,any,68
107,something,68
108,around,68
109,take,66
110,than,66
111,felt,64
112,away,64
113,own,63
114,made,63
115,still,63
116,off,62
117,going,62
118,look,62
119,let,62
120,why,62
121,say,61
122,through,58
123,two,58
124,where,58
125,those,58
126,night,58
127,think,57
128,again,56
129,nothing,56
130,right,55
131,mother,55
132,life,54
133,while,53
134,himself,53
135,first,53
136,always,53
137,john,52
138,make,52
139,people,52
140,thing,52
141,being,51
142,put,51
143,young,51
144,seemed,51
145,very,51
146,might,51
147,left,50
148,will,49
149,must,48
150,turned,48
151,home,48
152,room,48
153,took,48
154,told,47
155,boy,47
156,next,47
157,saw,47
158,once,47
159,phil,46
160,new,46
161,head,46
162,asked,46
163,last,45
164,place,45
165,wanted,44
166,face,44
167,anything,44
168,door,44
169,should,43
170,against,43
171,us,42
172,big,41
173,tell,41
174,morning,40
175,enough,40
176,herself,40
177,looking,40
178,mrs,39
179,ever,39
180,really,39
181,house,38
182,woman,38
183,want,37
184,stood,37
185,few,37
186,son,37
187,cold,36
188,better,36
189,feel,36
190,love,36
191,course,36
192,black,36
193,years,35
194,yes,35
195,water,35
196,kind,35
197,small,35
198,hand,35
199,until,34
200,find,34
201,sure,34
202,linda,33
203,along,33
204,days,33
205,mr,33
206,great,33
207,work,33
208,white,33
209,voice,33
210,everything,32
211,father,32
212,same,32
213,sat,32
214,gave,32
215,without,32
216,mike,31
217,hands,31
218,most,31
219,god,31
220,things,31
221,heard,31
222,hair,31
223,though,31
224,men,31
225,these,31
226,called,31
227,lucy,30
228,has,30
229,ca,30
230,baby,30
231,both,30
232,yet,30
233,miss,29
234,found,29
235,another,29
236,done,29
237,every,29
238,give,29
239,sun,29
240,else,29
241,church,29
242,myra,28
243,spencer,28
244,moment,28
245,many,28
246,our,28
247,keep,28
248,suddenly,28
249,girl,28
250,cady,27
251,maybe,27
252,job,27
253,myself,27
254,walked,27
255,together,27
256,oh,27
257,johnnie,26
258,wally,26
259,mind,26
260,talk,26
261,pale,26
262,gone,26
263,three,26
264,world,26
265,clothes,26
266,kept,26
267,women,26
268,each,26
269,feeling,25
270,beautiful,25
271,leave,25
272,family,25
273,stopped,25
274,maggie,25
275,does,25
276,early,25
277,freddy,24
278,deegan,24
279,theresa,24
280,bobbie,24
281,alone,24
282,help,24
283,wrong,24
284,field,24
285,call,24
286,poor,24
287,end,24
288,thinking,24
289,money,24
290,anne,24
291,such,24
292,having,24
293,high,24
294,light,24
295,half,24
296,perhaps,24
297,eddie,23
298,cousin,23
299,george,23
300,slowly,23
301,idea,23
302,whole,23
303,bed,23
304,quite,23
305,trying,23
306,sound,23
307,began,23
308,toward,23
309,smiled,23
310,wife,23
311,martin,22
312,susan,22
313,car,22
314,alexander,22
315,dark,22
316,william,22
317,between,22
318,wish,22
319,tried,22
320,stay,22
321,started,22
322,stop,22
323,since,22
324,snake,21
325,cathy,21
326,weeks,21
327,business,21
328,used,21
329,feet,21
330,already,21
331,nice,21
332,child,21
333,blue,21
334,children,21
335,watching,21
336,nobody,21
337,part,21
338,name,21
339,richard,20
340,nadine,20
341,sam,20
342,owen,20
343,air,20
344,across,20
345,henrietta,20
346,open,20
347,am,20
348,sorry,20
349,doing,20
350,sitting,20
351,body,20
352,table,20
353,taking,20
354,seen,20
355,pretty,20
356,happened,20
357,above,20
358,dolores,19
359,ball,19
360,bright,19
361,letter,19
362,college,19
363,later,19
364,week,19
365,probably,19
366,brought,19
367,fine,19
368,almost,19
369,full,19
370,red,19
371,set,19
372,turn,19
373,lived,19
374,coffee,19
375,care,19
376,street,19
377,willis,18
378,shorts,18
379,tractor,18
380,real,18
381,standing,18
382,heart,18
383,wo,18
384,school,18
385,saying,18
386,doctor,18
387,rest,18
388,pink,18
389,hear,18
390,matter,18
391,dead,18
392,given,18
393,five,17
394,captain,17
395,clear,17
396,breakfast,17
397,true,17
398,beside,17
399,couple,17
400,word,17
401,rather,17
402,talking,17
403,getting,17
404,under,17
405,need,17
406,outside,17
407,run,17
408,hard,17
409,lot,17
410,side,17
411,upon,17
412,town,17
413,making,17
414,front,17
415,six,17
416,hanford,16
417,anniston,16
418,edythe,16
419,jim,16
420,waited,16
421,rachel,16
422,four,16
423,chance,16
424,girls,16
425,sometimes,16
426,rock,16
427,held,16
428,year,16
429,hours,16
430,loved,16
431,everybody,16
432,picked,16
433,close,16
434,also,16
435,waiting,16
436,second,16
437,remember,16
438,carla,15
