,word,freq
1,the,723
2,of,329
3,to,307
4,and,294
5,a,236
6,was,204
7,he,192
8,it,164
9,in,164
10,had,143
11,that,136
12,i,120
13,you,104
14,his,102
15,for,100
16,not,96
17,but,90
18,on,90
19,her,82
20,would,80
21,be,80
22,with,74
23,as,72
24,they,71
25,all,66
26,no,63
27,this,61
28,have,61
29,were,60
30,she,59
31,him,58
32,could,57
33,is,57
34,at,55
35,n't,51
36,there,51
37,we,48
38,them,47
39,from,46
40,said,45
41,what,44
42,did,43
43,their,41
44,one,41
45,do,40
46,been,40
47,by,38
48,out,37
49,helva,34
50,time,34
51,up,34
52,an,33
53,which,33
54,my,32
55,man,31
56,or,31
57,if,29
58,mercer,28
59,when,28
60,ekstrohm,27
61,are,27
62,now,27
63,so,26
64,long,26
65,know,25
66,like,25
67,hal,24
68,people,24
69,other,23
70,b'dikkat,22
71,into,22
72,jack,21
73,half,21
74,ship,21
75,me,21
76,more,21
77,some,20
78,back,20
79,only,20
80,mike,20
81,any,19
82,about,18
83,your,18
84,first,18
85,then,18
86,will,17
87,can,17
88,make,17
89,well,17
90,own,17
91,earth,17
92,himself,17
93,years,16
94,through,16
95,never,16
96,how,16
97,over,16
98,head,15
99,these,15
100,course,15
101,good,15
102,take,15
103,see,15
104,where,15
105,mind,15
106,made,15
107,ryan,14
108,its,14
109,after,14
110,way,14
111,too,14
112,light,14
113,much,14
114,without,14
115,though,13
116,nothing,13
117,than,13
118,get,13
119,who,13
120,little,13
121,before,13
122,felt,13
123,each,13
124,going,13
125,just,13
126,lady,12
127,shell,12
128,hesperus,12
129,might,12
130,such,12
131,even,12
132,very,12
133,still,12
134,being,12
135,almost,12
136,again,12
137,thought,12
138,most,12
139,jubal,12
140,last,12
141,few,12
142,many,12
143,gabriel,11
144,two,11
145,here,11
146,got,11
147,yet,11
148,asked,11
149,night,11
150,among,11
151,turned,11
152,between,11
153,down,11
154,knew,11
155,central,10
156,angels,10
157,bodies,10
158,because,10
159,happy,10
160,off,10
161,angel,10
162,work,10
163,planet,10
164,went,10
165,ever,10
166,brain,9
167,found,9
168,tell,9
169,eyes,9
170,thing,9
171,less,9
172,voice,9
173,has,9
174,lay,9
175,enough,9
176,new,9
177,spoke,9
178,think,9
179,face,9
180,mars,9
181,captain,8
182,ground,8
183,nogol,8
184,place,8
185,power,8
186,kind,8
187,lost,8
188,longer,8
189,around,8
190,must,8
191,something,8
192,short,8
193,day,8
194,while,8
195,help,8
196,once,8
197,came,8
198,outside,8
199,look,8
200,oh,8
201,saw,8
202,words,8
203,why,8
204,digby,8
205,pain,7
206,da,7
207,maybe,7
208,skiff,7
209,siddo,7
210,space,7
211,give,7
212,hands,7
213,problem,7
214,gapt,7
215,smiled,7
216,macneff,7
217,live,7
218,however,7
219,dead,7
220,away,7
221,same,7
222,ca,7
223,part,7
224,called,7
225,am,7
226,until,7
227,yes,7
228,those,7
229,another,7
230,side,7
231,looked,7
232,read,7
233,world,7
234,took,7
235,water,7
236,come,7
237,growing,7
238,body,6
239,bunk,6
240,big,6
241,ask,6
242,meant,6
243,small,6
244,anything,6
245,nursery,6
246,treaty,6
247,us,6
248,instead,6
249,earthmen,6
250,matter,6
251,personnel,6
252,months,6
253,our,6
254,perhaps,6
255,expedition,6
256,die,6
257,does,6
258,believe,6
259,already,6
260,several,6
261,since,6
262,gone,6
263,want,6
264,tried,6
265,later,6
266,right,6
267,lonely,6
268,beautiful,6
269,old,6
270,mean,6
271,toward,6
272,sight,6
273,warm,6
274,sure,6
275,ago,6
276,need,6
277,known,6
278,concept,6
279,word,6
280,taught,6
281,three,6
282,brother,6
283,let,6
284,closer,6
285,dromozoa,5
286,happiness,5
287,drug,5
288,nice,5
289,sound,5
290,curious,5
291,scout,5
292,shells,5
293,control,5
294,happen,5
295,feet,5
296,fusion,5
297,strange,5
298,wrong,5
299,center,5
300,sense,5
301,sleep,5
302,needed,5
303,frozen,5
304,mary,5
305,speech,5
306,used,5
307,given,5
308,therefore,5
309,above,5
310,men,5
311,under,5
312,suspicion,5
313,field,5
314,fact,5
315,system,5
316,go,5
317,simply,5
318,secret,5
319,america,5
320,hand,5
321,discovered,5
322,human,5
323,turn,5
324,always,5
325,others,5
326,grow,5
327,okay,5
328,life,5
329,real,5
330,agreed,5
331,left,5
332,normal,5
333,stood,5
334,forced,5
335,during,5
336,god,5
337,foster,5
338,grok,5
339,self,5
