,word,freq
1,the,70003
2,of,36473
3,and,28916
4,to,26238
5,a,23251
6,in,21414
7,that,10789
8,is,10206
9,was,9969
10,he,9801
11,for,9499
12,it,9094
13,with,7290
14,as,7255
15,his,6999
16,on,6765
17,be,6388
18,i,5856
19,at,5377
20,by,5345
21,had,5232
22,this,5145
23,not,4878
24,are,4430
25,but,4382
26,from,4371
27,or,4209
28,have,3980
29,they,3763
30,an,3749
31,you,3632
32,which,3561
33,one,3499
34,were,3307
35,all,3095
36,her,3036
37,she,2986
38,would,2848
39,we,2845
40,there,2844
41,their,2670
42,him,2619
43,been,2472
44,has,2457
45,when,2331
46,who,2280
47,will,2251
48,more,2224
49,no,2219
50,if,2198
51,out,2165
52,n't,2096
53,so,2033
54,can,2031
55,up,1974
56,what,1965
57,said,1961
58,do,1863
59,its,1858
60,about,1817
61,than,1796
62,into,1791
63,them,1790
64,could,1777
65,only,1748
66,other,1714
67,time,1693
68,new,1646
69,some,1618
70,these,1573
71,two,1516
72,did,1445
73,may,1402
74,first,1389
75,then,1380
76,man,1360
77,any,1344
78,like,1343
79,my,1319
80,now,1317
81,over,1305
82,such,1303
83,our,1253
84,me,1182
85,even,1173
86,most,1162
87,made,1147
88,after,1077
89,also,1069
90,many,1037
91,must,1020
92,before,1016
93,well,1006
94,af,1005
95,back,976
96,through,974
97,years,960
98,where,948
99,much,943
100,way,925
101,your,925
102,down,923
103,should,910
104,state,899
105,because,883
106,long,878
107,each,877
108,just,872
109,people,869
110,world,851
111,those,850
112,how,850
113,mr.,844
114,too,842
115,little,834
116,good,832
117,make,805
118,very,796
119,men,788
120,still,785
121,see,775
122,work,774
123,own,773
124,year,769
125,day,762
126,here,761
127,get,752
128,old,747
129,life,736
130,between,730
131,both,730
132,being,721
133,under,716
134,three,704
135,never,699
136,know,690
137,another,689
138,same,686
139,last,684
140,while,681
141,1,676
142,us,675
143,off,675
144,might,672
145,great,671
146,go,633
147,come,632
148,since,628
149,against,628
150,right,626
151,came,622
152,take,619
153,states,614
154,used,612
155,house,603
156,himself,603
157,american,602
158,few,601
159,use,595
160,place,588
161,during,585
162,without,583
163,high,583
164,$,579
165,again,579
166,does,573
167,2,570
168,home,567
169,around,565
170,small,554
171,however,552
172,found,539
173,mrs.,534
174,part,532
175,school,518
176,thought,517
177,general,511
178,went,507
179,say,506
180,once,505
181,upon,497
182,war,493
183,left,492
184,every,492
185,got,487
186,united,482
187,number,472
188,hand,470
189,water,466
190,course,465
191,public,462
192,until,461
193,always,459
194,away,459
195,let,454
196,something,451
197,fact,447
198,less,445
199,government,442
200,though,440
201,far,439
202,put,438
203,night,437
204,head,436
205,set,434
206,think,434
207,called,433
208,president,432
209,almost,432
210,enough,432
211,city,427
212,end,427
213,took,426
214,system,422
215,yet,420
216,four,418
217,better,417
218,nothing,414
219,told,413
220,eyes,408
221,why,404
222,going,404
223,present,403
224,look,401
225,point,401
226,find,400
227,group,398
228,room,398
229,asked,398
230,social,397
231,next,397
232,later,397
233,business,396
234,second,396
235,program,395
236,knew,395
237,side,393
238,half,392
239,give,391
240,3,390
241,white,390
242,john,389
243,young,388
244,days,387
245,face,386
246,toward,386
247,five,385
248,form,383
249,given,380
250,order,379
251,per,378
252,children,378
253,large,378
254,several,377
255,national,376
256,important,375
257,possible,374
258,rather,373
259,big,371
260,case,371
261,among,370
262,often,369
263,things,368
264,early,368
265,looked,367
266,ever,366
267,god,364
268,best,362
269,need,360
270,church,359
271,become,359
272,within,359
273,felt,357
274,along,355
275,saw,353
276,light,351
277,power,350
278,family,345
279,least,343
280,country,340
281,development,334
282,interest,334
283,seemed,333
284,mind,333
285,thing,333
286,open,332
287,area,331
288,want,328
289,members,327
290,help,326
291,s.,325
292,today,325
293,others,325
294,service,324
295,turned,322
296,although,321
297,door,321
298,law,320
299,company,320
300,done,319
301,whole,318
302,line,316
303,problem,315
304,sense,314
305,kind,314
306,york,313
307,u.,313
308,certain,313
309,different,313
310,thus,312
311,began,312
312,means,311
313,name,310
314,matter,309
315,perhaps,307
316,week,305
317,times,305
318,itself,305
319,human,302
320,action,302
321,above,301
322,free,293
323,example,292
324,show,292
325,hands,292
326,local,291
327,history,290
328,whether,286
329,body,286
330,act,285
331,car,285
332,gave,285
333,either,285
334,death,284
335,feet,284
336,past,283
337,across,283
338,quite,282
339,field,281
340,taken,281
341,anything,280
342,having,279
343,seen,279
344,word,278
345,money,277
346,experience,276
347,really,275
348,class,274
349,words,274
350,college,273
351,already,273
352,information,271
353,tell,271
354,themselves,270
355,together,270
356,making,270
357,full,269
358,sure,269
359,shall,268
360,air,268
361,4,267
362,boy,267
363,known,266
364,held,266
365,period,265
366,political,264
367,keep,264
368,real,261
369,probably,261
370,century,259
371,seems,259
372,question,259
373,behind,258
374,miss,257
375,mother,257
376,office,257
377,major,256
378,south,254
