,word,freq
1,the,1642
2,and,872
3,to,729
4,a,632
5,it,595
6,she,553
7,i,543
8,of,514
9,said,462
10,you,411
11,alice,398
12,in,369
13,was,357
14,that,315
15,as,263
16,her,248
17,t,218
18,at,212
19,s,201
20,on,193
21,all,182
22,with,180
23,had,178
24,but,170
25,for,153
26,they,152
27,so,151
28,be,148
29,not,145
30,very,144
31,what,141
32,this,134
33,little,128
34,he,125
35,out,117
36,is,108
37,one,104
38,down,102
39,up,100
40,there,99
41,his,96
42,if,96
43,about,94
44,then,94
45,no,90
46,know,88
47,them,88
48,were,85
49,like,85
50,herself,83
51,again,83
52,went,83
53,would,83
54,do,81
55,have,80
56,when,79
57,could,77
58,or,77
59,queen,75
60,thought,74
61,off,73
62,time,71
63,me,68
64,how,68
65,see,67
66,into,67
67,king,63
68,can,63
69,who,63
70,m,63
71,did,63
72,well,63
73,your,62
74,don,61
75,now,60
76,turtle,59
77,by,59
78,my,58
79,began,58
80,an,57
81,ll,57
82,its,57
83,mock,56
84,hatter,56
85,way,56
86,gryphon,55
87,quite,55
88,are,54
89,think,53
90,their,52
91,just,52
92,here,51
93,first,51
94,some,51
95,say,51
96,much,51
97,rabbit,51
98,only,50
99,go,50
100,head,50
101,more,49
102,thing,49
103,which,49
104,voice,48
105,never,48
106,come,46
107,get,46
108,got,45
109,looked,45
110,oh,45
111,mouse,44
112,must,44
113,ve,44
114,him,43
115,after,43
116,duchess,42
117,round,41
118,such,41
119,dormouse,40
120,tone,40
121,two,40
122,other,40
123,came,40
124,why,40
125,over,40
126,back,39
127,any,39
128,great,39
129,been,38
130,re,38
131,before,38
132,cat,37
133,from,36
134,march,34
135,we,34
136,once,34
137,nothing,34
138,last,33
139,will,33
140,large,33
141,looking,32
142,long,32
143,tell,32
144,right,32
145,found,32
146,hare,31
147,things,31
148,put,31
149,moment,31
150,heard,30
151,door,30
152,next,30
153,white,30
154,made,30
155,replied,29
156,d,29
157,look,29
158,dear,29
159,eyes,29
160,day,29
161,caterpillar,28
162,three,28
163,might,28
164,poor,27
165,should,27
166,good,27
167,make,27
168,going,27
169,seemed,27
170,course,26
171,won,26
172,upon,26
173,too,26
174,without,26
175,yet,25
176,while,25
177,away,25
178,soon,25
179,rather,25
180,shall,25
181,sure,24
182,same,24
183,than,24
184,took,24
185,added,23
186,half,23
187,felt,23
188,jury,22
189,let,22
190,another,22
191,take,22
192,getting,22
193,till,21
194,minute,21
195,find,21
196,ever,21
197,hand,21
198,wish,21
199,words,21
200,cried,20
201,however,20
202,sort,20
203,anything,20
204,old,19
205,being,19
206,curious,19
207,tea,19
208,please,19
