,word,freq
1,the,4980
2,and,2667
3,of,2555
4,a,2258
5,to,1580
6,in,1407
7,he,1330
8,that,1168
9,it,1137
10,you,1070
11,i,997
12,was,930
13,his,921
14,with,815
15,is,730
16,as,693
17,said,652
18,but,559
19,had,556
20,turnbull,545
21,not,520
22,at,463
23,they,457
24,on,452
25,for,451
26,macian,426
27,be,409
28,or,399
29,all,387
30,have,385
31,this,370
32,him,339
33,we,338
34,man,338
35,if,336
36,are,333
37,like,326
38,which,325
39,were,317
40,one,316
41,an,316
42,up,295
43,by,294
44,do,282
45,there,280
46,what,267
47,out,249
48,from,246
49,then,239
50,so,235
51,other,227
52,into,216
53,them,211
54,about,203
55,will,203
56,who,202
57,your,194
58,only,192
59,no,186
60,n't,182
61,when,182
62,two,177
63,their,173
64,some,172
65,more,171
66,my,164
67,us,162
68,me,158
69,did,151
70,quite,144
71,very,144
72,would,143
73,now,143
74,been,143
75,evan,141
76,god,140
77,know,140
78,can,140
79,even,140
80,down,136
81,face,134
82,than,133
83,am,129
84,little,129
85,say,127
86,has,126
87,seemed,121
88,could,120
89,after,119
90,see,119
91,really,116
92,any,114
93,thing,113
94,her,112
95,something,112
96,world,112
97,well,108
98,still,105
99,our,105
100,come,104
101,looked,104
102,long,103
103,made,103
104,voice,102
105,men,102
106,here,100
107,she,97
108,may,97
109,over,97
110,cried,97
111,went,95
112,upon,95
113,old,95
114,think,94
115,almost,94
116,back,94
117,its,93
118,saw,92
119,again,92
120,head,91
121,came,90
122,why,89
123,eyes,87
124,time,87
125,himself,87
126,first,86
127,garden,86
128,before,84
129,because,84
130,must,84
131,such,83
132,mean,82
133,last,82
134,sort,81
135,things,80
136,asked,79
137,should,78
138,under,78
139,good,78
140,fight,77
141,great,77
142,way,75
143,same,73
144,want,72
145,might,72
146,suddenly,71
147,just,71
148,right,69
149,own,69
150,whole,69
151,sword,68
152,yes,68
153,let,68
154,found,68
155,began,68
156,much,68
157,yet,67
158,answered,67
159,red,67
160,never,67
161,half,67
162,wall,67
163,moment,67
164,place,67
165,through,67
166,people,66
167,those,65
168,nothing,65
169,being,63
170,round,63
171,most,62
172,stood,61
173,go,61
174,white,61
175,behind,60
176,off,60
177,each,60
178,away,59
179,where,59
180,sea,57
181,these,57
182,black,56
183,thought,56
184,against,56
185,every,56
186,cross,56
187,also,55
188,oh,54
189,rather,54
190,light,53
191,how,53
192,life,52
193,shall,52
194,turned,52
195,instant,51
196,always,51
197,once,51
198,enough,51
199,another,51
200,between,50
201,earth,50
202,silence,49
203,police,49
204,side,49
205,road,48
206,does,48
207,got,48
208,along,48
209,mad,48
210,young,47
211,ever,47
212,end,47
213,church,47
214,figure,46
215,both,46
216,car,46
217,without,46
218,put,46
219,too,46
220,far,46
221,gentleman,45
222,towards,45
223,new,45
224,mere,45
225,small,44
226,across,44
227,hand,44
228,grey,44
229,point,44
230,kind,44
231,understand,44
232,take,43
233,looking,43
234,fell,43
235,seen,43
236,fact,43
237,hair,43
238,blue,43
239,swords,42
240,door,42
241,few,42
242,mind,42
243,open,41
244,anything,41
245,word,41
246,left,41
247,going,41
248,though,41
249,above,41
250,lady,40
251,believe,40
252,shop,40
253,felt,40
254,knew,40
255,least,40
256,human,40
257,air,40
258,tell,39
259,feet,39
260,words,39
261,three,39
262,ran,38
263,many,38
264,heaven,38
265,sky,38
266,michael,38
267,perhaps,38
268,ship,38
269,big,37
270,whether,37
271,heavy,37
272,broke,37
273,get,37
274,name,37
275,sir,36
276,nature,36
277,continued,36
278,took,36
279,make,36
280,better,36
281,everything,36
282,project,35
283,hands,35
284,large,35
285,matter,35
286,opened,35
287,wrong,35
288,part,35
289,whose,35
290,however,35
291,look,35
292,full,35
293,ca,34
294,high,34
295,ask,34
296,stick,34
297,case,34
298,london,34
299,course,34
300,beard,34
301,gone,34
302,doctor,33
303,free,33
304,spoke,33
305,heard,33
306,repeated,33
307,house,33
308,give,33
309,itself,33
310,flying,33
311,gutenberg,32
312,atheist,32
313,replied,32
314,ball,32
315,smile,31
316,second,31
317,window,31
318,fire,31
319,merely,31
320,talk,31
321,evening,31
322,night,30
323,forward,30
324,indeed,30
325,hill,30
326,certain,30
327,whom,29
328,called,29
329,eye,29
330,among,29
331,standing,29
332,somewhat,29
333,ebook,28
334,duel,28
335,girl,28
336,fellow,28
337,already,28
338,top,28
339,morning,28
340,dark,28
341,find,28
342,ordinary,28
343,modern,28
344,france,27
345,beyond,27
346,either,27
347,read,27
348,done,27
349,sense,27
350,best,27
351,speak,27
352,sure,26
353,english,26
354,sand,26
355,public,26
356,else,26
357,asylum,26
358,certainly,26
359,staring,26
360,caught,26
361,having,26
362,plain,26
363,lost,26
364,sudden,26
365,while,26
366,stars,26
367,madeleine,25
368,england,25
369,outside,25
370,vane,25
371,walking,25
372,poor,25
373,hour,25
374,heart,25
375,love,25
376,stand,25
377,taken,25
378,brown,25
379,shape,25
380,seem,25
381,truth,25
382,silver,25
383,suppose,24
384,short,24
385,strong,24
386,day,24
387,green,24
388,moon,24
389,strange,24
390,ought,24
391,devil,24
392,broken,24
393,common,24
394,hard,24
395,master,23
396,companion,23
397,abruptly,23
398,island,23
399,afraid,23
400,laughter,23
401,highlander,23
402,tall,23
403,street,23
404,french,23
405,gold,23
406,answer,23
407,less,23
408,soul,23
409,told,23
410,front,23
411,talking,23
412,swung,23
413,gave,23
414,flung,23
415,run,23
416,walked,22
417,next,22
418,sunset,22
419,question,22
420,feel,22
421,path,22
422,together,22
423,higher,22
424,sun,22
425,fallen,22
426,alone,22
427,except,21
428,edge,21
429,wilkinson,21
430,means,21
431,lean,21
432,stop,21
433,father,21
434,silent,21
435,until,21
436,below,21
437,minutes,21
438,real,21
439,religion,21
440,lucifer,21
441,cell,20
442,james,20
443,room,20
444,fighting,20
445,wanted,20
446,blood,20
447,die,20
448,exactly,20
449,doing,20
450,reason,20
451,loose,20
452,gentlemen,20
453,passed,20
454,past,20
455,gesture,20
456,country,20
457,fall,20
458,coming,20
459,huge,20
460,somehow,20
461,grass,20
462,universe,20
463,wild,20
464,happy,20
465,important,20
466,professor,20
467,turn,19
468,low,19
469,iron,19
470,meant,19
471,business,19
472,village,19
473,magistrate,19
474,need,19
475,streets,19
476,lit,19
477,woman,19
478,struck,19
479,simply,19
480,cut,19
481,lay,19
482,cloud,19
483,order,19
484,lifted,19
485,stone,19
486,science,19
487,trees,18
488,within,18
489,hat,18
490,doubt,18
491,sight,18
492,person,18
493,speech,18
494,tried,18
495,afterwards,18
496,war,18
497,square,18
498,cold,18
499,followed,18
500,kept,18
501,saying,18
502,catholic,18
503,form,18
504,stopped,18
505,seems,18
506,leapt,18
507,entirely,18
508,quayle,17
509,yellow,17
510,days,17
511,stared,17
512,lawn,17
513,extraordinary,17
514,fool,17
515,smiling,17
516,work,17
517,policemen,17
518,corner,17
519,land,17
520,empty,17
521,unknown,17
522,sound,17
523,making,17
524,beautiful,17
525,nor,17
526,particular,17
527,complete,17
528,dropped,17
529,dead,17
530,often,17
531,save,17
532,sat,17
533,movement,17
534,tree,17
535,set,17
536,solid,17
537,ten,17
538,hope,17
539,space,17
540,since,17
541,dream,17
542,machine,17
543,steel,17
544,ebooks,16
545,hutton,16
546,chin,16
547,durand,16
548,wind,16
549,added,16
550,ground,16
551,wo,16
552,five,16
553,hole,16
554,seconds,16
555,easily,16
556,keep,16
557,bad,16
558,friend,16
559,lunatic,16
560,natural,16
561,impression,16
562,scientific,16
563,editor,16
564,sides,16
565,windows,16
566,children,16
567,surprise,16
568,stepped,16
569,appeared,16
570,divine,16
571,enemy,16
572,till,16
573,hate,16
574,stranger,16
575,simple,16
576,enormous,16
577,farther,15
578,rose,15
579,steady,15
580,fixed,15
581,difference,15
582,hardly,15
583,use,15
584,coat,15
585,close,15
586,bright,15
587,quarrel,15
588,burst,15
589,call,15
590,used,15
591,supernatural,15
592,showed,15
593,says,15
594,hundred,15
595,states,15
596,neck,15
597,deny,15
598,perfectly,15
599,longer,15
600,darkness,15
601,help,15
602,view,15
603,slight,15
604,middle,15
605,inside,15
606,doctors,14
607,knows,14
608,sent,14
609,nose,14
610,whatever,14
611,teeth,14
612,position,14
613,clear,14
614,damned,14
615,trust,14
616,wood,14
617,seat,14
618,exist,14
619,third,14
620,hold,14
621,alive,14
622,probably,14
623,pulled,14
624,glass,14
625,hung,14
626,faces,14
627,yards,14
628,sometimes,14
629,arm,14
630,living,14
631,leave,14
632,four,14
