,word,freq
1,the,4670
2,and,2221
3,a,2132
4,of,2093
5,to,1391
6,he,1357
7,in,1253
8,was,1145
9,i,1093
10,it,983
11,his,965
12,that,930
13,with,737
14,you,692
15,but,692
16,as,630
17,had,523
18,on,464
19,is,457
20,at,439
21,s,438
22,said,416
23,for,416
24,him,376
25,like,331
26,not,326
27,man,308
28,be,306
29,t,296
30,or,295
31,this,294
32,have,292
33,brown,291
34,one,283
35,by,275
36,all,273
37,there,265
38,if,244
39,which,242
40,an,241
41,were,241
42,they,239
43,from,231
44,father,231
45,more,228
46,so,211
47,my,207
48,out,206
49,up,197
50,what,194
51,who,191
52,very,187
53,about,177
54,me,174
55,some,174
56,then,173
57,could,171
58,other,168
59,than,161
60,are,160
61,when,155
62,no,153
63,know,151
64,been,150
65,little,146
66,only,144
67,rather,143
68,into,140
69,do,136
70,would,135
71,priest,134
72,well,134
73,think,131
74,flambeau,130
75,old,130
76,can,129
77,did,125
78,we,125
79,down,124
80,two,123
81,her,122
82,she,117
83,will,117
84,them,116
85,face,113
86,even,112
87,looked,109
88,black,107
89,seemed,107
90,something,107
91,don,105
92,still,101
93,just,101
94,mr,101
95,head,100
96,see,100
97,has,100
98,their,97
99,say,96
100,such,95
101,long,93
102,before,92
103,your,91
104,why,91
105,quite,89
106,over,87
107,made,86
108,any,85
109,asked,85
110,now,85
111,eyes,84
112,heard,82
113,house,81
114,himself,81
115,back,81
116,after,81
117,mean,80
118,great,80
119,door,78
120,never,78
121,here,76
122,first,76
123,came,76
124,though,75
125,might,72
126,come,72
127,room,72
128,way,71
129,looking,71
130,voice,71
131,cried,71
132,most,71
133,must,71
134,because,69
135,look,69
136,own,68
137,went,67
138,really,67
139,again,67
140,much,67
141,yet,67
142,place,67
143,sort,66
144,almost,66
145,things,66
146,tell,65
147,thing,64
148,men,64
149,sea,62
150,saw,61
151,hair,61
152,stood,61
153,round,60
154,its,60
155,glass,60
156,thought,59
157,dark,59
158,where,59
159,time,59
160,figure,59
161,those,59
162,found,58
163,last,57
164,should,56
165,friend,56
166,white,55
167,got,54
168,off,54
169,hat,54
170,table,54
171,away,53
172,red,53
173,another,53
174,go,53
175,half,53
176,once,53
177,hand,53
178,three,53
179,boulnois,52
180,too,52
181,sir,52
182,garden,52
183,seen,52
184,turned,51
185,our,51
186,against,51
187,how,51
188,both,51
189,m,51
190,without,51
191,am,50
192,these,50
193,muscari,49
194,answered,49
195,small,49
196,across,49
197,under,49
198,same,49
199,may,48
200,end,48
201,replied,48
202,through,47
203,family,47
204,take,47
205,ve,47
206,also,46
207,behind,46
208,towards,46
209,nothing,45
210,good,45
211,grey,45
212,moment,44
213,enough,44
