,word,freq
1,the,3636
2,a,1742
3,of,1725
4,and,1658
5,he,1126
6,to,1055
7,in,923
8,i,883
9,that,871
10,his,810
11,was,731
12,you,729
13,it,717
14,with,561
15,syme,519
16,said,507
17,as,497
18,is,477
19,but,443
20,had,429
21,not,393
22,at,346
23,they,318
24,for,317
25,on,304
26,all,293
27,this,287
28,him,279
29,man,276
30,like,264
31,have,262
32,be,256
33,are,252
34,we,251
35,an,240
36,were,223
37,there,213
38,if,211
39,out,209
40,which,199
41,one,199
42,do,198
43,by,180
44,who,177
45,me,171
46,what,171
47,so,167
48,or,164
49,up,161
50,my,156
51,could,155
52,from,151
53,professor,149
54,no,144
55,into,142
56,only,140
57,when,140
58,then,139
59,n't,134
60,them,129
61,will,122
62,would,122
63,some,121
64,down,120
65,about,120
66,can,120
67,face,119
68,been,117
69,gregory,112
70,your,111
71,more,111
72,bull,110
73,their,110
74,has,109
75,am,103
76,very,102
77,see,99
78,sunday,98
79,old,97
80,other,92
81,seemed,91
82,men,91
83,even,90
84,great,85
85,little,85
86,quite,83
87,than,82
88,now,82
89,did,82
90,know,80
91,say,80
92,us,80
93,well,78
94,looked,77
95,himself,76
96,asked,75
97,long,75
98,black,75
99,eyes,74
100,still,74
101,two,74
102,came,74
103,off,73
104,might,73
105,first,73
106,upon,73
107,president,72
108,marquis,71
109,over,71
110,almost,71
111,think,71
112,cried,70
113,time,69
114,never,69
115,went,68
116,secretary,67
117,thing,67
118,good,67
119,last,65
120,before,64
121,saw,64
122,these,63
123,head,63
124,really,63
125,something,62
126,made,61
127,voice,61
128,any,61
129,after,60
130,may,60
131,because,59
132,whole,59
133,through,59
134,back,59
135,stood,58
136,too,58
137,our,58
138,right,57
139,colonel,56
140,such,56
141,come,56
142,should,55
143,why,54
144,shall,54
145,those,54
146,white,54
147,table,53
148,just,52
149,thought,52
150,again,52
151,world,52
152,tell,51
153,red,51
154,turned,50
155,suddenly,50
156,dark,50
157,under,50
158,here,49
159,street,49
160,must,49
161,being,49
162,round,49
163,look,48
164,room,47
165,hand,47
166,how,47
167,its,47
168,going,46
169,hair,46
170,way,46
171,make,45
172,most,45
173,against,45
174,yet,45
175,police,44
176,light,44
177,where,43
178,behind,43
179,yes,43
180,anarchist,43
181,blue,43
182,always,43
183,own,43
184,three,42
185,moment,42
186,new,42
187,rather,42
188,policeman,41
189,sort,41
190,away,41
191,across,41
192,put,41
193,found,41
194,go,40
195,once,40
196,people,40
197,place,40
198,took,39
199,silence,39
200,half,39
201,sat,38
202,get,38
203,left,38
204,let,38
205,much,38
206,gogol,37
207,mean,37
208,smile,37
209,word,37
210,also,37
211,hat,37
212,began,36
213,without,36
214,nothing,36
215,sense,36
216,felt,36
217,god,36
218,sea,36
219,believe,35
220,beard,35
221,human,34
222,sword,34
223,looking,34
224,end,34
225,heard,34
226,anarchists,33
227,de,33
228,everything,33
229,things,33
230,each,32
231,enough,32
232,myself,32
233,perhaps,32
234,got,32
235,square,32
236,side,32
237,oh,32
238,understand,32
239,knew,31
240,comrade,31
