,word,freq
1,the,6267
2,i,2989
3,and,2917
4,of,2811
5,a,2701
6,to,2667
7,that,2160
8,it,1870
9,in,1848
10,was,1826
11,he,1770
12,you,1658
13,his,1360
14,is,1135
15,had,1018
16,have,959
17,with,886
18,my,864
19,for,797
20,at,776
21,holmes,751
22,not,748
23,which,710
24,this,696
25,as,694
26,we,684
27,but,662
28,me,626
29,there,549
30,no,538
31,be,527
32,on,526
33,from,503
34,said,499
35,him,496
36,one,452
37,an,426
38,so,424
39,would,413
40,your,412
41,upon,411
42,been,406
43,were,401
44,man,401
45,her,386
46,she,380
47,by,371
48,all,367
49,are,356
50,what,353
51,could,351
52,will,351
53,if,343
54,do,342
55,very,339
56,when,313
57,our,304
58,well,303
59,some,290
60,can,284
61,who,282
62,out,281
63,us,280
64,has,280
65,then,264
66,up,244
67,see,237
68,into,236
69,room,229
70,now,226
71,should,215
72,they,212
73,more,212
74,watson,211
75,or,209
76,only,205
77,down,197
78,am,196
79,come,189
80,them,189
81,must,187
82,sir,187
83,here,186
84,did,183
85,n't,172
86,two,170
87,before,170
88,time,169
89,any,169
90,may,166
91,know,165
92,face,165
93,over,165
94,door,164
95,nothing,164
96,last,162
97,back,161
98,about,156
99,came,155
100,think,150
101,night,149
102,house,146
103,how,144
104,yes,142
105,other,134
106,case,134
107,own,133
108,these,128
109,little,128
110,where,127
111,hand,126
112,good,126
113,tell,123
114,first,123
115,once,123
116,most,123
117,way,121
118,such,120
119,found,119
120,say,119
121,long,119
122,never,118
123,morning,117
124,friend,117
125,young,115
126,left,115
127,eyes,114
128,take,111
129,than,111
130,three,111
131,old,110
132,yet,110
133,make,108
134,lestrade,106
135,window,105
136,again,104
137,lady,103
138,saw,102
139,heard,101
140,go,100
141,after,100
142,let,97
143,made,96
144,through,96
145,much,95
146,find,95
147,like,94
148,might,92
149,day,92
150,knew,90
151,get,90
152,table,90
153,turned,89
154,london,89
155,just,88
156,done,88
157,shall,85
158,look,85
159,few,84
160,side,84
161,round,84
162,dear,83
163,street,82
164,end,81
165,since,81
166,thought,80
167,right,80
168,himself,80
169,road,80
170,why,80
171,head,80
172,every,80
173,great,79
174,fellow,79
175,got,79
176,name,78
177,give,78
178,matter,78
179,certainly,78
180,until,78
181,woman,77
182,papers,76
183,hopkins,75
184,seen,75
185,hands,73
186,away,72
187,looked,72
188,their,72
189,still,71
190,put,70
191,instant,70
192,however,70
193,letter,69
194,cried,69
195,off,69
196,those,69
197,open,68
198,far,68
199,without,67
200,life,67
201,light,66
202,took,66
203,chair,65
204,place,65
205,taken,64
206,too,64
207,paper,63
208,opened,63
209,its,62
210,doubt,62
211,sure,62
212,clear,61
213,also,61
214,between,61
215,sherlock,61
216,small,60
217,ever,60
218,crime,60
219,asked,59
220,something,59
221,hall,59
222,enough,59
223,known,59
224,half,58
225,work,58
226,seemed,58
227,told,58
228,course,57
229,word,57
230,against,57
231,whole,57
232,police,57
233,anything,56
234,point,56
235,each,56
236,myself,56
237,even,56
238,went,55
239,moment,55
240,mind,55
241,front,54
242,person,54
243,hour,53
244,read,53
245,same,52
246,dark,52
247,exactly,52
248,passed,51
249,later,51
250,dead,51
251,behind,51
252,quite,50
253,another,50
254,ask,50
255,being,50
256,lay,50
257,men,50
258,thing,49
259,stood,49
260,evening,49
261,years,49
262,under,49
263,second,49
264,professor,48
265,gave,48
266,help,48
267,death,48
268,both,47
269,whom,47
270,indeed,47
271,best,47
272,already,47
273,black,47
274,really,46
275,held,45
276,always,45
277,gone,45
278,several,45
279,reason,45
280,together,45
281,husband,44
282,save,44
283,feet,44
284,leave,43
