,word,freq
1,the,1573
2,and,1061
3,a,704
4,to,679
5,of,660
6,it,545
7,in,520
8,he,493
9,was,434
10,his,420
11,i,366
12,scrooge,362
13,that,350
14,with,269
15,you,245
16,as,228
17,said,221
18,had,207
19,him,198
20,for,197
21,have,190
22,not,185
23,they,182
24,were,178
25,but,177
26,on,165
27,at,154
28,be,143
29,there,135
30,is,132
31,all,131
32,its,130
33,by,123
34,this,122
35,so,120
36,upon,118
37,no,116
38,me,111
39,if,110
40,one,109
41,n't,103
42,what,102
43,do,101
44,their,101
45,which,99
46,would,95
47,ghost,95
48,up,93
49,when,91
50,from,91
51,or,91
52,spirit,90
53,my,86
54,christmas,86
55,out,84
56,them,82
57,an,80
58,man,79
59,very,78
60,who,73
61,could,70
62,old,70
63,time,68
64,been,67
65,good,67
66,her,66
67,down,65
68,little,64
69,like,61
70,know,60
71,before,59
72,did,59
73,are,58
74,into,57
75,she,56
76,now,56
77,more,54
78,bob,53
79,your,53
80,cried,52
81,about,52
82,again,49
83,own,48
84,himself,47
85,see,47
86,came,46
87,will,46
88,door,46
89,went,44
90,am,44
91,then,43
92,made,43
93,hand,43
94,here,42
95,than,42
96,day,41
97,every,40
98,head,40
99,any,40
100,how,40
101,might,40
102,some,39
103,such,39
104,never,39
105,cratchit,37
106,why,37
107,much,37
108,marley,37
109,other,37
110,great,36
111,where,36
112,we,36
113,come,36
114,being,36
115,two,35
116,another,35
117,through,35
118,night,35
119,nothing,35
120,hands,35
121,last,35
122,off,34
123,round,34
124,nephew,34
125,merry,34
126,can,34
127,room,33
128,say,33
129,face,32
130,looked,32
131,light,32
132,though,32
133,fire,32
134,too,31
135,us,31
136,house,31
137,first,31
138,boy,30
139,these,30
140,poor,30
141,ever,30
142,long,29
143,should,29
144,thought,29
145,returned,28
146,cold,28
147,back,28
148,bed,27
149,young,27
150,quite,27
151,life,27
152,people,27
153,home,26
154,half,26
155,eyes,26
156,done,26
157,child,25
158,well,25
159,think,25
160,has,25
161,heart,25
162,only,25
163,ha,24
164,tim,24
165,tiny,24
166,let,24
167,sat,24
168,way,24
169,woman,24
170,dear,24
171,many,24
172,yet,23
173,enough,23
174,saw,23
175,voice,23
176,same,23
177,after,23
178,business,23
179,may,23
180,place,22
181,stood,22
182,must,22
183,away,21
184,looking,21
185,look,21
186,asked,21
187,children,21
188,dark,21
189,knew,21
190,past,20
191,got,20
192,left,20
193,without,20
194,over,20
195,mind,20
196,three,20
197,put,20
198,peter,19
199,fezziwig,19
200,towards,19
201,make,19
202,yes,19
203,go,19
204,oh,19
205,joe,18
206,hope,18
207,until,18
208,replied,18
209,believe,18
210,kind,18
211,moment,18
212,year,18
213,men,18
214,open,18
215,always,18
216,gentleman,18
217,even,18
218,anything,18
219,dead,18
220,spirits,18
221,laughed,17
222,told,17
223,behind,17
224,while,17
225,still,17
226,among,17
227,uncle,17
228,air,17
229,hear,17
230,once,17
231,tell,16
232,jacob,16
233,heard,16
234,passed,16
235,observed,16
236,give,16
237,indeed,16
238,sir,16
239,hour,16
240,world,16
241,coming,16
242,father,16
243,clerk,16
244,each,16
245,shall,16
246,most,15
247,phantom,15
248,walked,15
249,window,15
250,bell,15
251,bless,15
252,master,15
253,better,15
254,pointed,15
255,years,15
256,our,15
257,cratchits,14
258,seemed,14
259,next,14
260,turned,14
261,something,14
262,full,14
263,family,14
264,word,14
265,having,14
266,just,14
267,keep,14
268,appeared,14
269,going,14
270,niece,13
271,laugh,13
272,girl,13
273,exclaimed,13
274,seen,13
275,streets,13
276,those,13
277,happy,13
278,happened,13
279,whole,13
280,things,13
281,alone,13
282,live,13
283,right,13
284,name,13
285,show,12
286,high,12
287,curtains,12
288,spectre,12
289,death,12
290,together,12
291,heavy,12
292,dinner,12
293,took,12
294,find,12
295,sure,12
296,god,12
297,tried,12
298,everything,12
299,city,12
300,thing,12
301,eye,12
302,stopped,12
303,often,12
304,spoke,12
305,self,12
306,called,12
307,end,12
308,wish,12
309,mother,11
310,itself,11
311,words,11
312,walk,11
313,table,11
314,held,11
315,suppose,11
316,rather,11
317,felt,11
318,scarcely,11
319,present,11
320,seven,11
321,fell,11
322,because,11
323,fellow,11
324,work,11
325,large,11
326,hard,11
327,new,11
328,martha,10
329,company,10
330,shadows,10
331,clear,10
332,bright,10
333,beside,10
334,set,10
335,ground,10
336,nor,10
337,chain,10
338,strange,10
339,take,10
340,hung,10
341,used,10
342,water,10
343,corner,10
344,became,10
345,wall,10
346,whose,10
347,help,10
348,afternoon,10
349,sound,10
350,below,10
351,rest,10
352,against,10
353,part,10
354,beyond,10
355,street,10
356,snow,10
357,struck,10
358,doubt,10
359,stave,10
360,fred,9
361,hallo,9
362,sister,9
363,robe,9
364,clock,9
365,found,9
366,free,9
367,forth,9
368,side,9
369,straight,9
370,power,9
371,perhaps,9
372,sight,9
373,hot,9
374,black,9
375,whom,9
376,die,9
377,wife,9
378,pudding,9
379,else,9
380,ready,9
381,answer,9
382,humbug,9
383,gone,9
384,along,9
385,nobody,9
386,purpose,9
387,office,9
388,within,9
389,stone,9
390,answered,9
391,known,9
392,taking,9
393,wonderful,9
394,change,9
395,second,9
396,lay,9
397,houses,9
398,finger,8
399,future,8
400,goose,8
401,top,8
402,dress,8
403,between,8
404,twelve,8
405,arm,8
406,bear,8
407,far,8
408,knees,8
409,thoughts,8
410,close,8
411,surprise,8
412,legs,8
413,sitting,8
414,taken,8
415,hair,8
416,town,8
417,morning,8
418,boys,8
419,few,8
420,partner,8
421,love,8
422,shut,8
423,pleasant,8
424,breath,8
425,white,8
426,feet,8
427,blind,8
428,weather,8
429,warm,8
430,days,8
431,red,8
432,turning,8
433,began,8
434,point,8
435,friend,8
436,plump,7
437,minutes,7
438,turkey,7
439,heartily,7
440,dance,7
441,dick,7
442,best,7
443,bring,7
444,given,7
445,former,7
446,laughing,7
447,near,7
448,bye,7
449,thinking,7
450,heaven,7
451,four,7
452,entered,7
453,chance,7
454,ebenezer,7
455,raised,7
456,remembered,7
457,soon,7
458,chair,7
459,sea,7
460,hall,7
461,bad,7
462,shadow,7
463,also,7
464,knocker,7
465,particular,7
466,yard,7
467,times,7
468,five,7
469,gave,7
470,dull,7
471,church,7
472,darkness,7
473,under,7
474,afraid,7
475,shook,7
476,gentlemen,7
477,party,7
478,sorry,7
479,want,7
480,length,7
481,morrow,7
482,hearts,7
483,holly,7
484,money,7
485,cheerful,7
486,strong,7
487,candle,7
488,windows,7
489,less,7
490,low,7
491,nose,7
492,both,7
493,sometimes,7
494,above,7
495,perfectly,7
496,themselves,7
497,ghostly,7
498,met,6
499,topper,6
500,girls,6
501,torch,6
502,game,6
503,beneath,6
504,delight,6
505,knows,6
506,everybody,6
507,ah,6
508,parlour,6
509,brother,6
510,opened,6
511,music,6
512,anybody,6
513,arms,6
514,figure,6
515,dong,6
516,ding,6
517,quarter,6
518,state,6
519,mist,6
