,word,freq
1,the,62343
2,of,32272
3,and,27973
4,to,26204
5,a,23116
6,in,20362
7,that,12021
8,is,9491
9,for,9225
10,was,8370
11,it,8188
12,he,7767
13,i,7749
14,as,7387
15,with,7034
16,on,6887
17,his,5756
18,be,5159
19,by,5151
20,at,4843
21,not,4529
22,are,4427
23,had,4407
24,but,4343
25,you,4331
26,from,4221
27,she,4207
28,this,4081
29,her,4017
30,or,3974
31,have,3795
32,an,3680
33,they,3661
34,one,3307
35,we,3210
36,were,3048
37,n't,2966
38,their,2735
39,all,2726
40,said,2590
41,would,2565
42,who,2414
43,has,2323
44,which,2321
45,when,2292
46,more,2290
47,what,2260
48,do,2228
49,there,2220
50,about,2196
51,if,2174
52,been,2107
53,out,2066
54,so,2053
55,my,1955
56,can,1930
57,up,1914
58,no,1870
59,will,1845
60,him,1821
61,than,1701
62,its,1691
63,other,1661
64,could,1655
65,into,1650
66,them,1605
67,some,1603
68,only,1590
69,like,1548
70,me,1522
71,time,1461
72,two,1444
73,new,1439
74,did,1416
75,these,1384
76,then,1318
77,most,1301
78,first,1289
79,even,1271
80,such,1265
81,also,1247
82,over,1240
83,now,1167
84,our,1156
85,after,1142
86,just,1122
87,people,1087
88,how,1077
89,years,1046
90,your,1040
91,because,1031
92,any,1020
93,well,1004
94,many,1000
95,through,977
96,those,965
97,where,949
98,may,935
99,back,932
100,between,931
101,way,927
102,work,909
103,life,868
104,see,862
105,women,849
106,know,848
107,made,837
108,much,836
109,before,836
110,man,835
111,down,833
112,get,831
113,both,806
114,world,803
115,too,793
116,should,791
117,us,788
118,good,786
119,long,756
120,own,752
121,very,752
122,make,751
123,state,744
124,here,737
125,while,727
126,does,724
127,year,719
128,still,699
129,old,693
130,never,688
131,three,680
132,off,675
133,being,674
134,right,671
135,must,670
136,1,670
137,american,667
138,each,665
139,says,655
140,another,655
141,black,652
142,day,647
143,might,640
144,used,634
145,little,620
146,go,615
147,last,607
148,since,604
149,same,604
150,come,603
151,high,601
152,use,599
153,against,596
154,think,587
155,white,582
156,$,578
157,take,573
158,however,568
159,going,566
160,public,559
161,s.,558
162,men,555
163,say,554
164,under,549
165,house,547
166,war,545
167,part,542
168,thought,541
169,mr.,536
170,around,535
171,during,534
172,president,533
173,got,526
174,states,525
175,though,519
176,every,513
177,always,513
178,want,512
179,u.,512
180,without,509
181,few,505
182,something,497
183,2,494
184,found,491
185,percent,486
186,why,484
187,system,483
188,called,479
189,home,478
190,woman,477
191,need,476
192,came,474
193,left,473
194,family,471
195,less,469
196,place,457
197,government,456
198,formula,453
199,great,450
200,among,450
201,again,448
202,second,441
203,mother,437
204,look,435
205,bush,434
206,end,433
207,small,430
208,asked,430
209,often,429
210,general,428
211,away,427
212,important,426
213,himself,424
214,once,424
215,four,424
216,young,423
217,room,420
218,social,420
219,father,419
220,took,417
221,city,416
222,political,416
223,early,415
224,told,415
225,set,413
226,within,409
227,although,408
228,national,408
