,word,freq
1,the,18288
2,of,12056
3,to,7203
4,and,5182
5,in,4537
6,a,4059
7,be,3871
8,that,2824
9,it,2580
10,is,2239
11,which,2088
12,by,1765
13,as,1749
14,this,1425
15,not,1375
16,would,1288
17,have,1288
18,for,1285
19,or,1264
20,will,1262
21,from,1127
22,their,1117
23,with,1068
24,are,1052
25,on,963
26,they,957
27,an,946
28,states,851
29,government,843
30,may,828
31,been,811
32,state,796
33,all,735
34,but,708
35,its,657
36,other,652
37,power,630
38,people,620
39,can,614
40,has,612
41,no,604
42,more,588
43,at,582
44,if,572
45,than,564
46,any,557
47,one,556
48,them,553
49,those,492
50,there,470
51,constitution,470
52,we,467
53,these,466
54,must,456
55,who,447
56,such,417
57,so,413
58,most,404
59,upon,393
60,new,387
61,i,386
62,his,384
63,union,376
64,same,375
65,should,363
66,every,353
67,national,343
68,was,339
69,against,339
70,might,325
71,federal,324
72,under,315
73,our,308
74,were,304
75,into,303
76,only,302
77,authority,301
78,great,298
79,had,290
80,public,288
81,executive,284
82,ought,278
83,some,276
84,powers,266
85,general,265
86,shall,258
87,between,255
88,time,250
89,each,241
90,men,241
91,could,240
92,united,240
93,what,238
94,less,233
95,members,232
96,number,232
97,part,228
98,body,226
99,first,226
100,us,222
101,particular,220
102,two,218
103,subject,213
104,he,212
105,different,212
106,legislative,210
107,without,209
108,york,209
109,necessary,205
110,laws,203
111,representatives,200
112,very,196
113,well,196
114,either,195
115,made,194
116,legislature,192
117,senate,189
118,convention,186
119,own,186
120,cases,184
121,when,183
122,governments,178
123,much,176
124,case,174
125,too,173
126,plan,171
127,even,170
128,several,170
129,far,167
130,latter,162
131,proper,158
132,themselves,156
133,another,155
134,citizens,154
135,foreign,153
136,where,152
137,rights,152
138,therefore,149
139,influence,147
140,interests,146
141,liberty,145
142,though,142
143,proposed,142
144,whole,141
145,common,141
146,former,141
147,man,140
148,law,139
149,itself,139
150,being,139
151,place,138
152,many,136
153,danger,134
154,over,133
155,little,133
156,objects,133
157,among,132
158,nations,130
159,both,130
160,form,129
161,make,129
162,nature,129
163,good,128
164,courts,127
165,greater,127
166,political,127
167,nor,125
168,found,125
169,provision,123
170,war,123
171,system,123
172,yet,123
173,interest,123
174,country,122
175,president,121
176,security,120
177,single,119
178,congress,119
179,necessity,119
180,force,119
181,within,118
182,america,116
183,means,115
184,circumstances,115
185,peace,115
186,reason,113
187,respect,112
188,course,111
189,causes,110
190,however,109
191,whether,109
192,present,108
193,principle,107
194,often,107
195,view,106
196,situation,105
197,court,105
198,principles,105
199,still,104
200,right,104
201,her,103
202,jurisdiction,103
203,degree,102
204,proportion,100
205,others,100
206,object,100
207,never,100
208,independent,100
209,department,99
210,certain,99
211,equal,98
212,nation,98
213,out,98
214,objection,97
215,last,97
216,let,97
217,least,97
218,important,97
219,judiciary,96
220,also,96
221,give,96
222,him,95
223,persons,95
224,now,95
225,do,95
226,local,95
227,considered,95
228,question,95
229,majority,94
230,extent,94
231,point,94
232,spirit,94
233,trial,93
234,constitutional,93
235,because,93
236,few,92
237,how,92
238,experience,92
239,supreme,91
240,sense,91
241,house,90
242,confederation,90
243,society,90
244,side,90
245,council,89
246,long,89
247,advantage,87
248,conduct,87
249,whose,86
250,always,86
251,true,86
252,federalist,86
253,exercise,85
254,appointment,85
255,publius,85
256,answer,85
257,administration,84
258,treaties,84
259,kind,84
260,nothing,84
261,legislatures,83
262,confederacy,83
263,act,83
264,magistrate,82
265,likely,82
266,measures,82
267,manner,82
268,like,81
269,essential,81
270,thing,81
271,community,80
272,given,80
273,parties,80
274,britain,79
275,perhaps,79
276,sufficient,79
277,numerous,79
278,propriety,79
279,article,78
280,years,78
281,then,78
282,republican,78
283,constitutions,78
284,hands,77
285,effect,77
286,departments,77
287,best,77
288,happen,77
289,just,77
290,branch,76
291,commerce,76
292,large,76
293,jury,75
294,judges,75
295,able,75
296,consideration,75
297,favor,74
298,articles,74
299,officers,74
300,established,74
301,office,73
302,alone,73
303,here,73
304,military,73
305,three,73
306,period,73
307,appear,73
308,take,73
309,equally,73
310,become,72
311,character,71
312,mode,70
313,contrary,70
314,require,69
315,civil,69
316,does,69
317,policy,69
318,natural,69
319,whatever,69
320,considerations,69
321,small,68
322,rule,68
323,regard,68
324,possess,68
325,order,68
326,head,68
327,practice,67
328,human,67
329,purpose,67
330,seems,67
331,republic,66
332,defense,66
333,instances,66
334,evident,66
335,truth,66
336,hamilton,66
337,taxation,65
338,render,65
339,taken,65
340,property,65
341,making,65
342,support,65
343,party,65
344,affairs,64
345,individuals,64
346,justice,64
347,neither,64
348,whom,64
349,confidence,64
350,trust,63
351,possible,63
352,weight,63
353,distinct,63
354,fact,63
355,attention,63
356,opinion,63
357,militia,62
358,free,62
359,elections,61
360,instance,61
361,revenue,61
362,said,61
363,before,61
364,views,61
365,parts,61
366,considerable,60
367,duties,60
368,once,60
369,appears,60
370,admit,60
371,requisite,59
372,safety,59
373,better,58
374,result,58
375,dangerous,58
376,further,58
377,ever,58
378,second,57
379,immediate,57
380,improper,57
381,councils,57
382,execution,56
383,knowledge,56
384,individual,56
385,use,56
386,founded,56
387,already,56
388,election,56
389,choice,56
390,himself,55
391,rather,55
392,popular,55
393,duty,55
394,importance,55
395,army,54
396,find,54
397,having,54
398,principal,53
399,resources,53
400,operation,53
401,matter,53
402,times,53
403,personal,53
404,opposition,53
405,offices,53
406,elected,52
407,due,52
408,representation,52
409,seen,52
410,provided,52
411,judicial,52
412,want,52
413,provisions,51
414,supposition,51
415,sometimes,51
416,control,51
417,supposed,51
418,suppose,51
419,four,51
420,hand,51
421,existence,51
422,existing,50
423,person,50
424,establishment,50
425,end,50
426,taxes,50
427,according,50
428,relation,50
429,change,50
430,objections,50
431,judgment,50
432,powerful,50
433,my,50
434,confederacies,50
435,depend,50
436,branches,49
437,generally,49
438,seem,49
439,1,49
440,assembly,48
441,representative,48
442,ordinary,48
443,discretion,48
444,packet,48
445,measure,48
446,forms,48
447,advantages,48
448,class,48
449,difference,47
450,money,47
451,armies,47
452,consent,47
453,continued,47
454,almost,47
455,purposes,47
456,separate,47
457,source,47
458,observations,47
459,example,47
460,duration,46
461,thus,46
462,acts,46
463,difficulty,46
464,full,46
465,extensive,46
466,immediately,46
467,similar,46
468,easy,46
469,concerning,46
470,ambition,46
471,idea,46
472,absolute,45
473,chief,45
474,done,45
475,information,45
476,occasion,45
477,private,45
478,jealousy,45
479,expected,45
480,faction,44
481,up,44
482,disposition,44
483,appointed,44
484,probably,44
485,probable,44
486,remain,44
487,moment,44
488,passions,44
489,clause,43
490,through,43
491,entire,43
492,trade,43
493,real,43
494,left,43
495,inhabitants,43
496,next,43
497,circumstance,43
498,authorities,42
499,internal,42
500,europe,42
501,strength,42
502,need,42
503,constituents,42
504,paper,42
505,cause,42
506,expense,42
507,mere,42
508,see,42
509,establishments,42
510,empire,42
511,rules,41
512,admitted,41
513,intended,41
514,reasons,41
515,after,41
516,1788,40
517,appointments,40
518,regulation,40
519,difficult,40
520,things,40
521,limits,40
522,land,40
523,peculiar,40
524,towards,40
525,strong,40
526,while,40
527,happiness,40
528,doubt,40
529,questions,40
530,consequence,40
531,composed,40
532,governor,39
533,meaning,39
534,light,39
535,regular,39
536,amount,39
537,tendency,39
538,agency,39
539,extend,39
540,direct,39
541,known,39
542,various,39
543,mutual,39
544,fully,39
545,drawn,39
546,occasions,39
547,indeed,39
548,feel,39
549,mankind,39
550,bodies,38
551,future,38
552,third,38
553,terms,38
554,derived,38
555,consider,38
556,opinions,38
557,merely,38
558,remark,38
559,consequences,38
560,complete,37
561,exist,37
562,unless,37
563,beyond,37
564,king,37
565,wholly,37
566,dangers,37
567,afford,37
568,proceed,37
569,increase,37
570,apt,37
571,am,37
572,variety,37
573,connected,37
574,frequently,37
575,you,37
576,hundred,36
577,legislation,36
578,institution,36
579,impossible,36
580,shown,36
581,altogether,36
582,examples,36
583,frequent,36
584,foundation,36
585,share,36
586,sovereign,36
587,british,36
588,formed,36
589,enough,36
590,employed,35
591,success,35
592,limited,35
593,account,35
594,rendered,35
595,ready,35
596,short,35
597,necessarily,35
598,hence,35
599,naturally,35
600,value,35
601,species,35
602,partial,35
603,remarked,35
604,exercised,34
605,required,34
606,particularly,34
607,standing,34
608,pennsylvania,34
609,calculated,34
610,superior,34
611,secure,34
612,senators,34
613,year,34
614,brought,34
615,except,34
616,instead,34
617,probability,34
618,additional,34
619,clearly,34
620,guard,34
621,history,34
622,decision,34
623,called,34
624,responsibility,33
625,committed,33
626,fundamental,33
627,term,33
628,placed,33
629,classes,33
630,fall,33
631,sovereignty,33
632,member,33
633,provide,33
634,expedient,33
635,places,33
636,argument,33
637,commercial,33
638,portion,33
639,satisfactory,33
640,liberties,33
641,motives,33
642,interested,33
643,care,32
644,think,32
645,inferior,32
646,sole,32
647,during,32
648,regulations,32
649,merit,32
650,capacity,32
651,mean,32
652,observation,32
653,observed,32
654,independence,32
655,certainly,32
656,characters,32
657,thought,32
658,hold,32
659,world,32
660,impeachments,31
661,negative,31
662,precise,31
663,american,31
664,laid,31
665,external,31
666,exclusive,31
667,obtained,31
668,entirely,31
669,properly,31
670,respective,31
671,vested,31
672,experiment,31
673,2,31
674,preservation,31
675,energy,31
676,serve,31
677,exclusion,30
678,applicable,30
679,concurrence,30
680,chosen,30
681,votes,30
682,smaller,30
683,efficacy,30
684,troops,30
685,simple,30
686,say,30
687,rest,30
688,kept,30
689,ourselves,30
690,reasoning,30
691,she,30
692,domestic,30
693,task,30
694,papers,30
695,lay,30
696,greatest,30
697,obvious,30
698,add,30
699,punishment,29
700,thousand,29
701,construction,29
702,consist,29
703,madison,29
704,encroachments,29
705,revolution,29
706,life,29
707,remedy,29
708,massachusetts,29
709,violent,29
710,combination,29
711,effects,29
712,credit,29
713,neighbors,29
714,precautions,29
715,treaty,29
716,prospect,29
717,consequently,29
718,universal,29
719,privileges,29
720,thirteen,29
721,republics,29
722,regarded,29
723,bill,28
724,expressly,28
725,requires,28
726,safely,28
727,position,28
728,sufficiently,28
729,'s,28
730,stand,28
731,description,28
732,numbers,28
733,aid,28
734,distance,28
735,liable,28
736,points,28
737,addition,28
738,wars,28
739,arising,28
740,put,28
741,produced,28
742,arms,28
743,adversaries,28
744,prove,28
745,progress,28
746,preserve,28
747,opposite,28
748,judge,28
749,otherwise,27
750,temporary,27
751,vote,27
752,understood,27
753,ancient,27
754,mentioned,27
755,tuesday,27
756,bound,27
757,bear,27
758,asked,27
759,declare,27
760,actual,27
761,wealth,27
762,way,27
763,rulers,27
764,disposed,27
765,3,27
766,words,27
767,mind,27
768,wisdom,27
769,till,27
770,resort,27
771,arguments,27
772,commonly,27
773,consuls,26
774,thirds,26
775,business,26
776,regulating,26
777,electors,26
778,adequate,26
779,continue,26
780,larger,26
781,standard,26
782,about,26
783,maxim,26
784,genius,26
785,direction,26
786,sacrifice,26
787,regulate,26
788,enable,26
789,effectual,26
790,prudence,26
791,happened,26
792,notwithstanding,26
793,advice,26
794,citizen,26
795,throughout,26
796,whenever,26
797,doctrine,26
798,utility,26
799,zeal,26
800,readily,26
801,nomination,25
802,declared,25
803,original,25
804,confined,25
805,evidently,25
806,exceptions,25
807,permanent,25
808,friends,25
809,corruption,25
810,prevail,25
811,longer,25
812,impracticable,25
813,establish,25
814,ground,25
815,league,25
816,avoid,25
817,events,25
818,connection,25
819,conclusion,25
820,command,25
821,raise,25
822,come,25
823,tend,25
824,examination,25
825,show,25
826,difficulties,25
827,justify,25
828,why,25
829,receive,25
830,subjects,25
831,possessed,25
832,defects,25
833,enemies,25
834,me,25
835,taking,25
836,attended,25
837,journal,25
838,service,24
839,tribunals,24
840,mass,24
841,legal,24
842,proceedings,24
843,dependence,24
844,resolutions,24
845,whilst,24
846,seat,24
847,substitute,24
848,subordinate,24
849,comparison,24
850,operations,24
851,contend,24
852,entitled,24
853,cities,24
854,theory,24
855,matters,24
856,attempt,24
857,tyranny,24
858,final,24
859,exigencies,24
860,forward,24
861,collective,24
862,degrees,24
863,produce,24
864,inconveniences,24
865,facts,24
866,apply,24
867,intercourse,24
868,supply,24
869,violence,24
870,did,24
871,examined,24
872,formation,24
873,decided,24
874,your,24
875,enlightened,24
876,rarely,24
877,wise,24
878,sources,24
879,favorable,24
880,institutions,24
881,stability,23
882,maintain,23
883,dependent,23
884,stated,23
885,fixed,23
886,imports,23
887,usurpation,23
888,work,23
889,sanction,23
890,connecticut,23
891,evil,23
892,extreme,23
893,passion,23
894,kingdom,23
895,monarch,23
896,pretext,23
897,scale,23
898,countries,23
899,leave,23
900,divided,23
901,easily,23
902,six,23
903,suggested,23
904,arts,23
905,soon,23
906,protection,23
907,together,23
908,pleasure,23
909,serious,23
910,exposed,23
911,prosperity,23
912,led,23
913,errors,23
914,hope,23
915,concurrent,22
916,preference,22
917,appointing,22
918,delegated,22
919,proof,22
920,seven,22
921,defect,22
922,material,22
923,navy,22
924,increased,22
925,scheme,22
926,friday,22
927,distinction,22
928,structure,22
929,submitted,22
930,express,22
931,territory,22
932,project,22
933,fatal,22
934,island,22
935,doing,22
936,perceive,22
937,regulated,22
938,fit,22
939,navigation,22
940,clear,22
941,uniform,22
942,useful,22
943,passed,22
944,until,22
945,constitute,22
946,adoption,22
947,quarter,22
948,preceding,22
949,sentiments,22
950,distinguished,22
951,capable,22
952,respects,22
953,qualified,21
954,granted,21
955,absolutely,21
956,urged,21
957,myself,21
958,magistracy,21
959,requisitions,21
960,tax,21
961,lie,21
962,fail,21
963,possibility,21
964,proposition,21
965,total,21
966,district,21
967,possession,21
968,separation,21
969,debts,21
970,provinces,21
971,rome,21
972,gives,21
973,perfect,21
974,consists,21
975,safe,21
976,attend,21
977,promote,21
978,virtue,21
979,operate,21
980,furnish,21
981,bias,21
982,appearance,21
983,hazard,21
984,prejudices,21
985,discussion,21
986,decide,21
987,appeals,20
988,impeachment,20
989,equity,20
990,appeal,20
991,cognizance,20
992,relate,20
993,intrusted,20
994,half,20
995,hereditary,20
996,call,20
997,nearly,20
998,hardly,20
999,extended,20
1000,secondly,20
1001,inference,20
1002,minority,20
1003,valuable,20
1004,definition,20
1005,continually,20
1006,enumerated,20
1007,adopted,20
1008,review,20
1009,carolina,20
1010,active,20
1011,unnecessary,20
1012,fair,20
1013,equality,20
1014,again,20
1015,celebrated,20
1016,england,20
1017,keep,20
1018,relative,20
1019,prevent,20
1020,executed,20
1021,qualifications,20
1022,tranquillity,20
1023,latitude,20
1024,since,20
1025,finally,20
1026,language,20
1027,efforts,20
1028,indispensable,20
1029,dignity,20
1030,ambitious,20
1031,set,20
1032,formidable,20
1033,reflection,20
1034,welfare,20
1035,select,19
1036,method,19
1037,coin,19
1038,ambassadors,19
1039,substance,19
1040,down,19
1041,districts,19
1042,authors,19
1043,plurality,19
1044,applied,19
1045,critical,19
1046,ministers,19
1047,obtain,19
1048,truly,19
1049,giving,19
1050,organization,19
1051,capacities,19
1052,raised,19
1053,industry,19
1054,population,19
1055,alarm,19
1056,wants,19
1057,scarcely,19
1058,necessities,19
1059,compact,19
1060,claims,19
1061,confederate,19
1062,governed,19
1063,motive,19
1064,unite,19
1065,management,19
1066,apprehension,19
1067,weakness,19
1068,solid,19
1069,know,19
1070,fleets,19
1071,opportunity,19
1072,expect,19
1073,added,19
1074,obliged,19
1075,besides,19
1076,effectually,19
1077,loss,19
1078,follow,19
1079,continuance,19
1080,carried,19
1081,old,19
1082,imposed,19
1083,voice,19
1084,greatly,19
1085,hitherto,19
1086,advocates,19
1087,extraordinary,19
1088,accordingly,19
1089,affect,19
1090,attempts,19
1091,respectable,19
1092,event,19
1093,appellate,18
1094,alterations,18
1095,sensible,18
1096,prerogative,18
1097,abuse,18
1098,bills,18
1099,salutary,18
1100,subsequent,18
1101,reasonable,18
1102,pass,18
1103,nine,18
1104,exceed,18
1105,believe,18
1106,treasury,18
1107,conviction,18
1108,concur,18
1109,bad,18
1110,execute,18
1111,corrupt,18
1112,virginia,18
1113,contain,18
1114,precaution,18
1115,supported,18
1116,usurpations,18
1117,chiefly,18
1118,destroy,18
1119,combinations,18
1120,pernicious,18
1121,authorized,18
1122,proceeded,18
1123,remote,18
1124,perpetual,18
1125,reality,18
1126,desire,18
1127,presume,18
1128,presumed,18
1129,practicable,18
1130,parliament,18
1131,forces,18
1132,agreed,18
1133,competent,18
1134,france,18
1135,feeble,18
1136,turn,18
1137,conclusive,18
1138,wish,18
1139,integrity,18
1140,tried,18
1141,divide,18
1142,late,18
1143,dissolution,18
1144,following,18
1145,open,18
1146,firmness,18
1147,sound,18
1148,merits,18
1149,deliberations,18
1150,remaining,17
1151,section,17
1152,annual,17
1153,imagine,17
1154,inconvenience,17
1155,previous,17
1156,controversies,17
1157,counties,17
1158,indefinite,17
1159,error,17
1160,inquiry,17
1161,prescribe,17
1162,assent,17
1163,county,17
1164,oppression,17
1165,unequal,17
1166,magistrates,17
1167,anarchy,17
1168,compelled,17
1169,occasional,17
1170,inclined,17
1171,jersey,17
1172,pretensions,17
1173,usually,17
1174,says,17
1175,ill,17
1176,superiority,17
1177,pursued,17
1178,emperor,17
1179,ideas,17
1180,fear,17
1181,administered,17
1182,greece,17
1183,pay,17
1184,benefit,17
1185,enterprise,17
1186,fewer,17
1187,willing,17
1188,assemblies,17
1189,although,17
1190,attachment,17
1191,forming,17
1192,apprehensions,17
1193,demand,17
1194,candid,17
1195,inquiries,17
1196,nevertheless,17
1197,received,17
1198,imagined,17
1199,evidence,17
1200,fellow-citizens,17
1201,love,17
1202,usual,17
1203,conclude,17
1204,oppose,17
1205,jealousies,17
1206,minds,17
1207,doubted,17
1208,judicious,17
1209,establishing,17
1210,station,16
1211,vacancies,16
1212,prohibition,16
1213,impartial,16
1214,admiralty,16
1215,tribunal,16
1216,qualities,16
1217,appeared,16
1218,ten,16
1219,criminal,16
1220,ingredients,16
1221,bring,16
1222,reduced,16
1223,relates,16
1224,fourth,16
1225,lies,16
1226,five,16
1227,collection,16
1228,proofs,16
1229,embrace,16
