,word,freq
1,the,7785
2,to,4070
3,and,3929
4,of,3655
5,a,3329
6,i,2763
7,in,2282
8,was,2062
9,that,1901
10,you,1887
11,it,1781
12,her,1777
13,he,1756
14,she,1622
15,had,1329
16,as,1329
17,his,1199
18,not,1194
19,is,1045
20,at,977
21,have,972
22,said,960
23,be,952
24,with,941
25,for,940
26,'s,858
27,but,825
28,on,810
29,by,743
30,from,725
31,which,699
32,this,668
33,do,656
34,me,652
35,him,618
36,been,547
37,there,530
38,no,524
39,eustacia,516
40,what,513
41,when,509
42,would,505
43,were,504
44,n't,496
45,my,496
46,if,494
47,so,485
48,they,431
49,all,428
50,now,415
51,yeobright,405
52,one,400
53,will,394
54,an,393
55,could,388
56,wildeve,382
57,up,356
58,man,342
59,who,340
60,clym,339
61,did,338
62,like,334
63,can,323
64,upon,322
65,or,316
66,thomasin,315
67,into,314
68,well,313
69,more,310
70,then,306
71,your,305
72,out,293
73,than,290
74,time,288
75,are,287
76,their,280
77,come,265
78,should,259
79,we,259
80,about,257
81,them,255
82,only,254
83,go,251
84,such,242
85,think,240
86,down,234
87,am,231
88,yes,227
89,see,226
90,some,222
91,again,220
92,how,219
93,woman,219
94,before,215
95,came,214
96,little,214
97,went,211
98,its,210
99,mrs.,209
100,here,205
101,know,203
102,has,199
103,face,196
104,might,195
105,house,194
106,where,191
107,venn,188
108,any,188
109,much,188
110,after,188
111,never,187
112,way,187
113,without,186
114,other,183
115,heath,183
116,very,181
117,home,180
118,though,179
119,too,177
120,mother,176
121,two,174
122,say,171
123,must,168
124,over,166
125,yet,159
126,'t,158
127,good,156
128,long,155
129,day,155
130,thought,155
131,being,151
132,back,149
133,away,149
134,going,148
135,door,147
136,nothing,147
137,may,147
138,shall,145
139,why,145
140,reddleman,143
141,these,139
142,eyes,137
143,light,135
144,towards,133
145,looked,130
146,own,129
147,old,128
148,christian,127
149,first,126
150,till,126
151,round,125
152,made,125
153,himself,121
154,get,120
155,hand,120
156,same,120
157,tell,118
158,stood,118
159,'ll,117
160,off,116
161,just,114
162,through,114
163,left,113
164,life,113
165,o,111
166,fairway,111
167,thing,110
168,still,110
169,because,109
170,another,109
171,look,109
172,mind,108
173,once,107
174,night,107
175,last,106
176,seen,106
177,wish,103
178,few,103
179,make,102
180,those,101
181,fire,100
182,enough,99
183,something,99
184,let,98
185,soon,97
186,quite,97
187,even,97
188,seemed,96
189,between,96
190,head,95
191,ever,95
192,better,95
193,egdon,95
194,room,94
195,herself,94
196,heard,94
197,place,94
198,done,92
199,found,92
200,against,91
201,young,91
202,looking,90
203,gone,89
204,far,89
205,turned,88
206,began,88
207,moment,88
208,things,86
209,while,86
210,love,85
211,since,85
212,walk,84
213,saw,82
214,hour,82
215,many,81
216,great,81
217,take,80
218,wife,80
219,boy,79
220,coming,79
221,under,79
222,words,78
223,men,77
224,got,76
225,give,75
226,took,75
227,whole,73
228,put,72
229,almost,72
230,always,72
231,evening,72
232,miss,71
233,course,71
234,every,71
235,voice,70
236,side,70
237,want,70
238,passed,70
239,appeared,70
240,having,69
241,grandfer,69
242,part,69
243,new,69
244,husband,68
245,sat,68
246,us,68
247,next,68
248,aunt,67
249,told,67
250,within,67
251,mr.,66
252,rather,66
253,half,66
254,anything,65
255,sort,65
256,each,65
257,world,65
258,ah,65
259,mean,64
260,reached,64
261,form,64
262,minutes,63
263,cantle,63
264,perhaps,63
265,felt,63
266,brought,63
267,charley,62
268,money,62
269,keep,62
270,morning,62
271,suppose,62
272,knew,62
273,lay,62
274,right,62
275,three,62
276,asked,61
277,window,61
278,poor,61
279,feel,61
280,hardly,61
281,path,60
282,walked,60
283,less,60
284,longer,59
285,girl,59
286,across,58
287,end,58
288,present,58
289,figure,57
290,dark,57
291,scene,57
292,marry,56
293,'ve,56
294,married,56
295,among,56
296,person,55
297,days,55
298,open,55
299,behind,55
300,vye,54
301,bank,54
302,garden,53
303,sure,53
304,further,53
305,replied,53
306,front,53
307,people,53
308,near,53
309,manner,53
310,standing,52
311,most,52
312,whose,52
313,myself,51
314,'d,51
315,sight,51
316,rest,51
317,became,51
318,matter,51
319,women,51
320,diggory,50
321,heart,50
322,hope,50
323,small,50
324,used,50
325,remained,50
326,returned,50
327,air,50
328,best,50
329,speak,49
330,blooms-end,49
331,reason,49
332,thus,49
333,alone,48
334,bad,48
335,ought,48
336,years,48
337,hands,48
338,white,48
339,afternoon,48
340,grandfather,47
341,marriage,47
342,hear,47
343,son,47
344,call,47
345,wo,47
346,ask,47
347,nobody,47
348,known,47
349,leave,47
350,tone,46
351,entered,46
352,continued,46
353,believe,46
354,lost,46
355,beyond,46
356,strange,46
357,does,45
358,you.,45
359,captain,45
360,humphrey,45
361,tonight,45
362,'em,45
363,followed,45
364,together,45
365,live,44
366,position,44
367,rainbarrow,44
368,really,44
369,our,44
370,during,44
371,indeed,44
372,spot,44
373,direction,43
374,lantern,43
375,van,43
376,outside,43
377,help,42
378,me.,42
379,red,42
380,walking,42
381,along,42
382,year,42
383,work,42
384,called,42
385,set,42
386,opened,41
387,mistover,41
388,except,41
389,ye,41
390,inn,41
391,feeling,41
392,lips,41
393,wind,41
394,point,41
395,added,41
396,low,40
397,state,40
398,around,40
399,full,40
400,true,40
401,least,40
402,possible,39
403,sam,39
404,murmured,39
405,father,39
406,word,39
407,o'clock,39
408,furze,39
409,hill,39
410,trouble,39
411,name,39
412,forward,38
413,feet,38
414,show,38
415,above,38
416,talk,38
417,themselves,38
418,find,38
419,paris,37
420,gate,37
421,care,37
422,doing,37
423,child,37
424,road,37
425,gave,37
426,sometimes,36
427,mine,36
428,dear,36
429,four,36
430,quiet,36
431,visible,36
432,moon,36
433,sun,36
434,kind,36
435,budmouth,36
436,situation,35
437,please,35
438,ten,35
439,five,35
440,it.,35
441,nearly,35
442,beside,35
443,certain,35
444,nor,35
445,become,35
446,times,35
447,taken,35
448,lonely,35
449,led,34
450,stay,34
451,else,34
452,yourself,34
453,past,34
454,valley,34
455,nature,34
456,meet,34
457,showed,34
458,return,34
459,meeting,33
460,lady,33
461,water,33
462,sound,33
463,living,33
464,cousin,33
465,glad,33
466,corner,33
467,necessary,33
468,ground,33
469,thinking,33
470,question,33
471,fact,33
472,itself,33
473,bed,32
474,chance,32
475,carried,32
476,lived,32
477,business,31
478,ready,31
479,die,31
480,power,31
481,ca,31
482,anybody,31
483,met,31
484,whom,31
485,bring,31
486,getting,31
487,however,31
488,silence,31
489,sky,31
490,letter,30
491,whether,30
492,damon,30
493,early,30
494,stone,30
495,church,30
496,spoke,30
497,dance,30
498,merely,30
499,formed,30
500,doubt,30
501,death,30
502,cause,30
503,baby,29
504,view,29
505,now.,29
506,both,29
507,won,29
508,play,29
509,quickly,29
510,instead,29
511,presence,29
512,minute,29
513,use,29
514,susan,29
515,close,29
516,dead,29
517,turning,29
518,wedding,29
519,others,29
520,high,29
521,god,29
522,wished,29
523,distance,29
524,hard,29
525,summer,29
526,closed,29
527,lad,28
528,turn,28
529,arose,28
530,cried,28
531,kept,28
532,pool,28
533,held,28
534,top,28
535,purpose,28
536,colour,28
537,barrow,28
538,eye,28
539,neither,28
540,often,28
541,fair,28
542,darkness,28
543,moved,27
544,immediately,27
545,thoughts,27
546,fear,27
547,threw,27
548,timothy,27
549,fell,27
550,thank,27
551,interest,27
552,anxious,27
553,hair,27
554,seem,27
555,beginning,27
556,country,27
557,natural,27
558,hours,27
559,scarcely,27
560,wild,27
561,him.,26
562,meant,26
563,placed,26
564,answer,26
565,bear,26
566,certainly,26
567,seeing,26
568,week,26
569,late,26
570,silent,26
571,means,26
572,descended,26
573,ago,26
574,clothes,26
575,laid,26
576,black,26
577,somewhat,26
578,guineas,25
579,visit,25
580,answered,25
581,ma'am,25
582,bonfire,25
583,whatever,25
584,case,25
585,run,25
586,below,25
587,today,25
588,inside,25
589,company,25
590,clear,25
591,lover,25
592,winter,25
593,loved,25
594,slowly,25
595,advanced,25
596,arrived,25
597,given,25
598,journey,24
599,rain,24
600,account,24
601,indoors,24
602,cottage,24
603,waiting,24
604,remember,24
605,pass,24
606,steps,24
607,sitting,24
608,rose,24
609,watched,24
610,saying,24
611,sense,24
612,seems,24
613,sleep,24
614,earth,24
615,quarter,24
616,general,24
617,alderworth,23
618,mummers,23
619,send,23
620,either,23
621,sit,23
622,try,23
623,ran,23
624,subject,23
625,stand,23
626,christmas,23
627,also,23
628,cold,23
629,large,23
630,mile,23
631,hills,23
632,object,23
633,oh,23
634,miles,23
635,occasionally,23
636,weather,23
637,changed,23
638,cut,23
639,human,23
640,heaven,23
641,dream,23
642,soul,23
643,green,22
644,wait,22
645,wonder,22
646,shook,22
647,started,22
648,fancy,22
649,different,22
650,arm,22
651,inquired,22
652,breath,22
653,save,22
654,somebody,22
655,mere,22
656,able,21
657,table,21
658,pain,21
659,happy,21
660,family,21
661,passing,21
662,hold,21
663,spirit,21
664,expected,21
665,neighbours,21
666,mis'ess,21
667,mouth,21
668,entirely,21
669,suddenly,21
670,lifted,21
671,worth,21
672,second,21
673,soft,21
674,meaning,21
675,features,21
676,change,21
677,beauty,21
678,perceived,21
679,distant,21
680,rope,20
681,game,20
682,already,20
683,observed,20
684,circumstances,20
685,hers,20
686,taking,20
687,months,20
688,need,20
689,sigh,20
690,parted,20
691,feelings,20
692,struck,20
693,leaving,20
694,fine,20
695,moments,20
696,slight,20
697,surprise,20
698,wet,20
699,born,20
700,worse,20
701,tamsin,20
702,body,20
703,whenever,20
704,fellow,20
705,six,20
706,sent,20
707,lit,20
708,none,20
709,thrown,20
710,sudden,20
711,group,20
712,her.,20
713,moving,20
714,dry,20
715,surface,20
716,length,20
717,line,20
718,upstairs,19
719,shut,19
720,determined,19
721,month,19
722,yours,19
723,grew,19
724,candle,19
725,played,19
726,flew,19
727,apparently,19
728,straight,19
729,niece,19
730,hundred,19
731,twenty,19
732,making,19
733,rising,19
734,bright,19
735,misery,19
736,usual,19
737,party,19
738,likely,19
739,vanished,19
740,conversation,19
741,sounds,19
742,curious,19
743,occupied,19
744,single,19
745,gaze,19
746,stick,19
747,lower,19
748,says,19
749,condition,19
750,persons,19
751,waited,19
752,particular,19
753,decided,19
754,story,19
755,pity,18
756,thousand,18
757,short,18
758,future,18
759,until,18
760,later,18
761,warm,18
762,ears,18
763,tears,18
764,expect,18
765,uttered,18
766,beautiful,18
767,notice,18
768,horse,18
769,died,18
770,dancing,18
771,bit,18
772,reply,18
773,hot,18
774,olly,18
775,all.,18
776,glass,18
777,act,18
778,pretty,18
779,shone,18
780,pale,18
781,step,18
782,that.,18
783,desire,18
784,shape,18
785,drew,18
786,presently,18
787,reach,18
788,vale,18
789,frequently,18
790,vast,18
791,box,17
792,doctor,17
793,knight,17
794,turkish,17
795,dwelling,17
796,promise,17
797,plan,17
798,ill,17
799,drive,17
800,afraid,17
801,unless,17
802,fern,17
803,bedroom,17
804,burning,17
805,force,17
806,probably,17
807,heavy,17
808,yards,17
809,several,17
810,bottom,17
811,flung,17
812,points,17
813,idea,17
814,sooner,17
815,sunday,17
816,wrong,17
817,'ee,17
818,folks,17
819,age,17
820,deep,17
821,drawn,17
822,aware,17
823,town,17
824,possibly,17
825,occupation,17
826,effect,17
827,hollow,17
828,original,17
829,character,17
830,real,17
831,premises,16
832,knowledge,16
833,previous,16
834,truth,16
835,holding,16
836,hate,16
837,whispered,16
838,news,16
839,weary,16
840,heather,16
841,happiness,16
842,fifty,16
843,begun,16
