,word,freq
1,the,6201
2,i,3862
3,and,3170
4,you,2016
5,to,1949
6,a,1823
7,it,1638
8,was,1481
9,in,1349
10,said,1226
11,of,1131
12,we,1077
13,he,913
14,n't,894
15,on,791
16,that,741
17,do,729
18,they,721
19,not,667
20,were,655
21,with,618
22,me,611
23,there,570
24,had,555
25,have,526
26,all,522
27,but,508
28,at,501
29,she,483
30,is,480
31,be,458
32,out,455
33,up,449
34,for,406
35,go,400
36,my,384
37,very,381
38,no,380
39,went,375
40,would,365
41,down,357
42,are,348
43,one,326
44,did,317
45,what,310
46,will,310
47,then,308
48,her,306
49,them,305
50,catherine,292
51,could,292
52,his,287
53,when,284
54,see,273
55,back,272
56,get,267
57,good,265
58,if,265
59,him,254
60,came,250
61,so,246
62,from,232
63,looked,232
64,as,229
65,right,224
66,like,223
67,know,222
68,come,213
69,now,213
70,about,208
71,over,204
72,where,197
73,want,195
74,some,189
75,been,185
76,by,184
77,how,183
78,yes,182
79,this,181
80,road,177
81,two,167
82,any,164
83,can,164
84,your,163
85,little,161
86,an,161
87,going,159
88,here,157
89,time,154
90,night,154
91,asked,153
92,too,153
93,darling,148
94,room,148
95,us,147
96,off,144
97,other,144
98,bed,142
99,think,139
100,into,139
101,away,136
102,saw,135
103,put,134
104,long,129
105,much,129
106,take,126
107,war,120
108,through,119
109,who,116
110,after,115
111,just,113
112,wo,113
113,let,113
114,along,113
115,got,112
116,never,111
117,again,109
118,side,109
119,rain,108
120,while,106
121,fine,105
122,way,104
123,doctor,103
124,took,102
125,only,101
126,should,100
127,something,99
128,anything,99
129,tell,99
130,or,99
131,rinaldi,98
132,more,97
133,door,96
134,sat,96
135,their,95
136,under,92
137,dark,91
138,outside,90
139,priest,90
140,drink,89
141,many,89
142,say,88
143,nothing,87
144,thought,85
145,ca,85
146,better,83
147,man,83
148,am,83
149,big,83
150,across,83
151,oh,82
152,because,82
153,another,81
154,piani,80
155,tenente,80
156,miss,79
157,started,79
158,always,78
159,before,78
160,front,78
161,hospital,77
162,three,76
163,place,76
164,must,76
165,make,76
166,bonello,75
167,love,75
168,really,75
169,head,75
170,our,75
171,major,74
172,looking,74
173,well,74
174,please,73
175,hand,73
176,around,73
177,people,73
178,window,73
179,feel,72
180,water,72
181,why,71
182,felt,71
183,first,71
184,knew,70
185,things,69
186,coming,69
187,does,68
188,lovely,68
189,car,68
190,river,68
191,girl,66
192,sleep,65
193,wine,65
194,lake,64
195,walked,64
196,held,64
197,gone,64
198,old,63
199,town,63
200,face,63
201,heard,63
202,still,62
203,light,62
204,left,62
205,made,62
206,trees,62
207,mountains,62
208,stopped,61
209,talk,61
210,boy,60
211,aymo,59
212,baby,59
213,tired,59
214,bad,59
215,glass,59
216,look,58
217,turned,57
218,italian,57
219,die,56
220,stood,56
221,toward,56
222,wet,56
223,hall,55
224,brought,55
225,give,55
226,bridge,55
227,cars,55
228,men,55
229,maybe,54
230,nurse,54
231,papers,54
232,leave,54
233,believe,54
234,girls,54
235,than,54
236,line,53
237,table,53
238,day,53
239,stay,52
240,ahead,51
241,wanted,51
242,sometimes,51
243,both,50
244,morning,50
245,watched,50
246,street,50
247,lay,49
248,open,48
249,until,48
250,nice,48
251,beside,47
252,hard,47
253,english,47
254,ever,47
255,smiled,47
256,hotel,46
257,afraid,46
258,great,46
259,bottle,46
260,cut,45
261,stop,45
262,has,45
263,station,44
264,inside,44
265,wish,44
266,against,44
267,snow,44
268,country,44
269,pulled,44
270,barkley,43
271,might,43
272,thing,43
273,eat,42
274,ferguson,42
275,together,42
276,opened,42
277,captain,42
278,every,42
279,small,42
280,beyond,42
281,house,42
282,porter,41
283,married,41
284,cold,41
285,read,41
286,even,41
287,officers,41
288,each,41
289,chapter,41
290,boat,40
291,floor,40
292,close,40
293,white,40
294,far,39
295,american,39
296,those,39
297,mountain,39
298,behind,39
299,drank,38
300,happy,38
301,wounded,38
302,bring,38
303,between,38
304,try,37
305,thank,37
306,once,37
307,else,37
308,woman,36
309,train,36
310,told,36
311,wind,36
312,everything,36
313,god,35
314,matter,35
315,beautiful,35
316,ought,35
317,shook,35
318,seemed,35
319,sitting,35
320,though,35
321,carriage,34
322,quite,34
323,attack,34
324,work,34
325,course,34
326,austrians,34
327,glad,34
328,home,33
329,find,33
330,empty,33
331,alone,33
332,enough,33
333,hands,33
334,start,33
335,probably,33
336,dead,33
337,new,33
338,shore,32
339,high,32
340,gave,32
341,keep,32
342,stone,32
343,sure,32
344,myself,32
345,others,32
346,money,32
347,wall,32
348,army,32
349,end,32
350,passed,32
351,except,32
352,kept,31
353,hold,31
354,mind,30
355,stretcher,30
356,standing,30
357,italians,30
358,killed,30
359,awfully,30
360,splendid,30
361,hair,30
362,breakfast,30
363,milan,30
364,arm,30
365,next,30
366,knee,29
367,hear,29
368,send,29
369,walk,29
370,worry,29
371,hot,29
372,trouble,29
373,without,29
374,five,29
375,being,29
376,seat,29
377,troops,29
378,bank,28
379,soon,28
380,holding,28
381,paper,28
382,sweet,28
383,soldier,28
384,lieutenant,28
385,sight,28
386,same,28
387,driver,28
388,ettore,27
389,shot,27
390,drunk,27
391,almost,27
392,tried,27
393,hell,27
394,father,27
395,eyes,27
396,wore,27
397,gray,27
398,guns,27
399,feeling,27
400,clear,27
401,retreat,26
402,meyers,26
403,wife,26
404,grand,26
405,brandy,26
406,hundred,26
407,legs,26
408,bottles,26
409,watch,26
410,four,26
411,laughed,26
412,above,26
413,winter,26
414,north,26
415,sun,26
416,barman,25
417,cheese,25
418,pretty,25
419,crazy,25
420,orderly,25
421,germans,25
422,dressing,25
423,coffee,25
424,red,25
425,taken,25
426,top,25
427,officer,25
428,past,25
429,gage,24
430,seen,24
431,lights,24
432,field,24
433,leg,24
434,shut,24
435,done,24
436,anyway,24
437,care,24
438,such,24
439,found,24
440,fire,24
441,mess,24
442,below,24
443,thin,24
444,fall,24
445,fighting,24
446,afterward,24
447,plain,24
448,year,24
449,montreux,23
450,passini,23
451,onto,23
452,hope,23
453,need,23
454,mean,23
455,live,23
456,yet,23
457,everybody,23
458,drove,23
459,name,23
460,called,23
461,talking,23
462,hurt,23
463,lying,23
464,wonderful,23
