,word,freq
1,the,4996
2,to,3918
3,and,3602
4,a,3501
5,i,3358
6,of,3038
7,he,2739
8,you,2671
9,it,2084
10,in,1883
11,that,1852
12,was,1850
13,his,1692
14,her,1551
15,she,1538
16,newman,1482
17,said,1272
18,had,1254
19,with,1171
20,have,1096
21,at,1054
22,but,1047
23,is,1032
24,as,951
25,for,912
26,t,902
27,not,865
28,s,807
29,him,800
30,me,782
31,my,759
32,de,715
33,very,676
34,be,646
35,on,574
36,what,549
37,an,531
38,are,503
39,your,496
40,madame,494
41,if,484
42,this,483
43,they,439
44,which,434
45,will,432
46,bellegarde,430
47,would,397
48,don,395
49,no,394
50,am,393
51,been,382
52,do,374
53,so,371
54,then,368
55,there,364
56,all,362
57,can,355
58,know,354
59,were,342
60,one,322
61,up,312
62,valentin,306
63,cintré,305
64,little,300
65,by,294
66,m.,293
67,say,292
68,we,284
69,see,283
70,about,282
71,them,271
72,into,267
73,from,265
74,out,264
75,should,263
76,old,263
77,or,257
78,when,252
79,great,248
80,think,247
81,man,247
82,good,243
83,who,241
84,looked,237
85,more,234
86,like,230
87,has,228
88,come,227
89,made,219
90,upon,217
91,oh,213
92,never,213
93,some,211
94,tristram,207
95,something,206
96,asked,203
97,lady,202
98,too,201
99,only,201
100,make,199
101,than,198
102,time,197
103,well,195
104,moment,191
105,must,191
106,seemed,185
107,could,184
108,young,184
109,go,181
110,last,178
111,eyes,178
112,take,175
113,marquis,172
114,nothing,172
115,much,172
116,did,170
117,shall,168
118,himself,164
119,after,162
120,want,161
121,before,160
122,now,159
123,went,158
124,way,154
125,back,154
126,looking,152
127,again,151
128,nioche,149
129,how,148
130,hand,146
131,sir,145
132,might,140
133,mrs.,139
134,their,139
135,came,139
136,down,139
137,told,138
138,mother,137
139,other,136
140,better,135
141,tell,133
142,over,133
143,give,132
144,woman,132
145,any,129
146,bread,126
147,long,126
148,away,125
149,why,124
150,own,124
151,gave,122
152,may,122
153,took,121
154,place,117
155,head,117
156,mrs,116
157,going,115
158,things,114
159,first,114
160,thing,113
161,thought,113
162,turned,113
163,here,108
164,stood,108
165,always,107
166,two,107
167,found,107
168,day,106
169,face,105
170,without,104
171,mademoiselle,103
172,most,102
173,felt,102
174,our,102
175,yet,102
176,mr.,100
177,mean,99
178,yes,99
179,world,97
180,didn,96
181,look,96
182,smile,95
183,poor,94
184,hands,94
185,sat,94
186,its,94
187,such,93
188,people,92
189,put,92
190,afraid,91
191,even,91
192,rather,91
193,these,90
194,let,89
195,seen,88
196,while,86
197,just,86
198,anything,85
199,brother,84
200,done,84
201,paris,84
202,believe,84
203,get,84
204,many,84
205,through,84
206,feel,83
207,daughter,83
208,life,83
209,cried,81
210,three,80
211,began,80
212,still,80
213,ask,79
214,really,78
215,noémie,78
216,room,77
217,answered,77
218,off,77
219,bad,76
220,where,76
221,friend,76
222,suppose,75
223,sure,75
224,added,73
225,marry,73
226,mind,73
227,certain,73
228,ever,72
229,quite,72
230,house,71
231,left,71
232,dear,70
233,another,70
234,m,68
235,herself,68
236,sort,68
237,door,67
238,course,67
239,it.,67
240,knew,67
241,gentleman,67
242,sister,66
243,simply,66
244,saw,65
245,words,65
246,being,65
247,almost,65
248,least,64
249,passed,64
250,having,63
251,round,63
252,leave,63
253,pretty,63
254,marquise,62
255,got,62
256,everything,62
257,whether,61
258,once,61
259,myself,61
260,father,61
261,half,60
262,understand,60
263,deal,60
264,fellow,60
265,sense,59
266,enough,59
267,help,59
268,wife,58
269,you.,58
270,beautiful,58
271,ought,57
272,present,57
273,talk,57
274,speak,57
275,ah,57
276,whom,57
277,few,56
278,won,56
279,laugh,56
280,french,56
281,side,56
282,matter,56
283,person,55
284,urbain,54
285,family,54
286,high,54
287,chapter,54
288,lord,53
289,same,53
290,small,53
291,us,53
292,because,53
293,girl,52
294,husband,52
295,years,52
296,arm,52
297,strange,52
298,white,52
299,perhaps,52
300,those,52
301,hour,51
302,evening,51
303,friends,51
304,hope,51
305,continued,51
306,happy,50
307,call,50
308,walked,50
309,best,49
310,find,49
311,taken,49
312,son,48
313,wanted,48
314,care,48
315,presently,47
316,end,47
317,idea,47
318,part,47
319,me.,46
320,please,46
321,far,46
322,english,46
323,taking,46
324,does,46
325,given,45
326,easy,45
327,chance,45
328,keep,45
329,silent,44
330,days,44
331,point,44
332,yourself,44
333,companion,44
334,next,44
335,right,44
336,alone,43
337,kept,43
338,hard,43
339,else,43
340,slowly,43
341,monsieur,43
342,extremely,43
343,heard,43
344,men,42
345,near,42
346,open,42
347,word,42
348,though,42
349,fine,42
350,since,42
351,apparently,41
352,behind,41
353,hear,41
354,however,41
355,paper,40
356,used,40
357,certainly,40
358,glad,40
359,wish,40
360,eye,40
361,pleasure,39
362,money,39
363,quiet,39
364,remember,39
365,appeared,39
366,women,39
367,less,39
368,deepmere,38
369,light,38
370,couldn,38
371,try,38
372,business,38
373,possible,38
374,fixed,38
375,american,38
376,doctor,37
377,large,37
378,feeling,37
379,proud,37
380,against,37
381,seems,37
382,saying,37
383,tone,37
384,glance,37
385,kind,37
386,night,37
387,duchess,36
388,reason,36
389,both,36
390,chair,36
391,declared,36
392,air,36
393,several,36
394,exclaimed,35
395,softly,35
396,show,35
397,voice,35
398,answer,35
399,desire,35
